GeographyCode,QS213NI0001,QS213NI0002,QS213NI0003,QS213NI0004,QS213NI0005,QS213NI0006
95ZZ04,2563,232,63,75,37,249
95ZZ05,2100,237,81,73,36,242
95ZZ06,1649,50,11,10,8,51
95ZZ07,2670,144,28,44,29,147
95ZZ08,2475,91,21,30,19,93
95ZZ09,2185,195,49,63,23,199
95ZZ10,3030,126,41,43,29,129
95ZZ11,2136,158,39,37,17,162
95ZZ12,2103,120,28,28,17,126
95ZZ13,2417,411,117,88,45,419
95ZZ14,3106,80,18,25,16,86
95ZZ15,2201,170,44,49,22,174
95ZZ16,3125,117,39,37,30,118
