GeographyCode,QS608NI0001,QS608NI0002,QS608NI0003,QS608NI0004,QS608NI0005,QS608NI0006,QS608NI0007,QS608NI0008,QS608NI0009,QS608NI0010,QS608NI0011,QS608NI0012,QS608NI0013,QS608NI0014
95HH04,3067,434,130,304,687,491,241,371,402,389,42,20,22,10
95HH05,2171,92,31,61,277,295,117,273,508,439,154,66,88,16
95HH06,4788,615,165,450,1236,731,548,557,546,431,112,67,45,12
95HH07,1493,82,29,53,239,185,101,157,262,329,121,54,67,17
95HH08,2553,433,62,371,647,353,301,190,242,308,45,14,31,34
95HH09,2543,206,51,155,491,374,183,228,458,422,155,94,61,26
95HH10,2488,537,107,430,833,333,244,140,201,141,47,12,35,12
95HH11,1366,65,16,49,173,158,87,155,300,287,129,62,67,12
95HH12,1552,110,22,88,320,278,131,161,238,261,50,26,24,3
95HH13,1407,31,12,19,158,172,97,167,306,360,102,61,41,14
95HH14,1530,42,10,32,200,157,94,201,347,360,106,71,35,23
95HH15,2585,254,79,175,615,373,201,265,409,354,96,51,45,18
95HH16,2159,328,67,261,648,285,234,162,232,201,57,32,25,12
95HH17,2477,253,53,200,503,391,423,271,305,255,53,37,16,23
95II01,3066,498,122,376,905,480,430,177,287,247,30,21,9,12
95II02,4600,1083,145,938,1345,571,362,247,522,321,129,84,45,20
95II03,3523,947,178,769,1054,494,306,286,215,163,36,26,10,22
95II04,4245,476,101,375,974,654,360,406,634,568,134,76,58,39
95II05,3412,670,115,555,1076,444,381,187,279,286,62,32,30,27
95II06,3398,720,115,605,1095,475,323,262,236,224,56,27,29,7
95II07,2077,125,21,104,269,251,168,212,443,479,120,71,49,10
95II08,2417,192,35,157,534,422,201,300,406,286,55,33,22,21
95II09,3347,431,91,340,947,544,276,341,408,325,56,37,19,19
95II10,2592,158,28,130,354,375,207,272,535,539,132,80,52,20
95II11,2555,615,75,540,830,413,164,177,193,108,39,35,4,16
95II12,2481,480,86,394,941,334,240,168,166,98,49,31,18,5
95II13,2701,162,29,133,552,388,268,261,553,382,116,67,49,19
95II14,2521,554,71,483,866,391,235,135,202,107,26,20,6,5
95II15,3357,841,127,714,1164,430,325,195,218,129,46,31,15,9
95II16,2126,168,29,139,382,338,125,256,424,344,80,53,27,9
95II17,2493,335,62,273,509,381,222,218,439,289,97,55,42,3
95II18,2226,183,33,150,413,333,123,226,423,417,85,53,32,23
95II19,3765,711,149,562,944,509,639,276,320,294,57,45,12,15
95II20,2743,556,78,478,814,366,185,222,340,179,55,30,25,26
95II21,2419,106,30,76,327,309,169,204,546,537,192,120,72,29
95II22,2248,245,74,171,449,383,256,225,312,301,68,33,35,9
95II23,2190,424,69,355,630,254,165,189,267,190,52,29,23,19
95JJ01,2495,262,64,198,418,238,701,179,302,306,82,59,23,7
95JJ02,2367,296,42,254,616,244,256,175,290,270,165,90,75,55
95JJ03,2470,44,7,37,289,251,207,218,594,548,276,182,94,43
95JJ04,3111,353,79,274,643,376,475,267,387,408,183,99,84,19
95JJ05,1775,79,14,65,178,155,142,182,429,424,159,106,53,27
95JJ06,2432,43,8,35,330,274,185,262,524,567,226,156,70,21
95JJ07,2596,97,13,84,288,258,161,279,656,607,229,141,88,21
95JJ08,3097,375,45,330,663,315,581,210,329,283,125,78,47,216
95JJ09,1986,236,28,208,422,156,534,134,192,249,60,49,11,3
95JJ10,2795,209,46,163,390,159,703,220,391,516,188,130,58,19
95JJ11,3764,476,64,412,977,509,535,297,424,337,161,101,60,48
95JJ12,2709,209,61,148,403,226,694,234,330,437,167,122,45,9
95JJ13,3895,553,92,461,934,613,439,275,539,425,89,53,36,28
95JJ14,2325,220,26,194,390,249,599,185,251,314,99,71,28,18
95JJ15,1762,272,32,240,473,228,192,116,221,187,67,45,22,6
95JJ16,1755,168,29,139,324,181,209,191,274,221,118,90,28,69
95JJ17,2443,233,53,180,380,199,815,158,200,325,124,101,23,9
