GeographyCode,QS408NI0001,QS408NI0002,QS408NI0003,QS408NI0004,QS408NI0005
95II22,990,771,210,7,2
95II23,910,661,239,8,2
95JJ01,892,668,210,11,3
95JJ02,1074,845,219,6,4
95JJ03,1023,653,346,18,6
95JJ04,1279,970,301,8,0
95JJ05,892,687,185,11,9
95JJ06,1063,707,330,22,4
95JJ07,1092,712,361,12,7
95JJ08,1187,875,305,6,1
95JJ09,839,683,147,5,4
95JJ10,1027,707,304,11,5
95JJ11,1542,1187,340,11,4
95JJ12,1002,695,289,12,6
95JJ13,1457,1050,391,15,1
95JJ14,849,638,203,7,1
95JJ15,779,615,152,11,1
95JJ16,916,714,196,3,3
95JJ17,824,588,216,16,4
95JJ18,975,777,183,15,0
95JJ19,1128,840,273,11,4
95JJ20,1618,1202,399,16,1
95JJ21,962,707,237,12,6
95JJ22,1088,897,184,3,4
95KK01,836,505,307,21,3
95KK02,722,498,211,10,3
95KK03,704,406,279,16,3
95KK04,974,580,355,34,5
95KK05,803,478,300,16,9
95KK06,737,490,231,12,4
95KK07,682,467,204,10,1
95KK08,967,651,296,12,8
95KK09,947,707,227,8,5
95KK10,699,455,226,16,2
95KK11,982,701,264,9,8
95KK12,776,486,272,15,3
95KK13,642,493,136,10,3
95KK14,703,475,213,11,4
95KK15,921,591,313,13,4
95KK16,809,551,241,13,4
95LL01,1579,997,560,17,5
95LL02,1367,999,338,19,11
95LL03,1092,782,285,21,4
95LL04,1090,687,379,20,4
95LL05,1454,1076,361,14,3
95LL06,1408,1046,343,16,3
95LL07,1001,713,268,12,8
95LL08,1326,810,462,39,15
95LL09,1395,982,381,23,9
95LL10,1741,1073,633,28,7
95LL11,1424,1025,381,16,2
95LL12,1492,876,575,28,13
95LL13,1097,726,351,14,6
95LL14,970,608,329,29,4
95LL15,1330,1006,312,9,3
95LL16,2282,1605,644,31,2
95LL17,1106,814,283,4,5
95LL18,1331,1004,320,6,1
95LL19,1904,1398,479,24,3
95LL20,942,604,317,17,4
95LL21,1662,1173,462,20,7
95LL22,1424,883,511,26,4
95LL23,973,694,262,13,4
95LL24,1312,930,361,15,6
95LL25,1739,1317,413,5,4
95LL26,1490,1050,408,28,4
95MM01,1897,1270,588,29,10
95MM02,1144,869,261,13,1
95MM03,1155,748,376,28,3
95MM04,890,603,267,13,7
95MM05,1062,660,360,35,7
95MM06,949,523,391,29,6
95MM07,1201,891,295,10,5
95MM08,1238,885,339,8,6
95MM09,1220,798,391,27,4
95MM10,987,538,388,48,13
95MM11,855,487,328,31,9
95MM12,1976,1052,832,68,24
95MM13,2990,1733,1174,63,20
95MM14,1176,858,287,24,7
