GeographyCode,QS221NI0001,QS221NI0002,QS221NI0003,QS221NI0004,QS221NI0005,QS221NI0006,QS221NI0007,QS221NI0008,QS221NI0009,QS221NI0010,QS221NI0011,QS221NI0012,QS221NI0013,QS221NI0014,QS221NI0015,QS221NI0016,QS221NI0017
95RR07,859,150,80,67,0,3,581,300,276,0,5,128,16,18,88,6,0
95RR08,713,119,77,40,0,2,502,318,180,1,3,92,12,9,67,4,0
95RR09,1381,344,240,96,0,8,857,684,161,1,11,180,32,10,128,10,0
95RR10,582,188,100,87,0,1,324,160,157,1,6,70,9,7,48,6,0
95RR11,652,141,76,62,2,1,420,253,165,1,1,91,6,9,69,6,1
95RR12,606,153,52,99,0,2,371,127,244,0,0,82,8,10,61,3,0
95RR13,657,281,105,166,4,6,286,96,185,1,4,90,10,7,71,2,0
95RR14,654,119,51,66,1,1,467,225,238,1,3,68,6,6,51,5,0
95RR15,802,151,126,23,2,0,613,532,81,0,0,38,2,2,32,2,0
95SS01,1681,293,59,227,0,7,1093,173,892,3,25,295,35,99,127,34,0
95SS02,1530,276,31,233,4,8,1026,197,806,5,18,228,25,86,89,26,2
95SS03,1189,182,5,173,2,2,857,46,795,5,11,150,9,65,59,15,2
95SS04,2935,751,115,595,8,33,1693,297,1308,2,86,491,58,210,184,34,5
95SS05,1441,394,45,324,9,16,826,111,680,4,31,221,21,86,94,16,4
95SS06,1935,299,265,25,4,5,1530,1479,46,2,3,106,27,13,59,7,0
95SS07,3406,812,359,407,11,35,2239,1739,461,6,33,355,75,75,160,41,4
95SS08,1670,282,38,238,1,5,1140,95,1013,4,28,248,25,99,102,22,0
95SS09,1334,336,44,269,5,18,781,121,636,3,21,217,7,87,87,34,2
95SS10,1607,424,243,156,5,20,1012,871,124,5,12,171,38,26,92,15,0
95SS11,1863,315,172,134,2,7,1310,798,490,7,15,238,41,41,127,25,4
95SS12,1251,352,65,270,2,15,702,188,494,2,18,197,22,64,102,9,0
95SS13,1336,520,123,364,5,28,621,139,438,6,38,195,26,56,88,23,2
