GeographyCode,LC6502NI0001,LC6502NI0002,LC6502NI0003,LC6502NI0004,LC6502NI0005,LC6502NI0006,LC6502NI0007,LC6502NI0008,LC6502NI0009,LC6502NI0010,LC6502NI0011,LC6502NI0012,LC6502NI0013,LC6502NI0014,LC6502NI0015,LC6502NI0016,LC6502NI0017,LC6502NI0018,LC6502NI0019,LC6502NI0020,LC6502NI0021,LC6502NI0022,LC6502NI0023,LC6502NI0024,LC6502NI0025,LC6502NI0026,LC6502NI0027,LC6502NI0028,LC6502NI0029,LC6502NI0030,LC6502NI0031,LC6502NI0032,LC6502NI0033,LC6502NI0034,LC6502NI0035
N00000161,267,19,20,51,34,128,15,125,3,5,16,3,94,4,71,6,10,19,10,21,5,33,7,4,4,2,10,6,38,3,1,12,19,3,0
N00000162,199,43,27,41,32,37,19,45,5,2,10,7,20,1,57,10,4,13,13,10,7,80,25,20,13,7,4,11,17,3,1,5,5,3,0
N00000163,240,84,41,36,25,28,26,37,2,11,1,4,16,3,59,16,8,13,9,5,8,106,52,14,15,7,3,15,38,14,8,7,5,4,0
N00000164,194,27,13,25,28,84,17,82,6,0,7,9,53,7,60,14,8,8,7,17,6,39,5,4,8,5,13,4,13,2,1,2,7,1,0
N00000165,234,34,19,33,29,101,18,97,3,5,8,7,71,3,68,10,6,11,11,20,10,44,13,5,7,8,7,4,25,8,3,7,3,3,1
N00000166,217,46,21,36,28,62,24,68,5,6,7,4,41,5,62,11,7,14,8,14,8,68,26,7,10,11,5,9,19,4,1,5,5,2,2
N00000167,276,49,30,53,31,94,19,91,5,2,10,5,67,2,86,16,14,17,14,18,7,69,26,9,11,6,7,10,30,2,5,15,6,2,0
N00000168,256,57,25,39,27,86,22,98,8,6,8,6,66,4,64,19,7,15,9,11,3,80,27,12,10,8,8,15,14,3,0,6,4,1,0
N00000169,546,113,70,91,78,139,55,164,14,6,16,18,105,5,194,38,34,46,27,19,30,134,46,26,12,20,12,18,54,15,4,17,13,3,2
N00000170,262,63,34,38,40,54,33,61,6,1,4,12,37,1,70,17,6,9,12,10,16,105,35,19,19,12,7,13,26,5,8,6,4,0,3
N00000171,313,53,34,65,46,91,24,106,8,7,12,10,65,4,105,17,14,27,16,19,12,69,24,11,12,12,4,6,33,4,2,14,8,3,2
N00000172,595,107,74,93,72,175,74,177,8,10,20,14,111,14,208,33,38,36,32,41,28,152,48,19,21,14,19,31,58,18,7,16,12,4,1
N00000173,286,48,31,52,40,85,30,92,5,7,7,13,55,5,114,18,11,31,18,21,15,60,17,10,11,6,7,9,20,8,3,3,3,2,1
N00000174,278,112,36,43,44,33,10,50,7,3,9,8,23,0,52,7,9,10,17,5,4,137,75,18,19,16,4,5,39,23,6,5,3,1,1
N00000175,279,67,45,46,33,63,25,87,7,6,9,14,46,5,68,14,13,16,10,9,6,104,40,23,15,5,7,14,20,6,3,6,4,1,0
N00000176,368,116,54,66,53,37,42,52,5,7,11,7,19,3,82,19,8,16,20,6,13,192,79,33,29,19,7,25,42,13,6,10,7,5,1
N00000177,247,75,36,40,29,44,23,42,3,3,4,6,24,2,51,13,8,8,10,9,3,125,51,23,18,9,7,17,29,8,2,10,4,4,1
N00000178,475,169,80,79,53,64,30,80,4,8,11,7,44,6,86,19,16,19,17,9,6,228,113,41,31,17,8,18,81,33,15,18,12,3,0
N00000179,632,193,79,112,77,107,64,133,13,11,25,13,64,7,145,28,16,23,31,31,16,278,113,39,50,29,11,36,76,39,13,14,4,1,5
N00000180,203,82,28,33,22,22,16,21,1,2,3,4,10,1,28,2,7,6,7,4,2,118,58,16,18,10,5,11,36,21,3,6,1,3,2
N00000181,238,65,34,35,29,44,31,55,1,8,7,7,31,1,42,10,3,8,8,7,6,120,46,21,18,10,4,21,21,8,2,2,4,2,3
N00000182,153,43,27,22,27,23,11,28,2,4,5,5,11,1,47,4,11,6,15,9,2,67,35,8,6,7,3,8,11,2,4,5,0,0,0
N00000183,231,36,36,39,31,65,24,79,5,5,13,5,48,3,67,7,12,13,16,11,8,56,14,13,7,5,6,11,29,10,6,6,5,0,2
N00000184,241,48,19,31,34,80,29,78,3,2,7,11,49,6,55,9,5,8,8,20,5,84,26,10,11,11,8,18,24,10,2,5,4,3,0
N00000185,151,43,13,23,18,43,11,45,4,2,4,4,31,0,31,6,4,7,7,4,3,59,29,7,7,5,4,7,16,4,0,5,2,4,1
N00000186,196,41,37,36,31,35,16,46,1,2,8,8,26,1,42,3,8,10,10,6,5,86,27,23,14,10,2,10,22,10,4,4,3,1,0
N00000187,178,65,28,22,28,19,16,18,3,1,2,2,8,2,42,8,6,5,11,6,6,94,43,16,10,13,4,8,24,11,5,5,2,1,0
N00000188,249,73,48,38,31,30,29,38,3,5,7,5,17,1,57,7,16,9,9,8,8,119,52,22,15,11,4,15,35,11,5,7,6,1,5
N00000189,248,37,30,49,33,74,25,79,3,9,14,5,44,4,92,12,12,17,14,22,15,46,17,5,8,7,3,6,31,5,4,10,7,5,0
N00000190,245,54,35,50,34,46,26,73,9,6,13,10,31,4,67,9,12,14,11,8,13,86,25,15,20,11,7,8,19,11,2,3,2,0,1
N00000191,244,62,31,33,42,38,38,65,10,6,5,6,30,8,63,15,7,11,19,4,7,88,31,17,8,9,2,21,28,6,1,9,8,2,2
N00000192,244,67,52,43,34,26,22,36,5,9,4,6,11,1,65,10,13,14,14,7,7,113,44,23,17,9,7,13,30,8,7,8,5,1,1
N00000193,196,59,33,43,28,18,15,28,2,5,8,5,8,0,39,12,4,7,9,3,4,93,38,10,19,11,6,9,36,7,14,9,3,1,2
N00000194,183,71,35,22,16,20,19,36,7,4,1,6,14,4,47,10,11,11,6,4,5,86,48,16,7,3,2,10,14,6,4,3,1,0,0
N00000195,160,66,22,18,13,20,21,19,1,2,3,1,11,1,39,8,7,8,7,4,5,86,46,13,5,4,4,14,16,11,0,2,1,1,1
N00000196,169,74,28,26,13,12,16,20,2,1,4,2,8,3,24,4,3,7,4,2,4,99,58,18,9,4,2,8,26,10,6,6,3,0,1
N00000197,247,40,39,48,37,50,33,67,0,8,11,10,32,6,59,5,13,10,15,10,6,104,34,17,19,9,6,19,17,1,1,8,3,2,2
N00000198,228,43,32,41,39,53,20,67,2,8,6,11,37,3,65,9,10,16,14,8,8,73,27,14,13,6,5,8,23,5,0,6,8,3,1
N00000199,265,43,45,46,35,66,30,81,2,8,10,10,47,4,70,7,13,21,10,13,6,89,27,18,11,11,3,19,25,7,6,4,4,3,1
N00000200,246,45,42,39,36,59,25,72,3,8,10,12,35,4,71,10,16,8,12,18,7,85,24,16,14,12,5,14,18,8,2,7,0,1,0
N00000201,228,45,20,37,28,83,15,90,6,5,9,8,61,1,66,13,5,17,13,11,7,54,22,9,7,3,6,7,18,4,1,4,4,5,0
N00000202,250,32,24,39,50,82,23,99,2,4,6,17,67,3,76,13,12,20,14,9,8,57,14,6,8,12,6,11,18,3,2,5,7,0,1
N00000203,243,52,23,34,31,65,38,76,3,4,8,8,48,5,74,20,8,10,13,8,15,70,24,11,7,7,3,18,23,5,0,9,3,6,0
N00000204,280,61,37,52,36,58,36,74,4,7,10,9,38,6,69,18,7,21,7,7,9,112,30,23,15,13,11,20,25,9,0,6,7,2,1
N00000205,225,46,32,31,28,66,22,78,3,13,8,8,43,3,59,13,8,9,9,14,6,62,22,10,5,7,5,13,26,8,1,9,4,4,0
N00000206,315,69,32,49,42,97,26,104,7,6,8,14,63,6,80,12,10,23,11,18,6,111,44,14,13,13,13,14,20,6,2,5,4,3,0
N00000207,215,28,29,37,39,62,20,67,2,4,6,12,42,1,46,3,7,13,13,8,2,80,22,13,11,8,9,17,22,1,5,7,6,3,0
N00000208,252,37,25,59,42,73,16,91,8,4,17,13,47,2,69,6,14,22,6,15,6,57,16,5,11,11,7,7,35,7,2,9,12,4,1
