GeographyCode,LC6102NI0001,LC6102NI0002,LC6102NI0003,LC6102NI0004,LC6102NI0005,LC6102NI0006,LC6102NI0007,LC6102NI0008,LC6102NI0009,LC6102NI0010,LC6102NI0011,LC6102NI0012,LC6102NI0013,LC6102NI0014,LC6102NI0015,LC6102NI0016,LC6102NI0017,LC6102NI0018,LC6102NI0019,LC6102NI0020,LC6102NI0021,LC6102NI0022,LC6102NI0023,LC6102NI0024,LC6102NI0025,LC6102NI0026,LC6102NI0027
N00000108,108,1,12,8,25,15,13,31,3,53,1,5,3,18,5,8,12,1,55,0,7,5,7,10,5,19,2
N00000109,264,6,43,9,79,19,25,71,12,207,1,35,7,65,14,21,56,8,57,5,8,2,14,5,4,15,4
N00000110,133,2,18,9,48,17,12,25,2,83,2,8,4,38,9,7,14,1,50,0,10,5,10,8,5,11,1
N00000111,182,2,11,15,42,21,15,64,12,91,1,11,10,23,5,6,29,6,91,1,0,5,19,16,9,35,6
N00000112,201,5,15,11,48,32,19,68,3,135,4,9,9,37,17,13,43,3,66,1,6,2,11,15,6,25,0
N00000113,160,0,16,12,40,19,21,45,7,97,0,9,6,29,12,15,23,3,63,0,7,6,11,7,6,22,4
N00000114,169,6,14,12,31,15,20,60,11,84,2,7,7,19,7,11,25,6,85,4,7,5,12,8,9,35,5
N00000115,119,3,17,7,33,7,9,42,1,73,1,11,1,24,6,7,22,1,46,2,6,6,9,1,2,20,0
N00000116,132,2,19,7,29,10,16,40,9,94,1,14,6,23,6,13,23,8,38,1,5,1,6,4,3,17,1
N00000117,46,2,6,2,10,5,6,13,2,34,2,4,2,8,3,4,9,2,12,0,2,0,2,2,2,4,0
N00000118,166,6,7,9,41,27,18,50,8,88,4,2,3,29,21,8,17,4,78,2,5,6,12,6,10,33,4
N00000119,120,8,12,2,23,5,23,47,0,45,1,5,1,10,4,7,17,0,75,7,7,1,13,1,16,30,0
N00000120,145,7,17,6,43,14,14,36,8,59,2,8,1,22,6,6,10,4,86,5,9,5,21,8,8,26,4
N00000121,126,2,10,6,39,17,20,27,5,84,0,7,3,28,12,11,22,1,42,2,3,3,11,5,9,5,4
N00000122,247,6,12,13,53,23,55,74,11,125,2,2,7,32,15,27,33,7,122,4,10,6,21,8,28,41,4
N00000123,157,6,8,10,34,10,30,55,4,66,0,3,5,19,5,12,20,2,91,6,5,5,15,5,18,35,2
N00000124,162,10,13,13,26,27,32,38,3,89,7,7,2,21,12,19,20,1,73,3,6,11,5,15,13,18,2
N00000125,215,13,22,38,39,11,20,65,7,132,8,14,23,27,5,16,36,3,83,5,8,15,12,6,4,29,4
N00000126,207,11,23,47,32,7,10,67,10,137,3,15,29,24,6,7,45,8,70,8,8,18,8,1,3,22,2
N00000127,177,9,20,27,38,11,14,53,5,122,5,12,20,28,7,11,37,2,55,4,8,7,10,4,3,16,3
N00000128,485,26,45,101,105,22,40,128,18,295,5,17,69,71,12,29,77,15,190,21,28,32,34,10,11,51,3
N00000129,102,1,11,17,29,5,5,29,5,74,1,6,10,22,4,4,22,5,28,0,5,7,7,1,1,7,0
N00000130,279,4,32,20,61,13,41,96,12,181,2,18,14,40,5,34,60,8,98,2,14,6,21,8,7,36,4
N00000131,212,5,11,10,48,20,35,69,14,97,3,5,6,24,7,18,27,7,115,2,6,4,24,13,17,42,7
N00000132,187,21,13,27,34,16,17,51,8,84,3,5,14,14,9,5,30,4,103,18,8,13,20,7,12,21,4
N00000133,145,4,17,18,33,4,16,48,5,90,0,12,12,21,3,10,28,4,55,4,5,6,12,1,6,20,1
N00000134,241,7,18,19,50,23,32,80,12,136,6,11,12,34,12,14,39,8,105,1,7,7,16,11,18,41,4
N00000135,127,9,12,11,19,10,17,42,7,75,5,9,4,12,6,10,26,3,52,4,3,7,7,4,7,16,4
N00000136,277,7,19,17,65,23,46,82,18,167,5,10,9,37,15,29,50,12,110,2,9,8,28,8,17,32,6
N00000137,159,4,18,12,33,11,22,52,7,91,2,11,8,21,4,13,27,5,68,2,7,4,12,7,9,25,2
N00000138,251,3,23,21,48,15,38,97,6,138,3,10,13,27,10,21,50,4,113,0,13,8,21,5,17,47,2
N00000139,130,0,10,7,34,6,26,46,1,70,0,5,5,19,2,17,21,1,60,0,5,2,15,4,9,25,0
N00000140,142,6,6,8,29,8,33,50,2,69,2,2,4,16,4,12,27,2,73,4,4,4,13,4,21,23,0
N00000141,153,3,17,7,50,10,22,34,10,99,1,6,3,38,8,16,20,7,54,2,11,4,12,2,6,14,3
N00000142,74,0,11,8,15,5,13,18,4,39,0,3,5,6,4,7,12,2,35,0,8,3,9,1,6,6,2
