GeographyCode,LC4103NI0001,LC4103NI0002,LC4103NI0003,LC4103NI0004,LC4103NI0005,LC4103NI0006,LC4103NI0007,LC4103NI0008,LC4103NI0009,LC4103NI0010,LC4103NI0011,LC4103NI0012,LC4103NI0013,LC4103NI0014,LC4103NI0015,LC4103NI0016,LC4103NI0017,LC4103NI0018,LC4103NI0019,LC4103NI0020
N00003469,373,61,152,128,32,312,39,144,106,23,40,8,7,17,8,21,14,1,5,1
N00003470,336,21,71,170,74,318,19,65,164,70,4,0,0,2,2,14,2,6,4,2
N00003471,274,47,66,102,59,181,16,44,77,44,71,27,12,20,12,22,4,10,5,3
N00003472,310,49,77,140,44,267,35,67,129,36,19,4,2,6,7,24,10,8,5,1
N00003473,365,45,104,187,29,277,15,88,153,21,73,21,16,28,8,15,9,0,6,0
N00003474,449,22,152,186,89,365,5,115,175,70,22,7,9,0,6,62,10,28,11,13
N00003475,1113,140,401,479,93,957,80,343,446,88,10,3,6,0,1,146,57,52,33,4
N00003476,734,67,224,369,74,641,38,190,340,73,13,0,8,5,0,80,29,26,24,1
N00003477,461,88,88,185,100,286,33,49,149,55,49,0,11,2,36,126,55,28,34,9
N00003478,817,72,215,374,156,744,36,198,364,146,6,0,3,0,3,67,36,14,10,7
N00003479,814,119,312,312,71,687,81,251,288,67,15,3,8,0,4,112,35,53,24,0
N00003480,258,44,66,88,60,131,21,33,42,35,61,6,4,38,13,66,17,29,8,12
N00003481,175,29,49,74,23,152,17,40,72,23,0,0,0,0,0,23,12,9,2,0
N00003482,253,34,61,93,65,165,8,51,68,38,38,2,5,13,18,50,24,5,12,9
N00003483,341,86,61,111,83,134,16,36,57,25,170,54,21,42,53,37,16,4,12,5
N00003484,313,78,78,117,40,148,26,32,68,22,123,27,43,39,14,42,25,3,10,4
N00003485,265,58,69,63,75,184,30,47,50,57,58,15,18,9,16,23,13,4,4,2
N00003486,355,110,115,79,51,146,36,48,37,25,170,54,56,36,24,39,20,11,6,2
N00003487,327,77,83,112,55,113,10,35,50,18,182,66,38,48,30,32,1,10,14,7
N00003488,284,116,70,77,21,69,7,41,19,2,190,95,26,52,17,25,14,3,6,2
N00003489,704,266,186,159,93,167,49,40,52,26,470,183,136,95,56,67,34,10,12,11
N00003490,265,80,43,108,34,94,3,20,59,12,165,77,23,43,22,6,0,0,6,0
N00003491,636,253,106,219,58,247,69,41,112,25,342,158,54,97,33,47,26,11,10,0
N00003492,370,87,59,194,30,233,47,34,126,26,127,36,21,66,4,10,4,4,2,0
N00003493,715,212,188,265,50,340,96,77,139,28,336,94,109,117,16,39,22,2,9,6
N00003494,763,143,154,360,106,667,100,126,342,99,55,28,15,12,0,41,15,13,6,7
N00003495,395,25,49,245,76,380,21,44,244,71,12,4,4,0,4,3,0,1,1,1
N00003496,637,208,151,260,18,419,71,101,231,16,162,100,40,21,1,56,37,10,8,1
N00003497,393,63,93,122,115,189,26,53,67,43,164,17,36,49,62,40,20,4,6,10
N00003498,234,42,58,86,48,152,20,43,59,30,53,9,9,21,14,29,13,6,6,4
N00003499,231,39,56,82,54,166,22,38,69,37,44,9,10,13,12,21,8,8,0,5
N00003500,295,39,79,113,64,247,32,52,104,59,7,0,5,2,0,41,7,22,7,5
N00003501,276,64,63,101,48,188,34,38,76,40,33,6,14,8,5,55,24,11,17,3
N00003502,202,48,19,75,60,55,12,5,26,12,114,20,14,38,42,33,16,0,11,6
N00003503,318,76,85,101,56,188,41,47,74,26,78,5,27,20,26,52,30,11,7,4
N00003504,324,35,80,132,77,298,20,73,130,75,4,0,4,0,0,22,15,3,2,2
N00003505,198,43,51,54,50,103,13,33,32,25,73,17,14,21,21,22,13,4,1,4
N00003506,396,128,99,115,54,178,22,41,82,33,142,61,34,30,17,76,45,24,3,4
N00003507,248,54,39,83,72,83,13,20,31,19,128,24,12,45,47,37,17,7,7,6
N00003508,293,70,77,96,50,152,19,51,53,29,93,26,11,41,15,48,25,15,2,6
N00003509,303,34,80,103,86,256,25,58,99,74,6,2,0,0,4,41,7,22,4,8
N00003510,312,54,70,125,63,214,25,43,97,49,50,3,17,22,8,48,26,10,6,6
N00003511,222,35,62,66,59,131,11,39,53,28,24,2,12,5,5,67,22,11,8,26
N00003512,304,46,93,103,62,201,15,74,70,42,60,10,15,20,15,43,21,4,13,5
N00003513,479,111,138,152,78,285,39,81,105,60,131,43,37,41,10,63,29,20,6,8
N00003514,666,155,165,257,89,346,73,87,139,47,281,66,76,102,37,39,16,2,16,5
N00003515,261,62,67,82,50,182,36,50,53,43,73,23,15,29,6,6,3,2,0,1
N00003516,334,123,68,128,15,156,40,34,78,4,151,72,25,47,7,27,11,9,3,4
N00003517,615,134,138,218,125,337,59,85,127,66,225,55,49,71,50,53,20,4,20,9
N00003518,280,69,67,104,40,162,23,42,66,31,104,39,23,36,6,14,7,2,2,3
N00003519,206,73,44,40,49,99,29,18,25,27,94,42,19,15,18,13,2,7,0,4
N00003520,285,74,65,108,38,194,47,40,85,22,62,15,11,22,14,29,12,14,1,2
N00003521,284,22,55,121,86,229,2,35,107,85,3,0,3,0,0,52,20,17,14,1
N00003522,356,58,58,146,94,296,37,57,132,70,27,9,1,7,10,33,12,0,7,14
N00003523,391,13,73,203,102,358,4,65,190,99,3,0,3,0,0,30,9,5,13,3
N00003524,1204,119,291,533,261,883,28,138,465,252,13,10,1,0,2,308,81,152,68,7
N00003525,350,20,90,172,68,326,17,82,161,66,4,0,0,2,2,20,3,8,9,0
N00003526,285,28,75,107,75,203,9,25,98,71,0,0,0,0,0,82,19,50,9,4
N00003527,527,48,164,234,81,473,29,143,223,78,0,0,0,0,0,54,19,21,11,3
N00003528,898,102,225,434,137,825,77,201,421,126,0,0,0,0,0,73,25,24,13,11
