GeographyCode,LC5101NI0001,LC5101NI0002,LC5101NI0003,LC5101NI0004,LC5101NI0005,LC5101NI0006,LC5101NI0007,LC5101NI0008,LC5101NI0009,LC5101NI0010,LC5101NI0011,LC5101NI0012,LC5101NI0013,LC5101NI0014,LC5101NI0015,LC5101NI0016,LC5101NI0017,LC5101NI0018,LC5101NI0019,LC5101NI0020,LC5101NI0021,LC5101NI0022,LC5101NI0023,LC5101NI0024,LC5101NI0025,LC5101NI0026,LC5101NI0027,LC5101NI0028,LC5101NI0029,LC5101NI0030,LC5101NI0031,LC5101NI0032,LC5101NI0033,LC5101NI0034,LC5101NI0035,LC5101NI0036,LC5101NI0037,LC5101NI0038,LC5101NI0039,LC5101NI0040,LC5101NI0041,LC5101NI0042,LC5101NI0043,LC5101NI0044,LC5101NI0045,LC5101NI0046,LC5101NI0047,LC5101NI0048,LC5101NI0049
N00000027,401,99,61,59,55,101,26,64,13,9,16,15,11,0,77,9,11,12,16,22,7,75,11,11,9,7,35,2,81,16,17,8,10,21,9,50,19,5,10,7,6,3,54,31,8,4,0,6,5
N00000028,188,54,27,36,24,31,16,38,7,9,10,7,4,1,13,3,2,2,2,1,3,37,6,7,9,5,10,0,51,12,4,11,7,12,5,28,12,3,3,2,3,5,21,14,2,1,1,1,2
N00000029,323,78,35,46,45,93,26,57,9,5,14,19,7,3,34,1,0,5,6,20,2,62,5,11,9,13,19,5,60,7,8,7,2,27,9,51,16,8,6,5,11,5,59,40,3,5,0,9,2
N00000030,305,81,29,52,44,78,21,49,6,7,17,13,6,0,36,2,2,6,10,16,0,37,4,6,8,6,12,1,70,12,7,12,11,23,5,41,14,0,5,2,15,5,72,43,7,4,2,6,10
N00000031,516,112,52,70,67,160,55,91,3,15,30,26,9,8,78,6,7,5,13,42,5,91,4,13,11,13,41,9,98,13,9,10,9,40,17,86,32,6,10,5,22,11,72,54,2,4,1,6,5
N00000032,293,66,38,46,35,77,31,42,4,2,12,13,7,4,39,1,4,8,7,14,5,58,6,12,10,7,19,4,64,11,11,10,5,19,8,28,11,3,3,0,6,5,62,33,6,3,3,12,5
N00000033,383,96,40,59,50,97,41,56,6,4,20,13,9,4,62,1,6,11,15,26,3,69,6,14,11,6,26,6,61,12,8,8,6,17,10,66,24,7,5,6,11,13,69,47,1,4,4,8,5
N00000034,373,81,45,51,46,103,47,50,3,5,19,16,5,2,45,2,2,13,6,17,5,78,4,13,12,18,25,6,50,6,9,2,4,18,11,53,11,9,2,1,24,6,97,55,7,3,1,14,17
N00000035,239,75,32,35,29,38,30,39,4,8,13,8,3,3,54,7,6,8,8,15,10,39,10,5,5,8,5,6,37,12,8,2,3,7,5,34,12,4,6,1,8,3,36,30,1,1,1,0,3
N00000036,279,83,36,37,33,71,19,48,2,8,15,17,5,1,42,2,8,8,5,18,1,49,10,6,6,6,18,3,65,21,11,6,1,20,6,36,18,2,1,4,8,3,39,30,1,1,0,2,5
N00000037,236,89,33,26,29,42,17,26,3,5,4,8,2,4,37,5,3,9,8,12,0,35,6,6,4,7,12,0,43,16,10,7,3,4,3,38,15,6,2,2,7,6,57,44,3,0,1,5,4
N00000038,307,77,38,53,45,62,32,58,8,6,19,16,4,5,27,1,2,4,5,13,2,46,4,10,7,8,15,2,69,13,15,10,8,13,10,45,11,2,7,6,11,8,62,40,3,6,2,6,5
N00000039,894,198,125,165,129,186,91,160,24,22,50,42,18,4,181,8,27,48,36,50,12,208,24,34,36,31,58,25,145,24,27,20,15,38,21,81,35,10,9,4,13,10,119,83,5,2,1,9,19
N00000040,209,80,45,35,21,16,12,33,8,9,9,5,0,2,41,3,10,11,7,7,3,43,10,13,7,6,7,0,32,14,10,4,3,0,1,26,17,3,2,0,1,3,34,28,0,2,0,1,3
N00000041,321,41,54,76,47,85,18,58,2,8,23,15,8,2,58,6,10,15,7,19,1,81,4,19,16,9,32,1,70,13,13,16,9,15,4,29,2,4,5,2,11,5,25,14,0,1,5,0,5
N00000042,315,65,33,63,46,70,38,75,8,7,26,18,10,6,38,1,3,9,5,18,2,54,7,11,10,6,15,5,79,18,8,14,12,18,9,40,14,4,4,4,5,9,29,17,0,0,1,4,7
N00000043,841,173,105,179,130,196,58,149,18,21,52,41,14,3,142,9,23,33,29,42,6,231,22,27,44,32,85,21,156,24,22,33,25,39,13,76,35,10,11,2,14,4,87,65,2,6,1,2,11
N00000044,223,85,37,35,24,28,14,46,12,10,13,6,2,3,34,3,4,7,11,9,0,42,12,10,7,4,6,3,29,8,4,5,3,5,4,34,21,5,2,0,5,1,38,29,4,1,0,1,3
N00000045,383,80,42,57,44,122,38,43,3,8,14,11,5,2,56,2,5,15,11,18,5,102,8,13,13,10,49,9,75,19,6,7,5,28,10,49,13,9,3,5,12,7,58,35,1,5,2,10,5
N00000046,313,94,38,43,40,73,25,46,3,10,12,15,5,1,33,2,3,5,9,14,0,55,13,11,10,5,14,2,58,13,7,5,6,17,10,58,20,6,7,2,17,6,63,43,1,4,3,6,6
N00000047,314,86,21,53,32,91,31,28,4,2,9,7,6,0,28,2,3,5,6,12,0,45,5,1,13,9,14,3,71,23,5,9,5,21,8,60,14,3,10,3,21,9,82,38,7,7,2,17,11
N00000048,240,85,34,52,21,24,24,42,8,6,19,4,2,3,45,2,8,12,9,9,5,48,14,10,9,4,6,5,28,13,6,3,1,1,4,34,20,2,3,2,3,4,43,28,2,6,1,3,3
N00000049,210,62,39,28,30,27,24,29,4,10,5,6,2,2,49,6,15,3,14,7,4,35,5,6,9,5,7,3,31,12,3,5,2,4,5,36,14,4,5,3,5,5,30,21,1,1,0,2,5
N00000050,254,67,31,37,21,76,22,29,0,7,12,6,2,2,25,1,2,3,6,13,0,46,7,9,10,4,15,1,50,14,9,4,2,17,4,44,11,4,5,3,16,5,60,34,0,3,0,13,10
N00000051,231,100,30,34,21,21,25,36,11,10,7,4,4,0,44,7,7,12,11,4,3,40,11,3,11,2,7,6,36,18,5,2,1,5,5,39,28,4,0,3,1,3,36,25,1,2,0,0,8
N00000052,245,71,38,39,30,39,28,35,8,10,8,6,3,0,52,6,10,11,11,11,3,32,4,9,4,4,5,6,34,10,1,6,4,7,6,47,17,7,5,3,8,7,45,26,1,5,2,5,6
N00000053,208,61,42,38,12,28,27,40,6,13,13,3,4,1,42,7,9,7,1,9,9,38,7,10,10,3,3,5,31,10,7,3,2,5,4,27,10,3,5,1,5,3,30,21,0,0,2,2,5
N00000054,195,67,22,36,27,28,15,30,8,4,10,6,0,2,43,9,5,8,10,8,3,41,5,7,10,6,11,2,33,18,1,6,2,4,2,29,13,4,1,2,4,5,19,14,1,1,1,1,1
N00000055,229,90,36,44,20,23,16,35,4,10,11,6,0,4,27,1,4,6,4,11,1,33,4,13,6,4,5,1,40,17,5,10,4,1,3,31,15,2,7,2,3,2,63,49,2,4,0,3,5
N00000056,239,108,23,34,20,25,29,28,4,6,8,4,2,4,40,10,4,10,7,6,3,41,14,5,5,4,7,6,36,17,4,6,2,3,4,36,22,2,2,2,1,7,58,41,2,3,1,6,5
N00000057,197,79,33,43,13,10,19,32,10,3,13,4,1,1,45,8,13,12,3,4,5,46,13,12,11,2,4,4,29,14,5,4,2,1,3,27,17,0,3,2,0,5,18,17,0,0,0,0,1
N00000058,198,61,33,31,19,32,22,36,8,7,6,6,6,3,41,6,11,7,6,4,7,39,4,9,10,3,10,3,34,14,4,4,1,8,3,29,16,1,3,3,1,5,19,13,1,1,0,3,1
N00000059,178,74,29,28,17,18,12,27,4,9,7,5,2,0,43,10,6,11,8,6,2,32,10,6,4,2,7,3,25,12,4,4,1,1,3,29,21,1,2,1,1,3,22,17,3,0,0,1,1
N00000060,306,125,60,46,30,25,20,46,9,13,7,8,6,3,63,8,16,17,12,6,4,60,22,13,10,7,6,2,44,18,12,7,2,2,3,42,25,5,4,1,2,5,51,43,1,1,0,3,3
N00000061,238,57,27,26,20,80,28,18,3,1,8,3,3,0,31,2,6,4,5,7,7,24,4,5,2,4,7,2,38,7,6,3,4,13,5,42,8,7,3,1,17,6,85,33,2,6,3,33,8
N00000062,299,51,24,38,44,122,20,49,9,3,14,14,7,2,28,1,3,1,5,17,1,43,2,1,6,4,26,4,41,1,8,7,5,20,0,64,12,6,7,13,22,4,74,26,3,3,3,30,9
N00000063,356,155,42,47,28,52,32,45,6,7,15,9,4,4,55,11,8,11,4,16,5,58,13,13,11,6,10,5,53,17,11,8,5,9,3,41,24,2,0,3,8,4,104,84,1,2,1,5,11
N00000064,218,101,35,24,25,14,19,35,9,5,9,10,1,1,43,14,9,6,6,5,3,37,11,7,4,5,6,4,39,20,9,4,4,2,0,34,23,5,1,0,0,5,30,24,0,0,0,0,6
N00000065,327,82,54,41,44,74,32,48,8,10,9,16,5,0,34,4,7,8,4,8,3,42,3,11,8,5,12,3,53,7,10,8,8,16,4,77,22,8,6,8,22,11,73,38,8,2,3,11,11
N00000066,232,61,21,38,20,67,25,22,3,2,9,2,5,1,29,4,1,4,3,17,0,32,3,5,8,3,11,2,30,6,3,5,4,10,2,52,14,5,7,6,13,7,67,31,5,5,2,11,13
N00000067,243,95,32,51,14,23,28,40,10,7,15,3,1,4,46,7,9,10,5,7,8,47,16,6,8,4,8,5,37,16,5,9,2,3,2,37,20,4,6,0,1,6,36,26,1,3,0,3,3
N00000068,293,65,28,45,37,81,37,48,5,4,15,13,8,3,28,3,3,6,5,7,4,54,6,2,8,7,24,7,50,8,6,8,4,18,6,56,11,6,6,5,16,12,57,32,7,2,3,8,5
N00000069,238,110,38,40,26,14,10,60,16,17,15,6,3,3,40,5,7,14,9,5,0,41,21,7,4,7,1,1,36,18,6,3,3,4,2,27,20,1,4,1,0,1,34,30,0,0,0,1,3
N00000070,216,63,23,31,17,67,15,20,3,3,5,4,3,2,16,1,1,4,2,8,0,21,1,4,5,2,7,2,33,3,4,7,1,13,5,44,16,5,3,4,14,2,82,39,6,7,4,22,4
N00000071,254,93,26,34,35,39,27,16,0,2,7,3,4,0,39,2,9,6,11,7,4,32,2,5,7,5,8,5,36,9,5,8,8,2,4,41,17,3,2,7,7,5,90,63,2,4,1,11,9
N00000072,1290,229,156,226,201,354,124,165,25,28,46,38,13,15,306,29,21,58,63,99,36,389,34,62,62,61,139,31,214,43,33,35,23,59,21,103,35,7,17,12,22,10,113,63,5,8,4,22,11
N00000073,467,198,54,46,32,89,48,40,10,4,8,5,5,8,100,11,19,12,15,29,14,58,7,10,11,5,20,5,48,13,10,9,1,10,5,57,33,7,3,2,11,1,164,124,4,3,4,14,15
N00000074,764,97,93,131,112,266,65,71,10,10,23,17,7,4,255,9,26,43,36,126,15,228,13,28,41,36,92,18,109,17,20,15,13,27,17,55,20,7,5,6,10,7,46,28,2,4,4,4,4
N00000075,351,85,51,71,40,64,40,104,8,30,35,15,7,9,58,3,7,14,13,15,6,55,16,6,10,5,13,5,46,14,6,5,4,11,6,36,15,1,4,2,9,5,52,29,1,3,1,9,9
N00000076,258,54,38,49,40,51,26,44,6,7,12,14,4,1,23,1,2,4,2,7,7,74,3,16,13,13,24,5,53,7,13,12,8,8,5,18,7,0,4,1,4,2,46,30,0,4,2,4,6
N00000077,222,38,24,53,30,54,23,37,1,3,18,9,5,1,25,0,4,7,6,6,2,37,3,6,12,4,10,2,52,7,6,8,6,17,8,33,10,2,2,5,8,6,38,17,3,6,0,8,4
N00000078,330,42,41,63,48,106,30,41,7,2,18,10,4,0,58,1,4,10,13,24,6,134,13,21,24,15,51,10,53,6,13,6,7,13,8,16,7,1,1,1,3,3,28,8,0,4,2,11,3
N00000079,423,74,43,75,67,141,23,66,11,9,17,20,8,1,37,0,2,9,10,15,1,100,10,13,15,21,37,4,101,11,9,19,13,45,4,57,6,5,11,2,24,9,62,36,5,4,1,12,4
N00000080,324,56,37,49,50,117,15,48,8,7,8,18,7,0,26,1,1,4,5,15,0,76,3,8,10,14,39,2,82,11,13,19,9,27,3,50,14,4,6,2,19,5,42,19,4,2,2,10,5
N00000081,279,77,31,43,33,80,15,31,7,5,9,8,1,1,29,3,2,5,5,12,2,49,4,11,4,4,23,3,72,13,9,9,9,28,4,34,12,0,7,2,11,2,64,38,4,9,5,5,3
N00000082,277,50,25,44,29,101,28,35,4,1,12,9,6,3,27,0,2,2,6,17,0,45,1,3,10,6,22,3,52,8,6,7,4,21,6,54,6,7,6,4,25,6,64,31,6,7,0,10,10
N00000083,503,105,51,89,69,156,33,84,11,8,24,27,13,1,45,2,3,9,8,22,1,126,9,20,23,16,53,5,114,24,12,19,11,39,9,76,25,4,8,5,22,12,58,34,4,6,2,7,5
N00000084,356,98,30,57,36,113,22,53,15,3,17,13,4,1,27,1,1,3,7,14,1,68,5,10,15,11,23,4,81,10,8,13,3,39,8,59,28,3,7,1,16,4,68,39,5,2,1,17,4
N00000085,354,147,33,51,34,60,29,51,14,9,12,8,6,2,54,14,2,7,7,15,9,54,10,8,16,3,11,6,58,14,9,11,10,9,5,41,19,4,4,4,7,3,96,76,1,1,2,12,4
N00000086,292,69,34,56,31,71,31,51,4,6,18,16,5,2,66,9,8,16,6,23,4,47,7,12,3,2,16,7,64,16,6,10,6,16,10,31,7,2,6,0,10,6,33,26,0,3,1,1,2
N00000087,684,125,87,119,90,199,64,106,5,16,44,27,5,9,105,6,12,19,19,41,8,131,11,22,21,17,52,8,159,26,26,16,15,60,16,87,21,7,12,8,29,10,96,56,4,7,4,12,13
N00000088,196,95,24,26,14,20,17,18,4,2,6,3,0,3,15,2,2,3,4,3,1,34,8,8,5,2,6,5,23,8,4,3,2,4,2,20,12,3,2,1,2,0,86,61,5,7,2,5,6
N00000089,352,85,34,66,40,100,27,54,11,6,18,12,5,2,75,4,8,14,7,37,5,77,9,10,10,8,35,5,64,14,8,12,9,14,7,42,22,1,7,3,5,4,40,25,1,5,1,4,4
N00000090,300,66,29,58,41,82,24,53,5,4,21,14,7,2,49,1,6,9,12,15,6,67,7,7,16,8,23,6,56,11,8,8,6,20,3,36,15,3,3,0,12,3,39,27,1,1,1,5,4
N00000091,350,78,38,56,30,95,53,50,8,9,11,11,8,3,76,5,7,13,6,29,16,74,10,7,14,8,26,9,70,15,11,11,4,19,10,34,14,2,4,1,5,8,46,26,2,3,0,8,7
N00000092,371,87,37,53,46,111,37,43,6,5,11,12,6,3,41,4,3,7,7,16,4,78,7,11,7,10,36,7,75,9,7,11,10,23,15,59,17,9,6,3,20,4,75,44,2,11,4,10,4
N00000093,340,98,29,51,34,78,50,56,7,5,16,16,9,3,31,2,4,8,4,13,0,41,6,5,9,5,13,3,63,10,7,12,5,18,11,56,27,6,4,1,14,4,93,46,2,2,3,11,29
N00000094,385,73,28,50,51,138,45,49,0,6,15,15,8,5,50,1,2,7,8,28,4,74,9,3,5,14,36,7,81,10,11,12,7,30,11,57,11,3,8,4,20,11,74,42,3,3,3,16,7
N00000095,353,78,26,66,43,104,36,65,6,5,21,18,10,5,41,1,2,7,8,20,3,63,7,9,12,5,25,5,74,14,2,18,5,26,9,54,19,6,4,5,11,9,56,31,2,4,2,12,5
N00000096,403,99,42,69,43,109,41,61,7,5,22,12,13,2,47,4,9,5,7,19,3,50,3,7,12,6,16,6,76,16,8,12,4,25,11,90,30,8,9,12,22,9,79,39,5,9,2,14,10
N00000097,621,108,84,116,87,165,61,103,15,17,30,24,11,6,181,14,15,36,34,63,19,151,17,23,31,19,49,12,85,16,20,12,7,18,12,63,26,5,6,2,18,6,38,20,4,1,1,6,6
N00000098,916,134,98,120,103,344,117,123,16,24,32,23,17,11,305,21,13,41,32,155,43,208,20,26,26,20,89,27,121,20,19,14,14,39,15,78,15,11,4,8,26,14,81,42,5,3,6,18,7
N00000099,202,81,29,37,20,18,17,26,4,5,9,6,1,1,35,8,7,8,7,3,2,34,8,13,5,3,4,1,33,6,3,10,3,3,8,36,22,0,3,1,6,4,38,33,1,2,0,1,1
N00000100,277,83,31,41,26,58,38,37,5,4,10,7,7,4,65,6,11,10,9,19,10,41,7,7,9,3,9,6,47,17,4,6,2,10,8,41,16,4,5,4,6,6,46,32,1,1,1,7,4
N00000101,196,48,36,36,20,27,29,49,11,15,14,4,1,4,55,6,6,14,7,14,8,35,3,9,4,5,5,9,25,7,5,4,4,2,3,23,16,0,0,0,2,5,9,5,1,0,0,3,0
N00000102,252,62,40,52,27,50,21,42,6,6,19,7,4,0,36,5,3,7,5,14,2,47,10,9,7,6,11,4,55,9,14,10,3,12,7,39,14,5,7,2,7,4,33,18,3,2,4,2,4
N00000103,453,140,47,71,50,86,59,58,9,10,15,11,9,4,120,13,11,30,16,32,18,95,19,10,14,14,26,12,64,27,8,6,6,8,9,62,36,4,4,2,5,11,54,36,4,2,1,6,5
N00000104,233,60,29,45,28,44,27,35,8,5,11,6,3,2,72,8,8,19,11,18,8,58,12,8,11,4,15,8,34,15,7,1,3,5,3,25,11,0,2,3,3,6,9,6,1,1,1,0,0
N00000105,280,121,40,35,24,24,36,50,11,11,11,8,4,5,47,9,4,8,6,7,13,40,7,10,9,6,5,3,47,18,9,4,2,4,10,39,32,2,1,1,1,2,57,44,4,2,1,3,3
N00000106,148,53,26,21,13,15,20,19,2,3,6,7,0,1,28,2,8,8,2,3,5,36,10,8,2,3,9,4,18,8,3,3,1,1,2,23,14,3,1,0,2,3,24,17,1,1,0,0,5
N00000107,200,78,40,22,22,28,10,34,6,11,8,3,3,3,43,10,9,4,9,10,1,33,8,9,5,4,5,2,26,11,6,4,1,3,1,32,16,4,1,4,4,3,32,27,1,0,1,3,0
N00000108,205,72,13,28,18,51,23,20,3,1,9,4,3,0,24,4,3,2,2,9,4,26,5,1,6,2,11,1,39,6,6,6,6,9,6,29,12,1,4,3,9,0,67,42,1,1,1,10,12
N00000109,409,135,72,60,41,58,43,59,13,17,13,11,3,2,130,10,29,22,20,29,20,73,15,15,13,5,17,8,53,26,6,8,3,5,5,28,19,1,3,1,1,3,66,52,4,1,1,3,5
N00000110,221,79,33,39,19,23,28,38,8,7,11,4,4,4,38,3,5,6,9,11,4,40,7,8,11,2,2,10,46,16,10,8,3,3,6,23,15,2,2,0,2,2,36,30,1,1,1,1,2
N00000111,282,60,23,51,32,88,28,33,3,2,15,7,5,1,52,2,5,9,8,20,8,38,1,5,7,7,16,2,55,11,7,12,4,15,6,49,11,3,5,4,20,6,55,32,1,3,2,12,5
N00000112,302,79,56,73,35,43,16,66,15,13,23,8,4,3,48,3,12,15,5,13,0,80,8,18,20,15,16,3,53,19,9,11,4,8,2,30,17,3,2,3,1,4,25,17,1,2,0,1,4
N00000113,237,48,41,47,30,50,21,26,5,5,9,4,3,0,56,4,7,13,12,16,4,45,3,15,8,4,12,3,36,8,6,8,1,5,8,53,13,7,6,9,12,6,21,15,1,3,0,2,0
N00000114,258,74,25,47,28,59,25,34,6,7,8,7,6,0,39,4,4,12,10,7,2,41,4,3,5,5,20,4,52,11,7,11,3,16,4,48,21,2,8,3,5,9,44,28,2,3,0,5,6
N00000115,242,78,42,56,27,24,15,49,9,12,19,7,2,0,42,7,8,11,7,9,0,39,8,6,9,5,6,5,42,14,7,6,5,5,5,33,16,8,5,2,1,1,37,24,1,6,1,1,4
N00000116,223,77,36,34,23,28,25,37,12,7,6,4,4,4,57,13,8,13,8,10,5,37,5,12,6,4,6,4,36,14,5,5,5,4,3,27,12,3,3,2,3,4,29,21,1,1,0,1,5
N00000117,125,46,25,17,12,11,14,21,5,5,6,3,2,0,27,8,5,5,4,3,2,19,0,7,4,2,3,3,22,13,2,1,2,2,2,19,9,3,1,1,1,4,17,11,3,0,0,0,3
N00000118,291,73,21,47,30,100,20,28,2,1,11,9,4,1,42,1,4,5,5,25,2,36,6,5,5,4,13,3,52,17,4,7,2,18,4,60,18,5,6,3,25,3,73,29,2,13,7,15,7
N00000119,253,47,26,40,32,90,18,27,7,1,7,7,4,1,19,1,3,1,2,11,1,23,1,5,3,2,12,0,42,5,7,4,6,18,2,62,9,4,12,8,23,6,80,24,6,13,7,22,8
N00000120,275,60,32,46,27,95,15,33,3,4,13,9,4,0,22,3,0,4,3,12,0,28,3,3,0,3,18,1,57,5,12,10,5,23,2,55,14,6,8,3,19,5,80,32,7,11,4,19,7
N00000121,245,65,26,54,25,48,27,34,3,1,12,8,8,2,31,4,6,6,2,11,2,50,6,9,15,9,6,5,27,5,5,7,2,3,5,35,12,0,9,3,7,4,68,35,5,5,1,13,9
N00000122,385,66,41,59,42,150,27,35,5,5,12,8,5,0,50,1,2,3,9,33,2,73,3,6,8,8,44,4,76,7,9,15,8,33,4,72,11,13,13,6,20,9,79,39,6,8,3,15,8
N00000123,289,42,18,50,27,137,15,32,2,2,11,8,8,1,16,2,2,1,1,9,1,38,2,3,8,2,23,0,74,6,5,8,7,43,5,43,5,0,10,3,23,2,86,25,6,12,6,31,6
N00000124,325,100,20,37,37,105,26,19,2,1,6,6,2,2,39,2,1,4,6,24,2,49,1,6,9,6,22,5,38,3,4,5,8,15,3,62,15,6,6,6,24,5,118,77,2,7,5,18,9
N00000125,348,104,31,59,45,83,26,61,8,5,26,14,6,2,57,6,6,8,9,25,3,67,17,10,11,10,14,5,66,17,8,7,9,16,9,45,18,1,5,2,15,4,52,38,1,2,1,7,3
N00000126,351,102,39,54,46,79,31,76,7,18,18,17,13,3,54,5,6,10,10,18,5,67,18,5,11,8,21,4,64,12,5,11,9,17,10,31,15,4,2,2,3,5,59,45,1,2,0,7,4
N00000127,285,84,42,50,29,59,21,46,5,7,14,7,6,7,54,6,10,10,9,18,1,59,9,12,11,8,17,2,52,20,9,9,1,8,5,25,8,1,4,3,5,4,49,36,3,2,1,5,2
