GeographyCode,LC2114NI0001,LC2114NI0002,LC2114NI0003,LC2114NI0004,LC2114NI0005,LC2114NI0006,LC2114NI0007,LC2114NI0008,LC2114NI0009,LC2114NI0010,LC2114NI0011,LC2114NI0012,LC2114NI0013,LC2114NI0014,LC2114NI0015
N00001347,494,19,475,113,4,109,224,6,218,100,5,95,57,4,53
N00001348,284,9,275,72,1,71,93,1,92,91,5,86,28,2,26
N00001349,238,13,225,55,0,55,89,4,85,54,4,50,40,5,35
N00001350,891,41,850,262,10,252,211,9,202,226,13,213,192,9,183
N00001351,371,21,350,123,7,116,97,2,95,90,6,84,61,6,55
N00001352,295,16,279,60,6,54,122,6,116,69,1,68,44,3,41
N00001353,337,5,332,92,2,90,69,1,68,92,0,92,84,2,82
N00001354,730,13,717,190,3,187,211,5,206,211,3,208,118,2,116
N00001355,275,11,264,84,2,82,86,4,82,73,4,69,32,1,31
N00001356,273,5,268,85,2,83,72,0,72,72,2,70,44,1,43
N00001357,145,1,144,38,0,38,34,0,34,52,1,51,21,0,21
N00001358,321,7,314,103,0,103,99,5,94,73,1,72,46,1,45
N00001359,273,6,267,101,2,99,110,4,106,38,0,38,24,0,24
N00001360,257,10,247,97,2,95,89,2,87,52,5,47,19,1,18
N00001361,280,3,277,113,1,112,78,0,78,59,1,58,30,1,29
N00001362,281,10,271,77,4,73,81,1,80,76,3,73,47,2,45
N00001363,252,18,234,67,1,66,81,7,74,65,5,60,39,5,34
N00001364,519,35,484,107,5,102,228,13,215,98,8,90,86,9,77
N00001365,362,28,334,86,0,86,144,9,135,80,9,71,52,10,42
N00001366,238,17,221,46,1,45,97,6,91,58,7,51,37,3,34
N00001367,341,28,313,83,4,79,100,9,91,98,12,86,60,3,57
N00001368,284,34,250,60,2,58,82,7,75,83,12,71,59,13,46
N00001369,355,28,327,72,0,72,130,9,121,89,11,78,64,8,56
N00001370,357,37,320,70,3,67,79,2,77,101,10,91,107,22,85
N00001371,287,22,265,81,4,77,94,2,92,77,12,65,35,4,31
N00001372,551,33,518,134,3,131,176,9,167,153,8,145,88,13,75
N00001373,279,12,267,79,1,78,78,1,77,77,6,71,45,4,41
N00001374,288,23,265,86,2,84,65,3,62,93,12,81,44,6,38
N00001375,332,15,317,92,0,92,80,3,77,83,4,79,77,8,69
N00001376,186,8,178,42,0,42,70,1,69,46,5,41,28,2,26
N00001377,267,24,243,66,3,63,65,8,57,73,5,68,63,8,55
N00001378,239,12,227,55,0,55,93,6,87,58,2,56,33,4,29
N00001379,233,19,214,46,2,44,70,7,63,75,6,69,42,4,38
