GeographyCode,LC2407NI0001,LC2407NI0002,LC2407NI0003,LC2407NI0004,LC2407NI0005,LC2407NI0006,LC2407NI0007,LC2407NI0008,LC2407NI0009,LC2407NI0010,LC2407NI0011,LC2407NI0012,LC2407NI0013,LC2407NI0014,LC2407NI0015,LC2407NI0016,LC2407NI0017,LC2407NI0018,LC2407NI0019,LC2407NI0020,LC2407NI0021,LC2407NI0022,LC2407NI0023,LC2407NI0024,LC2407NI0025,LC2407NI0026,LC2407NI0027,LC2407NI0028
N00003775,192,159,3,0,2,1,30,14,10,1,0,1,0,3,67,54,1,0,1,0,12,111,95,1,0,0,1,15
N00003776,140,118,9,3,3,3,13,37,29,4,2,2,0,4,72,61,5,1,1,3,6,31,28,0,0,0,0,3
N00003777,111,90,7,1,1,5,14,39,34,2,0,0,2,3,57,44,3,0,1,2,10,15,12,2,1,0,1,1
N00003778,167,115,12,1,4,7,40,75,54,4,0,2,2,17,75,51,7,1,2,4,17,17,10,1,0,0,1,6
N00003779,137,100,6,1,2,3,31,84,65,0,0,0,0,19,46,30,5,1,2,2,11,7,5,1,0,0,1,1
N00003780,117,101,2,0,1,1,14,15,13,1,0,0,1,1,66,56,1,0,1,0,9,36,32,0,0,0,0,4
N00003781,135,112,9,2,1,6,14,35,26,3,1,1,1,6,52,44,4,1,0,3,4,48,42,2,0,0,2,4
N00003782,193,138,38,19,12,7,17,21,10,8,5,1,2,3,84,59,16,6,5,5,9,88,69,14,8,6,0,5
N00003783,140,106,15,1,5,9,19,48,32,7,1,1,5,9,65,52,5,0,2,3,8,27,22,3,0,2,1,2
N00003784,152,132,1,0,0,1,19,20,16,0,0,0,0,4,54,46,0,0,0,0,8,78,70,1,0,0,1,7
N00003785,163,139,4,0,1,3,20,15,15,0,0,0,0,0,38,33,2,0,1,1,3,110,91,2,0,0,2,17
N00003786,159,136,1,0,1,0,22,11,11,0,0,0,0,0,70,58,0,0,0,0,12,78,67,1,0,1,0,10
N00003787,135,116,2,0,1,1,17,8,8,0,0,0,0,0,54,44,0,0,0,0,10,73,64,2,0,1,1,7
N00003788,155,132,2,0,0,2,21,27,25,0,0,0,0,2,98,79,2,0,0,2,17,30,28,0,0,0,0,2
N00003789,140,121,0,0,0,0,19,14,12,0,0,0,0,2,50,43,0,0,0,0,7,76,66,0,0,0,0,10
N00003790,139,121,6,0,0,6,12,29,25,0,0,0,0,4,73,66,2,0,0,2,5,37,30,4,0,0,4,3
N00003791,251,213,3,0,1,2,35,28,20,1,0,0,1,7,99,85,2,0,1,1,12,124,108,0,0,0,0,16
N00003792,122,98,2,2,0,0,22,32,28,0,0,0,0,4,55,43,2,2,0,0,10,35,27,0,0,0,0,8
N00003793,202,161,2,0,1,1,39,15,11,0,0,0,0,4,59,49,0,0,0,0,10,128,101,2,0,1,1,25
N00003794,144,113,2,1,0,1,29,35,30,0,0,0,0,5,64,43,2,1,0,1,19,45,40,0,0,0,0,5
N00003795,146,125,3,1,1,1,18,8,7,0,0,0,0,1,47,38,1,0,1,0,8,91,80,2,1,0,1,9
N00003796,199,177,3,0,2,1,19,14,13,1,0,1,0,0,63,55,1,0,1,0,7,122,109,1,0,0,1,12
N00003797,177,151,6,2,0,4,20,32,29,0,0,0,0,3,76,63,3,1,0,2,10,69,59,3,1,0,2,7
N00003798,169,148,2,1,0,1,19,26,22,0,0,0,0,4,86,80,1,0,0,1,5,57,46,1,1,0,0,10
N00003799,126,22,81,57,17,7,23,16,2,8,6,1,1,6,62,9,42,30,8,4,11,48,11,31,21,8,2,6
N00003800,153,12,129,85,30,14,12,17,1,12,8,4,0,4,62,3,54,31,16,7,5,74,8,63,46,10,7,3
N00003801,174,28,113,63,36,14,33,47,11,25,10,13,2,11,73,15,45,23,13,9,13,54,2,43,30,10,3,9
N00003802,107,8,88,59,17,12,11,12,1,9,4,3,2,2,44,5,35,26,7,2,4,51,2,44,29,7,8,5
N00003803,145,11,114,74,20,20,20,24,2,16,12,2,2,6,72,6,55,35,8,12,11,49,3,43,27,10,6,3
N00003804,140,32,99,74,18,7,9,13,5,7,4,3,0,1,48,12,33,22,7,4,3,79,15,59,48,8,3,5
N00003805,117,66,35,23,9,3,16,29,17,7,3,3,1,5,51,30,13,8,4,1,8,37,19,15,12,2,1,3
N00003806,169,58,73,48,19,6,38,60,25,21,13,8,0,14,71,24,32,22,8,2,15,38,9,20,13,3,4,9
N00003807,128,59,42,30,9,3,27,52,25,19,12,7,0,8,54,25,15,12,1,2,14,22,9,8,6,1,1,5
N00003808,143,24,95,65,20,10,24,53,14,28,15,10,3,11,56,6,37,30,4,3,13,34,4,30,20,6,4,0
N00003809,147,23,113,75,27,11,11,16,3,12,8,2,2,1,82,13,62,41,17,4,7,49,7,39,26,8,5,3
