GeographyCode,LC6109NI0001,LC6109NI0002,LC6109NI0003,LC6109NI0004,LC6109NI0005,LC6109NI0006,LC6109NI0007,LC6109NI0008,LC6109NI0009,LC6109NI0010,LC6109NI0011,LC6109NI0012,LC6109NI0013,LC6109NI0014,LC6109NI0015,LC6109NI0016,LC6109NI0017,LC6109NI0018
N00000215,197,55,142,27,16,11,25,3,22,37,10,27,58,13,45,50,13,37
N00000216,193,49,144,16,7,9,44,6,38,44,14,30,49,12,37,40,10,30
N00000217,213,61,152,29,13,16,20,4,16,33,12,21,62,12,50,69,20,49
N00000218,149,50,99,13,9,4,13,1,12,36,8,28,51,19,32,36,13,23
N00000219,88,29,59,10,8,2,22,5,17,15,6,9,21,5,16,20,5,15
N00000220,112,45,67,16,6,10,29,11,18,31,15,16,19,5,14,17,8,9
N00000221,99,31,68,12,3,9,23,6,17,25,11,14,29,7,22,10,4,6
N00000222,124,31,93,13,5,8,20,4,16,45,11,34,23,3,20,23,8,15
N00000223,150,51,99,23,10,13,13,3,10,36,16,20,57,18,39,21,4,17
N00000224,105,36,69,18,9,9,11,3,8,35,12,23,22,7,15,19,5,14
N00000225,41,10,31,5,2,3,1,0,1,10,5,5,14,2,12,11,1,10
N00000226,111,35,76,23,8,15,12,1,11,20,5,15,33,11,22,23,10,13
N00000227,75,28,47,6,4,2,15,2,13,19,5,14,17,8,9,18,9,9
N00000228,139,55,84,19,11,8,25,8,17,30,9,21,31,10,21,34,17,17
N00000229,174,45,129,24,11,13,20,3,17,48,9,39,57,15,42,25,7,18
N00000230,113,47,66,16,9,7,22,10,12,27,12,15,35,12,23,13,4,9
N00000231,92,43,49,22,12,10,35,16,19,16,5,11,16,8,8,3,2,1
N00000232,118,44,74,15,9,6,33,8,25,37,14,23,15,5,10,18,8,10
N00000233,115,36,79,11,2,9,39,12,27,26,5,21,22,9,13,17,8,9
N00000234,104,25,79,17,6,11,35,5,30,26,5,21,10,3,7,16,6,10
N00000235,127,45,82,24,16,8,26,9,17,17,6,11,33,5,28,27,9,18
N00000236,120,38,82,21,14,7,28,7,21,22,8,14,40,8,32,9,1,8
N00000237,201,64,137,17,9,8,16,1,15,69,20,49,61,19,42,38,15,23
N00000238,148,57,91,13,6,7,18,3,15,32,15,17,40,13,27,45,20,25
N00000239,92,37,55,13,9,4,23,8,15,25,8,17,19,8,11,12,4,8
N00000240,140,55,85,24,14,10,38,13,25,33,12,21,33,14,19,12,2,10
N00000241,223,73,150,34,22,12,12,4,8,55,21,34,83,16,67,39,10,29
N00000242,194,64,130,20,13,7,25,7,18,60,12,48,52,16,36,37,16,21
N00000243,110,36,74,15,7,8,28,10,18,24,4,20,25,10,15,18,5,13
N00000244,95,37,58,14,7,7,20,6,14,30,11,19,15,7,8,16,6,10
N00000245,149,46,103,15,8,7,33,4,29,38,11,27,40,15,25,23,8,15
N00000246,111,33,78,11,1,10,22,4,18,31,14,17,25,7,18,22,7,15
N00000247,145,46,99,17,9,8,17,6,11,29,5,24,47,11,36,35,15,20
N00000248,167,53,114,18,8,10,21,4,17,43,12,31,37,9,28,48,20,28
N00000249,219,68,151,26,13,13,48,8,40,65,20,45,52,11,41,28,16,12
N00000250,223,54,169,20,10,10,59,5,54,62,15,47,47,11,36,35,13,22
N00000251,235,66,169,23,13,10,56,12,44,85,19,66,57,16,41,14,6,8
N00000252,153,42,111,12,7,5,20,4,16,41,14,27,53,9,44,27,8,19
N00000253,275,74,201,39,14,25,54,10,44,52,14,38,72,25,47,58,11,47
N00000254,157,48,109,16,8,8,19,2,17,37,9,28,56,19,37,29,10,19
N00000255,178,49,129,18,6,12,35,7,28,27,8,19,58,18,40,40,10,30
