GeographyCode,LC6604NI0001,LC6604NI0002,LC6604NI0003,LC6604NI0004,LC6604NI0005,LC6604NI0006,LC6604NI0007,LC6604NI0008,LC6604NI0009,LC6604NI0010,LC6604NI0011,LC6604NI0012,LC6604NI0013,LC6604NI0014,LC6604NI0015,LC6604NI0016,LC6604NI0017,LC6604NI0018,LC6604NI0019,LC6604NI0020,LC6604NI0021,LC6604NI0022,LC6604NI0023,LC6604NI0024,LC6604NI0025,LC6604NI0026,LC6604NI0027,LC6604NI0028,LC6604NI0029,LC6604NI0030,LC6604NI0031,LC6604NI0032,LC6604NI0033,LC6604NI0034,LC6604NI0035,LC6604NI0036,LC6604NI0037,LC6604NI0038,LC6604NI0039,LC6604NI0040,LC6604NI0041,LC6604NI0042,LC6604NI0043,LC6604NI0044,LC6604NI0045
N00000065,192,57,135,40,8,32,40,6,34,88,33,55,24,10,14,94,12,82,12,2,10,34,4,30,35,5,30,13,1,12,98,45,53,28,6,22,6,2,4,53,28,25,11,9,2
N00000066,146,42,104,40,10,30,25,1,24,66,22,44,15,9,6,73,11,62,15,1,14,22,0,22,28,6,22,8,4,4,73,31,42,25,9,16,3,1,2,38,16,22,7,5,2
N00000067,111,28,83,10,0,10,20,1,19,47,16,31,34,11,23,48,7,41,4,0,4,12,0,12,17,5,12,15,2,13,63,21,42,6,0,6,8,1,7,30,11,19,19,9,10
N00000068,183,62,121,45,9,36,40,9,31,75,33,42,23,11,12,98,23,75,23,1,22,31,5,26,35,13,22,9,4,5,85,39,46,22,8,14,9,4,5,40,20,20,14,7,7
N00000069,87,36,51,7,1,6,19,5,14,43,19,24,18,11,7,40,8,32,4,0,4,14,2,12,15,4,11,7,2,5,47,28,19,3,1,2,5,3,2,28,15,13,11,9,2
N00000070,102,22,80,27,4,23,27,4,23,38,9,29,10,5,5,53,6,47,8,0,8,21,2,19,19,3,16,5,1,4,49,16,33,19,4,15,6,2,4,19,6,13,5,4,1
N00000071,123,37,86,16,2,14,28,5,23,58,20,38,21,10,11,60,13,47,9,2,7,23,2,21,16,3,13,12,6,6,63,24,39,7,0,7,5,3,2,42,17,25,9,4,5
N00000072,943,222,721,205,25,180,209,31,178,406,120,286,123,46,77,479,58,421,90,2,88,145,8,137,170,28,142,74,20,54,464,164,300,115,23,92,64,23,41,236,92,144,49,26,23
N00000073,237,52,185,43,7,36,39,0,39,104,23,81,51,22,29,114,16,98,18,1,17,26,0,26,42,7,35,28,8,20,123,36,87,25,6,19,13,0,13,62,16,46,23,14,9
N00000074,593,131,462,177,19,158,137,17,120,231,76,155,48,19,29,295,31,264,75,5,70,99,7,92,88,13,75,33,6,27,298,100,198,102,14,88,38,10,28,143,63,80,15,13,2
N00000075,216,37,179,36,10,26,81,4,77,78,15,63,21,8,13,156,14,142,22,4,18,75,2,73,46,4,42,13,4,9,60,23,37,14,6,8,6,2,4,32,11,21,8,4,4
N00000076,182,54,128,47,8,39,45,7,38,69,31,38,21,8,13,95,13,82,21,0,21,34,2,32,25,8,17,15,3,12,87,41,46,26,8,18,11,5,6,44,23,21,6,5,1
N00000077,141,40,101,30,6,24,33,4,29,58,21,37,20,9,11,71,10,61,18,3,15,25,1,24,19,3,16,9,3,6,70,30,40,12,3,9,8,3,5,39,18,21,11,6,5
N00000078,263,68,195,59,7,52,67,11,56,109,39,70,28,11,17,136,19,117,26,1,25,48,4,44,42,8,34,20,6,14,127,49,78,33,6,27,19,7,12,67,31,36,8,5,3
N00000079,300,89,211,95,21,74,101,17,84,89,41,48,15,10,5,167,23,144,42,1,41,82,10,72,31,5,26,12,7,5,133,66,67,53,20,33,19,7,12,58,36,22,3,3,0
N00000080,225,66,159,64,13,51,55,9,46,84,35,49,22,9,13,122,16,106,39,3,36,42,5,37,26,4,22,15,4,11,103,50,53,25,10,15,13,4,9,58,31,27,7,5,2
N00000081,166,46,120,59,9,50,49,7,42,41,21,20,17,9,8,89,11,78,27,1,26,39,5,34,15,4,11,8,1,7,77,35,42,32,8,24,10,2,8,26,17,9,9,8,1
N00000082,181,46,135,57,8,49,52,8,44,62,25,37,10,5,5,102,13,89,28,1,27,41,5,36,28,5,23,5,2,3,79,33,46,29,7,22,11,3,8,34,20,14,5,3,2
N00000083,358,95,263,88,12,76,117,20,97,126,48,78,27,15,12,193,23,170,42,2,40,88,4,84,43,7,36,20,10,10,165,72,93,46,10,36,29,16,13,83,41,42,7,5,2
N00000084,229,60,169,63,14,49,72,10,62,76,31,45,18,5,13,121,11,110,26,3,23,56,3,53,28,3,25,11,2,9,108,49,59,37,11,26,16,7,9,48,28,20,7,3,4
N00000085,159,30,129,31,2,29,32,2,30,68,17,51,28,9,19,76,3,73,14,0,14,24,1,23,25,1,24,13,1,12,83,27,56,17,2,15,8,1,7,43,16,27,15,8,7
N00000086,189,45,144,36,9,27,59,6,53,71,21,50,23,9,14,100,13,87,13,1,12,50,6,44,25,5,20,12,1,11,89,32,57,23,8,15,9,0,9,46,16,30,11,8,3
N00000087,475,112,363,142,28,114,135,17,118,164,59,105,34,8,26,248,20,228,69,4,65,103,6,97,55,8,47,21,2,19,227,92,135,73,24,49,32,11,21,109,51,58,13,6,7
