GeographyCode,LC1105NI0001,LC1105NI0002,LC1105NI0003,LC1105NI0004,LC1105NI0005,LC1105NI0006,LC1105NI0007,LC1105NI0008,LC1105NI0009,LC1105NI0010,LC1105NI0011,LC1105NI0012,LC1105NI0013,LC1105NI0014,LC1105NI0015,LC1105NI0016,LC1105NI0017,LC1105NI0018,LC1105NI0019,LC1105NI0020,LC1105NI0021,LC1105NI0022,LC1105NI0023,LC1105NI0024,LC1105NI0025,LC1105NI0026,LC1105NI0027,LC1105NI0028,LC1105NI0029,LC1105NI0030,LC1105NI0031,LC1105NI0032,LC1105NI0033,LC1105NI0034,LC1105NI0035,LC1105NI0036
N00004004,114,32,82,57,26,31,57,6,51,50,13,37,26,10,16,24,3,21,42,16,26,24,13,11,18,3,15,22,3,19,7,3,4,15,0,15
N00004005,95,26,69,47,15,32,48,11,37,34,9,25,14,3,11,20,6,14,34,11,23,19,7,12,15,4,11,27,6,21,14,5,9,13,1,12
N00004006,110,42,68,70,36,34,40,6,34,46,13,33,27,12,15,19,1,18,38,22,16,30,18,12,8,4,4,26,7,19,13,6,7,13,1,12
N00004007,103,32,71,36,27,9,67,5,62,55,13,42,15,10,5,40,3,37,30,15,15,17,14,3,13,1,12,18,4,14,4,3,1,14,1,13
N00004008,146,84,62,90,71,19,56,13,43,55,34,21,35,30,5,20,4,16,64,35,29,36,28,8,28,7,21,27,15,12,19,13,6,8,2,6
N00004009,126,63,63,68,48,20,58,15,43,54,31,23,30,24,6,24,7,17,44,22,22,28,17,11,16,5,11,28,10,18,10,7,3,18,3,15
N00004010,144,87,57,92,66,26,52,21,31,57,35,22,38,30,8,19,5,14,51,38,13,36,28,8,15,10,5,36,14,22,18,8,10,18,6,12
N00004011,183,102,81,95,71,24,88,31,57,99,56,43,51,40,11,48,16,32,46,27,19,21,15,6,25,12,13,38,19,19,23,16,7,15,3,12
N00004012,124,84,40,69,61,8,55,23,32,21,12,9,11,8,3,10,4,6,56,43,13,35,33,2,21,10,11,47,29,18,23,20,3,24,9,15
N00004013,118,69,49,64,50,14,54,19,35,41,24,17,29,20,9,12,4,8,53,36,17,29,24,5,24,12,12,24,9,15,6,6,0,18,3,15
N00004014,124,98,26,77,70,7,47,28,19,25,18,7,12,10,2,13,8,5,74,64,10,53,50,3,21,14,7,25,16,9,12,10,2,13,6,7
N00004015,113,69,44,69,54,15,44,15,29,40,21,19,21,15,6,19,6,13,50,35,15,35,30,5,15,5,10,23,13,10,13,9,4,10,4,6
N00004016,151,86,65,84,64,20,67,22,45,55,28,27,26,18,8,29,10,19,53,33,20,32,26,6,21,7,14,43,25,18,26,20,6,17,5,12
N00004017,108,61,47,57,43,14,51,18,33,36,24,12,22,17,5,14,7,7,36,21,15,19,13,6,17,8,9,36,16,20,16,13,3,20,3,17
N00004018,123,70,53,64,45,19,59,25,34,38,25,13,21,16,5,17,9,8,48,31,17,26,18,8,22,13,9,37,14,23,17,11,6,20,3,17
N00004019,118,78,40,70,56,14,48,22,26,44,28,16,25,17,8,19,11,8,43,30,13,27,24,3,16,6,10,31,20,11,18,15,3,13,5,8
N00004020,143,80,63,81,65,16,62,15,47,61,31,30,26,22,4,35,9,26,61,38,23,43,33,10,18,5,13,21,11,10,12,10,2,9,1,8
N00004021,129,71,58,84,62,22,45,9,36,50,28,22,33,25,8,17,3,14,34,23,11,22,20,2,12,3,9,45,20,25,29,17,12,16,3,13
N00004022,151,44,107,69,34,35,82,10,72,77,21,56,39,17,22,38,4,34,34,11,23,15,8,7,19,3,16,40,12,28,15,9,6,25,3,22
N00004023,119,44,75,57,31,26,62,13,49,53,23,30,28,18,10,25,5,20,40,10,30,19,7,12,21,3,18,26,11,15,10,6,4,16,5,11
N00004024,126,56,70,64,40,24,62,16,46,72,27,45,36,21,15,36,6,30,41,22,19,20,14,6,21,8,13,13,7,6,8,5,3,5,2,3
N00004025,243,92,151,112,69,43,131,23,108,77,33,44,38,25,13,39,8,31,57,29,28,35,22,13,22,7,15,109,30,79,39,22,17,70,8,62
N00004026,126,89,37,82,69,13,44,20,24,34,19,15,22,16,6,12,3,9,46,40,6,34,33,1,12,7,5,46,30,16,26,20,6,20,10,10
N00004027,130,78,52,72,57,15,58,21,37,25,15,10,14,11,3,11,4,7,51,35,16,31,25,6,20,10,10,54,28,26,27,21,6,27,7,20
N00004028,118,69,49,64,51,13,54,18,36,38,24,14,18,16,2,20,8,12,42,26,16,27,20,7,15,6,9,38,19,19,19,15,4,19,4,15
N00004029,123,85,38,74,64,10,49,21,28,16,11,5,11,9,2,5,2,3,52,37,15,29,25,4,23,12,11,55,37,18,34,30,4,21,7,14
N00004030,129,71,58,69,51,18,60,20,40,47,26,21,22,17,5,25,9,16,46,30,16,30,23,7,16,7,9,36,15,21,17,11,6,19,4,15
N00004031,127,47,80,66,41,25,61,6,55,61,19,42,32,17,15,29,2,27,40,19,21,24,17,7,16,2,14,26,9,17,10,7,3,16,2,14
N00004032,115,43,72,46,31,15,69,12,57,34,15,19,19,10,9,15,5,10,39,23,16,21,16,5,18,7,11,42,5,37,6,5,1,36,0,36
N00004033,123,44,79,54,37,17,69,7,62,61,19,42,22,15,7,39,4,35,30,14,16,16,12,4,14,2,12,32,11,21,16,10,6,16,1,15
N00004034,119,48,71,54,31,23,65,17,48,36,19,17,16,12,4,20,7,13,42,20,22,21,12,9,21,8,13,41,9,32,17,7,10,24,2,22
N00004035,128,74,54,82,58,24,46,16,30,26,14,12,19,12,7,7,2,5,33,22,11,23,17,6,10,5,5,69,38,31,40,29,11,29,9,20
N00004036,117,52,65,69,40,29,48,12,36,64,30,34,36,21,15,28,9,19,29,16,13,24,14,10,5,2,3,24,6,18,9,5,4,15,1,14
N00004037,138,59,79,57,35,22,81,24,57,61,28,33,30,20,10,31,8,23,40,18,22,17,9,8,23,9,14,37,13,24,10,6,4,27,7,20
N00004038,123,60,63,73,46,27,50,14,36,45,18,27,26,13,13,19,5,14,30,20,10,18,13,5,12,7,5,48,22,26,29,20,9,19,2,17
N00004039,124,65,59,68,47,21,56,18,38,35,16,19,20,11,9,15,5,10,38,23,15,21,15,6,17,8,9,51,26,25,27,21,6,24,5,19
N00004040,121,81,40,72,63,9,49,18,31,28,22,6,23,19,4,5,3,2,45,40,5,33,31,2,12,9,3,48,19,29,16,13,3,32,6,26
N00004041,130,71,59,79,53,26,51,18,33,31,15,16,23,14,9,8,1,7,38,23,15,25,18,7,13,5,8,61,33,28,31,21,10,30,12,18
N00004042,220,159,61,129,113,16,91,46,45,55,42,13,40,34,6,15,8,7,97,75,22,57,52,5,40,23,17,68,42,26,32,27,5,36,15,21
N00004043,129,90,39,84,70,14,45,20,25,41,28,13,29,24,5,12,4,8,56,44,12,39,35,4,17,9,8,32,18,14,16,11,5,16,7,9
N00004044,133,71,62,78,56,22,55,15,40,26,13,13,20,12,8,6,1,5,47,33,14,26,23,3,21,10,11,60,25,35,32,21,11,28,4,24
N00004045,147,83,64,79,62,17,68,21,47,52,30,22,31,23,8,21,7,14,47,27,20,23,19,4,24,8,16,48,26,22,25,20,5,23,6,17
N00004046,125,63,62,67,49,18,58,14,44,37,20,17,19,15,4,18,5,13,43,26,17,29,21,8,14,5,9,45,17,28,19,13,6,26,4,22
N00004047,333,276,57,231,212,19,102,64,38,142,120,22,101,91,10,41,29,12,170,139,31,115,107,8,55,32,23,21,17,4,15,14,1,6,3,3
N00004048,151,121,30,103,95,8,48,26,22,57,43,14,38,36,2,19,7,12,81,68,13,56,51,5,25,17,8,13,10,3,9,8,1,4,2,2
N00004049,177,138,39,121,106,15,56,32,24,68,56,12,49,45,4,19,11,8,67,56,11,43,39,4,24,17,7,42,26,16,29,22,7,13,4,9
N00004050,351,249,102,229,196,33,122,53,69,120,97,23,88,79,9,32,18,14,155,115,40,97,84,13,58,31,27,76,37,39,44,33,11,32,4,28
N00004051,306,259,47,221,205,16,85,54,31,63,56,7,47,45,2,16,11,5,193,168,25,139,132,7,54,36,18,50,35,15,35,28,7,15,7,8
N00004052,132,100,32,89,77,12,43,23,20,18,16,2,14,13,1,4,3,1,68,55,13,49,44,5,19,11,8,46,29,17,26,20,6,20,9,11
N00004053,121,76,45,75,60,15,46,16,30,34,18,16,22,16,6,12,2,10,50,43,7,36,33,3,14,10,4,37,15,22,17,11,6,20,4,16
N00004054,183,116,67,125,99,26,58,17,41,67,42,25,45,36,9,22,6,16,82,54,28,57,46,11,25,8,17,34,20,14,23,17,6,11,3,8
N00004055,104,55,49,59,42,17,45,13,32,30,16,14,19,12,7,11,4,7,38,26,12,23,20,3,15,6,9,36,13,23,17,10,7,19,3,16
N00004056,138,104,34,93,82,11,45,22,23,52,41,11,36,35,1,16,6,10,65,53,12,43,39,4,22,14,8,21,10,11,14,8,6,7,2,5
N00004057,134,101,33,94,83,11,40,18,22,27,23,4,20,19,1,7,4,3,71,55,16,46,41,5,25,14,11,36,23,13,28,23,5,8,0,8
N00004058,447,300,147,282,226,56,165,74,91,244,164,80,147,116,31,97,48,49,154,107,47,106,87,19,48,20,28,49,29,20,29,23,6,20,6,14
N00004059,544,366,178,348,277,71,196,89,107,403,270,133,254,198,56,149,72,77,118,84,34,80,68,12,38,16,22,23,12,11,14,11,3,9,1,8
N00004060,459,258,201,269,191,78,190,67,123,330,184,146,186,135,51,144,49,95,118,65,53,74,49,25,44,16,28,11,9,2,9,7,2,2,2,0
N00004061,195,139,56,116,99,17,79,40,39,127,87,40,75,64,11,52,23,29,60,45,15,35,30,5,25,15,10,8,7,1,6,5,1,2,2,0
N00004062,143,124,19,96,92,4,47,32,15,37,34,3,30,29,1,7,5,2,90,80,10,55,54,1,35,26,9,16,10,6,11,9,2,5,1,4
N00004063,306,215,91,192,172,20,114,43,71,108,74,34,67,61,6,41,13,28,148,107,41,95,84,11,53,23,30,50,34,16,30,27,3,20,7,13
N00004064,200,160,40,132,123,9,68,37,31,86,69,17,57,55,2,29,14,15,95,79,16,61,58,3,34,21,13,19,12,7,14,10,4,5,2,3
N00004065,124,27,97,54,17,37,70,10,60,49,8,41,19,6,13,30,2,28,43,12,31,23,7,16,20,5,15,32,7,25,12,4,8,20,3,17
N00004066,125,56,69,52,39,13,73,17,56,37,15,22,13,10,3,24,5,19,46,22,24,22,17,5,24,5,19,42,19,23,17,12,5,25,7,18
N00004067,116,42,74,53,27,26,63,15,48,60,20,40,28,15,13,32,5,27,32,10,22,15,5,10,17,5,12,24,12,12,10,7,3,14,5,9
N00004068,127,52,75,62,35,27,65,17,48,58,18,40,28,13,15,30,5,25,40,21,19,21,12,9,19,9,10,29,13,16,13,10,3,16,3,13
N00004069,109,42,67,56,32,24,53,10,43,49,18,31,25,14,11,24,4,20,33,15,18,19,10,9,14,5,9,27,9,18,12,8,4,15,1,14
