FID,WARD93_ID,NAME
182,510,KILLOQUIN UPPER
183,801,BLACKHEAD
184,712,BOTANIC
185,1304,BALLYNAHINCH EAST
186,208,DONAGHADEE NORTH
187,1314,KILLOUGH
188,226,LISBANE
189,412,FAIR GREEN
190,2110,GLENDUN
191,415,GLENWHIRRY
192,1822,MAZE
193,746,UPPER SPRINGFIELD
194,1303,BALLYMAGLAVE
195,2324,VALLEY
196,710,BLACKSTAFF
197,1206,BROWNSTOWN
198,2317,HAWTHORNE
199,615,SEAPATRICK
200,402,ARDEEVIN
201,515,STRANOCUM
202,606,DROMORE SOUTH
203,1934,HOLLY MOUNT
204,749,WINDSOR
205,1510,DONAGH
206,2230,WINDSOR HILL
207,2210,DAISY HILL
208,1013,MACOSQUIN
209,2327,BALLYROBERT
210,109,GREYSTONE
211,2514,KILLYCLOGHER
212,2607,GLENDERG
213,417,HARRYVILLE
214,727,GLENCOLIN
215,1712,RATHBRADY
216,1708,FOREST
217,2420,PRINCETOWN
218,2516,NEWTOWNSAVILLE
219,906,DOWNSHIRE
220,2411,CRAIGAVAD
221,1420,MOY
222,1415,DRUMGLASS
223,208,DONAGHADEE NORTH
224,1107,LISSAN
225,1220,PARKLAKE
226,2613,SOUTH
227,222,BALLYRAINEY
228,112,RANDALSTOWN
229,2425,BLOOMFIELD
230,1518,LISNASKEA
231,418,KELLS
232,2111,GLENSHESK
233,2308,BURNTHILL
234,208,DONAGHADEE NORTH
235,1325,BALLYMOTE
236,2006,KNOCKCLOGHRIM
237,720,DUNCAIRN
238,1707,FEENY
239,2211,DERRYMORE
240,2219,LISNACREE
241,223,CARROWDORE
242,2605,EAST
243,1824,OLD WARREN
244,753,MUSGRAVE
245,1705,DUNGIVEN
246,1406,BENBURB
247,503,CARNANY
248,912,HILLFOOT
249,1309,DONARD
250,1812,HILDEN
251,208,DONAGHADEE NORTH
252,717,CLIFTONVILLE
253,1504,"BOHO, CLEENISH and LETTERBREEN"
254,1506,CASTLECOOLE
255,114,SPRINGFARM
256,502,BENVARDIN
257,208,DONAGHADEE NORTH
258,1832,POLEGLASS
259,1411,COALISLAND SOUTH
260,2109,GLENARIFF
261,2226,SPELGA
262,2213,DRUMALANE
263,618,GRANSHA
264,2518,SIXMILECROSS
265,104,CLADY
266,1813,HILLHALL
267,208,DONAGHADEE NORTH
268,607,EDENDERRY
269,1605,CARNCASTLE
270,1517,LISBELLAW
271,1101,ARDBOE
272,1108,MONEYMORE
273,602,BANBRIDGE WEST
274,423,SUMMERFIELD
275,1003,BALLYSALLY
276,422,SLEMISH
277,1015,PORTSTEWART
278,504,CLOGH MILLS
279,1925,SHANTALLOW WEST
280,320,RICH HILL
281,1203,BALLYBAY
282,509,KILLOQUIN LOWER
283,307,DERRYNOOSE
284,1318,QUOILE
285,218,SCRABO
286,2214,DRUMGULLION
287,406,BROUGHSHANE
288,730,KNOCK
289,2412,CRAWFORDSBURN
290,204,CENTRAL
291,2101,ARMOY
292,908,ENLER
293,1002,ATLANTIC
294,419,MOAT
295,1106,KILLYMOON
296,1404,BALLYGAWLEY
297,1408,CASTLECAULFIELD
298,1421,MOYGASHEL
299,2314,DUNANNEY
300,1229,DONAGHCLONEY
301,1306,CATHEDRAL
302,1316,KILMORE
303,1523,TEMPO
304,420,PARK
305,1001,AGIVEY
306,714,CAVEHILL
307,1226,WOODVILLE
308,719,CRUMLIN
309,2612,SLIEVEKIRK
310,2312,COOLE
311,1228,DERRYTRASNA
312,1413,COOLHILL
313,2223,ROSTREVOR
314,2419,LOUGHVIEW
315,918,NEWTOWNBREDA
316,2215,FATHOM
317,1222,TAVANAGH
318,414,GLENRAVEL
319,2201,ANNALONG
320,303,CALLAN BRIDGE
321,216,PORTAFERRY
322,314,LAURELVALE
323,2114,KNOCKLAYD
324,2417,HOLYWOOD DEMESNE
325,2611,SION MILLS
326,1218,MAGHERALIN
327,907,DUNDONALD
328,2014,UPPERLANDS
329,215,MOVILLA
330,122,PARKGATE
331,1311,DUNDRUM
332,2319,JORDANSTOWN
333,2608,NEWTOWNSTEWART
334,2220,MAYOBRIDGE
335,2606,FINN
336,1507,DERRYGONNELLY
337,505,DERVOCK
338,1109,NEWBUILDINGS
339,2003,CASTLEDAWSON
340,1410,COALISLAND NORTH
341,734,NEW LODGE
342,806,GREENISLAND
343,1920,LISNAGELVIN
344,2217,KILKEEL CENTRAL
345,805,GORTALEE
346,916,MINNOWBURN
347,925,CARRYDUFF WEST
348,316,MARKETHILL
349,102,BALLOO
350,1020,UNIVERSITY
351,123,SHILVODAN
352,1402,AUGHER
353,1409,CLOGHER
354,408,CRAIGYWARREN
355,2505,DERGMONEY
356,2104,BUSHMILLS
357,1811,HARMONY HILL
358,1403,AUGHNACLOY
359,1010,HOPEFIELD
360,1004,CASTLEROCK
361,1604,BLACKCAVE
362,743,SYDENHAM
363,1605,CARNCASTLE
364,913,KNOCKBRACKEN
365,1315,KILLYLEAGH
366,2411,CRAIGAVAD
367,2508,DRUMQUIN
368,513,ROUTE
369,2503,CLANABOGAN
370,1909,CLONDERMOT
371,2302,BALLYCLARE NORTH
372,2228,ST PATRICK'S
373,308,DOWNS
374,312,KILLEEN
375,1808,DRUMBO
376,2409,CLANDEBOYE
377,317,MILFORD
378,1702,BALLYKELLY
379,608,FORT
380,2411,CRAIGAVAD
381,2306,BALLYNURE
382,724,FORTWILLIAM
383,713,CASTLEVIEW
384,2107,DUNSEVERICK
385,1219,MOURNEVIEW
386,2521,TRILLICK
387,305,CHARLEMONT
388,2411,CRAIGAVAD
389,1310,DRUMANESS
390,704,BALLYMACARRETT
391,741,STORMONT
392,620,THE CUT
393,1803,BALLYMACOSS
394,205,COMBER NORTH
395,1810,GLENAVY
396,1505,BROOKEBOROUGH
397,1309,DONARD
398,1503,BELLEEK AND BOA
399,2316,GLENGORMLEY
400,1405,BALLYSAGGART
401,1814,HILLSBOROUGH
402,2411,CRAIGAVAD
403,1804,BLARIS
404,2009,MAGHERA
405,1711,MAGILLIGAN
406,322,THE MALL
407,1418,KILLYMAN
408,2615,WEST
409,1320,SEAFORDE
410,813,VICTORIA
411,1710,GRESTEEL
412,2411,CRAIGAVAD
413,1916,EGLINTON
414,410,DUNCLUG
415,1301,ARDGLASS
416,2311,COLLINBRIDGE
417,1608,CRAIGY HILL
418,1210,DRUMNAMOE
419,2206,CAMLOUGH
420,1917,ENAGH
421,1602,BALLYCARRY
422,736,RAVENHILL
423,1407,CALEDON
424,1831,MAGHABERRY
425,1826,TONAGH
426,2321,MONKSTOWN
427,919,TULLYCARNET
428,1023,KNOCKLYNN
429,2407,BRYANSBURN
430,2517,OWENKILLEW
431,2219,LISNACREE
432,2315,GLEBE
433,105,CRANFIELD
434,1115,THE LOOP
435,1223,THE BIRCHES
436,1019,THE CUTS
437,2204,BESSBROOK
438,421,PORTGLENONE
439,2406,BROADWAY
440,511,KNOCKAHOLET
441,1610,GLENARM
442,1519,MAGUIRES BRIDGE
443,1008,DUNLUCE
444,1709,GLACK
445,103,BALLYCRAIGY
446,1317,MURLOUGH
447,220,WHITESPOTS
448,1007,CROSS GLEBE
449,1819,LISNAGARVY
450,302,BALLYMARTRIM
451,2604,DUNNAMANAGH
452,1923,ROSEMOUNT
453,1111,OLDTOWN
454,1022,CENTRAL
455,404,BALLYKEEL
456,1912,CREGGAN SOUTH
457,211,KILLINCHY
458,1930,WESTLAND
459,1701,AGHANLOO
460,1307,CROSSGAR
461,611,KATESBRIDGE
462,1609,GARDENMORE
463,2233,DERRYLECKAGH
464,2509,DRUMRAGH
465,926,GALWALLY
466,1714,THE HIGHLANDS
467,1412,COALISLAND WEST AND NEWMILLS
468,1815,KILWEE
469,914,LISNASHARRAGH
470,901,BALLYHANWOOD
471,1611,GLYNN
472,1927,STRAND
473,923,CAIRNSHILL
474,1312,DUNMORE
475,721,FALLS
476,1704,COOLESSAN
477,2420,PRINCETOWN
478,2414,DUFFERIN
479,750,WOODSTOCK
480,818,BURLEIGH HILL
481,1818,LAMBEG
482,1302,AUDLEYS ACRE
483,810,MILEBUSH
484,1603,BALLYLORAN
485,2424,WHITEHILL
486,1309,DONARD
487,2408,CHURCHILL
488,401,AHOGHILL
489,1214,KERNAN
490,738,SHAFTESBURY
491,2005,GULLADUFF
492,1828,WALLACE PARK
493,905,CREGAGH
494,718,CLONARD
495,1308,DERRYBOY
496,1612,HARBOUR
497,1601,ANTIVILLE
498,1114,STEWARTSTOWN
499,2515,LISANELLY
500,2318,HIGHTOWN
501,2507,DRUMNAKILLY
502,514,SEACON
503,1936,SPRINGTOWN
504,619,RATHFRILAND
505,313,KILLYLEA
506,2412,CRAWFORDSBURN
507,108,FOUNTAIN HILL
508,2501,BERAGH
509,1802,BALLYMACBRENNAN
510,1208,CORCRAIN
511,425,ACADEMY
512,1616,CENTRAL
513,1309,DONARD
514,2102,BALLYLOUGH
515,1806,DERRYAGHY
516,2416,HARBOUR
517,1911,CREGGAN CENTRAL
518,2002,BELLAGHY
519,725,GLEN ROAD
520,115,STEEPLE
521,407,CASTLE DEMESNE
522,1613,ISLAND MAGEE
523,2323,ROSTULLA
524,815,WOODBURN
525,2416,HARBOUR
526,1801,BALLYMACASH
527,731,LADYBROOK
528,2614,VICTORIA BRIDGE
529,2519,STRULE
530,1713,ROESIDE
531,703,BALLYHACKAMORE
532,1703,ENAGH
533,603,BANNSIDE
534,2301,ABBEY
535,203,BRADSHAW'S BRAE
536,921,WYNCHURCH
537,1207,CHURCH
538,318,OBSERVATORY
539,506,DUNLOY
540,2603,CLARE
541,309,HAMILTONSBAWN
542,1212,DRUMGOR
543,1319,SAINTFIELD
544,217,PORTAVOGIE
545,2208,CREGGAN
546,2320,MALLUSK
547,2207,CLONALLAN
548,715,CHERRYVALLEY
549,416,GRANGE
550,2520,TERMON
551,1211,DRUMGASK
552,1830,BALLINDERRY
553,1422,MULLAGHMORE
554,2103,BONAMARGY AND RATHLIN
555,1817,LAGAN VALLEY
556,2510,FAIRY WATER
557,601,BALLYDOWN
558,1502,BELCOO AND GARRISON
559,2413,CULTRA
560,2411,CRAIGAVAD
561,1213,EDENDERRY
562,1009,GARVAGH
563,2227,ST MARY'S
564,610,GILFORD
565,315,LOUGHGALL
566,814,WHITEHEAD
567,1112,POMEROY
568,1414,DONAGHMORE
569,1419,KILLYMEAL
570,306,DEMESNE
571,2202,BALLYBOT
572,2225,SILVER BRIDGE
573,2305,BALLYHENRY
574,732,LEGONIEL
575,751,WOODVALE
576,807,KILLYCROT
577,711,BLOOMFIELD
578,924,CARRYDUFF EAST
579,729,ISLAND
580,1905,BRANDYWELL
581,1928,THE DIAMOND
582,2309,CARNMONEY
583,917,MONEYREAGH
584,709,BELMONT
585,1908,CLAUDY
586,1821,MAGHERALAVE
587,1204,BALLYORAN
588,224,COMBER EAST
589,1914,CULMORE
590,403,BALLEE
591,2403,BALLYMAGEE
592,1907,CAW
593,613,LOUGHBRICKLAND
594,301,ABBEY PARK
595,2423,SPRING HILL
596,744,THE MOUNT
597,1102,COAGH
598,911,GRAHAM'S BRIDGE
599,2504,COOLNAGARD
600,803,CLIPPERSTOWN
601,1116,TULLAGH
602,210,GLEN
603,2421,RATHGAEL
604,2422,SILVERSTREAM
605,1932,CREVAGH
606,508,GLEBE
607,1113,SANDHOLES
608,1522,ROSSORRY
609,802,BONEYBEFORE
610,411,DUNMINNING
611,1508,DERRYLIN
612,723,FINAGHY
613,745,UPPER MALONE
614,1021,WATERSIDE
615,2610,PLUMBRIDGE
616,1935,KILFENNAN
617,1011,KILREA
618,1816,KNOCKMORE
619,1809,DUNMURRY
620,1301,ARDGLASS
621,2411,CRAIGAVAD
622,2103,BONAMARGY AND RATHLIN
623,1322,STRANGFORD
