nameA,personA,yearsA,nameB,personB,yearsB,tokenOverlap,signal
C. O'Neill,108054,1973-1973,O'Neill,108201,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Caoimhe O'Neill,104442,2014-2014,O'Neill,108201,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Catherine O'Hara,102541,2011-2014,O'Hara,106770,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Charlene O'Hara,101594,2011-2019,O'Hara,106770,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Charles O'Neill,108303,1918-1977,O'Neill,108201,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Charlie O'Connor,101082,1992-2020,O'Connor,106700,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Christopher O'Neill,107349,2011-2011,O'Neill,108201,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Colm O'Connor,104613,2014-2014,O'Connor,106700,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Damien O'Neill,108940,2016-2016,O'Neill,108201,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Danny O'Connor,1649,1997-2014,O'Connor,106700,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
David O'Connor,109000,2007-2007,O'Connor,106700,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Denis O'Connor,109038,1961-1961,O'Connor,106700,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Dympna O'Hara,107784,1997-1997,O'Hara,106770,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Eamon O'Hara,101503,1997-2005,O'Hara,106770,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Eamon O'Neill,52237,1977-2011,O'Neill,108201,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Eamonn O'Connor,106441,2001-2001,O'Connor,106700,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Eamonn O'Neill,100195,1927-1948,O'Neill,108201,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Edmond O'Connor,109137,1933-1933,O'Connor,106700,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Elizabeth O'Connor,109184,1938-1938,O'Connor,106700,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Gary O'Neill,109299,2024-2024,O'Neill,108201,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
George O'Connor,107953,1977-1977,O'Connor,106700,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Geraldine O'Neill,108176,1997-1997,O'Neill,108201,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
