candidate_id,election_key,date,constituency,party,first_prefs,elected,recorded_name,recovered_name
3689006369,local-government-local-government-districts__2014-05-22,2014-05-22,Mid Tyrone,SDLP,539,yes,Party,
3902015938,local-government-local-government-districts__2014-05-22,2014-05-22,Newry,SDLP,629,yes,Party,
1118443049,local-government-local-government-districts__2014-05-22,2014-05-22,Omagh,SDLP,435,yes,Party,
2005532986,local-government-local-government-districts__2014-05-22,2014-05-22,Omagh,Sinn Féin,932,yes,Féin,
4206013394,local-government-local-government-districts__2014-05-22,2014-05-22,Omagh,SDLP,946,yes,Party,
3809719159,local-government-local-government-districts__2014-05-22,2014-05-22,Portadown,UKIP,818,yes,UKIP,
1407590701,local-government-local-government-districts__2014-05-22,2014-05-22,Sperrin,SDLP,816,yes,Party,
2016912945,local-government-local-government-districts__2014-05-22,2014-05-22,The Moor,SDLP,841,yes,Party,
4241803821,local-government-local-government-districts__2014-05-22,2014-05-22,The Mournes,UKIP,1964,yes,Party,
3257103599,local-government-local-government-districts__2019-05-02,2019-05-02,Bangor Central,DUP,878,yes,Party,
2393825577,local-government-local-government-districts__2019-05-02,2019-05-02,Bangor East and Donaghadee,DUP,764,yes,Party,
1396637813,local-government-local-government-districts__2019-05-02,2019-05-02,Bann,DUP,1047,yes,Party,
3215679580,local-government-local-government-districts__2019-05-02,2019-05-02,Carrick Castle,UUP,445,yes,Party,
1669932576,local-government-local-government-districts__2019-05-02,2019-05-02,Castlereagh South,DUP,1503,yes,Party,
1736325255,local-government-local-government-districts__2019-05-02,2019-05-02,Castlereagh South,Green,648,yes,Ireland,
45983032,local-government-local-government-districts__2019-05-02,2019-05-02,Causeway,SDLP,496,yes,Party,
3152110691,local-government-local-government-districts__2019-05-02,2019-05-02,Coleraine,SDLP,983,yes,Party,
647289425,local-government-local-government-districts__2019-05-02,2019-05-02,Coleraine,UUP,633,yes,Party,
1805553530,local-government-local-government-districts__2019-05-02,2019-05-02,Comber,TUV,695,yes,Voice,
2211206138,local-government-local-government-districts__2019-05-02,2019-05-02,Derg,UUP,1267,yes,Party,
210432448,local-government-local-government-districts__2019-05-02,2019-05-02,Downpatrick,Independent,1052,yes,(politician),
1162716191,local-government-local-government-districts__2019-05-02,2019-05-02,Dungannon,SDLP,710,yes,Party,
1887547068,local-government-local-government-districts__2019-05-02,2019-05-02,Dunsilly,Alliance,989,yes,Ireland,
2670978434,local-government-local-government-districts__2019-05-02,2019-05-02,Faughan,DUP,1050,yes,Party,
2814877304,local-government-local-government-districts__2019-05-02,2019-05-02,Faughan,DUP,940,yes,Party,
3502447071,local-government-local-government-districts__2019-05-02,2019-05-02,Faughan,SDLP,565,yes,Party,
2097177719,local-government-local-government-districts__2019-05-02,2019-05-02,Holywood and Clandeboye,UUP,507,yes,Party,
2865165391,local-government-local-government-districts__2019-05-02,2019-05-02,Limavady,DUP,654,yes,Party,
4058284259,local-government-local-government-districts__2019-05-02,2019-05-02,Oldpark,SDLP,2856,yes,Party,
1210166142,local-government-local-government-districts__2019-05-02,2019-05-02,Ormiston,UUP,1416,yes,Party,
1215270263,local-government-local-government-districts__2019-05-02,2019-05-02,Portadown,DUP,2077,yes,Party,
2037638240,local-government-local-government-districts__2019-05-02,2019-05-02,Rowallane,DUP,985,yes,Party,
3238821678,local-government-local-government-districts__2019-05-02,2019-05-02,Slieve Croob,UUP,1303,yes,Party,
2878883825,local-government-local-government-districts__2019-05-02,2019-05-02,The Mournes,DUP,1944,yes,Party,
3970853783,local-government-local-government-districts__2019-05-02,2019-05-02,The Mournes,UUP,1455,yes,Party,
4241803821,local-government-local-government-districts__2019-05-02,2019-05-02,The Mournes,Independent,1447,yes,(politician),
3074483928,local-government-local-government-districts__2019-05-02,2019-05-02,Titanic,Alliance,1055,yes,Ireland,
562615319,local-government-local-government-districts__2019-05-02,2019-05-02,Titanic,PUP,1027,yes,Party,
210432448,local-government-local-government-districts__2023-05-18,2023-05-18,Downpatrick,Alliance,1124,yes,Ireland,
