GeographyCode,QS104NI0001,QS104NI0002,QS104NI0003,QS104NI0004,QS104NI0005,QS104NI0006,QS104NI0007,QS104NI0008,QS104NI0009,QS104NI0010,QS104NI0011,QS104NI0012,QS104NI0013,QS104NI0014,QS104NI0015,QS104NI0016,QS104NI0017,QS104NI0018,QS104NI0019,QS104NI0020
95LL,93023,7316,5983,6013,6174,6392,6838,6675,6489,6884,6644,5659,4737,4602,4019,3156,2412,1651,947,432
95MM,107877,7574,7003,7891,8641,7811,8010,6838,7155,8130,8094,6765,5758,5355,4321,3277,2436,1613,828,377
95NN,69731,4803,4347,4832,5029,4668,4418,4136,4457,5021,5153,4568,3999,3884,3288,2520,1955,1356,873,424
95OO,57852,4540,4029,4037,4011,4121,4408,4270,4225,4128,3891,3475,2879,2666,2252,1768,1367,949,539,297
95PP,61805,4190,3910,4181,4114,3809,3930,4012,4205,4406,4454,4115,3661,3594,2843,2182,1739,1289,800,371
95QQ,32180,1860,1869,2037,2064,1937,1804,1744,2035,2398,2630,2333,1955,2030,1721,1329,1058,733,405,238
95RR,33536,2317,2107,2337,2445,2330,2208,2272,2509,2649,2424,2077,1896,1730,1452,1100,706,521,321,135
95SS,120165,8844,7668,8241,8700,7689,7814,8105,7971,8951,8885,7949,6549,6140,5329,4076,3213,2186,1195,660
95TT,45038,3524,3116,3234,3269,3278,3116,3188,3213,3297,3104,2669,2299,2102,1770,1357,1101,746,437,218
95UU,17050,1053,1030,1158,1094,1094,957,922,1108,1224,1226,1171,1085,1007,949,744,524,363,239,102
95VV,99480,7720,6970,7261,7239,6763,7238,6744,6926,7314,7082,6053,5282,4632,3850,3004,2415,1643,953,391
95WW,85139,5892,5190,5238,5933,5673,5360,5733,5875,6172,6180,5571,4693,4514,3962,3152,2550,1939,1058,454
95XX,78937,4765,4355,4480,4625,4470,4760,4735,5117,5714,5779,5438,5023,5204,4775,3123,2612,1965,1309,688
95YY,51356,3679,3462,3764,3736,3327,3478,3428,3480,3634,3716,3379,2977,2581,2084,1665,1271,899,540,256
95ZZ,39843,2685,2508,3013,2894,2588,2471,2607,2818,3087,2938,2410,2117,2120,1751,1426,1061,766,389,194
