GeographyCode,QS605NI0001,QS605NI0002,QS605NI0003,QS605NI0004,QS605NI0005,QS605NI0006,QS605NI0007,QS605NI0008,QS605NI0009,QS605NI0010,QS605NI0011,QS605NI0012,QS605NI0013,QS605NI0014,QS605NI0015,QS605NI0016,QS605NI0017,QS605NI0018,QS605NI0019,QS605NI0020,QS605NI0021,QS605NI0022,QS605NI0023,QS605NI0024,QS605NI0025,QS605NI0026,QS605NI0027,QS605NI0028,QS605NI0029,QS605NI0030,QS605NI0031,QS605NI0032,QS605NI0033,QS605NI0034,QS605NI0035
UKN03,200970,17010,10561,6449,31156,5840,9677,8227,7412,16773,2659,1995,1360,2257,8502,29039,24020,5019,30160,5322,9862,9729,5247,19223,14773,4450,18204,16286,1918,18283,9935,8348,21122,4383,16739
UKN04,114548,8594,4940,3654,18383,2816,5574,5863,4130,8960,1869,1365,586,1211,3929,14593,11644,2949,17665,3726,4833,5852,3254,10996,8306,2690,12819,10970,1849,9726,4804,4922,12812,2352,10460
UKN05,178924,13561,8505,5056,28605,3801,9183,8793,6828,12139,2009,1671,502,1587,6370,19629,15139,4490,35785,8231,9899,12395,5260,16805,12987,3818,15515,13854,1661,18066,8892,9174,18819,5726,13093
95AA,25595,2220,1465,755,4064,773,1454,960,877,2288,359,227,332,252,1118,3545,2924,621,3645,615,1279,1122,629,2435,1833,602,2250,1993,257,2088,986,1102,3060,448,2612
95BB,35743,3209,1888,1321,5124,1002,1559,1271,1292,3176,432,341,245,483,1675,6394,5363,1031,5142,977,1654,1583,928,3520,2709,811,3327,2867,460,2356,1021,1335,3495,617,2878
95CC,26586,2162,1350,812,4205,555,1420,1232,998,1863,300,274,79,222,988,3276,2567,709,4764,1186,1490,1350,738,2702,2131,571,2135,1895,240,2673,1148,1525,2806,898,1908
95DD,29920,2427,1600,827,4684,894,1450,1268,1072,2274,444,295,124,247,1164,3798,3094,704,4858,939,1787,1363,769,2590,1974,616,2925,2743,182,3184,1958,1226,3180,657,2523
95EE,13426,1014,619,395,1849,302,628,512,407,939,178,111,56,135,459,1756,1369,387,2727,589,795,981,362,1329,1021,308,1162,1096,66,1311,659,652,1339,346,993
95FF,22621,1991,1285,706,3735,726,1115,987,907,1962,265,227,168,288,1014,3209,2667,542,3651,780,1081,1254,536,2061,1599,462,2016,1822,194,1913,857,1056,2083,474,1609
95GG,118754,8186,5296,2890,24807,5549,6437,5377,7444,11796,1809,1582,342,2334,5729,17559,14483,3076,9290,345,3305,2647,2993,10539,7664,2875,14564,12272,2292,6120,2422,3698,15893,973,14920
95HH,18104,1509,1044,465,2738,654,679,720,685,1861,331,199,132,243,956,3160,2632,528,2100,120,1028,522,430,1702,1273,429,1779,1525,254,1369,628,741,1886,196,1690
95II,32116,2678,1833,845,7303,1626,2095,1707,1875,3337,482,339,141,498,1877,5546,4600,946,2974,220,1265,766,723,2782,2140,642,2892,2482,410,1594,631,963,3010,220,2790
95JJ,25272,2130,1136,994,4322,629,1267,1439,987,1918,295,262,177,300,884,3353,2714,639,3609,743,922,1053,891,2255,1624,631,2875,2711,164,1813,932,881,2997,378,2619
95KK,15996,1186,756,430,2261,323,700,702,536,969,183,130,30,109,517,1694,1298,396,3550,832,1001,1122,595,1403,1079,324,1456,1364,92,1730,898,832,1747,579,1168
95LL,41320,3206,2068,1138,6223,1140,1823,1775,1485,3310,580,449,176,435,1670,5345,4387,958,5290,639,1827,1642,1182,3701,2827,874,4056,3615,441,5403,3593,1810,4786,1302,3484
95MM,40612,3022,1847,1175,7253,1144,2184,2268,1657,3530,870,612,148,467,1433,4959,3953,1006,4480,479,1510,1381,1110,3854,2875,979,5718,4396,1322,3343,1643,1700,4453,494,3959
95NN,30910,2739,1504,1235,5395,837,1713,1500,1345,2492,314,313,218,389,1258,4509,3714,795,5206,960,1243,2139,864,3456,2737,719,2371,2154,217,1902,824,1078,2840,558,2282
95OO,25646,1873,1197,676,4069,558,1232,1260,1019,1710,298,225,57,227,903,2465,1877,588,5181,1172,1715,1491,803,2301,1789,512,1794,1673,121,3479,2151,1328,2774,1009,1765
95PP,27574,2107,1211,896,3953,490,1330,1252,881,1791,272,263,106,251,899,2997,2351,646,5359,1632,1298,1601,828,2840,2204,636,2862,2406,456,2703,1283,1420,2962,774,2188
95QQ,14861,1218,751,467,1931,468,563,466,434,1271,265,143,97,163,603,2239,1871,368,2368,412,991,626,339,1460,1094,366,1259,1092,167,1437,696,741,1678,327,1351
95RR,13217,900,542,358,1849,265,581,573,430,1002,201,141,100,106,454,1977,1624,353,2380,484,571,973,352,1310,995,315,1064,933,131,1200,626,574,1535,376,1159
95SS,54962,5153,3431,1722,9995,1857,3040,2533,2565,5531,745,582,588,717,2899,8800,7240,1560,5997,783,2228,1692,1294,4939,3727,1212,5729,5088,641,3654,1450,2204,5164,640,4524
95TT,19983,1402,934,468,3419,472,1130,1020,797,1352,233,196,41,151,731,2205,1736,469,4579,760,1284,1986,549,1735,1335,400,1378,1284,94,1870,927,943,2043,708,1335
95UU,7021,548,252,296,1110,162,333,389,226,505,82,72,24,66,261,711,526,185,1521,459,342,528,192,795,638,157,479,445,34,537,222,315,815,227,588
95VV,41463,3272,2107,1165,6878,921,2044,2163,1750,2937,465,364,138,403,1567,4506,3391,1115,7828,1373,1829,3466,1160,3686,2745,941,4197,3657,540,3811,1748,2063,4348,1228,3120
95WW,39969,3402,2351,1051,6484,1487,1599,1744,1654,3913,678,474,238,455,2068,6829,5633,1196,4344,343,2081,1093,827,3420,2466,954,4613,3982,631,2724,1077,1647,4240,372,3868
95XX,36916,3807,2424,1383,6935,1398,1775,1772,1990,4393,456,472,442,679,2344,6686,5683,1003,3187,284,1219,869,815,3431,2612,819,3796,3042,754,1752,787,965,2929,205,2724
95YY,21676,1559,950,609,3820,482,1327,1164,847,1517,258,219,51,224,765,2486,1919,567,4524,1276,1282,1379,587,2138,1704,434,1693,1575,118,1800,737,1063,2139,530,1609
95ZZ,15000,980,544,436,2000,314,581,682,423,1066,243,167,81,137,438,1837,1458,379,2948,972,693,936,347,1453,1153,300,1521,1389,132,1522,722,800,1673,531,1142
