GeographyCode,QS606NI0001,QS606NI0002,QS606NI0003,QS606NI0004,QS606NI0005,QS606NI0006,QS606NI0007,QS606NI0008,QS606NI0009,QS606NI0010,QS606NI0011,QS606NI0012,QS606NI0013,QS606NI0014,QS606NI0015,QS606NI0016,QS606NI0017,QS606NI0018,QS606NI0019,QS606NI0020,QS606NI0021,QS606NI0022,QS606NI0023,QS606NI0024,QS606NI0025,QS606NI0026,QS606NI0027,QS606NI0028,QS606NI0029,QS606NI0030,QS606NI0031,QS606NI0032,QS606NI0033,QS606NI0034,QS606NI0035,QS606NI0036,QS606NI0037,QS606NI0038,QS606NI0039,QS606NI0040,QS606NI0041,QS606NI0042,QS606NI0043,QS606NI0044,QS606NI0045,QS606NI0046,QS606NI0047,QS606NI0048,QS606NI0049,QS606NI0050,QS606NI0051
WELB,212817,11486,2250,9236,5430,2118,1565,123,34423,23417,20251,1512,1376,278,6425,4581,22830,14743,5613,1795,679,22869,6176,5517,659,16693,12210,4483,14215,7756,6459,5462,997,33021,10717,12695,1582,4329,829,1960,909,31236,3606,5880,10125,11412,213,21583,15098,6485,21154
UKN01,208609,19108,2421,16687,9969,4227,2307,184,35922,23608,19404,1955,1898,351,7098,5216,25684,17512,5489,1975,708,9559,2812,2796,16,6747,6694,53,12574,7031,5543,5024,519,31215,10999,13085,1577,2748,70,2205,531,28189,4514,2958,6758,13849,110,19648,14521,5127,26710
UKN02,283218,27341,5421,21920,12717,6155,2692,356,62123,37868,30879,3633,2643,713,13639,10616,44379,31372,9003,2631,1373,20806,6491,6254,237,14315,13349,966,19351,10122,9229,8323,906,41814,15418,15950,2038,3828,210,3541,829,28903,4549,2773,9090,12258,233,13246,8514,4732,25255
UKN03,317543,22115,4878,17237,10198,4408,2344,287,61080,37748,31394,3164,2548,642,13209,10123,42042,29210,8446,3236,1150,33419,9639,8805,834,23780,19532,4248,23912,12468,11444,9715,1729,50755,15593,18603,3022,8477,822,3348,890,41512,5083,5865,13950,16083,531,17175,11081,6094,25533
UKN04,209839,11822,2301,9521,5654,2147,1579,141,34348,22957,19801,1405,1471,280,6634,4757,23018,15314,5415,1682,607,21293,5845,5234,611,15448,12274,3174,14070,7626,6444,5459,985,32746,10907,12307,1481,4458,793,2004,796,30197,3711,5871,9231,11148,236,20306,13808,6498,22039
UKN05,294211,17084,3431,13653,8248,2862,2302,241,49026,33857,28771,2546,2023,517,9183,5986,30290,20263,6891,2316,820,38260,10620,9475,1145,27640,19808,7832,20183,10831,9352,8290,1062,44102,13015,16373,2434,7389,1129,2749,1013,44386,4597,5896,17867,15429,597,23550,16677,6873,27330
95AA,38597,2735,633,2102,1192,624,261,25,7973,4885,4106,410,286,83,1745,1343,5234,3398,1058,639,139,3711,1068,981,87,2643,2143,500,2902,1562,1340,1166,174,5725,1734,2221,361,791,80,439,99,5314,669,554,1647,2400,44,1942,1312,630,3061
95BB,57290,4113,892,3221,1833,874,462,52,11546,6577,5315,577,536,149,2650,2319,8985,6627,1620,495,243,6382,1879,1662,217,4503,3845,658,4143,2162,1981,1743,238,8872,2941,3611,404,866,189,703,158,6536,924,933,2123,2430,126,2549,1554,995,4164
95CC,42544,2577,565,2012,1230,453,292,37,7694,5167,4423,402,267,75,1486,1041,5105,3325,1140,529,111,5369,1469,1272,197,3900,2793,1107,2944,1550,1394,1243,151,6104,1735,2432,295,951,185,396,110,6015,579,753,2362,2097,224,2924,1969,955,3812
95DD,46337,3248,731,2517,1497,609,369,42,8640,5552,4686,456,323,87,1868,1220,5418,3915,945,410,148,4860,1366,1251,115,3494,2637,857,3709,1736,1973,1753,220,8458,2705,2572,659,1762,158,452,150,6181,703,772,2122,2512,72,2339,1539,800,3484
95EE,22558,1161,282,879,534,187,142,16,3513,2312,1950,172,156,34,686,515,2514,1800,470,182,62,3032,829,716,113,2203,1689,514,1632,801,831,727,104,3868,1144,1374,208,679,157,243,63,3339,356,472,1289,1200,22,1555,1022,533,1944
95FF,34555,2594,546,2048,1241,486,271,50,6877,4198,3429,390,306,73,1537,1142,4606,3165,1062,259,120,4184,1122,1011,111,3062,2323,739,2418,1319,1099,906,193,5100,1711,1971,212,699,76,345,86,4426,501,574,1799,1483,69,1649,1029,620,2701
95GG,208609,19108,2421,16687,9969,4227,2307,184,35922,23608,19404,1955,1898,351,7098,5216,25684,17512,5489,1975,708,9559,2812,2796,16,6747,6694,53,12574,7031,5543,5024,519,31215,10999,13085,1577,2748,70,2205,531,28189,4514,2958,6758,13849,110,19648,14521,5127,26710
95HH,28657,2235,489,1746,1016,526,185,19,5873,3535,2892,337,252,54,1338,1000,4542,3304,891,220,127,1897,535,524,11,1362,1287,75,2322,1193,1129,999,130,4549,1552,1760,243,549,15,343,87,3399,495,344,1020,1504,36,1431,825,606,2409
95II,48551,5678,952,4726,2826,1354,475,71,11327,7227,6003,678,431,115,2232,1868,7837,5585,1429,546,277,3163,984,949,35,2179,2085,94,3140,1600,1540,1415,125,6852,2308,2852,328,541,32,637,154,4479,720,373,1374,1983,29,1893,1206,687,4182
95JJ,43277,3099,505,2594,1605,478,461,50,7873,5066,4270,299,415,82,1734,1073,5022,3619,1004,288,111,4443,1326,1198,128,3117,2519,598,2922,1681,1241,1101,140,6654,2381,2442,236,888,105,457,145,5254,805,603,1759,2029,58,2867,1902,965,5143
95KK,26645,1306,318,988,596,210,160,22,4107,2778,2332,230,165,51,795,534,2435,1692,538,148,57,3587,1046,921,125,2541,1742,799,1904,972,932,842,90,4143,1292,1366,214,763,112,312,84,4396,403,697,1818,1437,41,2144,1568,576,2623
95LL,67061,4327,1013,3314,2050,831,374,59,11530,7345,6114,676,455,100,2442,1743,8187,5362,1819,762,244,5456,1627,1526,101,3829,3400,429,5287,2882,2405,1860,545,11917,3375,3640,830,3106,105,685,176,10206,995,2229,3087,3788,107,4309,2741,1568,5842
95MM,78409,4581,948,3633,2133,873,593,34,13120,8993,7843,541,525,84,2418,1709,8717,5208,2479,774,256,5475,1503,1435,68,3972,3605,367,5177,2851,2326,1917,409,12300,4439,4468,610,1598,97,748,340,10978,1414,2707,2745,4057,55,9053,6200,2853,9008
95NN,50138,3565,720,2845,1671,669,456,49,10267,6610,5603,452,451,104,2011,1646,6328,4363,1292,518,155,6521,1860,1713,147,4661,3950,711,3205,1785,1420,1259,161,6787,2028,3092,268,665,151,420,163,5674,894,519,2084,2092,85,3217,2137,1080,4574
95OO,41315,2468,520,1948,1181,417,323,27,6601,4723,4002,358,286,77,1118,760,3889,2644,854,291,100,5104,1420,1264,156,3684,2608,1076,2847,1464,1383,1269,114,6686,1570,2197,415,1858,176,333,137,6613,532,981,2849,2117,134,3270,2430,840,3837
95PP,44465,2460,481,1979,1166,384,397,32,7152,4769,4028,365,310,66,1473,910,4840,3140,1239,314,147,5984,1633,1450,183,4351,2756,1595,3220,1802,1418,1214,204,7529,2280,2852,479,1041,238,426,213,6190,723,689,2394,2332,52,3354,2363,991,3736
95QQ,23565,1533,343,1190,714,315,151,10,4247,2581,2141,203,191,46,956,710,3284,2380,650,153,101,2305,717,661,56,1588,1234,354,2248,1022,1226,1028,198,3896,1099,1496,288,588,63,304,58,3175,397,284,1088,1378,28,1170,769,401,1707
95RR,24610,1148,231,917,539,228,135,15,3666,2411,2115,137,138,21,702,553,2854,2024,584,180,66,2955,784,700,84,2171,1770,401,1686,883,803,676,127,3597,1035,1541,154,425,132,211,99,3870,391,732,1240,1470,37,2496,1709,787,2338
95SS,86371,8011,1606,6405,3848,1631,814,112,17978,10953,9011,985,738,219,4074,2951,12527,8706,2607,851,363,7167,2302,2191,111,4865,4325,540,5695,3059,2636,2377,259,12746,4876,4671,652,1154,89,1054,250,9476,1480,1045,3163,3725,63,4867,3335,1532,7904
95TT,31959,1964,391,1573,958,363,229,23,5461,3902,3353,288,216,45,950,609,3183,2217,617,244,105,4396,1139,1052,87,3257,2521,736,2233,1124,1109,1015,94,4273,1150,1612,289,739,113,270,100,5220,452,887,2017,1823,41,2022,1413,609,3207
95UU,12375,687,112,575,339,117,110,9,2172,1538,1322,82,111,23,376,258,1198,791,269,102,36,1949,477,417,60,1472,1045,427,804,434,370,331,39,1838,467,816,89,247,89,93,37,1678,261,162,589,645,21,1027,675,352,1022
95VV,70560,4158,789,3369,2029,666,599,75,11530,7911,6669,608,502,132,2247,1372,7132,4746,1801,419,166,8804,2583,2352,231,6221,4955,1266,4752,2675,2077,1759,318,10261,3466,3746,587,1393,156,689,224,10832,1314,1332,4290,3817,79,6464,4408,2056,6627
95WW,61791,5178,1071,4107,2377,1318,353,59,12385,7501,6133,845,415,108,2808,2076,9763,6884,1980,537,362,4092,1272,1224,48,2820,2652,168,4555,2263,2292,2059,233,9545,3637,3379,538,994,42,785,170,7138,910,582,2267,3327,52,2738,1781,957,6397
95XX,57848,6239,1303,4936,2650,1326,865,95,14560,8652,6840,788,807,217,3187,2721,9710,6893,2096,477,244,4487,1398,1366,32,3089,3000,89,3639,2007,1632,1473,159,8122,3045,3288,277,590,32,722,168,4411,944,429,1266,1719,53,2317,1367,950,4363
95YY,36723,2151,367,1784,1088,369,302,25,6481,4607,3964,295,277,71,1114,760,3706,2499,702,371,134,5016,1330,1164,166,3686,2433,1253,2283,1244,1039,948,91,5106,1522,2168,155,644,149,323,145,5120,594,557,2137,1806,26,3372,2526,846,3488
95ZZ,28610,1146,223,923,504,264,138,17,4004,2637,2301,174,126,36,718,649,2713,1872,609,156,76,3439,926,768,158,2513,1646,867,1849,976,873,707,166,4489,1441,1666,184,621,213,252,112,5078,484,1195,1609,1747,43,3308,2300,1008,2584
