GeographyCode,KS403NI0001,KS403NI0002,KS403NI0003,KS403NI0004,KS403NI0005,KS403NI0006,KS403NI0007,KS403NI0008,KS403NI0009,KS403NI0010,KS403NI0011,KS403NI0012,KS403NI0013,KS403NI0014,KS403NI0015,KS403NI0016,KS403NI0017,KS403NI0018
N00000096,158,22,62,28,29,14,1,0,2,2.77,13.92,39.24,17.72,18.35,8.86,0.63,0,1.27
N00000097,296,43,85,68,71,25,4,0,0,2.87,14.53,28.72,22.97,23.99,8.45,1.35,0,0
N00000098,446,81,153,103,68,34,6,1,0,2.65,18.16,34.30,23.09,15.25,7.62,1.35,0.22,0
N00000099,107,28,38,24,8,6,2,0,1,2.41,26.17,35.51,22.43,7.48,5.61,1.87,0,0.93
N00000100,164,71,46,22,16,7,1,1,0,2.08,43.29,28.05,13.41,9.76,4.27,0.61,0.61,0
N00000101,122,44,30,28,11,5,3,1,0,2.31,36.07,24.59,22.95,9.02,4.10,2.46,0.82,0
N00000102,125,36,34,24,20,6,4,0,1,2.54,28.80,27.20,19.20,16.00,4.80,3.20,0,0.80
N00000103,205,51,51,44,35,19,5,0,0,2.68,24.88,24.88,21.46,17.07,9.27,2.44,0,0
N00000104,130,41,31,28,20,6,3,1,0,2.48,31.54,23.85,21.54,15.38,4.62,2.31,0.77,0
N00000105,148,61,40,19,16,8,3,1,0,2.21,41.22,27.03,12.84,10.81,5.41,2.03,0.68,0
N00000106,103,55,23,11,8,4,2,0,0,1.92,53.40,22.33,10.68,7.77,3.88,1.94,0,0
N00000107,120,41,36,22,16,4,1,0,0,2.24,34.17,30.00,18.33,13.33,3.33,0.83,0,0
N00000108,110,37,40,15,11,5,2,0,0,2.21,33.64,36.36,13.64,10.00,4.55,1.82,0,0
N00000109,229,77,65,52,27,7,1,0,0,2.24,33.62,28.38,22.71,11.79,3.06,0.44,0,0
N00000110,122,47,39,18,13,4,0,1,0,2.11,38.52,31.97,14.75,10.66,3.28,0,0.82,0
N00000111,136,32,42,27,23,5,7,0,0,2.62,23.53,30.88,19.85,16.91,3.68,5.15,0,0
N00000112,143,31,37,28,31,10,4,1,1,2.81,21.68,25.87,19.58,21.68,6.99,2.80,0.70,0.70
N00000113,122,31,36,23,24,7,1,0,0,2.53,25.41,29.51,18.85,19.67,5.74,0.82,0,0
N00000114,121,20,46,23,26,3,3,0,0,2.63,16.53,38.02,19.01,21.49,2.48,2.48,0,0
N00000115,128,38,44,21,15,9,0,0,1,2.36,29.69,34.38,16.41,11.72,7.03,0,0,0.78
N00000116,119,39,29,28,14,6,1,2,0,2.41,32.77,24.37,23.53,11.76,5.04,0.84,1.68,0
N00000117,86,46,18,10,7,2,3,0,0,1.95,53.49,20.93,11.63,8.14,2.33,3.49,0,0
N00000118,143,47,56,19,13,5,3,0,0,2.17,32.87,39.16,13.29,9.09,3.50,2.10,0,0
N00000119,125,29,60,13,17,4,1,1,0,2.31,23.20,48.00,10.40,13.60,3.20,0.80,0.80,0
N00000120,127,29,49,18,20,5,5,1,0,2.54,22.83,38.58,14.17,15.75,3.94,3.94,0.79,0
N00000121,124,31,47,23,18,3,2,0,0,2.36,25.00,37.90,18.55,14.52,2.42,1.61,0,0
N00000122,199,53,77,23,30,11,5,0,0,2.42,26.63,38.69,11.56,15.08,5.53,2.51,0,0
N00000123,143,33,57,20,24,7,1,1,0,2.45,23.08,39.86,13.99,16.78,4.90,0.70,0.70,0
N00000124,143,35,63,24,13,8,0,0,0,2.27,24.48,44.06,16.78,9.09,5.59,0,0,0
N00000125,148,29,32,25,29,22,8,2,1,3.14,19.59,21.62,16.89,19.59,14.86,5.41,1.35,0.68
N00000126,134,20,20,26,30,18,13,4,3,3.59,14.93,14.93,19.40,22.39,13.43,9.70,2.99,2.24
N00000127,130,29,27,19,27,15,9,4,0,3.12,22.31,20.77,14.62,20.77,11.54,6.92,3.08,0
N00000128,282,40,62,48,66,36,19,8,3,3.37,14.18,21.99,17.02,23.40,12.77,6.74,2.84,1.06
N00000129,138,39,44,23,16,12,2,2,0,2.51,28.26,31.88,16.67,11.59,8.70,1.45,1.45,0
N00000130,152,11,33,38,45,23,2,0,0,3.28,7.24,21.71,25.00,29.61,15.13,1.32,0,0
N00000131,136,22,40,28,32,10,4,0,0,2.85,16.18,29.41,20.59,23.53,7.35,2.94,0,0
N00000132,121,24,31,17,26,16,4,3,0,3.02,19.83,25.62,14.05,21.49,13.22,3.31,2.48,0
N00000133,139,48,48,16,15,5,5,1,1,2.32,34.53,34.53,11.51,10.79,3.60,3.60,0.72,0.72
N00000134,177,51,53,27,32,13,1,0,0,2.47,28.81,29.94,15.25,18.08,7.34,0.56,0,0
N00000135,119,31,34,22,22,6,2,0,2,2.62,26.05,28.57,18.49,18.49,5.04,1.68,0,1.68
N00000136,188,31,64,46,30,12,5,0,0,2.70,16.49,34.04,24.47,15.96,6.38,2.66,0,0
N00000137,120,30,30,25,26,8,1,0,0,2.63,25.00,25.00,20.83,21.67,6.67,0.83,0,0
N00000138,155,22,40,36,37,17,2,0,1,2.99,14.19,25.81,23.23,23.87,10.97,1.29,0,0.65
N00000139,133,39,60,17,10,4,3,0,0,2.17,29.32,45.11,12.78,7.52,3.01,2.26,0,0
N00000140,158,53,58,29,13,5,0,0,0,2.11,33.54,36.71,18.35,8.23,3.16,0,0,0
N00000141,220,97,67,24,22,8,2,0,0,2.01,44.09,30.45,10.91,10.00,3.64,0.91,0,0
N00000142,96,27,44,14,8,2,1,0,0,2.14,28.13,45.83,14.58,8.33,2.08,1.04,0,0
N00000143,123,69,27,16,11,0,0,0,0,1.75,56.10,21.95,13.01,8.94,0,0,0,0
N00000144,110,41,35,23,7,4,0,0,0,2.07,37.27,31.82,20.91,6.36,3.64,0,0,0
N00000145,75,48,14,6,6,0,1,0,0,1.65,64.00,18.67,8.00,8.00,0,1.33,0,0
N00000146,105,23,42,16,11,10,1,1,1,2.58,21.90,40.00,15.24,10.48,9.52,0.95,0.95,0.95
N00000147,106,41,31,18,12,2,2,0,0,2.14,38.68,29.25,16.98,11.32,1.89,1.89,0,0
N00000148,279,77,90,53,40,14,5,0,0,2.42,27.60,32.26,19.00,14.34,5.02,1.79,0,0
N00000149,187,58,63,28,31,4,1,2,0,2.31,31.02,33.69,14.97,16.58,2.14,0.53,1.07,0
N00000150,149,38,51,25,28,5,1,1,0,2.45,25.50,34.23,16.78,18.79,3.36,0.67,0.67,0
N00000151,131,42,44,30,12,3,0,0,0,2.16,32.06,33.59,22.90,9.16,2.29,0,0,0
N00000152,131,48,49,16,14,4,0,0,0,2.06,36.64,37.40,12.21,10.69,3.05,0,0,0
N00000153,111,37,37,17,14,4,2,0,0,2.25,33.33,33.33,15.32,12.61,3.60,1.80,0,0
N00000154,108,34,32,20,13,6,2,1,0,2.40,31.48,29.63,18.52,12.04,5.56,1.85,0.93,0
N00000155,128,27,43,24,23,8,3,0,0,2.62,21.09,33.59,18.75,17.97,6.25,2.34,0,0
N00000156,127,27,58,20,14,6,2,0,0,2.37,21.26,45.67,15.75,11.02,4.72,1.57,0,0
N00000157,139,28,47,27,25,8,3,1,0,2.65,20.14,33.81,19.42,17.99,5.76,2.16,0.72,0
N00000158,286,61,138,39,27,13,7,0,1,2.37,21.33,48.25,13.64,9.44,4.55,2.45,0,0.35
N00000159,116,45,48,13,9,1,0,0,0,1.91,38.79,41.38,11.21,7.76,0.86,0,0,0
N00000160,124,38,46,15,19,4,2,0,0,2.28,30.65,37.10,12.10,15.32,3.23,1.61,0,0
N00000161,128,11,58,32,17,9,1,0,0,2.67,8.59,45.31,25.00,13.28,7.03,0.78,0,0
N00000162,115,37,51,11,12,3,0,1,0,2.10,32.17,44.35,9.57,10.43,2.61,0,0.87,0
N00000163,155,61,55,22,13,2,2,0,0,2.01,39.35,35.48,14.19,8.39,1.29,1.29,0,0
N00000164,118,22,55,18,15,7,0,1,0,2.44,18.64,46.61,15.25,12.71,5.93,0,0.85,0
N00000165,135,37,49,20,18,8,3,0,0,2.41,27.41,36.30,14.81,13.33,5.93,2.22,0,0
N00000166,122,30,50,28,12,1,1,0,0,2.24,24.59,40.98,22.95,9.84,0.82,0.82,0,0
N00000167,149,33,54,26,25,9,1,0,1,2.54,22.15,36.24,17.45,16.78,6.04,0.67,0,0.67
N00000168,145,35,55,24,27,4,0,0,0,2.38,24.14,37.93,16.55,18.62,2.76,0,0,0
N00000169,279,62,108,43,41,17,8,0,0,2.52,22.22,38.71,15.41,14.70,6.09,2.87,0,0
N00000170,139,22,51,28,30,6,2,0,0,2.66,15.83,36.69,20.14,21.58,4.32,1.44,0,0
N00000171,146,23,51,20,32,17,3,0,0,2.85,15.75,34.93,13.70,21.92,11.64,2.05,0,0
N00000172,307,67,121,50,46,12,8,3,0,2.51,21.82,39.41,16.29,14.98,3.91,2.61,0.98,0
N00000173,144,33,53,23,18,11,5,0,1,2.59,22.92,36.81,15.97,12.50,7.64,3.47,0,0.69
N00000174,163,47,55,27,18,13,3,0,0,2.41,28.83,33.74,16.56,11.04,7.98,1.84,0,0
N00000175,140,28,46,27,26,10,3,0,0,2.66,20.00,32.86,19.29,18.57,7.14,2.14,0,0
N00000176,205,57,71,42,27,7,1,0,0,2.31,27.80,34.63,20.49,13.17,3.41,0.49,0,0
N00000177,167,69,61,22,11,2,2,0,0,1.93,41.32,36.53,13.17,6.59,1.20,1.20,0,0
N00000178,355,165,119,35,25,8,2,1,0,1.88,46.48,33.52,9.86,7.04,2.25,0.56,0.28,0
N00000179,492,257,160,41,19,14,1,0,0,1.73,52.24,32.52,8.33,3.86,2.85,0.20,0,0
N00000180,131,46,46,23,9,5,2,0,0,2.14,35.11,35.11,17.56,6.87,3.82,1.53,0,0
N00000181,168,86,63,15,3,1,0,0,0,1.63,51.19,37.50,8.93,1.79,0.60,0,0,0
N00000182,105,29,42,22,11,1,0,0,0,2.17,27.62,40.00,20.95,10.48,0.95,0,0,0
N00000183,146,65,43,17,15,5,1,0,0,2.01,44.52,29.45,11.64,10.27,3.42,0.68,0,0
N00000184,184,99,54,20,8,2,1,0,0,1.71,53.80,29.35,10.87,4.35,1.09,0.54,0,0
N00000185,121,63,40,8,6,4,0,0,0,1.74,52.07,33.06,6.61,4.96,3.31,0,0,0
N00000186,137,41,56,21,12,7,0,0,0,2.18,29.93,40.88,15.33,8.76,5.11,0,0,0
N00000187,126,46,51,15,9,4,1,0,0,2.02,36.51,40.48,11.90,7.14,3.17,0.79,0,0
N00000188,128,27,44,18,25,8,4,2,0,2.71,21.09,34.38,14.06,19.53,6.25,3.13,1.56,0
N00000189,125,19,45,24,30,3,3,1,0,2.73,15.20,36.00,19.20,24.00,2.40,2.40,0.80,0
N00000190,119,15,58,21,17,6,2,0,0,2.55,12.61,48.74,17.65,14.29,5.04,1.68,0,0
N00000191,124,27,52,19,21,3,1,0,1,2.44,21.77,41.94,15.32,16.94,2.42,0.81,0,0.81
N00000192,120,25,44,26,16,8,0,1,0,2.52,20.83,36.67,21.67,13.33,6.67,0,0.83,0
N00000193,111,33,30,16,18,10,3,0,1,2.62,29.73,27.03,14.41,16.22,9.01,2.70,0,0.90
N00000194,119,40,44,15,18,2,0,0,0,2.14,33.61,36.97,12.61,15.13,1.68,0,0,0
N00000195,123,55,33,18,15,1,1,0,0,2.00,44.72,26.83,14.63,12.20,0.81,0.81,0,0
N00000196,116,46,37,22,6,3,2,0,0,2.04,39.66,31.90,18.97,5.17,2.59,1.72,0,0
N00000197,115,13,37,33,24,7,0,0,1,2.83,11.30,32.17,28.70,20.87,6.09,0,0,0.87
N00000198,110,25,36,17,22,9,1,0,0,2.61,22.73,32.73,15.45,20.00,8.18,0.91,0,0
N00000199,130,20,50,26,22,10,1,0,1,2.69,15.38,38.46,20.00,16.92,7.69,0.77,0,0.77
N00000200,124,22,39,28,29,5,1,0,0,2.67,17.74,31.45,22.58,23.39,4.03,0.81,0,0
N00000201,143,52,55,15,19,1,1,0,0,2.06,36.36,38.46,10.49,13.29,0.70,0.70,0,0
N00000202,132,27,67,18,12,7,1,0,0,2.30,20.45,50.76,13.64,9.09,5.30,0.76,0,0
N00000203,134,26,50,36,16,2,3,0,1,2.49,19.40,37.31,26.87,11.94,1.49,2.24,0,0.75
N00000204,152,36,62,24,24,5,1,0,0,2.36,23.68,40.79,15.79,15.79,3.29,0.66,0,0
N00000205,118,27,36,24,24,6,1,0,0,2.57,22.88,30.51,20.34,20.34,5.08,0.85,0,0
N00000206,212,99,69,28,12,3,1,0,0,1.84,46.70,32.55,13.21,5.66,1.42,0.47,0,0
N00000207,119,38,44,22,14,1,0,0,0,2.13,31.93,36.97,18.49,11.76,0.84,0,0,0
N00000208,121,19,48,21,28,4,1,0,0,2.61,15.70,39.67,17.36,23.14,3.31,0.83,0,0
N00000209,122,16,36,25,34,9,2,0,0,2.92,13.11,29.51,20.49,27.87,7.38,1.64,0,0
N00000210,219,120,67,17,10,4,0,0,1,1.70,54.79,30.59,7.76,4.57,1.83,0,0,0.46
N00000211,269,118,90,30,24,6,1,0,0,1.93,43.87,33.46,11.15,8.92,2.23,0.37,0,0
N00000212,85,46,20,5,8,5,0,0,1,1.95,54.12,23.53,5.88,9.41,5.88,0,0,1.18
N00000213,150,69,48,19,11,3,0,0,0,1.87,46.00,32.00,12.67,7.33,2.00,0,0,0
N00000214,151,48,61,23,11,8,0,0,0,2.14,31.79,40.40,15.23,7.28,5.30,0,0,0
N00000215,151,27,56,31,23,8,6,0,0,2.65,17.88,37.09,20.53,15.23,5.30,3.97,0,0
N00000216,161,30,69,29,26,4,3,0,0,2.47,18.63,42.86,18.01,16.15,2.48,1.86,0,0
N00000217,175,28,78,27,23,14,5,0,0,2.61,16.00,44.57,15.43,13.14,8.00,2.86,0,0
N00000218,148,29,67,23,22,5,0,0,2,2.44,19.59,45.27,15.54,14.86,3.38,0,0,1.35
N00000219,123,52,44,14,7,4,1,0,1,1.99,42.28,35.77,11.38,5.69,3.25,0.81,0,0.81
N00000220,125,50,29,20,17,6,3,0,0,2.27,40.00,23.20,16.00,13.60,4.80,2.40,0,0
N00000221,115,35,39,22,13,5,1,0,0,2.28,30.43,33.91,19.13,11.30,4.35,0.87,0,0
N00000222,130,37,49,24,13,4,2,1,0,2.29,28.46,37.69,18.46,10.00,3.08,1.54,0.77,0
N00000223,128,32,42,22,25,5,2,0,0,2.49,25.00,32.81,17.19,19.53,3.91,1.56,0,0
N00000224,118,46,43,13,10,5,0,1,0,2.06,38.98,36.44,11.02,8.47,4.24,0,0.85,0
N00000225,90,50,29,7,3,0,1,0,0,1.63,55.56,32.22,7.78,3.33,0,1.11,0,0
N00000226,111,28,47,14,14,7,1,0,0,2.35,25.23,42.34,12.61,12.61,6.31,0.90,0,0
N00000227,121,72,32,12,3,1,1,0,0,1.61,59.50,26.45,9.92,2.48,0.83,0.83,0,0
N00000228,127,27,52,22,22,3,1,0,0,2.41,21.26,40.94,17.32,17.32,2.36,0.79,0,0
N00000229,150,48,49,27,14,12,0,0,0,2.29,32.00,32.67,18.00,9.33,8.00,0,0,0
N00000230,116,25,44,23,13,8,2,1,0,2.53,21.55,37.93,19.83,11.21,6.90,1.72,0.86,0
N00000231,122,33,37,18,15,12,6,1,0,2.66,27.05,30.33,14.75,12.30,9.84,4.92,0.82,0
N00000232,136,44,46,26,10,7,1,2,0,2.27,32.35,33.82,19.12,7.35,5.15,0.74,1.47,0
N00000233,128,53,40,21,11,1,1,1,0,2.02,41.41,31.25,16.41,8.59,0.78,0.78,0.78,0
N00000234,124,45,52,13,7,3,3,1,0,2.06,36.29,41.94,10.48,5.65,2.42,2.42,0.81,0
N00000235,128,24,56,22,15,8,1,1,1,2.52,18.75,43.75,17.19,11.72,6.25,0.78,0.78,0.78
N00000236,108,28,26,23,16,12,3,0,0,2.69,25.93,24.07,21.30,14.81,11.11,2.78,0,0
N00000237,147,22,47,32,29,14,3,0,0,2.83,14.97,31.97,21.77,19.73,9.52,2.04,0,0
N00000238,121,17,52,31,16,3,1,1,0,2.53,14.05,42.98,25.62,13.22,2.48,0.83,0.83,0
N00000239,118,36,47,18,15,2,0,0,0,2.15,30.51,39.83,15.25,12.71,1.69,0,0,0
N00000240,132,29,40,29,17,12,5,0,0,2.68,21.97,30.30,21.97,12.88,9.09,3.79,0,0
N00000241,138,15,39,24,44,13,3,0,0,3.07,10.87,28.26,17.39,31.88,9.42,2.17,0,0
N00000242,120,8,47,19,30,15,1,0,0,3.00,6.67,39.17,15.83,25.00,12.50,0.83,0,0
N00000243,110,25,42,23,14,5,1,0,0,2.41,22.73,38.18,20.91,12.73,4.55,0.91,0,0
N00000244,118,34,48,12,13,9,2,0,0,2.33,28.81,40.68,10.17,11.02,7.63,1.69,0,0
N00000245,126,23,50,27,20,6,0,0,0,2.49,18.25,39.68,21.43,15.87,4.76,0,0,0
