GeographyCode,KS603NI0001,KS603NI0002,KS603NI0003,KS603NI0004,KS603NI0005,KS603NI0006,KS603NI0007,KS603NI0008,KS603NI0009,KS603NI0010,KS603NI0011,KS603NI0012,KS603NI0013,KS603NI0014,KS603NI0015,KS603NI0016,KS603NI0017,KS603NI0018,KS603NI0019,KS603NI0020,KS603NI0021,KS603NI0022,KS603NI0023,KS603NI0024,KS603NI0025,KS603NI0026,KS603NI0027,KS603NI0028,KS603NI0029,KS603NI0030,KS603NI0031
N00003762,161,47,48,6,4,6,19,5,17,7,2,34,1,1,0,3,29.19,29.81,3.73,2.48,3.73,11.80,3.11,10.56,4.35,1.24,21.12,25.00,25.00,0,75.00
N00003763,170,38,46,12,2,6,28,5,17,13,3,38,0,0,0,1,22.35,27.06,7.06,1.18,3.53,16.47,2.94,10.00,7.65,1.76,22.35,0,0,0,50.00
N00003764,201,57,53,10,2,8,27,11,20,11,2,44,1,0,1,1,28.36,26.37,4.98,1.00,3.98,13.43,5.47,9.95,5.47,1.00,21.89,50.00,0,50.00,50.00
N00003765,138,19,34,11,5,6,27,8,19,8,1,29,3,2,3,1,13.77,24.64,7.97,3.62,4.35,19.57,5.80,13.77,5.80,0.72,21.01,60.00,40.00,60.00,20.00
N00003766,172,37,51,13,4,7,14,12,15,13,6,35,0,1,0,1,21.51,29.65,7.56,2.33,4.07,8.14,6.98,8.72,7.56,3.49,20.35,0,25.00,0,25.00
N00003767,159,41,47,6,2,4,18,15,19,4,3,30,1,0,1,1,25.79,29.56,3.77,1.26,2.52,11.32,9.43,11.95,2.52,1.89,18.87,50.00,0,50.00,50.00
N00003768,240,39,88,26,8,9,21,10,14,15,10,39,3,1,1,4,16.25,36.67,10.83,3.33,3.75,8.75,4.17,5.83,6.25,4.17,16.25,37.50,12.50,12.50,50.00
N00003769,137,24,47,5,8,3,24,4,12,7,3,34,4,0,0,5,17.52,34.31,3.65,5.84,2.19,17.52,2.92,8.76,5.11,2.19,24.82,50.00,0,0,62.50
N00003770,185,37,48,5,7,2,13,14,22,29,8,21,1,1,0,5,20.00,25.95,2.70,3.78,1.08,7.03,7.57,11.89,15.68,4.32,11.35,14.29,14.29,0,71.43
N00003771,180,38,46,7,9,12,15,8,19,19,7,19,3,1,2,4,21.11,25.56,3.89,5.00,6.67,8.33,4.44,10.56,10.56,3.89,10.56,33.33,11.11,22.22,44.44
