GeographyCode,KS107NI0001,KS107NI0002,KS107NI0003,KS107NI0004,KS107NI0005,KS107NI0006,KS107NI0007,KS107NI0008,KS107NI0009,KS107NI0010,KS107NI0011,KS107NI0012,KS107NI0013,KS107NI0014,KS107NI0015,KS107NI0016,KS107NI0017,KS107NI0018,KS107NI0019,KS107NI0020,KS107NI0021
N00000077,3,1,2,0,0,0,0,0,3,1,2,0,33.33,66.67,0,0,0,0,33.33,66.67,0
N00000078,11,4,3,4,2,0,1,1,9,4,2,3,36.36,27.27,36.36,0,50.00,50.00,44.44,22.22,33.33
N00000079,9,4,1,4,1,0,0,1,8,4,1,3,44.44,11.11,44.44,0,0,100.00,50.00,12.50,37.50
N00000080,7,3,2,2,0,0,0,0,7,3,2,2,42.86,28.57,28.57,0,0,0,42.86,28.57,28.57
N00000081,2,2,0,0,0,0,0,0,2,2,0,0,100.00,0,0,0,0,0,100.00,0,0
N00000082,7,0,6,1,2,0,2,0,5,0,4,1,0,85.71,14.29,0,100.00,0,0,80.00,20.00
N00000083,3,0,3,0,2,0,2,0,1,0,1,0,0,100.00,0,0,100.00,0,0,100.00,0
N00000084,5,4,1,0,0,0,0,0,5,4,1,0,80.00,20.00,0,0,0,0,80.00,20.00,0
N00000085,17,3,2,12,1,0,0,1,16,3,2,11,17.65,11.76,70.59,0,0,100.00,18.75,12.50,68.75
N00000086,23,5,4,14,1,0,0,1,22,5,4,13,21.74,17.39,60.87,0,0,100.00,22.73,18.18,59.09
N00000087,22,7,11,4,1,1,0,0,21,6,11,4,31.82,50.00,18.18,100.00,0,0,28.57,52.38,19.05
N00000088,10,5,1,4,1,0,1,0,9,5,0,4,50.00,10.00,40.00,0,100.00,0,55.56,0,44.44
N00000089,13,4,7,2,0,0,0,0,13,4,7,2,30.77,53.85,15.38,0,0,0,30.77,53.85,15.38
N00000090,9,3,5,1,0,0,0,0,9,3,5,1,33.33,55.56,11.11,0,0,0,33.33,55.56,11.11
N00000091,21,6,8,7,1,0,1,0,20,6,7,7,28.57,38.10,33.33,0,100.00,0,30.00,35.00,35.00
N00000092,8,2,2,4,2,0,2,0,6,2,0,4,25.00,25.00,50.00,0,100.00,0,33.33,0,66.67
N00000093,5,2,1,2,0,0,0,0,5,2,1,2,40.00,20.00,40.00,0,0,0,40.00,20.00,40.00
N00000094,6,0,4,2,2,0,2,0,4,0,2,2,0,66.67,33.33,0,100.00,0,0,50.00,50.00
N00000095,10,3,2,5,1,0,1,0,9,3,1,5,30.00,20.00,50.00,0,100.00,0,33.33,11.11,55.56
N00000096,1,1,0,0,0,0,0,0,1,1,0,0,100.00,0,0,0,0,0,100.00,0,0
N00000097,30,16,8,6,3,1,2,0,27,15,6,6,53.33,26.67,20.00,33.33,66.67,0,55.56,22.22,22.22
N00000098,38,14,13,11,0,0,0,0,38,14,13,11,36.84,34.21,28.95,0,0,0,36.84,34.21,28.95
N00000099,15,10,2,3,0,0,0,0,15,10,2,3,66.67,13.33,20.00,0,0,0,66.67,13.33,20.00
N00000100,17,6,4,7,1,0,1,0,16,6,3,7,35.29,23.53,41.18,0,100.00,0,37.50,18.75,43.75
N00000101,33,8,8,17,1,1,0,0,32,7,8,17,24.24,24.24,51.52,100.00,0,0,21.88,25.00,53.13
N00000102,12,2,3,7,0,0,0,0,12,2,3,7,16.67,25.00,58.33,0,0,0,16.67,25.00,58.33
N00000103,35,16,2,17,3,0,2,1,32,16,0,16,45.71,5.71,48.57,0,66.67,33.33,50.00,0,50.00
N00000104,13,7,4,2,0,0,0,0,13,7,4,2,53.85,30.77,15.38,0,0,0,53.85,30.77,15.38
N00000105,9,5,1,3,0,0,0,0,9,5,1,3,55.56,11.11,33.33,0,0,0,55.56,11.11,33.33
N00000106,14,3,1,10,1,0,0,1,13,3,1,9,21.43,7.14,71.43,0,0,100.00,23.08,7.69,69.23
N00000107,21,6,4,11,1,0,0,1,20,6,4,10,28.57,19.05,52.38,0,0,100.00,30.00,20.00,50.00
N00000108,2,1,0,1,0,0,0,0,2,1,0,1,50.00,0,50.00,0,0,0,50.00,0,50.00
N00000109,19,8,4,7,1,0,0,1,18,8,4,6,42.11,21.05,36.84,0,0,100.00,44.44,22.22,33.33
N00000110,11,6,3,2,0,0,0,0,11,6,3,2,54.55,27.27,18.18,0,0,0,54.55,27.27,18.18
N00000111,7,0,6,1,0,0,0,0,7,0,6,1,0,85.71,14.29,0,0,0,0,85.71,14.29
N00000112,19,8,8,3,3,1,2,0,16,7,6,3,42.11,42.11,15.79,33.33,66.67,0,43.75,37.50,18.75
N00000113,11,2,2,7,2,0,1,1,9,2,1,6,18.18,18.18,63.64,0,50.00,50.00,22.22,11.11,66.67
N00000114,10,3,4,3,0,0,0,0,10,3,4,3,30.00,40.00,30.00,0,0,0,30.00,40.00,30.00
N00000115,20,6,3,11,0,0,0,0,20,6,3,11,30.00,15.00,55.00,0,0,0,30.00,15.00,55.00
N00000116,23,14,4,5,0,0,0,0,23,14,4,5,60.87,17.39,21.74,0,0,0,60.87,17.39,21.74
N00000117,16,3,1,12,4,0,1,3,12,3,0,9,18.75,6.25,75.00,0,25.00,75.00,25.00,0,75.00
N00000118,7,2,3,2,2,0,2,0,5,2,1,2,28.57,42.86,28.57,0,100.00,0,40.00,20.00,40.00
N00000119,4,1,2,1,1,0,1,0,3,1,1,1,25.00,50.00,25.00,0,100.00,0,33.33,33.33,33.33
N00000120,6,0,2,4,0,0,0,0,6,0,2,4,0,33.33,66.67,0,0,0,0,33.33,66.67
N00000121,11,3,4,4,0,0,0,0,11,3,4,4,27.27,36.36,36.36,0,0,0,27.27,36.36,36.36
N00000122,8,3,5,0,1,1,0,0,7,2,5,0,37.50,62.50,0,100.00,0,0,28.57,71.43,0
N00000123,5,2,3,0,1,0,1,0,4,2,2,0,40.00,60.00,0,0,100.00,0,50.00,50.00,0
N00000124,1,0,1,0,0,0,0,0,1,0,1,0,0,100.00,0,0,0,0,0,100.00,0
N00000125,11,4,2,5,2,0,0,2,9,4,2,3,36.36,18.18,45.45,0,0,100.00,44.44,22.22,33.33
N00000126,10,1,6,3,2,0,1,1,8,1,5,2,10.00,60.00,30.00,0,50.00,50.00,12.50,62.50,25.00
N00000127,8,4,4,0,0,0,0,0,8,4,4,0,50.00,50.00,0,0,0,0,50.00,50.00,0
N00000128,12,3,3,6,4,0,3,1,8,3,0,5,25.00,25.00,50.00,0,75.00,25.00,37.50,0,62.50
N00000129,29,8,8,13,3,0,2,1,26,8,6,12,27.59,27.59,44.83,0,66.67,33.33,30.77,23.08,46.15
N00000130,14,4,7,3,2,0,2,0,12,4,5,3,28.57,50.00,21.43,0,100.00,0,33.33,41.67,25.00
N00000131,5,0,2,3,0,0,0,0,5,0,2,3,0,40.00,60.00,0,0,0,0,40.00,60.00
N00000132,5,2,0,3,0,0,0,0,5,2,0,3,40.00,0,60.00,0,0,0,40.00,0,60.00
N00000133,5,1,1,3,0,0,0,0,5,1,1,3,20.00,20.00,60.00,0,0,0,20.00,20.00,60.00
N00000134,11,4,5,2,1,0,1,0,10,4,4,2,36.36,45.45,18.18,0,100.00,0,40.00,40.00,20.00
N00000135,13,3,3,7,3,0,0,3,10,3,3,4,23.08,23.08,53.85,0,0,100.00,30.00,30.00,40.00
N00000136,9,5,4,0,1,0,1,0,8,5,3,0,55.56,44.44,0,0,100.00,0,62.50,37.50,0
N00000137,4,2,1,1,2,1,1,0,2,1,0,1,50.00,25.00,25.00,50.00,50.00,0,50.00,0,50.00
N00000138,11,3,6,2,3,0,1,2,8,3,5,0,27.27,54.55,18.18,0,33.33,66.67,37.50,62.50,0
N00000139,4,3,0,1,0,0,0,0,4,3,0,1,75.00,0,25.00,0,0,0,75.00,0,25.00
N00000140,7,0,3,4,0,0,0,0,7,0,3,4,0,42.86,57.14,0,0,0,0,42.86,57.14
N00000141,18,8,3,7,1,0,1,0,17,8,2,7,44.44,16.67,38.89,0,100.00,0,47.06,11.76,41.18
N00000142,15,3,4,8,4,1,1,2,11,2,3,6,20.00,26.67,53.33,25.00,25.00,50.00,18.18,27.27,54.55
N00000143,12,6,1,5,1,0,0,1,11,6,1,4,50.00,8.33,41.67,0,0,100.00,54.55,9.09,36.36
N00000144,10,3,0,7,2,0,0,2,8,3,0,5,30.00,0,70.00,0,0,100.00,37.50,0,62.50
N00000145,4,3,1,0,1,0,1,0,3,3,0,0,75.00,25.00,0,0,100.00,0,100.00,0,0
N00000146,2,0,1,1,1,0,1,0,1,0,0,1,0,50.00,50.00,0,100.00,0,0,0,100.00
N00000147,13,3,3,7,1,0,1,0,12,3,2,7,23.08,23.08,53.85,0,100.00,0,25.00,16.67,58.33
N00000148,36,10,9,17,3,0,3,0,33,10,6,17,27.78,25.00,47.22,0,100.00,0,30.30,18.18,51.52
N00000149,10,5,5,0,1,0,1,0,9,5,4,0,50.00,50.00,0,0,100.00,0,55.56,44.44,0
N00000150,5,3,1,1,2,1,1,0,3,2,0,1,60.00,20.00,20.00,50.00,50.00,0,66.67,0,33.33
N00000151,8,4,2,2,0,0,0,0,8,4,2,2,50.00,25.00,25.00,0,0,0,50.00,25.00,25.00
N00000152,10,2,4,4,2,1,1,0,8,1,3,4,20.00,40.00,40.00,50.00,50.00,0,12.50,37.50,50.00
N00000153,5,3,0,2,0,0,0,0,5,3,0,2,60.00,0,40.00,0,0,0,60.00,0,40.00
N00000154,6,2,2,2,3,1,1,1,3,1,1,1,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33
N00000155,6,2,2,2,1,0,0,1,5,2,2,1,33.33,33.33,33.33,0,0,100.00,40.00,40.00,20.00
N00000156,6,1,4,1,0,0,0,0,6,1,4,1,16.67,66.67,16.67,0,0,0,16.67,66.67,16.67
N00000157,5,1,2,2,4,1,1,2,1,0,1,0,20.00,40.00,40.00,25.00,25.00,50.00,0,100.00,0
N00000158,24,7,6,11,4,0,3,1,20,7,3,10,29.17,25.00,45.83,0,75.00,25.00,35.00,15.00,50.00
N00000159,6,3,2,1,2,0,1,1,4,3,1,0,50.00,33.33,16.67,0,50.00,50.00,75.00,25.00,0
N00000160,7,4,2,1,0,0,0,0,7,4,2,1,57.14,28.57,14.29,0,0,0,57.14,28.57,14.29
N00000161,4,1,2,1,0,0,0,0,4,1,2,1,25.00,50.00,25.00,0,0,0,25.00,50.00,25.00
N00000162,4,1,0,3,0,0,0,0,4,1,0,3,25.00,0,75.00,0,0,0,25.00,0,75.00
N00000163,15,2,4,9,0,0,0,0,15,2,4,9,13.33,26.67,60.00,0,0,0,13.33,26.67,60.00
N00000164,1,0,1,0,0,0,0,0,1,0,1,0,0,100.00,0,0,0,0,0,100.00,0
N00000165,6,0,3,3,1,0,1,0,5,0,2,3,0,50.00,50.00,0,100.00,0,0,40.00,60.00
N00000166,6,1,1,4,2,0,1,1,4,1,0,3,16.67,16.67,66.67,0,50.00,50.00,25.00,0,75.00
N00000167,6,4,1,1,1,1,0,0,5,3,1,1,66.67,16.67,16.67,100.00,0,0,60.00,20.00,20.00
N00000168,5,3,2,0,0,0,0,0,5,3,2,0,60.00,40.00,0,0,0,0,60.00,40.00,0
N00000169,7,1,3,3,2,0,2,0,5,1,1,3,14.29,42.86,42.86,0,100.00,0,20.00,20.00,60.00
N00000170,15,6,5,4,1,0,0,1,14,6,5,3,40.00,33.33,26.67,0,0,100.00,42.86,35.71,21.43
N00000171,2,0,0,2,1,0,0,1,1,0,0,1,0,0,100.00,0,0,100.00,0,0,100.00
N00000172,11,3,5,3,0,0,0,0,11,3,5,3,27.27,45.45,27.27,0,0,0,27.27,45.45,27.27
N00000173,5,3,2,0,1,0,1,0,4,3,1,0,60.00,40.00,0,0,100.00,0,75.00,25.00,0
N00000174,18,5,5,8,1,0,1,0,17,5,4,8,27.78,27.78,44.44,0,100.00,0,29.41,23.53,47.06
N00000175,7,3,3,1,0,0,0,0,7,3,3,1,42.86,42.86,14.29,0,0,0,42.86,42.86,14.29
N00000176,25,9,4,12,2,0,1,1,23,9,3,11,36.00,16.00,48.00,0,50.00,50.00,39.13,13.04,47.83
N00000177,13,4,2,7,0,0,0,0,13,4,2,7,30.77,15.38,53.85,0,0,0,30.77,15.38,53.85
N00000178,40,21,8,11,3,0,1,2,37,21,7,9,52.50,20.00,27.50,0,33.33,66.67,56.76,18.92,24.32
N00000179,41,12,9,20,6,3,1,2,35,9,8,18,29.27,21.95,48.78,50.00,16.67,33.33,25.71,22.86,51.43
N00000180,13,3,4,6,0,0,0,0,13,3,4,6,23.08,30.77,46.15,0,0,0,23.08,30.77,46.15
N00000181,9,5,2,2,2,1,1,0,7,4,1,2,55.56,22.22,22.22,50.00,50.00,0,57.14,14.29,28.57
N00000182,7,4,0,3,1,0,0,1,6,4,0,2,57.14,0,42.86,0,0,100.00,66.67,0,33.33
N00000183,14,3,3,8,0,0,0,0,14,3,3,8,21.43,21.43,57.14,0,0,0,21.43,21.43,57.14
N00000184,15,5,6,4,3,1,1,1,12,4,5,3,33.33,40.00,26.67,33.33,33.33,33.33,33.33,41.67,25.00
N00000185,1,0,0,1,0,0,0,0,1,0,0,1,0,0,100.00,0,0,0,0,0,100.00
N00000186,31,13,7,11,1,0,0,1,30,13,7,10,41.94,22.58,35.48,0,0,100.00,43.33,23.33,33.33
N00000187,22,10,7,5,2,0,2,0,20,10,5,5,45.45,31.82,22.73,0,100.00,0,50.00,25.00,25.00
N00000188,18,5,4,9,0,0,0,0,18,5,4,9,27.78,22.22,50.00,0,0,0,27.78,22.22,50.00
N00000189,5,3,0,2,0,0,0,0,5,3,0,2,60.00,0,40.00,0,0,0,60.00,0,40.00
N00000190,4,1,2,1,1,0,1,0,3,1,1,1,25.00,50.00,25.00,0,100.00,0,33.33,33.33,33.33
N00000191,2,2,0,0,0,0,0,0,2,2,0,0,100.00,0,0,0,0,0,100.00,0,0
N00000192,7,3,3,1,1,0,1,0,6,3,2,1,42.86,42.86,14.29,0,100.00,0,50.00,33.33,16.67
N00000193,14,4,3,7,2,0,2,0,12,4,1,7,28.57,21.43,50.00,0,100.00,0,33.33,8.33,58.33
N00000194,7,2,5,0,1,0,1,0,6,2,4,0,28.57,71.43,0,0,100.00,0,33.33,66.67,0
N00000195,6,2,1,3,0,0,0,0,6,2,1,3,33.33,16.67,50.00,0,0,0,33.33,16.67,50.00
N00000196,13,5,4,4,0,0,0,0,13,5,4,4,38.46,30.77,30.77,0,0,0,38.46,30.77,30.77
N00000197,8,3,3,2,2,0,1,1,6,3,2,1,37.50,37.50,25.00,0,50.00,50.00,50.00,33.33,16.67
N00000198,4,1,2,1,0,0,0,0,4,1,2,1,25.00,50.00,25.00,0,0,0,25.00,50.00,25.00
N00000199,3,3,0,0,1,1,0,0,2,2,0,0,100.00,0,0,100.00,0,0,100.00,0,0
N00000200,8,5,2,1,1,0,1,0,7,5,1,1,62.50,25.00,12.50,0,100.00,0,71.43,14.29,14.29
N00000201,3,2,0,1,0,0,0,0,3,2,0,1,66.67,0,33.33,0,0,0,66.67,0,33.33
N00000202,5,2,1,2,0,0,0,0,5,2,1,2,40.00,20.00,40.00,0,0,0,40.00,20.00,40.00
N00000203,6,4,2,0,0,0,0,0,6,4,2,0,66.67,33.33,0,0,0,0,66.67,33.33,0
N00000204,13,5,4,4,0,0,0,0,13,5,4,4,38.46,30.77,30.77,0,0,0,38.46,30.77,30.77
N00000205,6,2,4,0,1,0,1,0,5,2,3,0,33.33,66.67,0,0,100.00,0,40.00,60.00,0
N00000206,9,3,5,1,0,0,0,0,9,3,5,1,33.33,55.56,11.11,0,0,0,33.33,55.56,11.11
N00000207,5,1,1,3,0,0,0,0,5,1,1,3,20.00,20.00,60.00,0,0,0,20.00,20.00,60.00
N00000208,4,1,2,1,0,0,0,0,4,1,2,1,25.00,50.00,25.00,0,0,0,25.00,50.00,25.00
N00000209,4,3,1,0,1,0,1,0,3,3,0,0,75.00,25.00,0,0,100.00,0,100.00,0,0
N00000210,17,8,4,5,1,0,1,0,16,8,3,5,47.06,23.53,29.41,0,100.00,0,50.00,18.75,31.25
N00000211,13,4,6,3,2,0,1,1,11,4,5,2,30.77,46.15,23.08,0,50.00,50.00,36.36,45.45,18.18
N00000212,3,0,3,0,0,0,0,0,3,0,3,0,0,100.00,0,0,0,0,0,100.00,0
N00000213,8,1,3,4,3,0,0,3,5,1,3,1,12.50,37.50,50.00,0,0,100.00,20.00,60.00,20.00
N00000214,16,5,5,6,0,0,0,0,16,5,5,6,31.25,31.25,37.50,0,0,0,31.25,31.25,37.50
N00000215,4,1,1,2,1,0,0,1,3,1,1,1,25.00,25.00,50.00,0,0,100.00,33.33,33.33,33.33
N00000216,9,5,2,2,0,0,0,0,9,5,2,2,55.56,22.22,22.22,0,0,0,55.56,22.22,22.22
N00000217,6,1,1,4,0,0,0,0,6,1,1,4,16.67,16.67,66.67,0,0,0,16.67,16.67,66.67
N00000218,6,0,1,5,2,0,1,1,4,0,0,4,0,16.67,83.33,0,50.00,50.00,0,0,100.00
N00000219,19,5,2,12,2,0,1,1,17,5,1,11,26.32,10.53,63.16,0,50.00,50.00,29.41,5.88,64.71
N00000220,22,8,0,14,2,0,0,2,20,8,0,12,36.36,0,63.64,0,0,100.00,40.00,0,60.00
N00000221,17,9,1,7,0,0,0,0,17,9,1,7,52.94,5.88,41.18,0,0,0,52.94,5.88,41.18
N00000222,8,3,4,1,0,0,0,0,8,3,4,1,37.50,50.00,12.50,0,0,0,37.50,50.00,12.50
N00000223,9,5,2,2,1,1,0,0,8,4,2,2,55.56,22.22,22.22,100.00,0,0,50.00,25.00,25.00
N00000224,7,4,1,2,1,0,1,0,6,4,0,2,57.14,14.29,28.57,0,100.00,0,66.67,0,33.33
N00000225,2,1,1,0,0,0,0,0,2,1,1,0,50.00,50.00,0,0,0,0,50.00,50.00,0
N00000226,5,2,1,2,0,0,0,0,5,2,1,2,40.00,20.00,40.00,0,0,0,40.00,20.00,40.00
N00000227,7,2,2,3,0,0,0,0,7,2,2,3,28.57,28.57,42.86,0,0,0,28.57,28.57,42.86
N00000228,5,3,1,1,0,0,0,0,5,3,1,1,60.00,20.00,20.00,0,0,0,60.00,20.00,20.00
N00000229,10,5,4,1,1,1,0,0,9,4,4,1,50.00,40.00,10.00,100.00,0,0,44.44,44.44,11.11
N00000230,22,10,3,9,2,0,1,1,20,10,2,8,45.45,13.64,40.91,0,50.00,50.00,50.00,10.00,40.00
N00000231,34,12,4,18,1,0,1,0,33,12,3,18,35.29,11.76,52.94,0,100.00,0,36.36,9.09,54.55
