GeographyCode,KS208NI0001,KS208NI0002,KS208NI0003,KS208NI0004,KS208NI0005,KS208NI0006,KS208NI0007,KS208NI0008,KS208NI0009
N00001049,125,125,0,0,0,100.00,0,0,0
N00001050,125,122,1,0,2,97.60,0.80,0,1.60
N00001051,117,115,2,0,0,98.29,1.71,0,0
N00001052,100,96,2,0,2,96.00,2.00,0,2.00
N00001053,125,122,0,0,3,97.60,0,0,2.40
N00001054,120,116,3,0,1,96.67,2.50,0,0.83
N00001055,120,116,3,0,1,96.67,2.50,0,0.83
N00001056,127,124,1,0,2,97.64,0.79,0,1.57
N00001057,129,128,1,0,0,99.22,0.78,0,0
N00001058,134,130,2,0,2,97.01,1.49,0,1.49
N00001059,121,117,3,0,1,96.69,2.48,0,0.83
N00001060,106,105,0,0,1,99.06,0,0,0.94
N00001061,102,101,0,0,1,99.02,0,0,0.98
N00001062,113,112,1,0,0,99.12,0.88,0,0
N00001063,123,122,1,0,0,99.19,0.81,0,0
N00001064,272,269,1,0,2,98.90,0.37,0,0.74
N00001065,126,124,1,0,1,98.41,0.79,0,0.79
N00001066,121,119,1,0,1,98.35,0.83,0,0.83
N00001067,133,131,2,0,0,98.50,1.50,0,0
N00001068,154,144,4,0,6,93.51,2.60,0,3.90
N00001069,133,131,0,1,1,98.50,0,0.75,0.75
N00001070,212,207,3,0,2,97.64,1.42,0,0.94
N00001071,137,134,0,0,3,97.81,0,0,2.19
N00001072,143,141,1,0,1,98.60,0.70,0,0.70
N00001073,127,120,1,3,3,94.49,0.79,2.36,2.36
N00001074,109,107,1,0,1,98.17,0.92,0,0.92
N00001075,131,126,3,0,2,96.18,2.29,0,1.53
N00001076,139,135,2,0,2,97.12,1.44,0,1.44
N00001077,131,121,2,0,8,92.37,1.53,0,6.11
N00001078,138,133,3,0,2,96.38,2.17,0,1.45
N00001079,369,347,11,1,10,94.04,2.98,0.27,2.71
N00001080,149,138,8,1,2,92.62,5.37,0.67,1.34
N00001081,168,159,3,3,3,94.64,1.79,1.79,1.79
N00001082,180,167,6,0,7,92.78,3.33,0,3.89
N00001083,162,158,2,0,2,97.53,1.23,0,1.23
N00001084,177,174,2,0,1,98.31,1.13,0,0.56
N00001085,438,422,10,0,6,96.35,2.28,0,1.37
N00001086,131,127,0,1,3,96.95,0,0.76,2.29
N00001087,107,99,3,0,5,92.52,2.80,0,4.67
N00001088,107,103,3,0,1,96.26,2.80,0,0.93
N00001089,136,128,4,2,2,94.12,2.94,1.47,1.47
N00001090,106,101,2,0,3,95.28,1.89,0,2.83
N00001091,130,125,3,0,2,96.15,2.31,0,1.54
N00001092,146,141,2,0,3,96.58,1.37,0,2.05
