GeographyCode,KS102NI0001,KS102NI0002,KS102NI0003,KS102NI0004,KS102NI0005,KS102NI0006,KS102NI0007,KS102NI0008,KS102NI0009,KS102NI0010,KS102NI0011,KS102NI0012,KS102NI0013,KS102NI0014,KS102NI0015,KS102NI0016,KS102NI0017,KS102NI0018,KS102NI0019,KS102NI0020,KS102NI0021,KS102NI0022,KS102NI0023,KS102NI0024,KS102NI0025,KS102NI0026,KS102NI0027,KS102NI0028,KS102NI0029,KS102NI0030,KS102NI0031,KS102NI0032,KS102NI0033,KS102NI0034,KS102NI0035
N00000050,299,11,8,7,17,2,5,10,14,12,59,72,22,38,15,4,3,43.63,45,3.68,2.68,2.34,5.69,0.67,1.67,3.34,4.68,4.01,19.73,24.08,7.36,12.71,5.02,1.34,1.00
N00000051,313,23,17,7,30,5,7,3,26,20,64,62,13,24,9,3,0,34.96,33,7.35,5.43,2.24,9.58,1.60,2.24,0.96,8.31,6.39,20.45,19.81,4.15,7.67,2.88,0.96,0
N00000052,309,22,8,8,22,4,11,7,17,30,54,64,17,31,10,4,0,37.73,35,7.12,2.59,2.59,7.12,1.29,3.56,2.27,5.50,9.71,17.48,20.71,5.50,10.03,3.24,1.29,0
N00000053,261,20,6,7,14,6,7,10,23,26,54,46,12,18,8,2,2,35.34,33,7.66,2.30,2.68,5.36,2.30,2.68,3.83,8.81,9.96,20.69,17.62,4.60,6.90,3.07,0.77,0.77
N00000054,266,30,6,9,21,5,8,6,16,32,52,50,12,17,2,0,0,32.33,30,11.28,2.26,3.38,7.89,1.88,3.01,2.26,6.02,12.03,19.55,18.80,4.51,6.39,0.75,0,0
N00000055,266,12,6,5,11,3,7,9,19,10,50,58,13,38,19,6,0,43.26,45,4.51,2.26,1.88,4.14,1.13,2.63,3.38,7.14,3.76,18.80,21.80,4.89,14.29,7.14,2.26,0
N00000056,283,19,7,6,9,3,6,7,15,20,61,52,20,38,17,3,0,41.71,41,6.71,2.47,2.12,3.18,1.06,2.12,2.47,5.30,7.07,21.55,18.37,7.07,13.43,6.01,1.06,0
N00000057,279,33,13,6,26,4,10,10,12,23,68,43,13,13,5,0,0,30.89,30,11.83,4.66,2.15,9.32,1.43,3.58,3.58,4.30,8.24,24.37,15.41,4.66,4.66,1.79,0,0
N00000058,266,29,12,6,18,3,7,7,22,31,49,48,15,12,4,3,0,32.43,29,10.90,4.51,2.26,6.77,1.13,2.63,2.63,8.27,11.65,18.42,18.05,5.64,4.51,1.50,1.13,0
N00000059,226,15,9,9,15,0,4,8,15,23,52,33,21,14,6,1,1,35.68,33,6.64,3.98,3.98,6.64,0,1.77,3.54,6.64,10.18,23.01,14.60,9.29,6.19,2.65,0.44,0.44
N00000060,394,35,20,10,21,2,9,7,30,34,89,63,23,29,20,0,2,35.95,35,8.88,5.08,2.54,5.33,0.51,2.28,1.78,7.61,8.63,22.59,15.99,5.84,7.36,5.08,0,0.51
N00000061,273,13,9,4,8,1,5,6,7,12,43,53,27,57,20,7,1,48.06,51,4.76,3.30,1.47,2.93,0.37,1.83,2.20,2.56,4.40,15.75,19.41,9.89,20.88,7.33,2.56,0.37
N00000062,351,13,7,5,22,5,11,11,27,13,58,64,41,47,22,4,1,43.64,46,3.70,1.99,1.42,6.27,1.42,3.13,3.13,7.69,3.70,16.52,18.23,11.68,13.39,6.27,1.14,0.28
N00000063,431,24,11,10,23,7,10,9,26,33,80,71,23,24,33,25,22,43.97,41,5.57,2.55,2.32,5.34,1.62,2.32,2.09,6.03,7.66,18.56,16.47,5.34,5.57,7.66,5.80,5.10
N00000064,279,14,11,8,24,4,6,6,23,20,60,50,23,18,11,1,0,36.27,35,5.02,3.94,2.87,8.60,1.43,2.15,2.15,8.24,7.17,21.51,17.92,8.24,6.45,3.94,0.36,0
N00000065,389,13,8,7,30,4,6,16,26,17,59,98,32,56,14,2,1,42.82,47,3.34,2.06,1.80,7.71,1.03,1.54,4.11,6.68,4.37,15.17,25.19,8.23,14.40,3.60,0.51,0.26
N00000066,264,12,6,4,8,2,5,3,14,19,42,49,33,46,19,1,1,46.26,52,4.55,2.27,1.52,3.03,0.76,1.89,1.14,5.30,7.20,15.91,18.56,12.50,17.42,7.20,0.38,0.38
N00000067,316,28,8,6,25,6,14,3,23,23,70,54,20,27,9,0,0,35.13,33,8.86,2.53,1.90,7.91,1.90,4.43,0.95,7.28,7.28,22.15,17.09,6.33,8.54,2.85,0,0
N00000068,371,19,18,5,29,7,15,12,21,11,71,75,31,36,18,2,1,39.25,41,5.12,4.85,1.35,7.82,1.89,4.04,3.23,5.66,2.96,19.14,20.22,8.36,9.70,4.85,0.54,0.27
N00000069,334,35,11,15,30,5,13,15,32,18,63,52,11,24,8,2,0,31.51,27,10.48,3.29,4.49,8.98,1.50,3.89,4.49,9.58,5.39,18.86,15.57,3.29,7.19,2.40,0.60,0
N00000070,243,5,5,4,6,7,6,6,8,7,30,53,24,50,23,6,3,50.62,56,2.06,2.06,1.65,2.47,2.88,2.47,2.47,3.29,2.88,12.35,21.81,9.88,20.58,9.47,2.47,1.23
N00000071,283,17,2,4,5,1,4,1,11,26,45,55,22,42,35,11,2,49.11,50,6.01,0.71,1.41,1.77,0.35,1.41,0.35,3.89,9.19,15.90,19.43,7.77,14.84,12.37,3.89,0.71
N00000072,1753,154,98,54,131,26,50,31,84,144,551,263,54,67,39,7,0,31.84,33,8.78,5.59,3.08,7.47,1.48,2.85,1.77,4.79,8.21,31.43,15.00,3.08,3.82,2.22,0.40,0
N00000073,521,23,7,6,15,3,4,6,30,55,103,71,34,58,63,23,20,48.14,46,4.41,1.34,1.15,2.88,0.58,0.77,1.15,5.76,10.56,19.77,13.63,6.53,11.13,12.09,4.41,3.84
N00000074,1047,127,50,30,68,8,20,12,39,115,368,136,28,38,7,1,0,30.15,31,12.13,4.78,2.87,6.49,0.76,1.91,1.15,3.72,10.98,35.15,12.99,2.67,3.63,0.67,0.10,0
N00000075,410,15,11,7,21,5,12,24,68,36,77,61,21,30,13,6,3,36.08,31,3.66,2.68,1.71,5.12,1.22,2.93,5.85,16.59,8.78,18.78,14.88,5.12,7.32,3.17,1.46,0.73
N00000076,344,34,14,10,20,8,14,11,19,7,90,60,11,21,22,1,2,35.52,38,9.88,4.07,2.91,5.81,2.33,4.07,3.20,5.52,2.03,26.16,17.44,3.20,6.10,6.40,0.29,0.58
N00000077,275,12,5,5,25,6,4,9,24,14,48,66,19,16,18,2,2,39.44,40,4.36,1.82,1.82,9.09,2.18,1.45,3.27,8.73,5.09,17.45,24.00,6.91,5.82,6.55,0.73,0.73
N00000078,488,48,41,18,43,8,12,10,19,18,174,61,8,19,5,4,0,29.66,33,9.84,8.40,3.69,8.81,1.64,2.46,2.05,3.89,3.69,35.66,12.50,1.64,3.89,1.02,0.82,0
N00000079,564,40,14,28,51,8,20,15,31,18,119,132,26,38,21,3,0,36.32,39,7.09,2.48,4.96,9.04,1.42,3.55,2.66,5.50,3.19,21.10,23.40,4.61,6.74,3.72,0.53,0
N00000080,424,27,22,11,35,5,12,13,23,11,91,107,25,27,13,2,0,36.80,40,6.37,5.19,2.59,8.25,1.18,2.83,3.07,5.42,2.59,21.46,25.24,5.90,6.37,3.07,0.47,0
N00000081,339,19,9,6,20,6,12,10,9,14,64,92,14,39,16,4,5,41.82,45,5.60,2.65,1.77,5.90,1.77,3.54,2.95,2.65,4.13,18.88,27.14,4.13,11.50,4.72,1.18,1.47
N00000082,342,8,11,12,28,6,9,4,22,17,55,78,28,44,14,5,1,42.13,44,2.34,3.22,3.51,8.19,1.75,2.63,1.17,6.43,4.97,16.08,22.81,8.19,12.87,4.09,1.46,0.29
N00000083,650,29,24,18,66,10,32,13,39,17,154,149,41,39,14,2,3,36.38,39,4.46,3.69,2.77,10.15,1.54,4.92,2.00,6.00,2.62,23.69,22.92,6.31,6.00,2.15,0.31,0.46
N00000084,456,30,15,11,40,4,12,18,23,11,84,110,30,46,17,4,1,38.98,43,6.58,3.29,2.41,8.77,0.88,2.63,3.95,5.04,2.41,18.42,24.12,6.58,10.09,3.73,0.88,0.22
N00000085,437,33,16,8,25,1,10,9,32,28,80,82,17,42,31,9,14,41.17,40,7.55,3.66,1.83,5.72,0.23,2.29,2.06,7.32,6.41,18.31,18.76,3.89,9.61,7.09,2.06,3.20
N00000086,395,38,19,11,30,5,9,11,31,36,77,80,15,20,11,1,1,32.59,30,9.62,4.81,2.78,7.59,1.27,2.28,2.78,7.85,9.11,19.49,20.25,3.80,5.06,2.78,0.25,0.25
N00000087,913,72,44,18,86,9,32,25,49,48,188,207,39,63,30,2,1,35.21,37,7.89,4.82,1.97,9.42,0.99,3.50,2.74,5.37,5.26,20.59,22.67,4.27,6.90,3.29,0.22,0.11
N00000088,216,3,1,2,12,2,5,1,12,7,42,28,15,44,25,9,8,52.48,54,1.39,0.46,0.93,5.56,0.93,2.31,0.46,5.56,3.24,19.44,12.96,6.94,20.37,11.57,4.17,3.70
N00000089,478,49,17,14,39,7,19,11,24,33,119,85,21,22,14,4,0,33.10,32,10.25,3.56,2.93,8.16,1.46,3.97,2.30,5.02,6.90,24.90,17.78,4.39,4.60,2.93,0.84,0
N00000090,392,19,16,11,41,5,14,12,27,21,95,82,10,22,13,2,2,35.03,36,4.85,4.08,2.81,10.46,1.28,3.57,3.06,6.89,5.36,24.23,20.92,2.55,5.61,3.32,0.51,0.51
N00000091,476,42,31,24,25,4,9,5,36,43,107,85,19,34,9,0,3,33.13,32,8.82,6.51,5.04,5.25,0.84,1.89,1.05,7.56,9.03,22.48,17.86,3.99,7.14,1.89,0,0.63
N00000092,504,42,21,15,47,8,8,11,24,12,107,111,23,41,26,7,1,37.64,40,8.33,4.17,2.98,9.33,1.59,1.59,2.18,4.76,2.38,21.23,22.02,4.56,8.13,5.16,1.39,0.20
N00000093,421,21,10,11,31,8,13,14,29,19,53,92,27,42,38,10,3,42.21,45,4.99,2.38,2.61,7.36,1.90,3.09,3.33,6.89,4.51,12.59,21.85,6.41,9.98,9.03,2.38,0.71
N00000094,492,22,22,9,41,13,12,7,30,30,94,109,29,42,26,4,2,38.94,40,4.47,4.47,1.83,8.33,2.64,2.44,1.42,6.10,6.10,19.11,22.15,5.89,8.54,5.28,0.81,0.41
N00000095,468,31,32,17,27,8,16,11,38,19,85,96,32,32,19,4,1,36.12,38,6.62,6.84,3.63,5.77,1.71,3.42,2.35,8.12,4.06,18.16,20.51,6.84,6.84,4.06,0.85,0.21
N00000096,464,17,11,7,20,6,12,15,34,18,79,117,49,46,26,6,1,43.39,46,3.66,2.37,1.51,4.31,1.29,2.59,3.23,7.33,3.88,17.03,25.22,10.56,9.91,5.60,1.29,0.22
N00000097,850,88,39,24,65,13,24,22,57,73,259,123,25,23,12,1,2,30.21,30,10.35,4.59,2.82,7.65,1.53,2.82,2.59,6.71,8.59,30.47,14.47,2.94,2.71,1.41,0.12,0.24
N00000098,1192,137,38,36,51,14,25,34,64,136,377,163,36,55,22,4,0,31.56,31,11.49,3.19,3.02,4.28,1.17,2.10,2.85,5.37,11.41,31.63,13.67,3.02,4.61,1.85,0.34,0
N00000099,258,16,13,7,14,6,7,6,13,20,49,55,14,16,17,4,1,38.41,37,6.20,5.04,2.71,5.43,2.33,2.71,2.33,5.04,7.75,18.99,21.32,5.43,6.20,6.59,1.55,0.39
N00000100,341,24,13,8,16,3,4,7,26,34,72,69,19,23,17,5,1,37.82,35,7.04,3.81,2.35,4.69,0.88,1.17,2.05,7.62,9.97,21.11,20.23,5.57,6.74,4.99,1.47,0.29
N00000101,282,43,17,6,18,2,10,10,29,35,55,39,9,6,3,0,0,27.20,25,15.25,6.03,2.13,6.38,0.71,3.55,3.55,10.28,12.41,19.50,13.83,3.19,2.13,1.06,0,0
N00000102,318,26,9,8,19,4,14,6,22,11,72,74,20,25,4,4,0,36.45,37,8.18,2.83,2.52,5.97,1.26,4.40,1.89,6.92,3.46,22.64,23.27,6.29,7.86,1.26,1.26,0
N00000103,623,67,37,21,37,8,6,12,40,60,155,95,31,31,14,7,2,32.95,32,10.75,5.94,3.37,5.94,1.28,0.96,1.93,6.42,9.63,24.88,15.25,4.98,4.98,2.25,1.12,0.32
N00000104,322,40,16,10,19,4,8,6,21,43,87,49,10,7,2,0,0,29.03,29,12.42,4.97,3.11,5.90,1.24,2.48,1.86,6.52,13.35,27.02,15.22,3.11,2.17,0.62,0,0
N00000105,327,16,8,4,19,0,10,9,31,32,55,60,26,35,19,2,1,40.22,40,4.89,2.45,1.22,5.81,0,3.06,2.75,9.48,9.79,16.82,18.35,7.95,10.70,5.81,0.61,0.31
N00000106,198,11,9,4,22,4,2,5,12,7,57,26,15,15,9,0,0,35.75,35,5.56,4.55,2.02,11.11,2.02,1.01,2.53,6.06,3.54,28.79,13.13,7.58,7.58,4.55,0,0
N00000107,269,27,15,6,19,2,5,6,23,21,55,41,17,22,10,0,0,34.14,32,10.04,5.58,2.23,7.06,0.74,1.86,2.23,8.55,7.81,20.45,15.24,6.32,8.18,3.72,0,0
N00000108,243,8,9,7,12,2,6,4,10,14,36,51,17,31,28,6,2,45.80,48,3.29,3.70,2.88,4.94,0.82,2.47,1.65,4.12,5.76,14.81,20.99,7.00,12.76,11.52,2.47,0.82
N00000109,512,54,15,12,17,5,9,7,43,53,150,67,14,42,21,3,0,34.35,32,10.55,2.93,2.34,3.32,0.98,1.76,1.37,8.40,10.35,29.30,13.09,2.73,8.20,4.10,0.59,0
N00000110,258,12,11,4,9,1,13,3,22,23,55,57,12,25,10,1,0,38.33,39,4.65,4.26,1.55,3.49,0.39,5.04,1.16,8.53,8.91,21.32,22.09,4.65,9.69,3.88,0.39,0
N00000111,356,23,16,6,25,4,9,7,17,31,59,79,25,39,15,1,0,38.88,40,6.46,4.49,1.69,7.02,1.12,2.53,1.97,4.78,8.71,16.57,22.19,7.02,10.96,4.21,0.28,0
N00000112,402,26,20,15,34,5,19,14,33,21,107,70,13,22,3,0,0,31.88,32,6.47,4.98,3.73,8.46,1.24,4.73,3.48,8.21,5.22,26.62,17.41,3.23,5.47,0.75,0,0
N00000113,309,24,12,8,24,4,5,5,16,27,74,61,28,14,7,0,0,35.43,35,7.77,3.88,2.59,7.77,1.29,1.62,1.62,5.18,8.74,23.95,19.74,9.06,4.53,2.27,0,0
N00000114,318,20,5,4,28,3,3,7,24,22,58,72,28,41,1,2,0,39.07,41,6.29,1.57,1.26,8.81,0.94,0.94,2.20,7.55,6.92,18.24,22.64,8.81,12.89,0.31,0.63,0
N00000115,302,31,9,7,11,2,11,10,28,22,59,55,20,19,17,0,1,35.91,35,10.26,2.98,2.32,3.64,0.66,3.64,3.31,9.27,7.28,19.54,18.21,6.62,6.29,5.63,0,0.33
N00000116,287,21,21,1,19,2,8,8,21,36,58,45,18,26,3,0,0,34.02,31,7.32,7.32,0.35,6.62,0.70,2.79,2.79,7.32,12.54,20.21,15.68,6.27,9.06,1.05,0,0
N00000117,168,16,7,1,13,6,3,5,13,16,30,31,10,12,3,1,1,34.31,31,9.52,4.17,0.60,7.74,3.57,1.79,2.98,7.74,9.52,17.86,18.45,5.95,7.14,1.79,0.60,0.60
N00000118,333,7,10,3,19,3,8,8,12,30,48,76,36,38,29,6,0,45.57,49,2.10,3.00,0.90,5.71,0.90,2.40,2.40,3.60,9.01,14.41,22.82,10.81,11.41,8.71,1.80,0
N00000119,289,17,4,1,13,1,12,4,11,10,32,71,33,48,28,2,2,48.18,54,5.88,1.38,0.35,4.50,0.35,4.15,1.38,3.81,3.46,11.07,24.57,11.42,16.61,9.69,0.69,0.69
N00000120,323,11,4,5,20,8,16,5,12,13,37,73,39,42,30,6,2,46.20,49,3.41,1.24,1.55,6.19,2.48,4.95,1.55,3.72,4.02,11.46,22.60,12.07,13.00,9.29,1.86,0.62
N00000121,293,21,7,5,11,4,5,10,19,17,64,40,22,53,15,0,0,41.58,41,7.17,2.39,1.71,3.75,1.37,1.71,3.41,6.48,5.80,21.84,13.65,7.51,18.09,5.12,0,0
N00000122,481,34,20,9,28,5,12,8,15,17,106,103,45,57,19,3,0,40.56,41,7.07,4.16,1.87,5.82,1.04,2.49,1.66,3.12,3.53,22.04,21.41,9.36,11.85,3.95,0.62,0
N00000123,351,13,13,8,24,4,10,7,15,8,46,94,23,52,27,7,0,44.46,47,3.70,3.70,2.28,6.84,1.14,2.85,1.99,4.27,2.28,13.11,26.78,6.55,14.81,7.69,1.99,0
N00000124,369,22,8,2,8,4,3,3,13,18,70,66,34,52,31,21,14,50.11,53,5.96,2.17,0.54,2.17,1.08,0.81,0.81,3.52,4.88,18.97,17.89,9.21,14.09,8.40,5.69,3.79
