GeographyCode,KS405NI0001,KS405NI0002,KS405NI0003,KS405NI0004,KS405NI0005,KS405NI0006,KS405NI0007,KS405NI0008,KS405NI0009,KS405NI0010,KS405NI0011,KS405NI0012
N00000048,125,31,70,18,4,2,127,24.80,56.00,14.40,3.20,1.60
N00000049,123,33,65,19,5,1,122,26.83,52.85,15.45,4.07,0.81
N00000050,135,20,53,47,9,6,199,14.81,39.26,34.81,6.67,4.44
N00000051,124,56,56,6,4,2,94,45.16,45.16,4.84,3.23,1.61
N00000052,120,38,53,19,7,3,126,31.67,44.17,15.83,5.83,2.50
N00000053,108,46,46,16,0,0,78,42.59,42.59,14.81,0,0
N00000054,111,29,57,19,4,2,116,26.13,51.35,17.12,3.60,1.80
N00000055,117,22,71,19,2,3,132,18.80,60.68,16.24,1.71,2.56
N00000056,119,39,50,21,9,0,119,32.77,42.02,17.65,7.56,0
N00000057,118,62,44,11,1,0,69,52.54,37.29,9.32,0.85,0
N00000058,121,48,55,14,3,1,96,39.67,45.45,11.57,2.48,0.83
N00000059,110,57,46,7,0,0,60,51.82,41.82,6.36,0,0
N00000060,180,90,76,11,2,1,108,50.00,42.22,6.11,1.11,0.56
N00000061,129,22,54,45,7,1,169,17.05,41.86,34.88,5.43,0.78
N00000062,130,12,41,57,14,6,226,9.23,31.54,43.85,10.77,4.62
N00000063,155,66,54,27,7,1,133,42.58,34.84,17.42,4.52,0.65
N00000064,133,58,63,8,3,1,93,43.61,47.37,6.02,2.26,0.75
N00000065,146,8,79,50,4,5,211,5.48,54.11,34.25,2.74,3.42
N00000066,110,10,50,39,11,0,161,9.09,45.45,35.45,10.00,0
N00000067,134,54,56,17,5,2,113,40.30,41.79,12.69,3.73,1.49
N00000068,124,6,46,53,16,3,214,4.84,37.10,42.74,12.90,2.42
N00000069,145,92,41,10,1,1,68,63.45,28.28,6.90,0.69,0.69
N00000070,104,18,45,36,4,1,133,17.31,43.27,34.62,3.85,0.96
N00000071,136,39,69,25,2,1,129,28.68,50.74,18.38,1.47,0.74
N00000072,634,73,275,248,32,6,892,11.51,43.38,39.12,5.05,0.95
N00000073,249,99,110,35,2,3,199,39.76,44.18,14.06,0.80,1.20
N00000074,386,29,163,166,27,1,580,7.51,42.23,43.01,6.99,0.26
N00000075,111,16,55,33,5,2,145,14.41,49.55,29.73,4.50,1.80
N00000076,114,15,49,43,5,2,158,13.16,42.98,37.72,4.39,1.75
N00000077,98,8,48,32,8,2,145,8.16,48.98,32.65,8.16,2.04
N00000078,161,6,70,72,12,1,254,3.73,43.48,44.72,7.45,0.62
N00000079,192,6,58,86,26,16,379,3.13,30.21,44.79,13.54,8.33
N00000080,146,3,33,80,20,10,295,2.05,22.60,54.79,13.70,6.85
N00000081,140,20,48,51,16,5,220,14.29,34.29,36.43,11.43,3.57
N00000082,132,2,43,58,18,11,265,1.52,32.58,43.94,13.64,8.33
N00000083,208,7,45,98,38,20,448,3.37,21.63,47.12,18.27,9.62
N00000084,153,8,24,81,26,14,326,5.23,15.69,52.94,16.99,9.15
N00000085,180,59,80,33,5,3,175,32.78,44.44,18.33,2.78,1.67
N00000086,142,24,56,53,6,3,192,16.90,39.44,37.32,4.23,2.11
N00000087,303,21,104,128,40,10,528,6.93,34.32,42.24,13.20,3.30
N00000088,136,60,64,9,2,1,92,44.12,47.06,6.62,1.47,0.74
N00000089,164,14,71,65,9,5,248,8.54,43.29,39.63,5.49,3.05
N00000090,138,15,61,52,7,3,198,10.87,44.20,37.68,5.07,2.17
N00000091,176,28,80,49,11,8,250,15.91,45.45,27.84,6.25,4.55
N00000092,168,17,43,76,22,10,302,10.12,25.60,45.24,13.10,5.95
N00000093,140,11,49,50,24,6,248,7.86,35.00,35.71,17.14,4.29
N00000094,161,6,40,66,24,25,354,3.73,24.84,40.99,14.91,15.53
N00000095,152,5,51,63,20,13,297,3.29,33.55,41.45,13.16,8.55
N00000096,158,6,47,63,26,16,320,3.80,29.75,39.87,16.46,10.13
N00000097,296,25,138,119,10,4,424,8.45,46.62,40.20,3.38,1.35
N00000098,446,27,235,156,19,9,642,6.05,52.69,34.98,4.26,2.02
N00000099,107,43,40,22,2,0,90,40.19,37.38,20.56,1.87,0
N00000100,164,58,76,21,9,0,145,35.37,46.34,12.80,5.49,0
N00000101,122,54,59,8,1,0,78,44.26,48.36,6.56,0.82,0
N00000102,125,20,60,38,7,0,157,16.00,48.00,30.40,5.60,0
N00000103,205,51,80,66,8,0,236,24.88,39.02,32.20,3.90,0
N00000104,130,41,65,22,2,0,115,31.54,50.00,16.92,1.54,0
N00000105,148,60,71,16,1,0,106,40.54,47.97,10.81,0.68,0
N00000106,103,48,48,7,0,0,62,46.60,46.60,6.80,0,0
N00000107,120,51,56,12,1,0,83,42.50,46.67,10.00,0.83,0
N00000108,110,25,47,24,11,3,140,22.73,42.73,21.82,10.00,2.73
N00000109,229,67,125,33,3,1,204,29.26,54.59,14.41,1.31,0.44
N00000110,122,39,64,16,2,1,110,31.97,52.46,13.11,1.64,0.82
N00000111,136,7,74,39,12,4,205,5.15,54.41,28.68,8.82,2.94
N00000112,143,31,66,40,5,1,165,21.68,46.15,27.97,3.50,0.70
N00000113,122,29,59,27,4,3,138,23.77,48.36,22.13,3.28,2.46
N00000114,121,10,67,36,7,1,164,8.26,55.37,29.75,5.79,0.83
N00000115,128,48,60,16,3,1,105,37.50,46.88,12.50,2.34,0.78
N00000116,119,35,58,23,2,1,114,29.41,48.74,19.33,1.68,0.84
N00000117,86,60,21,5,0,0,31,69.77,24.42,5.81,0,0
N00000118,143,19,59,47,12,6,216,13.29,41.26,32.87,8.39,4.20
N00000119,125,5,50,53,13,4,214,4.00,40.00,42.40,10.40,3.20
N00000120,127,5,47,50,14,11,239,3.94,37.01,39.37,11.02,8.66
N00000121,124,15,65,37,6,1,161,12.10,52.42,29.84,4.84,0.81
N00000122,199,4,81,91,18,5,337,2.01,40.70,45.73,9.05,2.51
N00000123,143,7,53,67,12,4,240,4.90,37.06,46.85,8.39,2.80
N00000124,143,11,49,64,17,2,236,7.69,34.27,44.76,11.89,1.40
N00000125,148,10,60,46,17,15,268,6.76,40.54,31.08,11.49,10.14
N00000126,134,11,48,44,21,10,239,8.21,35.82,32.84,15.67,7.46
N00000127,130,11,63,36,16,4,207,8.46,48.46,27.69,12.31,3.08
N00000128,282,26,77,113,38,28,546,9.22,27.30,40.07,13.48,9.93
N00000129,138,50,73,11,3,1,108,36.23,52.90,7.97,2.17,0.72
N00000130,152,1,38,86,17,10,302,0.66,25.00,56.58,11.18,6.58
N00000131,136,2,39,62,23,10,277,1.47,28.68,45.59,16.91,7.35
N00000132,121,9,26,49,23,14,253,7.44,21.49,40.50,19.01,11.57
N00000133,139,33,52,38,9,7,190,23.74,37.41,27.34,6.47,5.04
N00000134,177,14,72,71,17,3,277,7.91,40.68,40.11,9.60,1.69
N00000135,119,22,55,29,11,2,155,18.49,46.22,24.37,9.24,1.68
N00000136,188,7,69,89,18,5,322,3.72,36.70,47.34,9.57,2.66
N00000137,120,7,50,49,12,2,192,5.83,41.67,40.83,10.00,1.67
N00000138,155,4,42,80,23,6,299,2.58,27.10,51.61,14.84,3.87
N00000139,133,27,67,29,8,2,157,20.30,50.38,21.80,6.02,1.50
N00000140,158,43,66,37,8,4,180,27.22,41.77,23.42,5.06,2.53
N00000141,220,106,95,17,2,0,135,48.18,43.18,7.73,0.91,0
N00000142,96,31,50,11,4,0,84,32.29,52.08,11.46,4.17,0
N00000143,123,59,52,11,0,1,78,47.97,42.28,8.94,0,0.81
N00000144,110,39,55,16,0,0,87,35.45,50.00,14.55,0,0
N00000145,75,41,26,7,1,0,43,54.67,34.67,9.33,1.33,0
N00000146,105,11,30,38,12,14,205,10.48,28.57,36.19,11.43,13.33
N00000147,106,41,49,14,2,0,83,38.68,46.23,13.21,1.89,0
N00000148,279,49,144,76,8,2,330,17.56,51.61,27.24,2.87,0.72
N00000149,187,33,89,55,7,3,232,17.65,47.59,29.41,3.74,1.60
N00000150,149,15,67,57,9,1,212,10.07,44.97,38.26,6.04,0.67
N00000151,131,34,60,29,7,1,143,25.95,45.80,22.14,5.34,0.76
N00000152,131,37,74,20,0,0,114,28.24,56.49,15.27,0,0
N00000153,111,31,57,18,5,0,108,27.93,51.35,16.22,4.50,0
N00000154,108,24,44,29,8,3,138,22.22,40.74,26.85,7.41,2.78
N00000155,128,16,54,40,10,8,200,12.50,42.19,31.25,7.81,6.25
N00000156,127,7,60,52,6,2,192,5.51,47.24,40.94,4.72,1.57
N00000157,139,11,48,53,19,8,246,7.91,34.53,38.13,13.67,5.76
N00000158,286,21,135,105,19,6,427,7.34,47.20,36.71,6.64,2.10
N00000159,116,50,45,15,5,1,94,43.10,38.79,12.93,4.31,0.86
N00000160,124,23,57,32,10,2,160,18.55,45.97,25.81,8.06,1.61
N00000161,128,1,35,70,17,5,248,0.78,27.34,54.69,13.28,3.91
N00000162,115,17,52,30,15,1,161,14.78,45.22,26.09,13.04,0.87
N00000163,155,56,79,12,8,0,127,36.13,50.97,7.74,5.16,0
N00000164,118,6,34,61,13,4,214,5.08,28.81,51.69,11.02,3.39
N00000165,135,13,46,50,21,5,244,9.63,34.07,37.04,15.56,3.70
N00000166,122,12,58,44,6,2,177,9.84,47.54,36.07,4.92,1.64
N00000167,149,15,55,55,18,6,243,10.07,36.91,36.91,12.08,4.03
N00000168,145,6,69,57,9,4,226,4.14,47.59,39.31,6.21,2.76
N00000169,279,21,91,109,42,16,506,7.53,32.62,39.07,15.05,5.73
N00000170,139,15,46,65,9,4,221,10.79,33.09,46.76,6.47,2.88
N00000171,146,4,37,59,30,16,313,2.74,25.34,40.41,20.55,10.96
N00000172,307,21,97,134,41,14,549,6.84,31.60,43.65,13.36,4.56
N00000173,144,7,47,61,19,10,270,4.86,32.64,42.36,13.19,6.94
N00000174,163,47,69,40,5,2,172,28.83,42.33,24.54,3.07,1.23
N00000175,140,9,51,59,12,9,248,6.43,36.43,42.14,8.57,6.43
N00000176,205,78,84,32,9,2,183,38.05,40.98,15.61,4.39,0.98
N00000177,167,51,85,24,7,0,154,30.54,50.90,14.37,4.19,0
N00000178,355,156,161,33,5,0,242,43.94,45.35,9.30,1.41,0
N00000179,492,237,199,45,9,2,324,48.17,40.45,9.15,1.83,0.41
N00000180,131,55,65,9,2,0,89,41.98,49.62,6.87,1.53,0
N00000181,168,65,81,21,0,1,127,38.69,48.21,12.50,0,0.60
N00000182,105,22,56,25,2,0,112,20.95,53.33,23.81,1.90,0
N00000183,146,28,78,32,5,3,170,19.18,53.42,21.92,3.42,2.05
N00000184,184,44,104,30,4,2,184,23.91,56.52,16.30,2.17,1.09
N00000185,121,46,42,22,9,2,121,38.02,34.71,18.18,7.44,1.65
N00000186,137,32,71,31,2,1,143,23.36,51.82,22.63,1.46,0.73
N00000187,126,40,69,14,2,1,107,31.75,54.76,11.11,1.59,0.79
N00000188,128,27,63,32,3,3,152,21.09,49.22,25.00,2.34,2.34
N00000189,125,4,40,54,21,6,237,3.20,32.00,43.20,16.80,4.80
N00000190,119,4,47,52,14,2,201,3.36,39.50,43.70,11.76,1.68
N00000191,124,7,57,44,10,6,199,5.65,45.97,35.48,8.06,4.84
N00000192,120,14,55,38,9,4,177,11.67,45.83,31.67,7.50,3.33
N00000193,111,44,49,14,3,1,90,39.64,44.14,12.61,2.70,0.90
N00000194,119,30,53,31,5,0,130,25.21,44.54,26.05,4.20,0
N00000195,123,36,71,13,2,1,107,29.27,57.72,10.57,1.63,0.81
N00000196,116,50,52,13,1,0,81,43.10,44.83,11.21,0.86,0
N00000197,115,0,48,57,9,1,193,0,41.74,49.57,7.83,0.87
N00000198,110,4,42,42,17,5,200,3.64,38.18,38.18,15.45,4.55
N00000199,130,8,56,51,13,2,206,6.15,43.08,39.23,10.00,1.54
N00000200,124,10,49,54,8,3,193,8.06,39.52,43.55,6.45,2.42
N00000201,143,14,68,49,10,2,204,9.79,47.55,34.27,6.99,1.40
N00000202,132,6,49,56,16,5,229,4.55,37.12,42.42,12.12,3.79
N00000203,134,14,49,49,16,6,222,10.45,36.57,36.57,11.94,4.48
N00000204,152,15,68,57,11,1,219,9.87,44.74,37.50,7.24,0.66
N00000205,118,10,43,48,9,8,198,8.47,36.44,40.68,7.63,6.78
N00000206,212,32,125,47,6,2,245,15.09,58.96,22.17,2.83,0.94
N00000207,119,15,55,38,8,3,167,12.61,46.22,31.93,6.72,2.52
N00000208,121,4,44,51,16,6,219,3.31,36.36,42.15,13.22,4.96
N00000209,122,2,35,61,15,9,244,1.64,28.69,50.00,12.30,7.38
N00000210,219,78,104,30,5,2,187,35.62,47.49,13.70,2.28,0.91
N00000211,269,83,120,55,10,1,264,30.86,44.61,20.45,3.72,0.37
N00000212,85,25,47,11,1,1,76,29.41,55.29,12.94,1.18,1.18
N00000213,150,39,57,44,5,5,180,26.00,38.00,29.33,3.33,3.33
N00000214,151,30,63,48,9,1,190,19.87,41.72,31.79,5.96,0.66
N00000215,151,7,29,79,28,8,308,4.64,19.21,52.32,18.54,5.30
N00000216,161,17,50,62,20,12,286,10.56,31.06,38.51,12.42,7.45
N00000217,175,4,45,90,26,10,348,2.29,25.71,51.43,14.86,5.71
N00000218,148,6,52,77,11,2,247,4.05,35.14,52.03,7.43,1.35
N00000219,123,55,53,14,0,1,85,44.72,43.09,11.38,0,0.81
N00000220,125,55,51,14,5,0,94,44.00,40.80,11.20,4.00,0
N00000221,115,35,53,23,4,0,111,30.43,46.09,20.00,3.48,0
N00000222,130,14,75,30,9,2,171,10.77,57.69,23.08,6.92,1.54
N00000223,128,22,57,34,11,4,174,17.19,44.53,26.56,8.59,3.13
N00000224,118,30,58,24,6,0,124,25.42,49.15,20.34,5.08,0
N00000225,90,22,49,18,1,0,88,24.44,54.44,20.00,1.11,0
N00000226,111,14,52,33,8,4,159,12.61,46.85,29.73,7.21,3.60
N00000227,121,31,69,19,1,1,117,25.62,57.02,15.70,0.83,0.83
N00000228,127,13,55,46,12,1,187,10.24,43.31,36.22,9.45,0.79
N00000229,150,26,63,50,7,4,200,17.33,42.00,33.33,4.67,2.67
N00000230,116,47,44,22,3,0,97,40.52,37.93,18.97,2.59,0
N00000231,122,73,41,8,0,0,57,59.84,33.61,6.56,0,0
N00000232,136,48,60,26,2,0,118,35.29,44.12,19.12,1.47,0
N00000233,128,41,58,21,7,1,125,32.03,45.31,16.41,5.47,0.78
N00000234,124,49,58,14,1,2,97,39.52,46.77,11.29,0.81,1.61
N00000235,128,18,53,46,8,3,181,14.06,41.41,35.94,6.25,2.34
N00000236,108,29,44,26,7,2,126,26.85,40.74,24.07,6.48,1.85
N00000237,147,4,48,76,15,4,262,2.72,32.65,51.70,10.20,2.72
N00000238,121,2,30,58,22,9,254,1.65,24.79,47.93,18.18,7.44
N00000239,118,31,69,15,1,2,111,26.27,58.47,12.71,0.85,1.69
N00000240,132,40,64,24,3,1,126,30.30,48.48,18.18,2.27,0.76
N00000241,138,3,27,77,24,7,281,2.17,19.57,55.80,17.39,5.07
N00000242,120,2,24,79,11,4,234,1.67,20.00,65.83,9.17,3.33
N00000243,110,31,54,20,5,0,109,28.18,49.09,18.18,4.55,0
N00000244,118,50,51,15,1,1,89,42.37,43.22,12.71,0.85,0.85
N00000245,126,19,69,28,9,1,156,15.08,54.76,22.22,7.14,0.79
N00000246,127,39,60,21,5,2,125,30.71,47.24,16.54,3.94,1.57
N00000247,122,8,48,52,11,3,198,6.56,39.34,42.62,9.02,2.46
N00000248,124,5,42,63,11,3,214,4.03,33.87,50.81,8.87,2.42
N00000249,131,3,58,55,13,2,215,2.29,44.27,41.98,9.92,1.53
N00000250,166,15,73,65,10,3,245,9.04,43.98,39.16,6.02,1.81
N00000251,155,9,59,72,13,2,250,5.81,38.06,46.45,8.39,1.29
N00000252,132,3,47,57,14,11,254,2.27,35.61,43.18,10.61,8.33
N00000253,175,6,47,72,32,18,368,3.43,26.86,41.14,18.29,10.29
N00000254,117,7,31,47,20,12,241,5.98,26.50,40.17,17.09,10.26
N00000255,127,5,22,64,26,10,270,3.94,17.32,50.39,20.47,7.87
N00000256,308,17,92,131,50,18,596,5.52,29.87,42.53,16.23,5.84
N00000257,173,18,81,57,13,4,253,10.40,46.82,32.95,7.51,2.31
N00000258,140,3,41,66,19,11,281,2.14,29.29,47.14,13.57,7.86
N00000259,161,9,49,74,16,13,305,5.59,30.43,45.96,9.94,8.07
N00000260,210,21,100,74,9,6,307,10.00,47.62,35.24,4.29,2.86
N00000261,179,8,49,79,25,18,359,4.47,27.37,44.13,13.97,10.06
N00000262,156,10,62,59,20,5,263,6.41,39.74,37.82,12.82,3.21
N00000263,110,25,58,23,2,2,121,22.73,52.73,20.91,1.82,1.82
N00000264,196,35,70,61,21,9,293,17.86,35.71,31.12,10.71,4.59
N00000265,149,41,70,29,7,2,158,27.52,46.98,19.46,4.70,1.34
N00000266,126,21,46,47,11,1,177,16.67,36.51,37.30,8.73,0.79
N00000267,152,7,38,69,31,7,297,4.61,25.00,45.39,20.39,4.61
N00000268,142,9,38,59,27,9,283,6.34,26.76,41.55,19.01,6.34
N00000269,135,9,40,51,22,13,265,6.67,29.63,37.78,16.30,9.63
N00000270,133,10,32,57,20,14,267,7.52,24.06,42.86,15.04,10.53
N00000271,142,8,36,66,26,6,270,5.63,25.35,46.48,18.31,4.23
N00000272,133,8,69,45,6,5,201,6.02,51.88,33.83,4.51,3.76
N00000273,163,3,43,83,21,13,334,1.84,26.38,50.92,12.88,7.98
N00000274,176,7,41,88,27,13,377,3.98,23.30,50.00,15.34,7.39
N00000275,126,18,64,36,6,2,162,14.29,50.79,28.57,4.76,1.59
N00000276,126,13,56,50,6,1,178,10.32,44.44,39.68,4.76,0.79
N00000277,117,4,61,44,6,2,175,3.42,52.14,37.61,5.13,1.71
N00000278,121,10,65,31,12,3,181,8.26,53.72,25.62,9.92,2.48
N00000279,83,10,46,27,0,0,100,12.05,55.42,32.53,0,0
N00000280,154,44,69,36,3,2,164,28.57,44.81,23.38,1.95,1.30
N00000281,117,6,31,42,24,14,254,5.13,26.50,35.90,20.51,11.97
N00000282,132,6,53,41,20,12,248,4.55,40.15,31.06,15.15,9.09
N00000283,142,6,62,62,10,2,225,4.23,43.66,43.66,7.04,1.41
N00000284,157,40,70,40,7,0,171,25.48,44.59,25.48,4.46,0
N00000285,124,43,60,21,0,0,102,34.68,48.39,16.94,0,0
N00000286,126,31,58,27,6,4,146,24.60,46.03,21.43,4.76,3.17
N00000287,137,48,64,20,2,3,123,35.04,46.72,14.60,1.46,2.19
N00000288,138,9,61,55,10,3,213,6.52,44.20,39.86,7.25,2.17
N00000289,197,24,94,67,9,3,267,12.18,47.72,34.01,4.57,1.52
N00000290,128,36,72,18,1,1,119,28.13,56.25,14.06,0.78,0.78
N00000291,204,17,91,67,19,10,332,8.33,44.61,32.84,9.31,4.90
N00000292,262,12,98,123,25,4,436,4.58,37.40,46.95,9.54,1.53
N00000293,162,0,37,104,19,2,310,0,22.84,64.20,11.73,1.23
N00000294,140,5,49,57,19,10,261,3.57,35.00,40.71,13.57,7.14
N00000295,144,11,59,52,19,3,232,7.64,40.97,36.11,13.19,2.08
N00000296,114,13,51,40,10,0,161,11.40,44.74,35.09,8.77,0
N00000297,128,11,56,45,11,5,200,8.59,43.75,35.16,8.59,3.91
N00000298,119,10,51,42,15,1,184,8.40,42.86,35.29,12.61,0.84
N00000299,147,23,75,44,3,2,181,15.65,51.02,29.93,2.04,1.36
N00000300,133,55,57,18,2,1,105,41.35,42.86,13.53,1.50,0.75
N00000301,124,2,41,67,11,3,220,1.61,33.06,54.03,8.87,2.42
N00000302,127,7,44,60,15,1,213,5.51,34.65,47.24,11.81,0.79
N00000303,110,4,37,55,10,4,197,3.64,33.64,50.00,9.09,3.64
N00000304,117,4,54,50,8,1,182,3.42,46.15,42.74,6.84,0.85
N00000305,121,1,25,74,14,7,245,0.83,20.66,61.16,11.57,5.79
N00000306,128,3,46,66,9,4,221,2.34,35.94,51.56,7.03,3.13
N00000307,122,7,48,48,17,2,204,5.74,39.34,39.34,13.93,1.64
N00000308,110,7,48,42,11,2,173,6.36,43.64,38.18,10.00,1.82
N00000309,124,6,41,55,17,5,222,4.84,33.06,44.35,13.71,4.03
N00000310,149,17,49,61,12,10,251,11.41,32.89,40.94,8.05,6.71
N00000311,160,56,65,32,7,0,150,35.00,40.63,20.00,4.38,0
N00000312,175,14,64,64,17,16,312,8.00,36.57,36.57,9.71,9.14
N00000313,193,17,78,72,20,6,311,8.81,40.41,37.31,10.36,3.11
N00000314,137,41,62,26,7,1,140,29.93,45.26,18.98,5.11,0.73
N00000315,133,35,67,18,13,0,142,26.32,50.38,13.53,9.77,0
N00000316,130,20,67,33,8,2,165,15.38,51.54,25.38,6.15,1.54
N00000317,213,73,104,27,8,1,186,34.27,48.83,12.68,3.76,0.47
N00000318,129,10,56,37,19,7,216,7.75,43.41,28.68,14.73,5.43
N00000319,310,31,159,93,23,4,431,10.00,51.29,30.00,7.42,1.29
N00000320,128,13,60,42,8,5,189,10.16,46.88,32.81,6.25,3.91
N00000321,211,41,89,67,13,1,266,19.43,42.18,31.75,6.16,0.47
N00000322,154,22,80,38,9,5,204,14.29,51.95,24.68,5.84,3.25
N00000323,163,14,40,68,33,8,311,8.59,24.54,41.72,20.25,4.91
N00000324,151,14,52,55,18,12,265,9.27,34.44,36.42,11.92,7.95
N00000325,198,17,81,77,17,6,311,8.59,40.91,38.89,8.59,3.03
N00000326,377,54,160,137,20,6,520,14.32,42.44,36.34,5.31,1.59
N00000327,130,34,61,34,1,0,132,26.15,46.92,26.15,0.77,0
N00000328,126,36,71,17,2,0,111,28.57,56.35,13.49,1.59,0
N00000329,137,41,61,29,3,3,141,29.93,44.53,21.17,2.19,2.19
N00000330,203,10,85,91,14,3,322,4.93,41.87,44.83,6.90,1.48
N00000331,233,71,74,66,19,3,276,30.47,31.76,28.33,8.15,1.29
N00000332,124,49,61,13,1,0,90,39.52,49.19,10.48,0.81,0
N00000333,125,54,57,13,1,0,86,43.20,45.60,10.40,0.80,0
N00000334,116,49,50,15,2,0,86,42.24,43.10,12.93,1.72,0
N00000335,136,21,71,34,8,2,171,15.44,52.21,25.00,5.88,1.47
N00000336,131,9,53,55,11,3,208,6.87,40.46,41.98,8.40,2.29
N00000337,120,10,52,42,11,5,191,8.33,43.33,35.00,9.17,4.17
N00000338,129,19,50,50,9,1,182,14.73,38.76,38.76,6.98,0.78
N00000339,122,13,52,41,14,2,184,10.66,42.62,33.61,11.48,1.64
N00000340,138,6,46,60,20,6,251,4.35,33.33,43.48,14.49,4.35
N00000341,130,4,49,57,18,2,225,3.08,37.69,43.85,13.85,1.54
N00000342,133,2,56,55,14,6,234,1.50,42.11,41.35,10.53,4.51
N00000343,122,6,43,59,9,5,208,4.92,35.25,48.36,7.38,4.10
N00000344,128,45,50,25,6,2,126,35.16,39.06,19.53,4.69,1.56
N00000345,163,67,68,20,7,1,133,41.10,41.72,12.27,4.29,0.61
N00000346,209,22,95,72,15,5,304,10.53,45.45,34.45,7.18,2.39
N00000347,130,51,52,21,4,2,117,39.23,40.00,16.15,3.08,1.54
N00000348,125,19,61,31,10,4,171,15.20,48.80,24.80,8.00,3.20
N00000349,149,32,67,38,9,3,183,21.48,44.97,25.50,6.04,2.01
N00000350,169,12,62,75,9,11,291,7.10,36.69,44.38,5.33,6.51
N00000351,137,10,53,49,19,6,239,7.30,38.69,35.77,13.87,4.38
N00000352,142,6,40,54,29,13,292,4.23,28.17,38.03,20.42,9.15
N00000353,140,7,53,52,21,7,251,5.00,37.86,37.14,15.00,5.00
N00000354,133,9,32,61,19,12,267,6.77,24.06,45.86,14.29,9.02
N00000355,154,11,57,58,19,9,268,7.14,37.01,37.66,12.34,5.84
N00000356,146,44,71,23,8,0,141,30.14,48.63,15.75,5.48,0
N00000357,452,146,207,81,16,2,427,32.30,45.80,17.92,3.54,0.44
