GeographyCode,KS207NI0001,KS207NI0002,KS207NI0003,KS207NI0004,KS207NI0005,KS207NI0006,KS207NI0007,KS207NI0008,KS207NI0009,KS207NI0010,KS207NI0011,KS207NI0012,KS207NI0013,KS207NI0014,KS207NI0015,KS207NI0016,KS207NI0017,KS207NI0018,KS207NI0019,KS207NI0020,KS207NI0021,KS207NI0022,KS207NI0023,KS207NI0024,KS207NI0025,KS207NI0026,KS207NI0027
N00000516,213,203,5,0,0,0,0,0,0,0,0,0,0,5,95.31,2.35,0,0,0,0,0,0,0,0,0,0,2.35
N00000517,390,379,5,0,0,0,0,2,0,0,0,0,0,4,97.18,1.28,0,0,0,0,0.51,0,0,0,0,0,1.03
N00000518,306,304,0,0,0,0,0,0,1,0,0,0,0,1,99.35,0,0,0,0,0,0,0.33,0,0,0,0,0.33
N00000519,249,249,0,0,0,0,0,0,0,0,0,0,0,0,100.00,0,0,0,0,0,0,0,0,0,0,0,0
N00000520,580,577,0,0,0,0,0,0,0,0,0,0,0,3,99.48,0,0,0,0,0,0,0,0,0,0,0,0.52
N00000521,384,379,0,0,0,0,0,0,0,0,0,0,0,5,98.70,0,0,0,0,0,0,0,0,0,0,0,1.30
N00000522,432,429,1,0,0,0,0,0,0,0,0,0,0,2,99.31,0.23,0,0,0,0,0,0,0,0,0,0,0.46
N00000523,381,381,0,0,0,0,0,0,0,0,0,0,0,0,100.00,0,0,0,0,0,0,0,0,0,0,0,0
N00000524,469,467,0,0,0,0,0,0,0,0,0,0,0,2,99.57,0,0,0,0,0,0,0,0,0,0,0,0.43
N00000525,413,412,0,0,0,0,0,0,0,0,0,0,0,1,99.76,0,0,0,0,0,0,0,0,0,0,0,0.24
N00000526,252,180,12,0,1,2,12,3,4,1,0,0,0,37,71.43,4.76,0,0.40,0.79,4.76,1.19,1.59,0.40,0,0,0,14.68
N00000527,327,269,25,4,0,0,12,3,0,0,0,0,0,14,82.26,7.65,1.22,0,0,3.67,0.92,0,0,0,0,0,4.28
N00000528,242,192,18,0,0,1,8,1,0,0,3,0,1,18,79.34,7.44,0,0,0.41,3.31,0.41,0,0,1.24,0,0.41,7.44
N00000529,234,203,11,0,0,0,3,0,6,0,0,0,0,11,86.75,4.70,0,0,0,1.28,0,2.56,0,0,0,0,4.70
N00000530,280,244,16,0,0,0,8,0,0,0,0,0,0,12,87.14,5.71,0,0,0,2.86,0,0,0,0,0,0,4.29
N00000531,302,207,63,0,0,0,15,3,0,1,0,4,0,9,68.54,20.86,0,0,0,4.97,0.99,0,0.33,0,1.32,0,2.98
N00000532,202,165,13,0,0,0,11,0,0,2,0,3,0,8,81.68,6.44,0,0,0,5.45,0,0,0.99,0,1.49,0,3.96
N00000533,212,201,2,0,0,0,4,2,0,0,0,2,0,1,94.81,0.94,0,0,0,1.89,0.94,0,0,0,0.94,0,0.47
N00000534,464,459,4,0,0,0,0,0,0,0,0,0,0,1,98.92,0.86,0,0,0,0,0,0,0,0,0,0,0.22
N00000535,513,508,2,0,0,0,0,0,0,0,0,0,0,3,99.03,0.39,0,0,0,0,0,0,0,0,0,0,0.58
N00000536,376,372,3,0,1,0,0,0,0,0,0,0,0,0,98.94,0.80,0,0.27,0,0,0,0,0,0,0,0,0
N00000537,399,397,0,0,0,0,0,2,0,0,0,0,0,0,99.50,0,0,0,0,0,0.50,0,0,0,0,0,0
N00000538,382,380,0,0,0,0,0,0,0,0,0,0,0,2,99.48,0,0,0,0,0,0,0,0,0,0,0,0.52
N00000539,372,371,0,0,0,0,0,0,0,0,0,0,0,1,99.73,0,0,0,0,0,0,0,0,0,0,0,0.27
N00000540,288,285,0,0,0,0,0,0,0,0,0,0,0,3,98.96,0,0,0,0,0,0,0,0,0,0,0,1.04
N00000541,391,388,0,0,0,0,0,0,0,0,0,0,0,3,99.23,0,0,0,0,0,0,0,0,0,0,0,0.77
N00000542,259,258,0,0,0,0,0,0,0,0,0,0,0,1,99.61,0,0,0,0,0,0,0,0,0,0,0,0.39
N00000543,373,361,3,0,0,0,4,0,0,0,1,0,0,4,96.78,0.80,0,0,0,1.07,0,0,0,0.27,0,0,1.07
N00000544,261,248,5,1,0,0,3,0,0,0,0,0,0,4,95.02,1.92,0.38,0,0,1.15,0,0,0,0,0,0,1.53
N00000545,279,269,4,0,0,0,1,0,0,3,0,2,0,0,96.42,1.43,0,0,0,0.36,0,0,1.08,0,0.72,0,0
N00000546,268,267,0,0,1,0,0,0,0,0,0,0,0,0,99.63,0,0,0.37,0,0,0,0,0,0,0,0,0
N00000547,314,309,0,0,1,0,0,0,0,0,0,0,0,4,98.41,0,0,0.32,0,0,0,0,0,0,0,0,1.27
N00000548,277,267,4,0,0,0,2,0,0,3,1,0,0,0,96.39,1.44,0,0,0,0.72,0,0,1.08,0.36,0,0,0
N00000549,212,196,11,2,0,0,2,0,0,1,0,0,0,0,92.45,5.19,0.94,0,0,0.94,0,0,0.47,0,0,0,0
N00000550,401,353,26,7,0,0,5,0,0,0,0,0,0,10,88.03,6.48,1.75,0,0,1.25,0,0,0,0,0,0,2.49
N00000551,250,214,35,0,0,0,1,0,0,0,0,0,0,0,85.60,14.00,0,0,0,0.40,0,0,0,0,0,0,0
N00000552,237,218,6,0,0,0,7,0,0,3,1,0,0,2,91.98,2.53,0,0,0,2.95,0,0,1.27,0.42,0,0,0.84
N00000553,330,286,34,2,0,0,0,0,2,0,2,0,0,4,86.67,10.30,0.61,0,0,0,0,0.61,0,0.61,0,0,1.21
N00000554,225,193,32,0,0,0,0,0,0,0,0,0,0,0,85.78,14.22,0,0,0,0,0,0,0,0,0,0,0
N00000555,238,194,36,0,1,2,0,0,0,2,0,0,0,3,81.51,15.13,0,0.42,0.84,0,0,0,0.84,0,0,0,1.26
N00000556,322,307,9,0,0,0,0,2,1,0,3,0,0,0,95.34,2.80,0,0,0,0,0.62,0.31,0,0.93,0,0,0
N00000557,528,528,0,0,0,0,0,0,0,0,0,0,0,0,100.00,0,0,0,0,0,0,0,0,0,0,0,0
N00000558,443,442,0,0,0,0,0,0,0,0,0,0,0,1,99.77,0,0,0,0,0,0,0,0,0,0,0,0.23
