GeographyCode,KS702NI0001,KS702NI0002,KS702NI0003,KS702NI0004,KS702NI0005,KS702NI0006,KS702NI0007,KS702NI0008,KS702NI0009,KS702NI0010,KS702NI0011,KS702NI0012,KS702NI0013,KS702NI0014,KS702NI0015,KS702NI0016,KS702NI0017,KS702NI0018,KS702NI0019,KS702NI0020,KS702NI0021,KS702NI0022,KS702NI0023,KS702NI0024,KS702NI0025,KS702NI0026,KS702NI0027,KS702NI0028,KS702NI0029
N00000050,185,19,0,19,0,97,13,13,1,0,20,3,181,18,4,1,10.27,0,10.27,0,52.43,7.03,7.03,0.54,0,10.81,1.62,9.94,25.00
N00000051,176,15,0,31,0,39,27,11,14,1,37,1,117,13,59,18,8.52,0,17.61,0,22.16,15.34,6.25,7.95,0.57,21.02,0.57,11.11,30.51
N00000052,175,19,2,34,4,58,19,12,7,0,20,0,153,26,22,10,10.86,1.14,19.43,2.29,33.14,10.86,6.86,4.00,0,11.43,0,16.99,45.45
N00000053,158,14,1,30,1,46,22,9,8,0,25,2,112,20,46,11,8.86,0.63,18.99,0.63,29.11,13.92,5.70,5.06,0,15.82,1.27,17.86,23.91
N00000054,161,12,2,23,1,63,24,18,8,1,9,0,130,18,31,7,7.45,1.24,14.29,0.62,39.13,14.91,11.18,4.97,0.62,5.59,0,13.85,22.58
N00000055,145,10,0,19,0,60,27,13,4,1,11,0,137,19,8,0,6.90,0,13.10,0,41.38,18.62,8.97,2.76,0.69,7.59,0,13.87,0
N00000056,151,16,0,15,0,64,23,8,9,0,15,1,124,11,26,4,10.60,0,9.93,0,42.38,15.23,5.30,5.96,0,9.93,0.66,8.87,15.38
N00000057,163,1,4,21,0,41,16,6,7,5,61,1,100,11,63,14,0.61,2.45,12.88,0,25.15,9.82,3.68,4.29,3.07,37.42,0.61,11.00,22.22
N00000058,161,16,4,13,0,54,17,11,3,3,38,2,120,11,41,6,9.94,2.48,8.07,0,33.54,10.56,6.83,1.86,1.86,23.60,1.24,9.17,14.63
N00000059,137,17,3,12,0,27,22,13,10,1,32,0,85,6,52,9,12.41,2.19,8.76,0,19.71,16.06,9.49,7.30,0.73,23.36,0,7.06,17.31
N00000060,226,22,2,22,0,67,34,13,10,0,54,2,151,17,75,7,9.73,0.88,9.73,0,29.65,15.04,5.75,4.42,0,23.89,0.88,11.26,9.33
N00000061,152,17,5,6,0,76,22,7,3,2,14,0,148,11,4,0,11.18,3.29,3.95,0,50.00,14.47,4.61,1.97,1.32,9.21,0,7.43,0
N00000062,212,22,7,16,2,100,36,17,0,0,9,3,201,22,11,1,10.38,3.30,7.55,0.94,47.17,16.98,8.02,0,0,4.25,1.42,10.95,9.09
N00000063,210,29,6,13,0,72,14,14,9,1,50,2,149,13,61,6,13.81,2.86,6.19,0,34.29,6.67,6.67,4.29,0.48,23.81,0.95,8.72,9.84
N00000064,137,20,1,16,1,39,11,5,10,2,32,0,89,10,48,7,14.60,0.73,11.68,0.73,28.47,8.03,3.65,7.30,1.46,23.36,0,11.24,14.58
N00000065,250,20,5,17,0,110,39,23,7,0,27,2,246,20,4,2,8.00,2.00,6.80,0,44.00,15.60,9.20,2.80,0,10.80,0.80,8.13,50.00
N00000066,164,14,1,9,1,86,22,10,4,2,12,3,160,9,4,1,8.54,0.61,5.49,0.61,52.44,13.41,6.10,2.44,1.22,7.32,1.83,5.63,25.00
N00000067,168,17,1,23,0,42,34,13,5,0,33,0,118,6,50,18,10.12,0.60,13.69,0,25.00,20.24,7.74,2.98,0,19.64,0,5.08,36.00
N00000068,255,22,4,20,1,120,52,19,2,1,14,0,248,24,7,0,8.63,1.57,7.84,0.39,47.06,20.39,7.45,0.78,0.39,5.49,0,9.68,0
N00000069,162,11,0,31,2,34,25,6,16,0,37,0,89,17,73,14,6.79,0,19.14,1.23,20.99,15.43,3.70,9.88,0,22.84,0,19.10,19.18
N00000070,135,14,3,12,0,63,13,10,2,2,16,0,117,12,18,3,10.37,2.22,8.89,0,46.67,9.63,7.41,1.48,1.48,11.85,0,10.26,16.67
N00000071,135,15,8,12,0,50,13,8,2,3,24,0,112,16,22,4,11.11,5.93,8.89,0,37.04,9.63,5.93,1.48,2.22,17.78,0,14.29,18.18
N00000072,1309,88,20,95,6,570,296,103,26,8,90,7,1243,101,66,14,6.72,1.53,7.26,0.46,43.54,22.61,7.87,1.99,0.61,6.88,0.53,8.13,21.21
N00000073,271,15,6,19,1,113,28,21,12,7,46,3,213,16,58,9,5.54,2.21,7.01,0.37,41.70,10.33,7.75,4.43,2.58,16.97,1.11,7.51,15.52
N00000074,778,49,12,56,2,373,149,74,20,6,34,3,750,65,28,3,6.30,1.54,7.20,0.26,47.94,19.15,9.51,2.57,0.77,4.37,0.39,8.67,10.71
N00000075,267,38,2,22,0,69,35,9,8,2,79,3,161,21,11,0,14.23,0.75,8.24,0,25.84,13.11,3.37,3.00,0.75,29.59,1.12,13.04,0
N00000076,246,20,4,20,2,108,39,23,5,3,20,2,225,23,21,1,8.13,1.63,8.13,0.81,43.90,15.85,9.35,2.03,1.22,8.13,0.81,10.22,4.76
N00000077,188,13,4,18,0,75,27,17,3,1,29,1,185,20,3,2,6.91,2.13,9.57,0,39.89,14.36,9.04,1.60,0.53,15.43,0.53,10.81,66.67
