GeographyCode,KS211NI0001,KS211NI0002,KS211NI0003,KS211NI0004,KS211NI0005,KS211NI0006,KS211NI0007,KS211NI0008,KS211NI0009,KS211NI0010,KS211NI0011,KS211NI0012,KS211NI0013,KS211NI0014,KS211NI0015,KS211NI0016,KS211NI0017
N00000126,481,457,1,8,2,1,0,3,9,95.01,0.21,1.66,0.42,0.21,0,0.62,1.87
N00000127,405,327,34,6,0,14,1,12,11,80.74,8.40,1.48,0,3.46,0.25,2.96,2.72
N00000128,991,885,21,11,1,5,0,22,46,89.30,2.12,1.11,0.10,0.50,0,2.22,4.64
N00000129,346,309,1,1,0,1,0,5,29,89.31,0.29,0.29,0,0.29,0,1.45,8.38
N00000130,498,14,207,76,23,70,4,79,25,2.81,41.57,15.26,4.62,14.06,0.80,15.86,5.02
N00000131,388,13,197,38,12,60,4,52,12,3.35,50.77,9.79,3.09,15.46,1.03,13.40,3.09
N00000132,366,114,150,12,11,19,3,38,19,31.15,40.98,3.28,3.01,5.19,0.82,10.38,5.19
N00000133,322,83,125,32,2,17,3,21,39,25.78,38.82,9.94,0.62,5.28,0.93,6.52,12.11
N00000134,437,26,194,41,7,47,4,96,22,5.95,44.39,9.38,1.60,10.76,0.92,21.97,5.03
N00000135,312,42,135,33,0,21,1,45,35,13.46,43.27,10.58,0,6.73,0.32,14.42,11.22
N00000136,507,26,223,82,22,51,3,85,15,5.13,43.98,16.17,4.34,10.06,0.59,16.77,2.96
N00000137,315,19,166,42,13,25,0,45,5,6.03,52.70,13.33,4.13,7.94,0,14.29,1.59
N00000138,464,11,210,85,24,52,3,62,17,2.37,45.26,18.32,5.17,11.21,0.65,13.36,3.66
N00000139,301,26,105,57,11,26,6,45,25,8.64,34.88,18.94,3.65,8.64,1.99,14.95,8.31
N00000140,333,32,118,59,12,21,1,60,30,9.61,35.44,17.72,3.60,6.31,0.30,18.02,9.01
N00000141,443,31,185,62,33,41,10,52,29,7.00,41.76,14.00,7.45,9.26,2.26,11.74,6.55
N00000142,205,17,51,45,15,13,0,38,26,8.29,24.88,21.95,7.32,6.34,0,18.54,12.68
N00000143,215,17,77,39,14,7,4,33,24,7.91,35.81,18.14,6.51,3.26,1.86,15.35,11.16
N00000144,228,10,87,38,10,19,0,58,6,4.39,38.16,16.67,4.39,8.33,0,25.44,2.63
N00000145,124,10,40,24,4,11,3,16,16,8.06,32.26,19.35,3.23,8.87,2.42,12.90,12.90
N00000146,271,26,115,40,9,24,1,35,21,9.59,42.44,14.76,3.32,8.86,0.37,12.92,7.75
N00000147,227,15,83,24,5,22,6,53,19,6.61,36.56,10.57,2.20,9.69,2.64,23.35,8.37
N00000148,676,11,264,178,20,75,2,104,22,1.63,39.05,26.33,2.96,11.09,0.30,15.38,3.25
