GeographyCode,KS801NI0001,KS801NI0002,KS801NI0003,KS801NI0004,KS801NI0005,KS801NI0006,KS801NI0007,KS801NI0008,KS801NI0009,KS801NI0010
N00000137,299,284,3,4,8,0,94.98,1.00,1.34,2.68
N00000138,447,431,1,1,14,0,96.42,0.22,0.22,3.13
N00000139,264,241,5,3,15,0,91.29,1.89,1.14,5.68
N00000140,300,281,3,4,12,0,93.67,1.00,1.33,4.00
N00000141,414,394,7,4,9,0,95.17,1.69,0.97,2.17
N00000142,184,175,0,2,7,0,95.11,0,1.09,3.80
N00000143,200,192,1,0,7,0,96.00,0.50,0,3.50
N00000144,203,199,1,2,1,0,98.03,0.49,0.99,0.49
N00000145,119,111,1,2,5,0,93.28,0.84,1.68,4.20
N00000146,231,208,11,0,12,0,90.04,4.76,0,5.19
N00000147,207,193,3,1,10,0,93.24,1.45,0.48,4.83
N00000148,595,554,7,14,20,0,93.11,1.18,2.35,3.36
N00000149,387,353,7,4,23,0,91.21,1.81,1.03,5.94
N00000150,335,303,3,8,21,0,90.45,0.90,2.39,6.27
N00000151,249,232,2,5,10,0,93.17,0.80,2.01,4.02
N00000152,249,229,2,8,10,1,91.97,0.80,3.21,4.02
N00000153,218,207,5,1,5,0,94.95,2.29,0.46,2.29
N00000154,232,220,1,1,10,0,94.83,0.43,0.43,4.31
N00000155,310,290,4,1,15,0,93.55,1.29,0.32,4.84
N00000156,273,257,0,3,13,0,94.14,0,1.10,4.76
N00000157,328,299,10,2,17,0,91.16,3.05,0.61,5.18
N00000158,608,553,14,14,27,0,90.95,2.30,2.30,4.44
N00000159,200,185,1,7,7,0,92.50,0.50,3.50,3.50
N00000160,284,262,3,2,17,0,92.25,1.06,0.70,5.99
N00000161,314,282,3,7,22,0,89.81,0.96,2.23,7.01
N00000162,221,208,1,1,11,0,94.12,0.45,0.45,4.98
N00000163,287,270,4,5,8,1,94.08,1.39,1.74,2.79
N00000164,255,231,6,3,15,0,90.59,2.35,1.18,5.88
N00000165,293,263,5,5,20,0,89.76,1.71,1.71,6.83
N00000166,249,231,10,2,6,0,92.77,4.02,0.80,2.41
N00000167,350,323,5,5,17,0,92.29,1.43,1.43,4.86
N00000168,324,298,4,2,20,0,91.98,1.23,0.62,6.17
N00000169,638,580,21,4,33,0,90.91,3.29,0.63,5.17
N00000170,336,311,5,7,13,0,92.56,1.49,2.08,3.87
N00000171,386,371,2,3,10,0,96.11,0.52,0.78,2.59
N00000172,703,654,8,13,28,0,93.03,1.14,1.85,3.98
N00000173,354,319,7,8,20,0,90.11,1.98,2.26,5.65
N00000174,341,327,4,4,6,0,95.89,1.17,1.17,1.76
N00000175,345,321,5,5,14,0,93.04,1.45,1.45,4.06
N00000176,429,411,6,8,4,0,95.80,1.40,1.86,0.93
N00000177,282,262,5,4,11,0,92.91,1.77,1.42,3.90
N00000178,599,562,9,9,19,0,93.82,1.50,1.50,3.17
N00000179,755,700,15,15,25,0,92.72,1.99,1.99,3.31
N00000180,271,266,0,0,5,0,98.15,0,0,1.85
N00000181,228,204,7,9,8,1,89.47,3.07,3.95,3.51
N00000182,214,210,1,0,3,0,98.13,0.47,0,1.40
N00000183,245,219,11,4,11,3,89.39,4.49,1.63,4.49
N00000184,314,288,6,8,12,1,91.72,1.91,2.55,3.82
N00000185,201,183,4,2,12,0,91.04,1.99,1.00,5.97
N00000186,266,244,8,3,11,0,91.73,3.01,1.13,4.14
N00000187,232,224,5,2,1,0,96.55,2.16,0.86,0.43
N00000188,323,310,5,2,6,0,95.98,1.55,0.62,1.86
N00000189,321,308,3,0,10,0,95.95,0.93,0,3.12
N00000190,278,264,1,3,10,0,94.96,0.36,1.08,3.60
N00000191,287,273,2,3,9,0,95.12,0.70,1.05,3.14
N00000192,280,271,4,1,4,1,96.79,1.43,0.36,1.43
N00000193,264,252,5,1,6,0,95.45,1.89,0.38,2.27
N00000194,241,224,6,3,8,0,92.95,2.49,1.24,3.32
N00000195,232,220,4,4,4,0,94.83,1.72,1.72,1.72
N00000196,219,207,3,4,5,1,94.52,1.37,1.83,2.28
N00000197,289,273,10,0,6,0,94.46,3.46,0,2.08
N00000198,259,239,2,5,13,0,92.28,0.77,1.93,5.02
N00000199,330,313,4,1,12,0,94.85,1.21,0.30,3.64
N00000200,304,287,6,3,8,0,94.41,1.97,0.99,2.63
N00000201,270,242,10,5,13,0,89.63,3.70,1.85,4.81
N00000202,278,254,2,5,17,0,91.37,0.72,1.80,6.12
N00000203,288,269,6,8,5,0,93.40,2.08,2.78,1.74
N00000204,355,334,7,7,7,0,94.08,1.97,1.97,1.97
N00000205,281,266,1,5,9,1,94.66,0.36,1.78,3.20
N00000206,348,327,6,6,9,0,93.97,1.72,1.72,2.59
N00000207,223,209,4,3,7,1,93.72,1.79,1.35,3.14
N00000208,296,271,1,2,22,0,91.55,0.34,0.68,7.43
N00000209,341,316,6,4,15,0,92.67,1.76,1.17,4.40
N00000210,323,282,6,9,26,0,87.31,1.86,2.79,8.05
N00000211,459,396,15,10,38,0,86.27,3.27,2.18,8.28
N00000212,150,130,4,6,10,0,86.67,2.67,4.00,6.67
N00000213,242,210,11,6,15,0,86.78,4.55,2.48,6.20
N00000214,251,225,4,11,11,0,89.64,1.59,4.38,4.38
N00000215,361,331,12,1,17,0,91.69,3.32,0.28,4.71
N00000216,371,348,4,3,16,0,93.80,1.08,0.81,4.31
N00000217,420,368,19,5,28,0,87.62,4.52,1.19,6.67
N00000218,321,285,4,4,28,0,88.79,1.25,1.25,8.72
N00000219,218,205,4,3,6,0,94.04,1.83,1.38,2.75
N00000220,262,254,1,3,4,0,96.95,0.38,1.15,1.53
N00000221,247,231,2,3,11,0,93.52,0.81,1.21,4.45
N00000222,268,252,3,1,12,0,94.03,1.12,0.37,4.48
N00000223,294,275,2,0,17,0,93.54,0.68,0,5.78
N00000224,210,190,6,5,9,0,90.48,2.86,2.38,4.29
N00000225,118,104,0,1,13,0,88.14,0,0.85,11.02
N00000226,236,213,7,5,11,0,90.25,2.97,2.12,4.66
N00000227,175,160,1,6,8,0,91.43,0.57,3.43,4.57
N00000228,285,265,2,3,15,0,92.98,0.70,1.05,5.26
N00000229,351,314,3,11,23,0,89.46,0.85,3.13,6.55
N00000230,275,265,5,1,4,0,96.36,1.82,0.36,1.45
N00000231,304,291,6,2,5,0,95.72,1.97,0.66,1.64
N00000232,268,255,3,4,6,1,95.15,1.12,1.49,2.24
N00000233,234,225,2,3,4,0,96.15,0.85,1.28,1.71
N00000234,219,205,2,4,8,0,93.61,0.91,1.83,3.65
N00000235,299,281,4,0,14,0,93.98,1.34,0,4.68
N00000236,270,247,3,5,15,0,91.48,1.11,1.85,5.56
N00000237,368,340,7,4,17,0,92.39,1.90,1.09,4.62
N00000238,269,238,11,8,12,0,88.48,4.09,2.97,4.46
N00000239,215,201,2,3,9,0,93.49,0.93,1.40,4.19
N00000240,312,295,4,0,13,0,94.55,1.28,0,4.17
N00000241,395,357,5,6,27,1,90.38,1.27,1.52,6.84
N00000242,340,312,3,3,22,0,91.76,0.88,0.88,6.47
N00000243,247,236,1,1,9,0,95.55,0.40,0.40,3.64
N00000244,256,245,3,2,6,0,95.70,1.17,0.78,2.34
N00000245,288,277,0,0,11,0,96.18,0,0,3.82
N00000246,296,285,1,2,8,0,96.28,0.34,0.68,2.70
N00000247,282,266,6,0,10,0,94.33,2.13,0,3.55
N00000248,308,286,6,0,16,0,92.86,1.95,0,5.19
N00000249,357,336,3,5,13,0,94.12,0.84,1.40,3.64
N00000250,357,333,6,6,12,0,93.28,1.68,1.68,3.36
N00000251,422,400,3,6,13,0,94.79,0.71,1.42,3.08
N00000252,291,258,7,6,20,0,88.66,2.41,2.06,6.87
N00000253,474,456,6,2,10,0,96.20,1.27,0.42,2.11
N00000254,290,267,0,2,21,0,92.07,0,0.69,7.24
N00000255,322,291,8,4,19,0,90.37,2.48,1.24,5.90
N00000256,658,560,21,14,63,1,85.11,3.19,2.13,9.57
N00000257,399,364,4,12,19,0,91.23,1.00,3.01,4.76
N00000258,322,280,5,5,32,0,86.96,1.55,1.55,9.94
N00000259,436,418,3,5,10,1,95.87,0.69,1.15,2.29
N00000260,507,485,3,11,8,1,95.66,0.59,2.17,1.58
N00000261,529,499,8,5,17,0,94.33,1.51,0.95,3.21
N00000262,392,370,6,3,13,0,94.39,1.53,0.77,3.32
N00000263,212,199,5,4,4,0,93.87,2.36,1.89,1.89
N00000264,526,505,4,8,9,0,96.01,0.76,1.52,1.71
N00000265,324,306,7,6,5,0,94.44,2.16,1.85,1.54
N00000266,302,292,1,3,6,0,96.69,0.33,0.99,1.99
N00000267,401,363,15,3,20,0,90.52,3.74,0.75,4.99
N00000268,354,334,3,8,9,0,94.35,0.85,2.26,2.54
N00000269,325,311,5,3,6,0,95.69,1.54,0.92,1.85
N00000270,349,338,2,2,7,0,96.85,0.57,0.57,2.01
N00000271,354,325,9,4,16,0,91.81,2.54,1.13,4.52
N00000272,267,250,3,2,12,0,93.63,1.12,0.75,4.49
N00000273,426,387,6,7,26,0,90.85,1.41,1.64,6.10
N00000274,430,392,12,5,21,0,91.16,2.79,1.16,4.88
N00000275,266,249,3,2,12,0,93.61,1.13,0.75,4.51
N00000276,287,268,3,2,14,0,93.38,1.05,0.70,4.88
N00000277,287,269,4,2,12,0,93.73,1.39,0.70,4.18
N00000278,283,266,4,3,10,0,93.99,1.41,1.06,3.53
N00000279,166,153,2,4,7,0,92.17,1.20,2.41,4.22
N00000280,356,339,5,7,5,0,95.22,1.40,1.97,1.40
N00000281,319,294,8,3,14,0,92.16,2.51,0.94,4.39
N00000282,333,311,2,7,13,0,93.39,0.60,2.10,3.90
N00000283,316,296,2,4,14,0,93.67,0.63,1.27,4.43
N00000284,327,311,4,5,7,0,95.11,1.22,1.53,2.14
N00000285,294,277,2,5,10,0,94.22,0.68,1.70,3.40
N00000286,247,224,4,7,12,0,90.69,1.62,2.83,4.86
N00000287,281,273,2,3,3,0,97.15,0.71,1.07,1.07
N00000288,308,286,4,4,14,0,92.86,1.30,1.30,4.55
N00000289,449,418,8,12,11,0,93.10,1.78,2.67,2.45
N00000290,258,244,6,2,6,0,94.57,2.33,0.78,2.33
N00000291,471,443,5,9,14,0,94.06,1.06,1.91,2.97
N00000292,669,612,8,26,23,0,91.48,1.20,3.89,3.44
N00000293,478,446,6,8,18,0,93.31,1.26,1.67,3.77
N00000294,374,344,7,9,14,0,91.98,1.87,2.41,3.74
N00000295,355,316,10,7,22,0,89.01,2.82,1.97,6.20
N00000296,271,262,0,3,6,0,96.68,0,1.11,2.21
N00000297,339,325,5,3,6,0,95.87,1.47,0.88,1.77
N00000298,312,304,2,3,3,0,97.44,0.64,0.96,0.96
N00000299,292,271,10,2,9,0,92.81,3.42,0.68,3.08
N00000300,278,263,6,3,6,0,94.60,2.16,1.08,2.16
N00000301,336,315,4,8,9,0,93.75,1.19,2.38,2.68
N00000302,335,309,2,3,21,0,92.24,0.60,0.90,6.27
N00000303,303,294,3,2,4,0,97.03,0.99,0.66,1.32
N00000304,308,291,2,4,11,0,94.48,0.65,1.30,3.57
N00000305,377,356,6,3,12,0,94.43,1.59,0.80,3.18
N00000306,356,330,3,8,15,0,92.70,0.84,2.25,4.21
N00000307,333,318,3,2,10,0,95.50,0.90,0.60,3.00
N00000308,252,243,3,0,6,0,96.43,1.19,0,2.38
N00000309,335,317,10,2,6,0,94.63,2.99,0.60,1.79
N00000310,373,340,6,10,17,0,91.15,1.61,2.68,4.56
N00000311,303,292,5,1,5,0,96.37,1.65,0.33,1.65
N00000312,469,442,12,7,8,0,94.24,2.56,1.49,1.71
N00000313,605,580,7,5,13,2,95.87,1.16,0.83,2.15
N00000314,329,312,2,5,10,0,94.83,0.61,1.52,3.04
N00000315,319,305,6,3,5,0,95.61,1.88,0.94,1.57
N00000316,337,327,2,0,8,0,97.03,0.59,0,2.37
N00000317,397,365,10,11,11,0,91.94,2.52,2.77,2.77
N00000318,318,289,8,4,17,0,90.88,2.52,1.26,5.35
N00000319,758,720,12,3,23,1,94.99,1.58,0.40,3.03
N00000320,295,284,5,1,5,2,96.27,1.69,0.34,1.69
N00000321,476,453,11,10,2,1,95.17,2.31,2.10,0.42
N00000322,356,332,10,8,6,0,93.26,2.81,2.25,1.69
N00000323,424,404,6,3,11,0,95.28,1.42,0.71,2.59
N00000324,343,324,7,1,11,0,94.46,2.04,0.29,3.21
N00000325,490,459,8,8,15,0,93.67,1.63,1.63,3.06
N00000326,841,774,14,20,33,0,92.03,1.66,2.38,3.92
N00000327,298,286,7,1,4,0,95.97,2.35,0.34,1.34
N00000328,267,253,2,8,4,0,94.76,0.75,3.00,1.50
N00000329,370,345,6,3,16,0,93.24,1.62,0.81,4.32
N00000330,486,463,8,6,9,0,95.27,1.65,1.23,1.85
N00000331,567,536,10,6,15,0,94.53,1.76,1.06,2.65
N00000332,248,240,1,2,5,0,96.77,0.40,0.81,2.02
N00000333,263,248,3,5,7,0,94.30,1.14,1.90,2.66
N00000334,260,248,2,4,6,0,95.38,0.77,1.54,2.31
N00000335,287,264,6,6,11,0,91.99,2.09,2.09,3.83
N00000336,299,287,3,2,7,0,95.99,1.00,0.67,2.34
N00000337,263,243,6,3,11,0,92.40,2.28,1.14,4.18
N00000338,280,260,4,1,15,0,92.86,1.43,0.36,5.36
N00000339,262,245,0,0,17,1,93.51,0,0,6.49
N00000340,389,368,9,3,9,1,94.60,2.31,0.77,2.31
N00000341,318,298,5,2,13,0,93.71,1.57,0.63,4.09
N00000342,330,315,3,4,8,1,95.45,0.91,1.21,2.42
N00000343,331,313,4,4,10,0,94.56,1.21,1.21,3.02
N00000344,339,314,5,5,15,0,92.63,1.47,1.47,4.42
N00000345,376,356,2,8,10,0,94.68,0.53,2.13,2.66
N00000346,603,567,10,8,18,0,94.03,1.66,1.33,2.99
N00000347,181,163,3,1,14,1,90.06,1.66,0.55,7.73
N00000348,353,320,14,5,14,0,90.65,3.97,1.42,3.97
N00000349,308,287,2,4,15,1,93.18,0.65,1.30,4.87
N00000350,530,495,7,12,16,0,93.40,1.32,2.26,3.02
N00000351,384,360,8,7,9,0,93.75,2.08,1.82,2.34
N00000352,429,408,6,5,10,0,95.10,1.40,1.17,2.33
N00000353,406,390,6,1,9,0,96.06,1.48,0.25,2.22
N00000354,377,366,5,1,5,0,97.08,1.33,0.27,1.33
N00000355,408,388,8,4,8,4,95.10,1.96,0.98,1.96
N00000356,357,350,3,2,2,0,98.04,0.84,0.56,0.56
N00000357,936,878,11,20,27,3,93.80,1.18,2.14,2.88
N00000358,309,289,4,2,14,0,93.53,1.29,0.65,4.53
N00000359,590,531,14,11,34,3,90.00,2.37,1.86,5.76
N00000360,381,359,11,1,10,0,94.23,2.89,0.26,2.62
N00000361,347,329,10,2,6,0,94.81,2.88,0.58,1.73
N00000362,360,342,5,1,12,0,95.00,1.39,0.28,3.33
N00000363,449,434,3,1,11,0,96.66,0.67,0.22,2.45
N00000364,434,422,4,1,7,0,97.24,0.92,0.23,1.61
N00000365,220,215,1,2,2,0,97.73,0.45,0.91,0.91
N00000366,444,411,9,4,20,0,92.57,2.03,0.90,4.50
N00000367,300,287,4,3,6,1,95.67,1.33,1.00,2.00
N00000368,508,478,10,4,16,0,94.09,1.97,0.79,3.15
N00000369,378,362,4,3,9,0,95.77,1.06,0.79,2.38
N00000370,458,439,9,3,7,0,95.85,1.97,0.66,1.53
N00000371,417,403,6,1,7,0,96.64,1.44,0.24,1.68
N00000372,329,307,7,2,13,0,93.31,2.13,0.61,3.95
N00000373,374,347,9,5,13,0,92.78,2.41,1.34,3.48
N00000374,295,268,6,4,17,0,90.85,2.03,1.36,5.76
N00000375,248,227,7,3,11,1,91.53,2.82,1.21,4.44
N00000376,218,196,4,2,16,0,89.91,1.83,0.92,7.34
N00000377,215,203,1,1,10,0,94.42,0.47,0.47,4.65
N00000378,260,245,7,3,5,0,94.23,2.69,1.15,1.92
N00000379,434,409,3,7,15,0,94.24,0.69,1.61,3.46
N00000380,453,423,9,8,13,0,93.38,1.99,1.77,2.87
N00000381,833,774,14,19,26,6,92.92,1.68,2.28,3.12
N00000382,500,472,15,3,10,0,94.40,3.00,0.60,2.00
N00000383,420,401,5,4,10,0,95.48,1.19,0.95,2.38
N00000384,405,372,8,9,16,0,91.85,1.98,2.22,3.95
N00000385,399,382,7,3,7,0,95.74,1.75,0.75,1.75
N00000386,251,237,4,5,5,0,94.42,1.59,1.99,1.99
N00000387,195,184,4,0,7,0,94.36,2.05,0,3.59
N00000388,1394,1294,35,25,40,7,92.83,2.51,1.79,2.87
N00000389,395,367,4,7,17,0,92.91,1.01,1.77,4.30
N00000390,922,872,20,13,17,0,94.58,2.17,1.41,1.84
N00000391,491,472,3,8,8,0,96.13,0.61,1.63,1.63
N00000392,1270,1199,24,20,27,1,94.41,1.89,1.57,2.13
N00000393,423,410,3,5,5,0,96.93,0.71,1.18,1.18
N00000394,357,331,9,7,10,1,92.72,2.52,1.96,2.80
N00000395,477,450,13,2,12,0,94.34,2.73,0.42,2.52
N00000396,344,321,5,11,7,0,93.31,1.45,3.20,2.03
N00000397,469,435,7,11,16,2,92.75,1.49,2.35,3.41
N00000398,441,419,1,7,14,0,95.01,0.23,1.59,3.17
N00000399,279,266,1,7,5,0,95.34,0.36,2.51,1.79
N00000400,207,193,5,2,7,1,93.24,2.42,0.97,3.38
N00000401,240,217,9,4,10,0,90.42,3.75,1.67,4.17
N00000402,197,183,3,4,7,0,92.89,1.52,2.03,3.55
N00000403,418,379,14,8,17,4,90.67,3.35,1.91,4.07
N00000404,242,230,4,2,6,0,95.04,1.65,0.83,2.48
N00000405,169,160,3,1,5,3,94.67,1.78,0.59,2.96
N00000406,381,367,2,2,10,0,96.33,0.52,0.52,2.62
N00000407,1040,1013,14,5,8,0,97.40,1.35,0.48,0.77
N00000408,452,430,6,7,9,0,95.13,1.33,1.55,1.99
N00000409,379,360,13,2,4,0,94.99,3.43,0.53,1.06
N00000410,375,358,5,3,9,0,95.47,1.33,0.80,2.40
N00000411,312,286,7,3,16,0,91.67,2.24,0.96,5.13
N00000412,393,372,13,3,5,0,94.66,3.31,0.76,1.27
N00000413,383,350,15,8,10,0,91.38,3.92,2.09,2.61
N00000414,358,345,3,2,8,0,96.37,0.84,0.56,2.23
N00000415,383,360,6,10,7,0,93.99,1.57,2.61,1.83
N00000416,396,378,10,3,5,1,95.45,2.53,0.76,1.26
N00000417,487,458,9,7,13,0,94.05,1.85,1.44,2.67
N00000418,785,741,18,6,20,0,94.39,2.29,0.76,2.55
N00000419,325,307,9,5,4,0,94.46,2.77,1.54,1.23
N00000420,320,306,2,2,10,0,95.63,0.63,0.63,3.13
N00000421,495,475,3,2,15,0,95.96,0.61,0.40,3.03
