GeographyCode,KS204NI0001,KS204NI0002,KS204NI0003,KS204NI0004,KS204NI0005,KS204NI0006,KS204NI0007,KS204NI0008,KS204NI0009,KS204NI0010,KS204NI0011,KS204NI0012,KS204NI0013,KS204NI0014,KS204NI0015,KS204NI0016,KS204NI0017
95DD15W1,3451,3267,65,38,2,36,1,18,24,94.67,1.88,1.10,0.06,1.04,0.03,0.52,0.70
95DD16W1,2981,2791,82,22,1,31,8,11,35,93.63,2.75,0.74,0.03,1.04,0.27,0.37,1.17
95DD17W1,3461,3288,90,26,3,24,4,1,25,95.00,2.60,0.75,0.09,0.69,0.12,0.03,0.72
95DD18W1,1885,1701,39,16,1,8,8,71,41,90.24,2.07,0.85,0.05,0.42,0.42,3.77,2.18
95DD19S1,1904,1759,66,21,4,8,9,23,14,92.38,3.47,1.10,0.21,0.42,0.47,1.21,0.74
95DD19S2,1460,1374,39,11,3,2,8,8,15,94.11,2.67,0.75,0.21,0.14,0.55,0.55,1.03
95DD20W1,1746,1596,57,25,2,10,10,36,10,91.41,3.26,1.43,0.11,0.57,0.57,2.06,0.57
95DD21W1,2139,1725,83,15,1,21,11,243,40,80.65,3.88,0.70,0.05,0.98,0.51,11.36,1.87
95DD22S1,1555,1473,21,4,2,11,3,24,17,94.73,1.35,0.26,0.13,0.71,0.19,1.54,1.09
95DD22S2,1581,1475,42,17,2,10,0,19,16,93.30,2.66,1.08,0.13,0.63,0,1.20,1.01
95DD23W1,2509,2387,57,14,4,9,7,9,22,95.14,2.27,0.56,0.16,0.36,0.28,0.36,0.88
95DD24W1,2711,2322,92,33,2,48,5,171,38,85.65,3.39,1.22,0.07,1.77,0.18,6.31,1.40
95EE01W1,1895,1815,43,5,0,22,2,5,3,95.78,2.27,0.26,0,1.16,0.11,0.26,0.16
95EE02W1,2095,1979,67,21,1,6,6,0,15,94.46,3.20,1.00,0.05,0.29,0.29,0,0.72
95EE03W1,1999,1804,85,22,2,12,8,51,15,90.25,4.25,1.10,0.10,0.60,0.40,2.55,0.75
95EE04W1,1993,1888,45,16,1,17,7,5,14,94.73,2.26,0.80,0.05,0.85,0.35,0.25,0.70
95EE05W1,1509,1392,59,10,13,12,5,10,8,92.25,3.91,0.66,0.86,0.80,0.33,0.66,0.53
95EE06W1,2278,2143,24,8,3,34,5,51,10,94.07,1.05,0.35,0.13,1.49,0.22,2.24,0.44
95EE07W1,1798,1707,42,15,1,17,3,6,7,94.94,2.34,0.83,0.06,0.95,0.17,0.33,0.39
95EE08W1,1719,1572,48,17,1,19,8,29,25,91.45,2.79,0.99,0.06,1.11,0.47,1.69,1.45
95EE09W1,1890,1783,40,19,2,17,1,19,9,94.34,2.12,1.01,0.11,0.90,0.05,1.01,0.48
95EE10W1,1797,1626,43,4,0,21,3,78,22,90.48,2.39,0.22,0,1.17,0.17,4.34,1.22
95EE11W1,1677,1588,44,19,3,8,3,3,9,94.69,2.62,1.13,0.18,0.48,0.18,0.18,0.54
95EE12W1,2507,2272,115,26,7,13,6,57,11,90.63,4.59,1.04,0.28,0.52,0.24,2.27,0.44
95EE13W1,1529,1374,72,16,1,21,2,21,22,89.86,4.71,1.05,0.07,1.37,0.13,1.37,1.44
95EE14W1,2684,2457,124,29,3,26,6,14,25,91.54,4.62,1.08,0.11,0.97,0.22,0.52,0.93
95EE15W1,1728,1629,61,11,3,7,7,1,9,94.27,3.53,0.64,0.17,0.41,0.41,0.06,0.52
95EE16W1,2126,1983,79,23,2,16,5,5,13,93.27,3.72,1.08,0.09,0.75,0.24,0.24,0.61
95FF01S1,2129,1903,101,17,1,35,7,17,48,89.38,4.74,0.80,0.05,1.64,0.33,0.80,2.25
95FF01S2,2667,2340,123,19,6,53,14,55,57,87.74,4.61,0.71,0.22,1.99,0.52,2.06,2.14
