GeographyCode,KS406NI0001,KS406NI0002,KS406NI0003,KS406NI0004,KS406NI0005,KS406NI0006,KS406NI0007,KS406NI0008,KS406NI0009,KS406NI0010,KS406NI0011,KS406NI0012,KS406NI0013
95YY06W1,858,78,62,4,6,1,729,9.09,7.23,0.47,0.70,0.12,84.97
95YY07W1,912,116,49,2,7,0,764,12.72,5.37,0.22,0.77,0,83.77
95YY08W1,789,105,42,3,2,1,654,13.31,5.32,0.38,0.25,0.13,82.89
95YY09W1,1014,38,41,5,5,0,938,3.75,4.04,0.49,0.49,0,92.50
95YY10W1,705,90,34,1,2,1,590,12.77,4.82,0.14,0.28,0.14,83.69
95YY11W1,820,69,43,0,5,0,714,8.41,5.24,0,0.61,0,87.07
95YY12W1,932,115,36,3,1,0,791,12.34,3.86,0.32,0.11,0,84.87
95YY13S1,542,20,26,2,3,0,500,3.69,4.80,0.37,0.55,0,92.25
95YY13S2,576,53,53,2,3,1,479,9.20,9.20,0.35,0.52,0.17,83.16
95YY14S1,559,18,12,3,2,0,530,3.22,2.15,0.54,0.36,0,94.81
95YY14S2,588,34,19,3,4,0,541,5.78,3.23,0.51,0.68,0,92.01
95YY15S1,200,34,26,4,7,1,151,17.00,13.00,2.00,3.50,0.50,75.50
95YY15S2,689,21,50,3,0,1,621,3.05,7.26,0.44,0,0.15,90.13
95YY16W1,798,105,37,1,7,0,660,13.16,4.64,0.13,0.88,0,82.71
95YY17W1,746,75,35,0,2,2,643,10.05,4.69,0,0.27,0.27,86.19
95YY18W1,746,94,42,1,2,2,619,12.60,5.63,0.13,0.27,0.27,82.98
95YY19W1,707,55,54,3,7,2,607,7.78,7.64,0.42,0.99,0.28,85.86
95YY20W1,721,81,41,5,2,0,605,11.23,5.69,0.69,0.28,0,83.91
95YY21W1,791,118,42,0,3,2,647,14.92,5.31,0,0.38,0.25,81.80
95ZZ01W1,994,74,46,2,9,0,872,7.44,4.63,0.20,0.91,0,87.73
95ZZ02W1,751,29,70,2,10,0,657,3.86,9.32,0.27,1.33,0,87.48
95ZZ03W1,884,71,78,5,11,1,741,8.03,8.82,0.57,1.24,0.11,83.82
95ZZ04W1,911,118,40,2,6,0,760,12.95,4.39,0.22,0.66,0,83.42
95ZZ05W1,769,77,50,0,9,1,648,10.01,6.50,0,1.17,0.13,84.27
95ZZ06W1,786,64,66,5,7,2,666,8.14,8.40,0.64,0.89,0.25,84.73
95ZZ07W1,1010,95,59,2,5,2,867,9.41,5.84,0.20,0.50,0.20,85.84
95ZZ08W1,934,101,43,1,3,1,794,10.81,4.60,0.11,0.32,0.11,85.01
95ZZ09W1,881,85,52,0,1,3,748,9.65,5.90,0,0.11,0.34,84.90
95ZZ10W1,1262,63,49,3,5,0,1155,4.99,3.88,0.24,0.40,0,91.52
95ZZ11W1,745,83,37,4,7,0,633,11.14,4.97,0.54,0.94,0,84.97
95ZZ12W1,868,62,56,1,3,0,756,7.14,6.45,0.12,0.35,0,87.10
95ZZ13W1,879,92,35,0,7,0,754,10.47,3.98,0,0.80,0,85.78
95ZZ14S1,617,51,39,0,3,0,532,8.27,6.32,0,0.49,0,86.22
95ZZ14S2,494,14,21,2,3,0,457,2.83,4.25,0.40,0.61,0,92.51
95ZZ15W1,804,76,41,1,3,0,696,9.45,5.10,0.12,0.37,0,86.57
95ZZ16S1,664,21,28,1,1,1,613,3.16,4.22,0.15,0.15,0.15,92.32
95ZZ16S2,564,39,55,3,9,1,482,6.91,9.75,0.53,1.60,0.18,85.46
