GeographyCode,KS302NI0001,KS302NI0002,KS302NI0003,KS302NI0004,KS302NI0005,KS302NI0006,KS302NI0007,KS302NI0008,KS302NI0009,KS302NI0010,KS302NI0011,KS302NI0012,KS302NI0013,KS302NI0014,KS302NI0015,KS302NI0016,KS302NI0017,KS302NI0018,KS302NI0019,KS302NI0020,KS302NI0021,KS302NI0022,KS302NI0023,KS302NI0024,KS302NI0025
95AA16W1,1807,98,30,35,274,32,132,241,191,35,135,114,1161,5.42,1.66,1.94,15.16,1.77,7.30,13.34,10.57,1.94,7.47,6.31,64.25
95AA17W1,2142,102,36,33,229,50,143,242,209,34,155,115,1479,4.76,1.68,1.54,10.69,2.33,6.68,11.30,9.76,1.59,7.24,5.37,69.05
95AA18W1,2439,194,57,48,255,58,82,197,207,52,169,121,1680,7.95,2.34,1.97,10.46,2.38,3.36,8.08,8.49,2.13,6.93,4.96,68.88
95AA19W1,2687,105,35,61,245,86,89,175,173,15,148,127,1986,3.91,1.30,2.27,9.12,3.20,3.31,6.51,6.44,0.56,5.51,4.73,73.91
95BB01S1,1574,82,24,16,126,29,36,107,101,18,85,65,1168,5.21,1.52,1.02,8.01,1.84,2.29,6.80,6.42,1.14,5.40,4.13,74.21
95BB01S2,2035,119,33,26,187,39,102,177,159,25,138,114,1430,5.85,1.62,1.28,9.19,1.92,5.01,8.70,7.81,1.23,6.78,5.60,70.27
95BB02W1,2347,184,69,46,395,44,201,381,296,72,250,145,1358,7.84,2.94,1.96,16.83,1.87,8.56,16.23,12.61,3.07,10.65,6.18,57.86
95BB03S1,2026,130,42,34,284,44,143,260,236,38,159,111,1259,6.42,2.07,1.68,14.02,2.17,7.06,12.83,11.65,1.88,7.85,5.48,62.14
95BB03S2,2193,133,42,27,295,40,124,276,243,42,168,134,1396,6.06,1.92,1.23,13.45,1.82,5.65,12.59,11.08,1.92,7.66,6.11,63.66
95BB04S1,1438,108,37,27,231,30,78,211,127,32,142,91,866,7.51,2.57,1.88,16.06,2.09,5.42,14.67,8.83,2.23,9.87,6.33,60.22
95BB04S2,1610,153,37,23,165,28,50,160,110,20,135,88,1071,9.50,2.30,1.43,10.25,1.74,3.11,9.94,6.83,1.24,8.39,5.47,66.52
95BB05S1,1490,89,26,17,149,26,75,134,112,20,111,80,1021,5.97,1.74,1.14,10.00,1.74,5.03,8.99,7.52,1.34,7.45,5.37,68.52
95BB05S2,1911,107,26,23,223,27,92,227,191,25,141,114,1270,5.60,1.36,1.20,11.67,1.41,4.81,11.88,9.99,1.31,7.38,5.97,66.46
95BB06W1,2870,221,93,46,526,75,244,466,362,83,287,174,1669,7.70,3.24,1.60,18.33,2.61,8.50,16.24,12.61,2.89,10.00,6.06,58.15
95BB07S1,1658,147,51,40,302,32,105,273,190,67,150,80,983,8.87,3.08,2.41,18.21,1.93,6.33,16.47,11.46,4.04,9.05,4.83,59.29
95BB07S2,1295,96,17,12,143,20,62,136,121,10,89,61,878,7.41,1.31,0.93,11.04,1.54,4.79,10.50,9.34,0.77,6.87,4.71,67.80
95BB08S1,1331,107,31,12,246,21,94,225,181,33,125,78,762,8.04,2.33,0.90,18.48,1.58,7.06,16.90,13.60,2.48,9.39,5.86,57.25
95BB08S2,1294,62,18,10,111,13,52,112,86,13,73,62,934,4.79,1.39,0.77,8.58,1.00,4.02,8.66,6.65,1.00,5.64,4.79,72.18
95BB09S1,1325,78,31,22,138,16,42,131,95,40,98,68,907,5.89,2.34,1.66,10.42,1.21,3.17,9.89,7.17,3.02,7.40,5.13,68.45
95BB09S2,1618,110,20,9,106,15,46,129,107,12,110,76,1155,6.80,1.24,0.56,6.55,0.93,2.84,7.97,6.61,0.74,6.80,4.70,71.38
95BB10S1,1690,134,79,27,250,34,96,231,167,50,137,103,1031,7.93,4.67,1.60,14.79,2.01,5.68,13.67,9.88,2.96,8.11,6.09,61.01
95BB10S2,1637,119,25,13,163,23,60,153,103,31,100,89,1126,7.27,1.53,0.79,9.96,1.41,3.67,9.35,6.29,1.89,6.11,5.44,68.78
95BB11S1,1408,66,32,11,201,30,102,181,187,36,113,87,871,4.69,2.27,0.78,14.28,2.13,7.24,12.86,13.28,2.56,8.03,6.18,61.86
95BB11S2,1547,130,45,47,292,51,86,244,159,62,156,104,886,8.40,2.91,3.04,18.88,3.30,5.56,15.77,10.28,4.01,10.08,6.72,57.27
95BB12S1,1440,83,19,25,179,46,116,191,169,44,102,91,906,5.76,1.32,1.74,12.43,3.19,8.06,13.26,11.74,3.06,7.08,6.32,62.92
95BB12S2,1336,83,18,10,105,18,36,103,96,11,86,61,950,6.21,1.35,0.75,7.86,1.35,2.69,7.71,7.19,0.82,6.44,4.57,71.11
95BB13S1,1392,69,15,14,129,20,78,131,104,13,97,67,998,4.96,1.08,1.01,9.27,1.44,5.60,9.41,7.47,0.93,6.97,4.81,71.70
95BB13S2,1472,94,18,19,191,33,102,188,154,22,155,78,928,6.39,1.22,1.29,12.98,2.24,6.93,12.77,10.46,1.49,10.53,5.30,63.04
95BB13S3,1580,70,20,16,111,17,57,127,130,20,87,67,1154,4.43,1.27,1.01,7.03,1.08,3.61,8.04,8.23,1.27,5.51,4.24,73.04
95BB14S1,1510,92,27,17,150,22,38,130,106,12,107,68,1054,6.09,1.79,1.13,9.93,1.46,2.52,8.61,7.02,0.79,7.09,4.50,69.80
95BB14S2,1606,103,26,26,161,20,50,125,99,33,100,63,1149,6.41,1.62,1.62,10.02,1.25,3.11,7.78,6.16,2.05,6.23,3.92,71.54
95BB15S1,2005,99,24,16,239,31,84,219,169,22,114,95,1406,4.94,1.20,0.80,11.92,1.55,4.19,10.92,8.43,1.10,5.69,4.74,70.12
95BB15S2,1484,62,24,20,158,24,72,140,140,20,92,52,1032,4.18,1.62,1.35,10.65,1.62,4.85,9.43,9.43,1.35,6.20,3.50,69.54
95BB16S1,1533,104,23,17,150,20,49,159,112,14,115,74,1062,6.78,1.50,1.11,9.78,1.30,3.20,10.37,7.31,0.91,7.50,4.83,69.28
95BB16S2,1603,106,25,20,143,26,45,120,107,17,97,73,1167,6.61,1.56,1.25,8.92,1.62,2.81,7.49,6.67,1.06,6.05,4.55,72.80
95BB17S1,1793,94,22,21,175,43,110,184,161,20,92,76,1227,5.24,1.23,1.17,9.76,2.40,6.13,10.26,8.98,1.12,5.13,4.24,68.43
95BB17S2,1763,123,33,23,211,32,88,172,156,35,117,98,1204,6.98,1.87,1.30,11.97,1.82,4.99,9.76,8.85,1.99,6.64,5.56,68.29
95BB18S1,1688,101,39,27,291,44,121,255,198,44,141,107,1032,5.98,2.31,1.60,17.24,2.61,7.17,15.11,11.73,2.61,8.35,6.34,61.14
95BB18S2,2591,160,41,40,277,34,83,223,186,74,156,113,1856,6.18,1.58,1.54,10.69,1.31,3.20,8.61,7.18,2.86,6.02,4.36,71.63
95BB19S1,1613,120,30,26,199,34,91,170,147,45,130,75,1061,7.44,1.86,1.61,12.34,2.11,5.64,10.54,9.11,2.79,8.06,4.65,65.78
95BB19S2,1784,86,16,21,125,32,63,119,134,25,97,75,1316,4.82,0.90,1.18,7.01,1.79,3.53,6.67,7.51,1.40,5.44,4.20,73.77
95BB19S3,1391,71,16,14,96,26,53,111,105,11,68,55,1027,5.10,1.15,1.01,6.90,1.87,3.81,7.98,7.55,0.79,4.89,3.95,73.83
95BB20S1,1889,102,40,27,254,34,101,203,159,51,126,99,1267,5.40,2.12,1.43,13.45,1.80,5.35,10.75,8.42,2.70,6.67,5.24,67.07
95BB20S2,1524,88,25,21,275,34,112,245,190,36,114,71,926,5.77,1.64,1.38,18.04,2.23,7.35,16.08,12.47,2.36,7.48,4.66,60.76
95BB21S1,2387,139,39,40,337,56,141,300,207,49,186,127,1544,5.82,1.63,1.68,14.12,2.35,5.91,12.57,8.67,2.05,7.79,5.32,64.68
95BB21S2,2332,124,36,36,307,50,110,286,204,44,175,141,1554,5.32,1.54,1.54,13.16,2.14,4.72,12.26,8.75,1.89,7.50,6.05,66.64
95BB22S1,1557,62,29,35,162,43,104,158,141,33,95,86,1082,3.98,1.86,2.25,10.40,2.76,6.68,10.15,9.06,2.12,6.10,5.52,69.49
95BB22S2,1483,76,31,23,203,36,121,161,154,41,101,82,978,5.12,2.09,1.55,13.69,2.43,8.16,10.86,10.38,2.76,6.81,5.53,65.95
95BB23S1,1540,113,24,12,166,20,52,163,113,15,121,92,1036,7.34,1.56,0.78,10.78,1.30,3.38,10.58,7.34,0.97,7.86,5.97,67.27
95BB23S2,1485,86,17,48,154,52,89,132,110,49,96,82,1036,5.79,1.14,3.23,10.37,3.50,5.99,8.89,7.41,3.30,6.46,5.52,69.76
95CC01W1,2558,80,52,106,332,126,201,237,200,118,156,117,1704,3.13,2.03,4.14,12.98,4.93,7.86,9.27,7.82,4.61,6.10,4.57,66.61
95CC02W1,2725,102,36,40,254,44,130,211,154,33,158,95,2039,3.74,1.32,1.47,9.32,1.61,4.77,7.74,5.65,1.21,5.80,3.49,74.83
95CC03W1,2817,105,53,50,354,73,236,263,247,46,172,151,1927,3.73,1.88,1.77,12.57,2.59,8.38,9.34,8.77,1.63,6.11,5.36,68.41
95CC04W1,2440,120,67,53,260,48,104,232,156,57,142,99,1788,4.92,2.75,2.17,10.66,1.97,4.26,9.51,6.39,2.34,5.82,4.06,73.28
95CC05W1,2774,146,46,40,311,41,101,266,186,54,179,130,1982,5.26,1.66,1.44,11.21,1.48,3.64,9.59,6.71,1.95,6.45,4.69,71.45
95CC06S1,1468,59,16,16,138,18,57,113,91,26,74,53,1098,4.02,1.09,1.09,9.40,1.23,3.88,7.70,6.20,1.77,5.04,3.61,74.80
95CC06S2,1308,73,15,20,130,38,68,120,98,19,72,58,896,5.58,1.15,1.53,9.94,2.91,5.20,9.17,7.49,1.45,5.50,4.43,68.50
95CC07W1,3475,102,42,45,277,65,117,235,226,26,145,146,2673,2.94,1.21,1.29,7.97,1.87,3.37,6.76,6.50,0.75,4.17,4.20,76.92
95CC08W1,2565,121,54,60,357,51,159,282,221,72,191,147,1724,4.72,2.11,2.34,13.92,1.99,6.20,10.99,8.62,2.81,7.45,5.73,67.21
95CC09S1,1496,89,13,12,135,19,38,107,89,16,68,52,1128,5.95,0.87,0.80,9.02,1.27,2.54,7.15,5.95,1.07,4.55,3.48,75.40
95CC09S2,1858,93,14,18,129,36,54,119,100,7,75,77,1407,5.01,0.75,0.97,6.94,1.94,2.91,6.40,5.38,0.38,4.04,4.14,75.73
95CC10W1,2577,156,57,51,290,50,107,246,150,65,204,151,1825,6.05,2.21,1.98,11.25,1.94,4.15,9.55,5.82,2.52,7.92,5.86,70.82
95CC11W1,1795,117,50,36,253,48,109,193,174,36,108,80,1191,6.52,2.79,2.01,14.09,2.67,6.07,10.75,9.69,2.01,6.02,4.46,66.35
95CC12W1,2785,130,36,37,262,43,93,238,201,56,126,134,2038,4.67,1.29,1.33,9.41,1.54,3.34,8.55,7.22,2.01,4.52,4.81,73.18
95CC13W1,2474,106,22,32,234,49,79,238,165,33,124,121,1785,4.28,0.89,1.29,9.46,1.98,3.19,9.62,6.67,1.33,5.01,4.89,72.15
95CC14W1,3035,148,28,48,302,51,134,278,209,54,160,139,2156,4.88,0.92,1.58,9.95,1.68,4.42,9.16,6.89,1.78,5.27,4.58,71.04
95CC15W1,2903,153,46,38,307,53,121,285,227,38,188,139,2065,5.27,1.58,1.31,10.58,1.83,4.17,9.82,7.82,1.31,6.48,4.79,71.13
95CC16W1,2820,162,47,59,332,87,146,276,234,41,182,151,1902,5.74,1.67,2.09,11.77,3.09,5.18,9.79,8.30,1.45,6.45,5.35,67.45
95CC17W1,2730,91,25,21,218,33,97,223,202,20,121,115,2033,3.33,0.92,0.77,7.99,1.21,3.55,8.17,7.40,0.73,4.43,4.21,74.47
95CC18W1,2342,109,47,43,284,42,112,238,177,44,174,111,1618,4.65,2.01,1.84,12.13,1.79,4.78,10.16,7.56,1.88,7.43,4.74,69.09
95CC19W1,2720,134,41,38,262,48,98,245,190,39,139,135,1986,4.93,1.51,1.40,9.63,1.76,3.60,9.01,6.99,1.43,5.11,4.96,73.01
95CC20S1,1308,78,11,13,105,14,55,119,84,17,87,51,949,5.96,0.84,0.99,8.03,1.07,4.20,9.10,6.42,1.30,6.65,3.90,72.55
95CC20S2,1702,120,33,55,170,68,82,161,121,23,113,78,1201,7.05,1.94,3.23,9.99,4.00,4.82,9.46,7.11,1.35,6.64,4.58,70.56
95CC21W1,2925,177,42,28,301,47,143,292,249,44,198,139,2033,6.05,1.44,0.96,10.29,1.61,4.89,9.98,8.51,1.50,6.77,4.75,69.50
95CC22W1,1740,130,39,21,220,36,106,192,143,33,131,93,1161,7.47,2.24,1.21,12.64,2.07,6.09,11.03,8.22,1.90,7.53,5.34,66.72
95DD01W1,2099,127,41,44,221,33,102,213,152,59,167,118,1430,6.05,1.95,2.10,10.53,1.57,4.86,10.15,7.24,2.81,7.96,5.62,68.13
95DD02S1,1453,99,24,17,168,19,67,137,130,20,91,63,1007,6.81,1.65,1.17,11.56,1.31,4.61,9.43,8.95,1.38,6.26,4.34,69.30
95DD02S2,2435,100,27,17,187,29,86,185,169,25,125,113,1840,4.11,1.11,0.70,7.68,1.19,3.53,7.60,6.94,1.03,5.13,4.64,75.56
95DD03W1,3503,198,33,39,295,34,107,255,246,45,197,171,2543,5.65,0.94,1.11,8.42,0.97,3.05,7.28,7.02,1.28,5.62,4.88,72.59
95DD04W1,1926,106,34,34,287,50,166,239,246,56,144,100,1237,5.50,1.77,1.77,14.90,2.60,8.62,12.41,12.77,2.91,7.48,5.19,64.23
95DD05W1,1739,65,21,21,179,44,117,184,158,30,107,99,1185,3.74,1.21,1.21,10.29,2.53,6.73,10.58,9.09,1.73,6.15,5.69,68.14
95DD06W1,2588,169,61,59,307,41,121,249,171,100,238,135,1729,6.53,2.36,2.28,11.86,1.58,4.68,9.62,6.61,3.86,9.20,5.22,66.81
95DD07S1,1596,125,30,15,191,26,68,184,138,28,154,90,1021,7.83,1.88,0.94,11.97,1.63,4.26,11.53,8.65,1.75,9.65,5.64,63.97
95DD07S2,1767,105,22,11,174,26,77,137,149,21,138,77,1223,5.94,1.25,0.62,9.85,1.47,4.36,7.75,8.43,1.19,7.81,4.36,69.21
95DD08W1,2126,158,65,39,327,64,166,248,211,54,173,118,1324,7.43,3.06,1.83,15.38,3.01,7.81,11.67,9.92,2.54,8.14,5.55,62.28
95DD09W1,2590,137,42,23,226,36,74,171,164,34,156,110,1893,5.29,1.62,0.89,8.73,1.39,2.86,6.60,6.33,1.31,6.02,4.25,73.09
95DD10W1,2805,142,38,37,305,51,148,250,225,44,217,135,1911,5.06,1.35,1.32,10.87,1.82,5.28,8.91,8.02,1.57,7.74,4.81,68.13
95DD11W1,2363,95,32,28,208,75,149,215,210,32,134,127,1642,4.02,1.35,1.18,8.80,3.17,6.31,9.10,8.89,1.35,5.67,5.37,69.49
95DD12W1,2610,134,38,29,238,30,90,216,179,42,182,124,1868,5.13,1.46,1.11,9.12,1.15,3.45,8.28,6.86,1.61,6.97,4.75,71.57
95DD13W1,1784,103,29,35,220,45,98,180,161,39,129,90,1178,5.77,1.63,1.96,12.33,2.52,5.49,10.09,9.02,2.19,7.23,5.04,66.03
95DD14S1,1603,65,26,9,160,19,63,131,106,9,89,94,1166,4.05,1.62,0.56,9.98,1.19,3.93,8.17,6.61,0.56,5.55,5.86,72.74
95DD14S2,1674,74,24,15,98,17,43,103,93,13,93,70,1276,4.42,1.43,0.90,5.85,1.02,2.57,6.15,5.56,0.78,5.56,4.18,76.22
95DD15W1,3451,108,37,35,241,45,102,230,217,26,162,130,2693,3.13,1.07,1.01,6.98,1.30,2.96,6.66,6.29,0.75,4.69,3.77,78.04
95DD16W1,2981,151,42,38,267,29,83,234,185,50,175,148,2172,5.07,1.41,1.27,8.96,0.97,2.78,7.85,6.21,1.68,5.87,4.96,72.86
95DD17W1,3461,135,46,50,265,43,108,241,208,35,177,154,2645,3.90,1.33,1.44,7.66,1.24,3.12,6.96,6.01,1.01,5.11,4.45,76.42
95DD18W1,1885,132,48,72,292,53,123,245,211,90,172,127,1145,7.00,2.55,3.82,15.49,2.81,6.53,13.00,11.19,4.77,9.12,6.74,60.74
95DD19S1,1904,93,24,44,227,32,101,196,180,45,106,89,1325,4.88,1.26,2.31,11.92,1.68,5.30,10.29,9.45,2.36,5.57,4.67,69.59
95DD19S2,1460,83,24,18,142,19,51,129,122,16,110,71,1024,5.68,1.64,1.23,9.73,1.30,3.49,8.84,8.36,1.10,7.53,4.86,70.14
95DD20W1,1746,86,30,19,264,41,152,212,204,46,163,129,1044,4.93,1.72,1.09,15.12,2.35,8.71,12.14,11.68,2.63,9.34,7.39,59.79
95DD21W1,2139,130,29,16,190,33,84,156,134,26,147,77,1563,6.08,1.36,0.75,8.88,1.54,3.93,7.29,6.26,1.22,6.87,3.60,73.07
95DD22S1,1555,86,20,14,161,20,53,128,113,20,111,89,1106,5.53,1.29,0.90,10.35,1.29,3.41,8.23,7.27,1.29,7.14,5.72,71.13
95DD22S2,1581,66,25,25,159,41,91,150,114,26,97,64,1105,4.17,1.58,1.58,10.06,2.59,5.76,9.49,7.21,1.64,6.14,4.05,69.89
95DD23W1,2509,128,38,25,234,31,88,201,163,44,155,134,1821,5.10,1.51,1.00,9.33,1.24,3.51,8.01,6.50,1.75,6.18,5.34,72.58
95DD24W1,2711,113,39,34,234,45,120,213,192,30,158,134,1950,4.17,1.44,1.25,8.63,1.66,4.43,7.86,7.08,1.11,5.83,4.94,71.93
95EE01W1,1895,68,16,30,178,33,79,166,141,27,80,98,1394,3.59,0.84,1.58,9.39,1.74,4.17,8.76,7.44,1.42,4.22,5.17,73.56
95EE02W1,2095,75,30,22,247,31,101,223,153,35,135,116,1464,3.58,1.43,1.05,11.79,1.48,4.82,10.64,7.30,1.67,6.44,5.54,69.88
95EE03W1,1999,107,29,46,258,64,122,230,173,35,138,120,1324,5.35,1.45,2.30,12.91,3.20,6.10,11.51,8.65,1.75,6.90,6.00,66.23
95EE04W1,1993,95,25,21,198,25,93,160,179,24,141,91,1389,4.77,1.25,1.05,9.93,1.25,4.67,8.03,8.98,1.20,7.07,4.57,69.69
95EE05W1,1509,80,22,15,178,25,67,148,118,23,93,81,1037,5.30,1.46,0.99,11.80,1.66,4.44,9.81,7.82,1.52,6.16,5.37,68.72
95EE06W1,2278,65,15,29,204,36,92,169,191,29,108,109,1683,2.85,0.66,1.27,8.96,1.58,4.04,7.42,8.38,1.27,4.74,4.78,73.88
95EE07W1,1798,92,26,16,245,30,98,234,197,26,150,111,1159,5.12,1.45,0.89,13.63,1.67,5.45,13.01,10.96,1.45,8.34,6.17,64.46
95EE08W1,1719,152,57,49,271,31,94,206,151,74,114,87,1091,8.84,3.32,2.85,15.76,1.80,5.47,11.98,8.78,4.30,6.63,5.06,63.47
95EE09W1,1890,66,27,21,184,39,88,171,134,28,101,95,1354,3.49,1.43,1.11,9.74,2.06,4.66,9.05,7.09,1.48,5.34,5.03,71.64
95EE10W1,1797,70,15,23,145,33,63,130,101,20,92,68,1357,3.90,0.83,1.28,8.07,1.84,3.51,7.23,5.62,1.11,5.12,3.78,75.51
95EE11W1,1677,79,22,19,155,27,56,157,99,13,110,89,1199,4.71,1.31,1.13,9.24,1.61,3.34,9.36,5.90,0.78,6.56,5.31,71.50
95EE12W1,2507,128,48,45,300,63,146,264,244,38,158,138,1686,5.11,1.91,1.79,11.97,2.51,5.82,10.53,9.73,1.52,6.30,5.50,67.25
95EE13W1,1529,95,35,29,233,41,118,198,152,35,139,92,929,6.21,2.29,1.90,15.24,2.68,7.72,12.95,9.94,2.29,9.09,6.02,60.76
95EE14W1,2684,143,35,42,287,55,114,272,225,36,165,148,1861,5.33,1.30,1.56,10.69,2.05,4.25,10.13,8.38,1.34,6.15,5.51,69.34
95EE15W1,1728,78,38,24,178,28,61,161,130,26,103,82,1231,4.51,2.20,1.39,10.30,1.62,3.53,9.32,7.52,1.50,5.96,4.75,71.24
95EE16W1,2126,92,29,29,215,41,82,191,112,21,125,100,1517,4.33,1.36,1.36,10.11,1.93,3.86,8.98,5.27,0.99,5.88,4.70,71.35
95FF01S1,2129,96,27,27,209,27,85,189,123,28,128,115,1534,4.51,1.27,1.27,9.82,1.27,3.99,8.88,5.78,1.32,6.01,5.40,72.05
95FF01S2,2667,112,22,36,188,57,97,185,167,33,132,95,2016,4.20,0.82,1.35,7.05,2.14,3.64,6.94,6.26,1.24,4.95,3.56,75.59
95FF02W1,2817,103,41,36,251,43,100,208,174,35,137,131,2136,3.66,1.46,1.28,8.91,1.53,3.55,7.38,6.18,1.24,4.86,4.65,75.83
95FF03W1,3006,128,34,38,302,68,186,273,255,42,173,136,2109,4.26,1.13,1.26,10.05,2.26,6.19,9.08,8.48,1.40,5.76,4.52,70.16
95FF04W1,2629,131,37,27,239,35,95,250,147,35,150,122,1921,4.98,1.41,1.03,9.09,1.33,3.61,9.51,5.59,1.33,5.71,4.64,73.07
95FF05W1,2563,161,38,50,323,42,134,274,229,57,197,141,1742,6.28,1.48,1.95,12.60,1.64,5.23,10.69,8.93,2.22,7.69,5.50,67.97
95FF06S1,2036,112,27,35,246,26,107,166,144,28,124,134,1424,5.50,1.33,1.72,12.08,1.28,5.26,8.15,7.07,1.38,6.09,6.58,69.94
95FF06S2,2080,75,13,13,131,41,70,129,140,28,73,78,1587,3.61,0.63,0.63,6.30,1.97,3.37,6.20,6.73,1.35,3.51,3.75,76.30
95FF07W1,2769,117,35,41,354,69,215,328,248,61,170,152,1860,4.23,1.26,1.48,12.78,2.49,7.76,11.85,8.96,2.20,6.14,5.49,67.17
95FF08W1,2364,164,58,31,334,45,134,275,234,53,180,124,1529,6.94,2.45,1.31,14.13,1.90,5.67,11.63,9.90,2.24,7.61,5.25,64.68
95FF09W1,2522,123,45,33,317,68,165,305,196,38,140,142,1688,4.88,1.78,1.31,12.57,2.70,6.54,12.09,7.77,1.51,5.55,5.63,66.93
95FF10W1,3473,122,40,40,270,58,122,258,231,32,170,158,2604,3.51,1.15,1.15,7.77,1.67,3.51,7.43,6.65,0.92,4.89,4.55,74.98
95FF11W1,2582,130,35,34,242,38,89,224,137,34,118,111,1953,5.03,1.36,1.32,9.37,1.47,3.45,8.68,5.31,1.32,4.57,4.30,75.64
95FF12W1,2724,116,55,34,298,58,146,280,203,35,181,128,1912,4.26,2.02,1.25,10.94,2.13,5.36,10.28,7.45,1.28,6.64,4.70,70.19
95FF13W1,2708,131,44,24,313,53,125,286,199,34,177,121,1955,4.84,1.62,0.89,11.56,1.96,4.62,10.56,7.35,1.26,6.54,4.47,72.19
95FF14W1,2432,127,45,30,239,35,79,214,153,34,149,125,1749,5.22,1.85,1.23,9.83,1.44,3.25,8.80,6.29,1.40,6.13,5.14,71.92
95FF15W1,2740,135,55,51,341,66,149,281,277,89,207,170,1806,4.93,2.01,1.86,12.45,2.41,5.44,10.26,10.11,3.25,7.55,6.20,65.91
95FF16W1,2374,127,37,54,250,40,123,199,165,82,175,115,1628,5.35,1.56,2.27,10.53,1.68,5.18,8.38,6.95,3.45,7.37,4.84,68.58
95FF17W1,1724,102,33,41,251,57,142,213,179,39,115,109,1082,5.92,1.91,2.38,14.56,3.31,8.24,12.35,10.38,2.26,6.67,6.32,62.76
95GG01S1,1768,164,63,38,409,48,166,341,245,53,195,136,967,9.28,3.56,2.15,23.13,2.71,9.39,19.29,13.86,3.00,11.03,7.69,54.69
95GG01S2,1523,150,69,47,342,53,157,278,213,84,151,106,820,9.85,4.53,3.09,22.46,3.48,10.31,18.25,13.99,5.52,9.91,6.96,53.84
95GG01S3,1616,110,47,39,308,39,147,251,198,61,152,121,948,6.81,2.91,2.41,19.06,2.41,9.10,15.53,12.25,3.77,9.41,7.49,58.66
