GeographyCode,KS404NI0001,KS404NI0002,KS404NI0003,KS404NI0004,KS404NI0005,KS404NI0006,KS404NI0007,KS404NI0008,KS404NI0009,KS404NI0010,KS404NI0011,KS404NI0012,KS404NI0013,KS404NI0014,KS404NI0015
95WW10S2,523,4,70,21,409,6,0,13,0.76,13.38,4.02,78.20,1.15,0,2.49
95WW11S1,578,0,172,2,367,4,0,33,0,29.76,0.35,63.49,0.69,0,5.71
95WW11S2,528,2,148,5,345,2,2,24,0.38,28.03,0.95,65.34,0.38,0.38,4.55
95WW12W1,1100,10,396,69,581,19,3,22,0.91,36.00,6.27,52.82,1.73,0.27,2.00
95WW13S1,752,5,66,37,502,25,1,116,0.66,8.78,4.92,66.76,3.32,0.13,15.43
95WW13S2,681,6,20,8,490,26,0,131,0.88,2.94,1.17,71.95,3.82,0,19.24
95WW14W1,1043,1,662,20,320,12,1,27,0.10,63.47,1.92,30.68,1.15,0.10,2.59
95WW15S1,599,1,171,5,382,4,3,33,0.17,28.55,0.83,63.77,0.67,0.50,5.51
95WW15S2,630,0,111,4,470,5,0,40,0,17.62,0.63,74.60,0.79,0,6.35
95WW16S1,621,3,137,3,440,4,2,32,0.48,22.06,0.48,70.85,0.64,0.32,5.15
95WW16S2,639,0,207,38,354,13,6,21,0,32.39,5.95,55.40,2.03,0.94,3.29
95WW17W1,991,1,294,53,603,8,0,32,0.10,29.67,5.35,60.85,0.81,0,3.23
95WW18W1,1000,4,178,33,720,8,2,55,0.40,17.80,3.30,72.00,0.80,0.20,5.50
95WW19S1,754,0,99,20,585,7,1,42,0,13.13,2.65,77.59,0.93,0.13,5.57
95WW19S2,661,0,106,5,520,2,0,28,0,16.04,0.76,78.67,0.30,0,4.24
95WW19S3,789,1,218,5,524,2,0,39,0.13,27.63,0.63,66.41,0.25,0,4.94
95WW20S1,680,2,208,4,378,17,2,69,0.29,30.59,0.59,55.59,2.50,0.29,10.15
95WW20S2,1645,2,1168,3,413,6,5,48,0.12,71.00,0.18,25.11,0.36,0.30,2.92
95WW20S3,649,0,178,5,425,3,1,37,0,27.43,0.77,65.49,0.46,0.15,5.70
95WW21S1,711,1,267,59,346,13,4,21,0.14,37.55,8.30,48.66,1.83,0.56,2.95
95WW21S2,770,0,284,22,421,9,2,32,0,36.88,2.86,54.68,1.17,0.26,4.16
95WW22S1,538,0,76,8,397,19,1,37,0,14.13,1.49,73.79,3.53,0.19,6.88
95WW22S2,690,1,321,13,313,12,1,29,0.14,46.52,1.88,45.36,1.74,0.14,4.20
95WW23S1,889,4,478,41,318,8,6,34,0.45,53.77,4.61,35.77,0.90,0.67,3.82
95WW23S2,566,3,214,16,290,5,0,38,0.53,37.81,2.83,51.24,0.88,0,6.71
95WW24S1,694,8,314,50,293,4,4,21,1.15,45.24,7.20,42.22,0.58,0.58,3.03
95WW24S2,884,3,478,77,291,9,5,21,0.34,54.07,8.71,32.92,1.02,0.57,2.38
95WW25W1,1137,2,525,247,325,4,9,25,0.18,46.17,21.72,28.58,0.35,0.79,2.20
95XX01S1,633,0,205,4,375,6,1,42,0,32.39,0.63,59.24,0.95,0.16,6.64
95XX01S2,608,1,98,2,461,1,1,44,0.16,16.12,0.33,75.82,0.16,0.16,7.24
95XX01S3,608,1,116,11,415,1,1,63,0.16,19.08,1.81,68.26,0.16,0.16,10.36
95XX02W1,1066,6,397,50,514,8,4,87,0.56,37.24,4.69,48.22,0.75,0.38,8.16
95XX03S1,498,0,132,13,323,0,0,30,0,26.51,2.61,64.86,0,0,6.02
95XX03S2,559,1,108,2,386,3,0,59,0.18,19.32,0.36,69.05,0.54,0,10.55
95XX04S1,663,1,143,4,452,4,0,59,0.15,21.57,0.60,68.17,0.60,0,8.90
95XX04S2,739,1,149,9,494,4,3,79,0.14,20.16,1.22,66.85,0.54,0.41,10.69
95XX05W1,1238,18,332,198,568,30,7,85,1.45,26.82,15.99,45.88,2.42,0.57,6.87
95XX06S1,755,2,330,56,320,10,4,33,0.26,43.71,7.42,42.38,1.32,0.53,4.37
95XX06S2,843,0,281,44,429,11,1,77,0,33.33,5.22,50.89,1.30,0.12,9.13
95XX07S1,633,6,140,17,419,6,0,45,0.95,22.12,2.69,66.19,0.95,0,7.11
95XX07S2,645,3,234,20,330,1,6,51,0.47,36.28,3.10,51.16,0.16,0.93,7.91
95XX08S1,591,12,156,102,256,8,1,56,2.03,26.40,17.26,43.32,1.35,0.17,9.48
95XX08S2,582,1,141,59,337,5,0,39,0.17,24.23,10.14,57.90,0.86,0,6.70
95XX09S1,629,3,180,73,327,1,2,43,0.48,28.62,11.61,51.99,0.16,0.32,6.84
95XX09S2,626,0,210,56,292,4,1,63,0,33.55,8.95,46.65,0.64,0.16,10.06
95XX10S1,676,3,162,30,416,20,3,42,0.44,23.96,4.44,61.54,2.96,0.44,6.21
95XX10S2,678,2,105,2,506,4,0,59,0.29,15.49,0.29,74.63,0.59,0,8.70
95XX10S3,488,3,102,18,323,17,2,23,0.61,20.90,3.69,66.19,3.48,0.41,4.71
