GeographyCode,LC6503NI0001,LC6503NI0002,LC6503NI0003,LC6503NI0004,LC6503NI0005,LC6503NI0006,LC6503NI0007,LC6503NI0008,LC6503NI0009,LC6503NI0010,LC6503NI0011,LC6503NI0012,LC6503NI0013,LC6503NI0014,LC6503NI0015,LC6503NI0016,LC6503NI0017,LC6503NI0018,LC6503NI0019,LC6503NI0020,LC6503NI0021,LC6503NI0022,LC6503NI0023,LC6503NI0024,LC6503NI0025,LC6503NI0026,LC6503NI0027,LC6503NI0028,LC6503NI0029,LC6503NI0030,LC6503NI0031,LC6503NI0032,LC6503NI0033,LC6503NI0034,LC6503NI0035,LC6503NI0036,LC6503NI0037,LC6503NI0038,LC6503NI0039,LC6503NI0040,LC6503NI0041,LC6503NI0042,LC6503NI0043,LC6503NI0044,LC6503NI0045,LC6503NI0046,LC6503NI0047,LC6503NI0048,LC6503NI0049,LC6503NI0050,LC6503NI0051,LC6503NI0052,LC6503NI0053,LC6503NI0054,LC6503NI0055,LC6503NI0056,LC6503NI0057,LC6503NI0058,LC6503NI0059,LC6503NI0060,LC6503NI0061,LC6503NI0062,LC6503NI0063
UKN03,317543,216558,100985,77597,31287,46310,40289,28847,11442,53660,38668,14992,41371,33440,7931,75307,62668,12639,29319,21648,7671,169511,134518,34993,21917,11475,10442,25026,18796,6230,35514,26588,8926,30214,25258,4956,43912,40944,2968,12928,11457,1471,148032,82040,65992,55680,19812,35868,15263,10051,5212,18146,12080,6066,11157,8182,2975,31395,21724,9671,16391,10191,6200
UKN04,209839,130109,79730,62577,22999,39578,25958,17178,8780,33152,21958,11194,27170,20504,6666,45201,36377,8824,15781,11093,4688,115592,83208,32384,20059,9634,10425,17014,11569,5445,23675,15772,7903,21017,16083,4934,26680,24154,2526,7147,5996,1151,94247,46901,47346,42518,13365,29153,8944,5609,3335,9477,6186,3291,6153,4421,1732,18521,12223,6298,8634,5097,3537
UKN05,294211,195467,98744,81134,33523,47611,34987,24367,10620,46733,31893,14840,36396,28115,8281,66101,55009,11092,28860,22560,6300,166605,126419,40186,24848,12797,12051,22596,16126,6470,32716,22342,10374,28383,22126,6257,42301,39098,3203,15761,13930,1831,127606,69048,58558,56286,20726,35560,12391,8241,4150,14017,9551,4466,8013,5989,2024,23800,15911,7889,13099,8630,4469
95AA,38597,27361,11236,8877,3761,5116,5029,3679,1350,6727,5032,1695,4917,4063,854,9518,8110,1408,3529,2716,813,21442,17410,4032,2552,1367,1185,3196,2453,743,4668,3606,1062,3708,3144,564,5695,5367,328,1623,1473,150,17155,9951,7204,6325,2394,3931,1833,1226,607,2059,1426,633,1209,919,290,3823,2743,1080,1906,1243,663
95BB,57290,38371,18919,13063,4894,8169,7868,5724,2144,10006,7182,2824,7615,6059,1556,13417,10920,2497,5321,3592,1729,28056,22538,5518,3299,1669,1630,4556,3550,1006,6124,4704,1420,5130,4315,815,7167,6711,456,1780,1589,191,29234,15833,13401,9764,3225,6539,3312,2174,1138,3882,2478,1404,2485,1744,741,6250,4209,2041,3541,2003,1538
95CC,42544,28911,13633,11301,4873,6428,5070,3700,1370,6946,4841,2105,5353,4246,1107,9830,8121,1709,4044,3130,914,23426,18209,5217,3384,1793,1591,3153,2382,771,4736,3326,1410,4046,3255,791,6050,5624,426,2057,1829,228,19118,10702,8416,7917,3080,4837,1917,1318,599,2210,1515,695,1307,991,316,3780,2497,1283,1987,1301,686
95DD,46337,32020,14317,12467,5458,7009,5425,3986,1439,7454,5399,2055,5810,4746,1064,10770,8975,1795,4411,3456,955,24456,19650,4806,3394,1895,1499,3474,2671,803,4954,3740,1214,4252,3592,660,6319,5893,426,2063,1859,204,21881,12370,9511,9073,3563,5510,1951,1315,636,2500,1659,841,1558,1154,404,4451,3082,1369,2348,1597,751
95EE,22558,14740,7818,6636,2750,3886,2861,1989,872,3920,2696,1224,2859,2244,615,4336,3597,739,1946,1464,482,12428,9289,3139,1892,982,910,1897,1345,552,2765,1892,873,2242,1789,453,2741,2497,244,891,784,107,10130,5451,4679,4744,1768,2976,964,644,320,1155,804,351,617,455,162,1595,1100,495,1055,680,375
95FF,34555,24187,10368,8192,3416,4776,4455,3162,1293,5761,4211,1550,4585,3776,809,8649,7416,1233,2913,2206,707,19020,15276,3744,2125,1123,1002,2793,2056,737,3816,2889,927,3484,2937,547,5465,5085,380,1337,1186,151,15535,8911,6624,6067,2293,3774,1662,1106,556,1945,1322,623,1101,839,262,3184,2331,853,1576,1020,556
95GG,208609,132666,75943,55631,18178,37453,24041,15618,8423,27888,19101,8787,29599,21593,8006,56983,48396,8587,14467,9780,4687,124643,92253,32390,18676,8415,10261,16180,10937,5243,20102,14152,5950,24157,17797,6360,38505,35197,3308,7023,5755,1268,83966,40413,43553,36955,9763,27192,7861,4681,3180,7786,4949,2837,5442,3796,1646,18478,13199,5279,7444,4025,3419
95HH,28657,19596,9061,6189,2315,3874,3963,2842,1121,4939,3582,1357,4028,3259,769,6996,5817,1179,2542,1781,761,14662,11769,2893,1586,791,795,2404,1832,572,3129,2362,767,2841,2402,439,3853,3606,247,849,776,73,13995,7827,6168,4603,1524,3079,1559,1010,549,1810,1220,590,1187,857,330,3143,2211,932,1693,1005,688
95II,48551,33982,14569,9270,3465,5805,5869,4220,1649,7646,5383,2263,6416,5085,1331,15582,13320,2262,3768,2509,1259,24999,20325,4674,2406,1189,1217,3338,2526,812,4737,3482,1255,4403,3621,782,8820,8367,453,1295,1140,155,23552,13657,9895,6864,2276,4588,2531,1694,837,2909,1901,1008,2013,1464,549,6762,4953,1809,2473,1369,1104
95JJ,43277,27795,15482,10784,4316,6468,5226,3568,1658,6922,4636,2286,6074,4507,1567,10949,8477,2472,3322,2291,1031,22353,16587,5766,3108,1540,1568,3061,2196,865,4425,3037,1388,4632,3505,1127,5740,5146,594,1387,1163,224,20924,11208,9716,7676,2776,4900,2165,1372,793,2497,1599,898,1442,1002,440,5209,3331,1878,1935,1128,807
95KK,26645,17418,9227,8033,3312,4721,3317,2334,983,4299,2964,1335,3334,2545,789,5235,4359,876,2427,1904,523,15543,11761,3782,2503,1356,1147,2308,1662,646,3178,2204,974,2670,2066,604,3515,3260,255,1369,1213,156,11102,5657,5445,5530,1956,3574,1009,672,337,1121,760,361,664,479,185,1720,1099,621,1058,691,367
95LL,67061,45009,22052,18237,7147,11090,8381,5878,2503,11121,7984,3137,8251,6635,1616,14772,12579,2193,6299,4786,1513,38244,29805,8439,5673,2992,2681,5504,4030,1474,7644,5619,2025,6332,5219,1113,9717,9034,683,3374,2911,463,28817,15204,13613,12564,4155,8409,2877,1848,1029,3477,2365,1112,1919,1416,503,5055,3545,1510,2925,1875,1050
95MM,78409,47447,30962,23395,7746,15649,9667,6118,3549,12155,7893,4262,10200,7680,2520,17687,14450,3237,5305,3560,1745,44839,31595,13244,8080,3643,4437,6606,4318,2288,9125,5947,3178,7880,6013,1867,10787,9750,1037,2361,1924,437,33570,15852,17718,15315,4103,11212,3061,1800,1261,3030,1946,1084,2320,1667,653,6900,4700,2200,2944,1636,1308
95NN,50138,33648,16490,11187,4305,6882,5934,4079,1855,8600,5954,2646,6912,5506,1406,13020,10520,2500,4485,3284,1201,26726,20566,6160,3430,1653,1777,3640,2594,1046,5753,4070,1683,5035,4125,910,6889,6379,510,1979,1745,234,23412,13082,10330,7757,2652,5105,2294,1485,809,2847,1884,963,1877,1381,496,6131,4141,1990,2506,1539,967
95OO,41315,27881,13434,11332,4847,6485,4705,3234,1471,6283,4277,2006,5010,3904,1106,9133,7680,1453,4852,3939,913,24384,18669,5715,3761,2077,1684,3081,2154,927,4465,3035,1430,4023,3153,870,6085,5614,471,2969,2636,333,16931,9212,7719,7571,2770,4801,1624,1080,544,1818,1242,576,987,751,236,3048,2066,982,1883,1303,580
95PP,44465,29852,14613,12475,5332,7143,5656,4086,1570,7209,5042,2167,5148,4068,1080,9938,8242,1696,4039,3082,957,23616,18168,5448,3448,1754,1694,3467,2561,906,4816,3394,1422,3758,3014,744,6119,5670,449,2008,1775,233,20849,11684,9165,9027,3578,5449,2189,1525,664,2393,1648,745,1390,1054,336,3819,2572,1247,2031,1307,724
95QQ,23565,15962,7603,5574,2306,3268,3197,2339,858,3991,2906,1085,3281,2655,626,5161,4148,1013,2361,1608,753,11567,9273,2294,1444,776,668,1863,1442,421,2555,1960,595,2273,1926,347,2660,2475,185,772,694,78,11998,6689,5309,4130,1530,2600,1334,897,437,1436,946,490,1008,729,279,2501,1673,828,1589,914,675
95RR,24610,15067,9543,7784,2869,4915,3059,2017,1042,3954,2628,1326,3197,2374,823,4586,3713,873,2030,1466,564,13931,9770,4161,2565,1205,1360,2088,1368,720,2872,1866,1006,2510,1869,641,2875,2613,262,1021,849,172,10679,5297,5382,5219,1664,3555,971,649,322,1082,762,320,687,505,182,1711,1100,611,1009,617,392
95SS,86371,59061,27310,18831,7242,11589,11193,7852,3341,14456,10174,4282,11417,9039,2378,23677,19924,3753,6797,4830,1967,47443,37106,10337,5839,2720,3119,7051,5172,1879,9606,6965,2641,8196,6718,1478,13999,13110,889,2752,2421,331,38928,21955,16973,12992,4522,8470,4142,2680,1462,4850,3209,1641,3221,2321,900,9678,6814,2864,4045,2409,1636
95TT,31959,21505,10454,8920,3953,4967,3771,2630,1141,5131,3497,1634,4113,3085,1028,7213,6045,1168,2811,2295,516,18658,14174,4484,2633,1439,1194,2606,1856,750,3672,2492,1180,3391,2527,864,4814,4446,368,1542,1414,128,13301,7331,5970,6287,2514,3773,1165,774,391,1459,1005,454,722,558,164,2399,1599,800,1269,881,388
95UU,12375,7837,4538,3403,1399,2004,1596,1081,515,2004,1317,687,1459,1087,372,2836,2170,666,1077,783,294,6193,4625,1568,958,499,459,970,689,281,1327,902,425,1059,816,243,1439,1320,119,440,399,41,6182,3212,2970,2445,900,1545,626,392,234,677,415,262,400,271,129,1397,850,547,637,384,253
95VV,70560,46207,24353,18693,7197,11496,8340,5598,2742,11057,7390,3667,9049,6883,2166,15856,13244,2612,7565,5895,1670,40657,30476,10181,5893,2918,2975,5420,3763,1657,7845,5269,2576,7061,5453,1608,10210,9362,848,4228,3711,517,29903,15731,14172,12800,4279,8521,2920,1835,1085,3212,2121,1091,1988,1430,558,5646,3882,1764,3337,2184,1153
95WW,61791,42859,18932,13516,5282,8234,8252,6054,2198,10262,7550,2712,8993,7122,1871,15662,13279,2383,5106,3572,1534,33719,26956,6763,3634,1883,1751,5093,3910,1183,6711,5148,1563,6734,5453,1281,9602,8911,691,1945,1651,294,28072,15903,12169,9882,3399,6483,3159,2144,1015,3551,2402,1149,2259,1669,590,6060,4368,1692,3161,1921,1240
95XX,57848,39469,18379,9414,3526,5888,7093,5033,2060,9813,6746,3067,8093,6271,1822,18906,14981,3925,4529,2912,1617,28506,23170,5336,2593,1273,1320,3950,3031,919,5552,4186,1366,5254,4376,878,9768,9086,682,1389,1218,171,29342,16299,13043,6821,2253,4568,3143,2002,1141,4261,2560,1701,2839,1895,944,9138,5895,3243,3140,1694,1446
95YY,36723,23693,13030,10380,4009,6371,4128,2785,1343,5808,3882,1926,4389,3384,1005,8896,7318,1578,3122,2315,807,20321,14962,5359,3226,1460,1766,2561,1748,813,4004,2622,1382,3434,2658,776,5508,5122,386,1588,1352,236,16402,8731,7671,7154,2549,4605,1567,1037,530,1804,1260,544,955,726,229,3388,2196,1192,1534,963,571
95ZZ,28610,17223,11387,10575,3919,6656,3549,2405,1144,4197,2788,1409,3381,2612,769,4807,3970,837,2101,1529,572,15848,11342,4506,3456,1765,1691,2392,1653,739,3161,2128,1033,2694,2091,603,3098,2828,270,1047,877,170,12762,5881,6881,7119,2154,4965,1157,752,405,1036,660,376,687,521,166,1709,1142,567,1054,652,402
