GeographyCode,LC5101NI0001,LC5101NI0002,LC5101NI0003,LC5101NI0004,LC5101NI0005,LC5101NI0006,LC5101NI0007,LC5101NI0008,LC5101NI0009,LC5101NI0010,LC5101NI0011,LC5101NI0012,LC5101NI0013,LC5101NI0014,LC5101NI0015,LC5101NI0016,LC5101NI0017,LC5101NI0018,LC5101NI0019,LC5101NI0020,LC5101NI0021,LC5101NI0022,LC5101NI0023,LC5101NI0024,LC5101NI0025,LC5101NI0026,LC5101NI0027,LC5101NI0028,LC5101NI0029,LC5101NI0030,LC5101NI0031,LC5101NI0032,LC5101NI0033,LC5101NI0034,LC5101NI0035,LC5101NI0036,LC5101NI0037,LC5101NI0038,LC5101NI0039,LC5101NI0040,LC5101NI0041,LC5101NI0042,LC5101NI0043,LC5101NI0044,LC5101NI0045,LC5101NI0046,LC5101NI0047,LC5101NI0048,LC5101NI0049
WELB,229329,77215,26365,33805,26561,47687,17696,37228,6153,5854,10799,8177,4452,1793,39254,5239,4770,6672,6830,12828,2915,42073,9383,6490,6507,5269,11107,3317,40372,13354,5624,5540,3726,8568,3560,31789,15753,2392,2744,1749,5978,3173,38613,27333,1235,1543,810,4754,2938
UKN01,228679,69498,24585,28773,30052,59536,16235,43173,5950,6091,9099,14269,6025,1739,44992,5209,4772,6263,6205,19590,2953,36478,7517,5317,4740,3683,12890,2331,36457,11896,4965,4238,3024,9356,2978,26688,12144,1980,2315,1690,6043,2516,40891,26782,1460,2118,1181,5632,3718
UKN02,311648,75167,37367,48673,39865,84597,25979,45257,6292,7265,12680,11529,5621,1870,48873,3629,5678,8014,8630,20191,2731,55199,6137,8893,9041,7269,20230,3629,56306,10738,8394,8925,6180,16991,5078,43700,13941,4127,5385,3627,11470,5150,62313,34430,3010,4628,2630,10094,7521
UKN03,346252,97849,41019,54900,41951,78507,32026,50571,7660,8144,14915,11192,5865,2795,56023,5085,6609,9702,10576,19294,4757,62917,9172,10273,10897,8446,18753,5376,61080,14939,8946,9721,6281,14945,6248,49457,19214,4297,5634,3462,10885,5965,66204,41779,2750,4031,1994,8765,6885
UKN04,226804,75017,26352,33746,27495,47180,17014,37402,5905,5865,10602,9080,4291,1659,36986,4949,4717,6567,6746,11616,2391,41204,9205,6432,6506,5191,10773,3097,40020,13115,5550,5503,3686,8722,3444,31056,14728,2343,2747,1771,6323,3144,40136,27115,1445,1821,1021,5455,3279
UKN05,318157,99320,35475,47478,36747,68724,30413,51231,7816,7449,14652,11472,6375,3467,57064,6293,6317,8804,9769,19666,6215,58310,10739,8830,9260,7142,16260,6079,54715,16540,7739,8162,4942,11547,5785,42661,20084,3413,4175,2313,8004,4672,54176,37848,1727,2425,1109,6872,4195
95AA,41479,10904,5097,6863,4979,9828,3808,6186,885,996,1888,1414,674,329,7231,623,896,1367,1265,2450,630,8025,1044,1304,1413,1029,2571,664,7292,1721,1051,1112,688,1921,799,5674,2174,518,638,390,1282,672,7071,4457,332,445,193,930,714
95BB,62813,16755,8030,10318,7747,14010,5953,8201,1198,1309,2491,1862,971,370,8892,694,1149,1619,1771,3060,599,10963,1407,2098,2014,1497,3136,811,11397,2268,1908,1939,1349,2826,1107,10094,3501,970,1289,777,2202,1355,13266,7687,596,966,491,1815,1711
95CC,46195,14021,5139,7072,5411,10267,4285,7323,1137,1042,2171,1589,903,481,7822,831,886,1203,1407,2726,769,8281,1416,1225,1362,1050,2421,807,7997,2307,1130,1199,803,1720,838,6350,2752,571,701,371,1273,682,8422,5578,285,436,191,1224,708
95DD,51185,16116,5540,7595,5914,11263,4757,7159,1143,1102,1990,1574,911,439,7947,756,886,1341,1492,2667,805,9350,1495,1486,1623,1186,2741,819,8557,2354,1086,1295,837,2052,933,7518,3170,582,798,514,1579,875,10654,7198,398,548,311,1313,886
