GeographyCode,LC2404NI0001,LC2404NI0002,LC2404NI0003,LC2404NI0004,LC2404NI0005,LC2404NI0006,LC2404NI0007,LC2404NI0008,LC2404NI0009,LC2404NI0010,LC2404NI0011,LC2404NI0012,LC2404NI0013,LC2404NI0014,LC2404NI0015,LC2404NI0016,LC2404NI0017,LC2404NI0018,LC2404NI0019,LC2404NI0020,LC2404NI0021,LC2404NI0022,LC2404NI0023,LC2404NI0024,LC2404NI0025,LC2404NI0026,LC2404NI0027,LC2404NI0028,LC2404NI0029,LC2404NI0030,LC2404NI0031,LC2404NI0032,LC2404NI0033,LC2404NI0034,LC2404NI0035,LC2404NI0036,LC2404NI0037,LC2404NI0038,LC2404NI0039,LC2404NI0040,LC2404NI0041,LC2404NI0042
UKN01,120595,46467,45058,19193,15507,10358,29070,42401,13984,17398,7513,6241,3644,11019,36385,13627,14304,6098,4873,3333,8454,19166,8146,6575,2792,2230,1553,4445,22643,10710,6781,2790,2163,1828,5152,2.29,2.48,2.13,2.11,2.09,2.24,2.23
UKN02,156882,28442,93220,42348,29023,21849,35220,43525,6014,27276,12693,8833,5750,10235,51209,8169,32205,14657,10127,7421,10835,26741,5658,14878,6743,4564,3571,6205,35407,8601,18861,8255,5499,5107,7945,2.45,2.77,2.35,2.33,2.30,2.48,2.45
UKN03,170132,50801,89192,46254,25459,17479,30139,44655,12037,23546,12233,7011,4302,9072,53121,14036,30146,15658,8699,5789,8939,29312,9350,14885,7685,4303,2897,5077,43044,15378,20615,10678,5446,4491,7051,2.55,2.75,2.47,2.47,2.42,2.57,2.46
UKN04,109318,53129,40975,21461,14507,5007,15214,29564,13266,11017,5920,3972,1125,5281,32001,14378,13359,6924,4757,1678,4264,18607,9417,6839,3537,2448,854,2351,29146,16068,9760,5080,3330,1350,3318,2.60,2.74,2.50,2.49,2.48,2.66,2.39
UKN05,146348,84314,44363,15853,20009,8501,17671,36269,19290,11164,3936,5331,1897,5815,39570,21606,13290,4756,6013,2521,4674,24094,14047,7265,2570,3254,1441,2782,46415,29371,12644,4591,5411,2642,4400,2.79,2.91,2.67,2.68,2.60,2.80,2.52
95AA,20064,6861,9419,5533,2450,1436,3784,5093,1489,2501,1510,682,309,1103,5960,1813,3114,1830,821,463,1033,3555,1288,1572,899,423,250,695,5456,2271,2232,1294,524,414,953,2.62,2.85,2.49,2.47,2.41,2.70,2.52
95BB,31514,3166,21213,11909,5229,4075,7135,8310,788,5572,3110,1431,1031,1950,10811,915,7553,4199,1897,1457,2343,5258,572,3535,2002,891,642,1151,7135,891,4553,2598,1010,945,1691,2.46,2.67,2.42,2.43,2.36,2.47,2.47
95CC,21594,9266,9534,3619,4039,1876,2794,5464,2242,2355,875,1077,403,867,6080,2454,2859,1092,1214,553,767,3655,1541,1632,562,727,343,482,6395,3029,2688,1090,1021,577,678,2.72,2.82,2.67,2.71,2.56,2.82,2.52
95DD,24817,4582,16263,10569,2774,2920,3972,6381,1036,4182,2789,713,680,1163,7927,1277,5511,3598,945,968,1139,4335,829,2772,1786,486,500,734,6174,1440,3798,2396,630,772,936,2.55,2.81,2.50,2.47,2.48,2.61,2.50
95EE,11508,2965,7000,4394,1561,1045,1543,2741,576,1721,1154,394,173,444,3451,715,2309,1424,522,363,427,1978,510,1176,720,270,186,292,3338,1164,1794,1096,375,323,380,2.70,3.08,2.57,2.53,2.52,2.83,2.54
95FF,18303,5099,10291,5262,3157,1872,2913,4613,1257,2472,1239,791,442,884,5539,1402,3275,1705,1005,565,862,3067,912,1688,879,512,297,467,5084,1528,2856,1439,849,568,700,2.62,2.74,2.61,2.61,2.56,2.70,2.46
95GG,120595,46467,45058,19193,15507,10358,29070,42401,13984,17398,7513,6241,3644,11019,36385,13627,14304,6098,4873,3333,8454,19166,8146,6575,2792,2230,1553,4445,22643,10710,6781,2790,2163,1828,5152,2.29,2.48,2.13,2.11,2.09,2.24,2.23
95HH,16200,1189,11071,5008,3132,2931,3940,4674,337,3161,1506,885,770,1176,5293,341,3725,1669,1087,969,1227,2808,227,1910,850,519,541,671,3425,284,2275,983,641,651,866,2.39,2.50,2.38,2.34,2.36,2.47,2.40
95II,27733,4500,16972,7534,5110,4328,6261,8210,986,5348,2400,1712,1236,1876,9002,1258,5865,2579,1782,1504,1879,4474,866,2538,1106,784,648,1070,6047,1390,3221,1449,832,940,1436,2.40,2.77,2.29,2.29,2.20,2.39,2.43
95JJ,23508,5267,13934,6909,5189,1836,4307,6715,1322,3928,1982,1488,458,1465,7651,1530,4804,2377,1777,650,1317,3819,905,2274,1108,862,304,640,5323,1510,2928,1442,1062,424,885,2.46,2.69,2.41,2.39,2.40,2.50,2.33
95KK,12904,6612,4800,1934,2045,821,1492,3023,1387,1152,478,496,178,484,3486,1585,1499,597,625,277,402,2095,1074,791,323,357,111,230,4300,2566,1358,536,567,255,376,2.84,3.05,2.66,2.64,2.64,2.76,2.53
95LL,35931,13953,16191,4138,7688,4365,5787,9528,3166,4485,1124,2194,1167,1877,10740,3810,5318,1370,2553,1395,1612,6389,2651,2741,696,1317,728,997,9274,4326,3647,948,1624,1075,1301,2.57,2.78,2.45,2.45,2.40,2.52,2.43
95MM,40779,26374,8648,4193,3387,1068,5757,11366,6769,2497,1264,964,269,2100,11364,7190,2672,1300,1058,314,1502,7079,4743,1459,689,591,179,877,10970,7672,2020,940,774,306,1278,2.61,2.70,2.48,2.43,2.47,2.72,2.40
95NN,26206,14363,7727,3791,2520,1416,4116,6888,3501,2079,1038,729,312,1308,7708,3950,2581,1237,882,462,1177,4477,2611,1233,598,390,245,633,7133,4301,1834,918,519,397,998,2.62,2.74,2.49,2.49,2.38,2.69,2.47
95OO,20270,11205,6590,2202,3171,1217,2475,4856,2337,1720,568,881,271,799,5341,2726,1994,660,989,345,621,3424,1973,1042,360,483,199,409,6649,4169,1834,614,818,402,646,2.83,3.02,2.63,2.64,2.55,2.81,2.56
95PP,23069,12168,8204,768,5476,1960,2697,6356,3212,2185,234,1460,491,959,6549,3230,2551,242,1670,639,768,3696,2025,1270,112,833,325,401,6468,3701,2198,180,1513,505,569,2.65,2.74,2.59,2.44,2.61,2.61,2.37
95QQ,13297,2777,8088,5052,1641,1395,2432,3842,800,2255,1423,471,361,787,4436,869,2794,1719,596,479,773,2231,487,1344,825,284,235,400,2788,621,1695,1085,290,320,472,2.40,2.46,2.40,2.41,2.32,2.47,2.33
95RR,12098,6421,4443,2413,1634,396,1234,2811,1407,1029,558,393,78,375,3562,1712,1472,773,560,139,378,2219,1223,788,432,281,75,208,3506,2079,1154,650,400,104,273,2.72,2.85,2.59,2.61,2.54,2.70,2.45
95SS,45723,13428,23634,9304,9255,5075,8661,11384,2501,6514,2584,2729,1201,2369,14276,3715,7973,3192,3119,1662,2588,8238,2784,3861,1552,1500,809,1593,11825,4428,5286,1976,1907,1403,2111,2.59,2.89,2.44,2.41,2.37,2.63,2.55
95TT,15037,8750,4763,2111,1765,887,1524,3174,1577,1138,507,456,175,459,3933,2128,1395,639,513,243,410,2420,1404,783,339,294,150,233,5510,3641,1447,626,502,319,422,2.98,3.18,2.73,2.71,2.65,2.95,2.61
95UU,6608,3377,2278,1095,1000,183,953,1950,914,676,334,296,46,360,1933,911,728,345,325,58,294,1008,536,353,172,152,29,119,1717,1016,521,244,227,50,180,2.56,2.72,2.45,2.42,2.45,2.63,2.24
95VV,35031,24750,5609,3222,1381,1006,4672,8504,5699,1335,757,371,207,1470,9340,6536,1604,936,399,269,1200,5905,4198,954,544,226,184,753,11282,8317,1716,985,385,346,1249,2.82,2.87,2.77,2.78,2.64,2.95,2.62
95WW,33971,5914,20782,10322,5386,5074,7275,9265,1234,5979,3075,1589,1315,2052,11178,1809,7152,3552,1884,1716,2217,5925,1158,3410,1653,888,869,1357,7603,1713,4241,2042,1025,1174,1649,2.45,2.72,2.37,2.33,2.33,2.48,2.46
95XX,33255,3411,20761,10180,6140,4441,9083,9992,956,6274,3128,1918,1228,2762,11460,1046,7490,3665,2255,1570,2924,5296,623,3159,1582,873,704,1514,6507,786,3838,1805,1094,939,1883,2.33,2.47,2.29,2.28,2.25,2.39,2.37
95YY,18443,11563,4863,1997,2132,734,2017,4892,2836,1279,517,590,172,777,4841,2947,1388,590,603,195,506,2899,1832,793,330,334,129,274,5811,3948,1403,560,605,238,460,2.76,2.87,2.66,2.61,2.64,2.85,2.37
95ZZ,14817,8725,4672,2457,1736,479,1420,3981,2278,1166,628,437,101,537,4040,2320,1374,705,515,154,346,2504,1500,789,416,292,81,215,4292,2627,1343,708,492,143,322,2.67,2.71,2.68,2.67,2.67,2.75,2.42
