GeographyCode,LC2119NI0001,LC2119NI0002,LC2119NI0003,LC2119NI0004,LC2119NI0005,LC2119NI0006,LC2119NI0007,LC2119NI0008,LC2119NI0009,LC2119NI0010,LC2119NI0011,LC2119NI0012,LC2119NI0013,LC2119NI0014,LC2119NI0015,LC2119NI0016,LC2119NI0017,LC2119NI0018,LC2119NI0019,LC2119NI0020,LC2119NI0021,LC2119NI0022,LC2119NI0023,LC2119NI0024,LC2119NI0025,LC2119NI0026,LC2119NI0027,LC2119NI0028,LC2119NI0029,LC2119NI0030,LC2119NI0031,LC2119NI0032,LC2119NI0033,LC2119NI0034,LC2119NI0035,LC2119NI0036,LC2119NI0037,LC2119NI0038,LC2119NI0039,LC2119NI0040,LC2119NI0041,LC2119NI0042,LC2119NI0043,LC2119NI0044,LC2119NI0045,LC2119NI0046,LC2119NI0047,LC2119NI0048,LC2119NI0049,LC2119NI0050,LC2119NI0051,LC2119NI0052,LC2119NI0053,LC2119NI0054,LC2119NI0055,LC2119NI0056,LC2119NI0057,LC2119NI0058,LC2119NI0059,LC2119NI0060,LC2119NI0061,LC2119NI0062,LC2119NI0063,LC2119NI0064,LC2119NI0065,LC2119NI0066,LC2119NI0067,LC2119NI0068,LC2119NI0069,LC2119NI0070,LC2119NI0071,LC2119NI0072
95BB,62222,6744,41555,23365,10143,8047,13923,9906,30020,3196,19388,11066,4657,3665,7436,5465,32202,3548,22167,12299,5486,4382,6487,4441,37586,3853,26011,14433,6286,5292,7722,5851,18785,1822,12738,7155,3023,2560,4225,3280,18801,2031,13273,7278,3263,2732,3497,2571,24636,2891,15544,8932,3857,2755,6201,4055,11235,1374,6650,3911,1634,1105,3211,2185,13401,1517,8894,5021,2223,1650,2990,1870
95CC,45501,20160,19857,7576,8237,4044,5484,2394,22525,9816,9739,3824,3995,1920,2970,1411,22976,10344,10118,3752,4242,2124,2514,983,25358,10755,12009,4553,4847,2609,2594,1338,12665,5276,5985,2302,2410,1273,1404,775,12693,5479,6024,2251,2437,1336,1190,563,20143,9405,7848,3023,3390,1435,2890,1056,9860,4540,3754,1522,1585,647,1566,636,10283,4865,4094,1501,1805,788,1324,420
95DD,50553,9990,32780,21232,5508,6040,7783,4407,24686,4780,15696,10263,2615,2818,4210,2455,25867,5210,17084,10969,2893,3222,3573,1952,29163,5531,19761,12647,3171,3943,3871,2455,14578,2654,9796,6325,1539,1932,2128,1401,14585,2877,9965,6322,1632,2011,1743,1054,21390,4459,13019,8585,2337,2097,3912,1952,10108,2126,5900,3938,1076,886,2082,1054,11282,2333,7119,4647,1261,1211,1830,898
95EE,24438,6991,14252,8899,3120,2233,3195,1853,12066,3433,6923,4324,1527,1072,1710,1022,12372,3558,7329,4575,1593,1161,1485,831,14169,3991,8579,5312,1797,1470,1599,1022,7064,1952,4248,2649,870,729,864,561,7105,2039,4331,2663,927,741,735,461,10269,3000,5673,3587,1323,763,1596,831,5002,1481,2675,1675,657,343,846,461,5267,1519,2998,1912,666,420,750,370
95FF,37233,10734,20956,10810,6240,3906,5543,3447,18378,5175,10165,5319,2997,1849,3038,1971,18855,5559,10791,5491,3243,2057,2505,1476,22071,6028,13172,6781,3864,2527,2871,1998,11012,2878,6540,3403,1901,1236,1594,1154,11059,3150,6632,3378,1963,1291,1277,844,15162,4706,7784,4029,2376,1379,2672,1449,7366,2297,3625,1916,1096,613,1444,817,7796,2409,4159,2113,1280,766,1228,632
95GG,224006,91961,79403,33465,26873,19065,52642,29578,106551,41644,35944,15338,12220,8386,28963,17152,117455,50317,43459,18127,14653,10679,23679,12426,92136,35756,36506,15123,11903,9480,19874,12875,46243,17175,18066,7588,5871,4607,11002,7453,45893,18581,18440,7535,6032,4873,8872,5422,131870,56205,42897,18342,14970,9585,32768,16703,60308,24469,17878,7750,6349,3779,17961,9699,71562,31736,25019,10592,8621,5806,14807,7004
95HH,31084,2368,21205,9418,6035,5752,7511,5524,14849,1047,9764,4402,2778,2584,4038,3052,16235,1321,11441,5016,3257,3168,3473,2472,17906,1356,12581,5563,3513,3505,3969,3110,8967,591,6179,2782,1698,1699,2197,1757,8939,765,6402,2781,1815,1806,1772,1353,13178,1012,8624,3855,2522,2247,3542,2414,5882,456,3585,1620,1080,885,1841,1295,7296,556,5039,2235,1442,1362,1701,1119
95II,53662,9581,32012,14098,9398,8516,12069,8503,25358,4220,14625,6549,4210,3866,6513,4780,28304,5361,17387,7549,5188,4650,5556,3723,31172,6125,18639,8064,5355,5220,6408,4829,15624,2815,9207,4041,2597,2569,3602,2803,15548,3310,9432,4023,2758,2651,2806,2026,22490,3456,13373,6034,4043,3296,5661,3674,9734,1405,5418,2508,1613,1297,2911,1977,12756,2051,7955,3526,2430,1999,2750,1697
95JJ,46325,11130,27107,13416,9939,3752,8088,4860,22358,5260,12718,6393,4612,1713,4380,2744,23967,5870,14389,7023,5327,2039,3708,2116,25392,5955,15592,7840,5457,2295,3845,2564,12689,2853,7731,3959,2650,1122,2105,1457,12703,3102,7861,3881,2807,1173,1740,1107,20933,5175,11515,5576,4482,1457,4243,2296,9669,2407,4987,2434,1962,591,2275,1287,11264,2768,6528,3142,2520,866,1968,1009
95KK,28427,15306,10037,3973,4284,1780,3084,1226,14065,7439,4927,1975,2099,853,1699,724,14362,7867,5110,1998,2185,927,1385,502,15548,8242,5941,2314,2528,1099,1365,639,7766,4047,2984,1191,1248,545,735,357,7782,4195,2957,1123,1280,554,630,282,12879,7064,4096,1659,1756,681,1719,587,6299,3392,1943,784,851,308,964,367,6580,3672,2153,875,905,373,755,220
95LL,71997,29646,31316,7894,14701,8721,11035,5912,35051,14267,14766,3767,6969,4030,6018,3435,36946,15379,16550,4127,7732,4691,5017,2477,40075,15956,18947,4935,8612,5400,5172,3188,20015,7790,9383,2503,4244,2636,2842,1850,20060,8166,9564,2432,4368,2764,2330,1338,31922,13690,12369,2959,6089,3321,5863,2724,15036,6477,5383,1264,2725,1394,3176,1585,16886,7213,6986,1695,3364,1927,2687,1139
95MM,82296,54791,16716,8197,6486,2033,10789,3844,39724,25675,8035,3975,3111,949,6014,2371,42572,29116,8681,4222,3375,1084,4775,1473,37562,24603,9060,4492,3380,1188,3899,1836,18781,12000,4577,2269,1691,617,2204,1148,18781,12603,4483,2223,1689,571,1695,688,44734,30188,7656,3705,3106,845,6890,2008,20943,13675,3458,1706,1420,332,3810,1223,23791,16513,4198,1999,1686,513,3080,785
95NN,53737,30472,15233,7558,4817,2858,8032,4730,26209,14520,7301,3680,2245,1376,4388,2722,27528,15952,7932,3878,2572,1482,3644,2008,29693,16365,9382,4624,2851,1907,3946,2690,14828,7922,4707,2335,1420,952,2199,1568,14865,8443,4675,2289,1431,955,1747,1122,24044,14107,5851,2934,1966,951,4086,2040,11381,6598,2594,1345,825,424,2189,1154,12663,7509,3257,1589,1141,527,1897,886
95OO,44105,25513,13621,4608,6395,2618,4971,1665,22056,12709,6591,2290,3072,1229,2756,986,22049,12804,7030,2318,3323,1389,2215,679,23710,13520,8076,2728,3694,1654,2114,908,11855,6684,4022,1384,1831,807,1149,530,11855,6836,4054,1344,1863,847,965,378,20395,11993,5545,1880,2701,964,2857,757,10201,6025,2569,906,1241,422,1607,456,10194,5968,2976,974,1460,542,1250,301
95PP,47951,26094,16782,1526,11221,4035,5075,2302,23916,12909,8269,749,5563,1957,2738,1358,24035,13185,8513,777,5658,2078,2337,944,26180,13964,9912,933,6535,2444,2304,1255,13077,6838,4977,460,3297,1220,1262,739,13103,7126,4935,473,3238,1224,1042,516,21771,12130,6870,593,4686,1591,2771,1047,10839,6071,3292,289,2266,737,1476,619,10932,6059,3578,304,2420,854,1295,428
95QQ,25735,5548,15625,9790,3099,2736,4562,2956,12483,2597,7387,4696,1433,1258,2499,1666,13252,2951,8238,5094,1666,1478,2063,1290,14564,2920,9352,5743,1856,1753,2292,1686,7263,1386,4633,2893,893,847,1244,930,7301,1534,4719,2850,963,906,1048,756,11171,2628,6273,4047,1243,983,2270,1270,5220,1211,2754,1803,540,411,1255,736,5951,1417,3519,2244,703,572,1015,534
95RR,25607,14100,9061,4946,3273,842,2446,1232,12682,6821,4487,2470,1606,411,1374,731,12925,7279,4574,2476,1667,431,1072,501,14066,7546,5346,2934,1870,542,1174,691,7033,3661,2707,1504,921,282,665,414,7033,3885,2639,1430,949,260,509,277,11541,6554,3715,2012,1403,300,1272,541,5649,3160,1780,966,685,129,709,317,5892,3394,1935,1046,718,171,563,224
95SS,91990,28492,46558,18368,17878,10312,16940,10696,43997,12926,21896,8727,8319,4850,9175,6067,47993,15566,24662,9641,9559,5462,7765,4629,52216,14780,28589,11210,10685,6694,8847,6215,26099,7033,14153,5572,5219,3362,4913,3597,26117,7747,14436,5638,5466,3332,3934,2618,39774,13712,17969,7158,7193,3618,8093,4481,17898,5893,7743,3155,3100,1488,4262,2470,21876,7819,10226,4003,4093,2130,3831,2011
95TT,34248,21027,10142,4449,3699,1994,3079,1316,17089,10317,5062,2232,1853,977,1710,760,17159,10710,5080,2217,1846,1017,1369,556,19079,11739,5887,2594,2044,1249,1453,727,9544,5785,2961,1318,1025,618,798,423,9535,5954,2926,1276,1019,631,655,304,15169,9288,4255,1855,1655,745,1626,589,7545,4532,2101,914,828,359,912,337,7624,4756,2154,941,827,386,714,252
95UU,13465,7194,4462,2149,1915,398,1809,834,6745,3541,2201,1076,936,189,1003,496,6720,3653,2261,1073,979,209,806,338,7086,3764,2487,1216,1012,259,835,486,3544,1858,1245,624,505,116,441,277,3542,1906,1242,592,507,143,394,209,6379,3430,1975,933,903,139,974,348,3201,1683,956,452,431,73,562,219,3178,1747,1019,481,472,66,412,129
95VV,75408,53906,12019,6918,2918,2183,9483,3025,37199,26095,6009,3504,1440,1065,5095,1810,38209,27811,6010,3414,1478,1118,4388,1215,39684,28641,7156,4084,1694,1378,3887,1519,19828,14101,3628,2087,856,685,2099,909,19856,14540,3528,1997,838,693,1788,610,35724,25265,4863,2834,1224,805,5596,1506,17371,11994,2381,1417,584,380,2996,901,18353,13271,2482,1417,640,425,2600,605
95WW,65799,12344,39474,19457,9965,10052,13981,9582,31221,5589,18085,9053,4565,4467,7547,5415,34578,6755,21389,10404,5400,5585,6434,4167,37719,7149,23247,11393,5736,6118,7323,5380,18833,3315,11414,5686,2785,2943,4104,3111,18886,3834,11833,5707,2951,3175,3219,2269,28080,5195,16227,8064,4229,3934,6658,4202,12388,2274,6671,3367,1780,1524,3443,2304,15692,2921,9556,4697,2449,2410,3215,1898
95XX,62993,6901,39086,19009,11504,8573,17006,12677,29794,2978,17708,8656,5178,3874,9108,6998,33199,3923,21378,10353,6326,4699,7898,5679,37649,4167,24129,11555,7112,5462,9353,7427,18812,1834,11784,5657,3449,2678,5194,4204,18837,2333,12345,5898,3663,2784,4159,3223,25344,2734,14957,7454,4392,3111,7653,5250,10982,1144,5924,2999,1729,1196,3914,2794,14362,1590,9033,4455,2663,1915,3739,2456
95YY,39215,25436,10049,4097,4368,1584,3730,1348,19483,12405,5015,2062,2164,789,2063,809,19732,13031,5034,2035,2204,795,1667,539,21164,13641,5915,2449,2482,984,1608,729,10589,6714,2985,1247,1238,500,890,439,10575,6927,2930,1202,1244,484,718,290,18051,11795,4134,1648,1886,600,2122,619,8894,5691,2030,815,926,289,1173,370,9157,6104,2104,833,960,311,949,249
95ZZ,30773,18246,9782,5143,3577,1062,2745,765,15204,8732,5021,2676,1802,543,1451,437,15569,9514,4761,2467,1775,519,1294,328,15584,9074,5469,2851,1935,683,1041,385,7766,4426,2787,1482,968,337,553,234,7818,4648,2682,1369,967,346,488,151,15189,9172,4313,2292,1642,379,1704,380,7438,4306,2234,1194,834,206,898,203,7751,4866,2079,1098,808,173,806,177
