GeographyCode,LC2604NI0001,LC2604NI0002,LC2604NI0003,LC2604NI0004,LC2604NI0005,LC2604NI0006,LC2604NI0007,LC2604NI0008,LC2604NI0009,LC2604NI0010,LC2604NI0011,LC2604NI0012,LC2604NI0013,LC2604NI0014,LC2604NI0015,LC2604NI0016,LC2604NI0017,LC2604NI0018,LC2604NI0019,LC2604NI0020,LC2604NI0021,LC2604NI0022,LC2604NI0023,LC2604NI0024,LC2604NI0025,LC2604NI0026,LC2604NI0027,LC2604NI0028,LC2604NI0029,LC2604NI0030,LC2604NI0031,LC2604NI0032,LC2604NI0033,LC2604NI0034,LC2604NI0035,LC2604NI0036,LC2604NI0037,LC2604NI0038,LC2604NI0039,LC2604NI0040
UKN04,209839,107162,74399,38711,26062,9626,28278,13495,46170,22428,16533,8588,5137,2808,7209,4061,44311,21049,17725,9853,5611,2261,5537,2651,77013,39369,28451,14560,10856,3035,9193,3876,42345,24316,11690,5710,4458,1522,6339,2907
UKN05,294211,176709,84082,29958,37292,16832,33420,13097,66110,39777,18483,6661,7523,4299,7850,3493,68550,38736,22798,8651,9459,4688,7016,2722,108671,64541,31709,10788,15233,5688,12421,4751,50880,33655,11092,3858,5077,2157,6133,2131
95AA,38597,14246,17072,9894,4329,2849,7279,4664,10708,3845,4738,2676,1141,921,2125,1433,8945,3177,4223,2567,928,728,1545,1012,13941,5099,6259,3579,1777,903,2583,1622,5003,2125,1852,1072,483,297,1026,597
95BB,57290,6339,37620,21096,9219,7305,13331,9673,15659,1531,10230,5358,2617,2255,3898,2996,15367,1799,10200,5828,2344,2028,3368,2424,19551,2176,13151,7614,3253,2284,4224,2909,6713,833,4039,2296,1005,738,1841,1344
95CC,42544,19113,18196,6962,7468,3766,5235,2361,10271,4452,4501,1669,1751,1081,1318,627,10474,4370,4977,1992,1918,1067,1127,500,15063,6659,6487,2428,2873,1186,1917,848,6736,3632,2231,873,926,432,873,386
95DD,46337,9478,29390,18890,5006,5494,7469,4345,11888,2523,7474,4656,1189,1629,1891,1222,10278,2029,6694,4394,993,1307,1555,899,18348,3573,11898,7695,2188,2015,2877,1579,5823,1353,3324,2145,636,543,1146,645
95EE,22558,6551,12955,7985,2903,2067,3052,1830,4674,1301,2727,1663,507,557,646,412,5546,1645,3234,2047,648,539,667,384,8839,2451,5280,3289,1304,687,1108,666,3499,1154,1714,986,444,284,631,368
95FF,34555,10098,19140,9864,5656,3620,5317,3397,9471,2635,5289,2598,1511,1180,1547,1068,8790,2504,5033,2765,1339,929,1253,790,11944,3518,6698,3416,2136,1146,1728,1049,4350,1441,2120,1085,670,365,789,490
95GG,208609,86866,70504,29546,23752,17206,51239,29478,55030,21996,17031,7169,5240,4622,16003,10283,35243,14345,11890,5036,3810,3044,9008,5337,71978,28586,28251,11601,10341,6309,15141,7660,46358,21939,13332,5740,4361,3231,11087,6198
95HH,28657,2187,19237,8502,5473,5262,7233,5405,8108,689,5312,2351,1468,1493,2107,1653,6439,455,4399,1995,1220,1184,1585,1186,10270,724,7090,3073,2078,1939,2456,1741,3840,319,2436,1083,707,646,1085,825
95II,48551,9296,27701,12216,8015,7470,11554,8297,17005,4734,8206,3522,2305,2379,4065,2977,11000,1757,6610,2933,1860,1817,2633,1900,14471,1553,9660,4313,2950,2397,3258,2282,6075,1252,3225,1448,900,877,1598,1138
95JJ,43277,10770,24574,11984,9101,3489,7933,4939,10972,2504,6209,3075,2007,1127,2259,1493,9465,2204,5723,3056,1928,739,1538,940,14830,3766,8576,3976,3597,1003,2488,1414,8010,2296,4066,1877,1569,620,1648,1092
95KK,26645,14538,9129,3569,3927,1633,2978,1218,5413,2878,1933,787,770,376,602,247,6022,3174,2267,1002,853,412,581,217,10443,5565,3684,1299,1752,633,1194,528,4767,2921,1245,481,552,212,601,226
95LL,67061,28146,28316,7149,13208,7959,10599,5831,15857,5658,7656,2145,3207,2304,2543,1521,13643,5155,6508,1685,2884,1939,1980,1066,27410,12322,10792,2490,5538,2764,4296,2295,10151,5011,3360,829,1579,952,1780,949
95MM,78409,52402,15383,7510,5942,1931,10624,3916,17701,11460,3511,1710,1243,558,2730,1316,14192,8986,3313,1702,1210,401,1893,723,28455,18989,6129,2981,2483,665,3337,937,18061,12967,2430,1117,1006,307,2664,940
95NN,50138,28668,13631,6707,4205,2719,7839,4703,13832,7422,4011,1856,1229,926,2399,1607,12849,7019,3925,2018,1147,760,1905,1145,15666,9409,4087,2057,1311,719,2170,1165,7791,4818,1608,776,518,314,1365,786
95OO,41315,24210,12326,4128,5761,2437,4779,1661,9069,5294,2776,995,1136,645,999,382,8993,4784,3314,1220,1414,680,895,307,16146,9421,4748,1445,2490,813,1977,690,7107,4711,1488,468,721,299,908,282
95PP,44465,24396,15236,1400,10196,3640,4833,2255,9612,5106,3294,390,1975,929,1212,666,10824,5372,4378,376,2889,1113,1074,501,16939,9611,5569,428,4007,1134,1759,757,7090,4307,1995,206,1325,464,788,331
95QQ,23565,5143,14029,8710,2830,2489,4393,2906,5780,1182,3399,1986,710,703,1199,868,5589,1129,3469,2181,635,653,991,651,9319,2111,5625,3579,1169,877,1583,982,2877,721,1536,964,316,256,620,405
95RR,24610,13662,8556,4661,3099,796,2392,1249,4814,2503,1789,997,571,221,522,335,5809,3181,2084,1193,680,211,544,262,9153,5081,3237,1740,1263,234,835,409,4834,2897,1446,731,585,130,491,243
95SS,86371,27685,42179,16536,15994,9649,16507,10670,25989,7507,13186,5215,4644,3327,5296,3737,19694,5776,10295,4121,3744,2430,3623,2367,27917,8964,13925,5291,5885,2749,5028,3008,12771,5438,4773,1909,1721,1143,2560,1558
95TT,31959,19812,9214,4003,3350,1861,2933,1294,7425,4892,1843,839,604,400,690,332,7579,4711,2207,1049,694,464,661,292,11726,6764,3852,1593,1522,737,1110,478,5229,3445,1312,522,530,260,472,192
95UU,12375,6652,4021,1905,1747,369,1702,815,2859,1577,793,373,306,114,489,277,3147,1702,1055,553,394,108,390,180,4320,2176,1585,713,764,108,559,244,2049,1197,588,266,283,39,264,114
95VV,70560,50667,10813,6182,2586,2045,9080,2976,15688,11386,2130,1100,526,504,2172,857,15936,10905,3147,1940,671,536,1884,611,25845,18426,4149,2383,1038,728,3270,1027,13091,9950,1387,759,351,277,1754,481
95WW,61791,12358,35681,17513,8986,9182,13752,9628,17563,3962,9641,4694,2314,2633,3960,2905,13855,2708,8163,4065,2009,2089,2984,2119,21238,3525,13191,6422,3491,3278,4522,3034,9135,2163,4686,2332,1172,1182,2286,1570
95XX,57848,6581,34718,16802,10028,7888,16549,12564,20799,2503,12249,5723,3638,2888,6047,4769,14197,1520,8676,4233,2437,2006,4001,3036,16172,1706,10115,5051,2909,2155,4351,3114,6680,852,3678,1795,1044,839,2150,1645
95YY,36723,23973,9168,3714,4004,1450,3582,1332,8632,5769,2006,881,761,364,857,382,8722,5420,2508,1072,1020,416,794,294,12509,8095,3220,1212,1551,457,1194,423,6860,4689,1434,549,672,213,737,233
95ZZ,28610,17125,8910,4666,3270,974,2575,746,5150,3083,1504,770,503,231,563,228,6152,3331,2316,1302,751,263,505,162,11416,6906,3644,1861,1445,338,866,206,5892,3805,1446,733,571,142,641,150
