GeographyCode,LC1104NI0001,LC1104NI0002,LC1104NI0003,LC1104NI0004,LC1104NI0005,LC1104NI0006,LC1104NI0007,LC1104NI0008,LC1104NI0009,LC1104NI0010,LC1104NI0011,LC1104NI0012,LC1104NI0013,LC1104NI0014,LC1104NI0015,LC1104NI0016,LC1104NI0017,LC1104NI0018,LC1104NI0019,LC1104NI0020,LC1104NI0021,LC1104NI0022,LC1104NI0023,LC1104NI0024,LC1104NI0025,LC1104NI0026,LC1104NI0027,LC1104NI0028,LC1104NI0029,LC1104NI0030,LC1104NI0031,LC1104NI0032,LC1104NI0033,LC1104NI0034,LC1104NI0035,LC1104NI0036,LC1104NI0037,LC1104NI0038,LC1104NI0039,LC1104NI0040,LC1104NI0041,LC1104NI0042,LC1104NI0043,LC1104NI0044,LC1104NI0045,LC1104NI0046,LC1104NI0047,LC1104NI0048,LC1104NI0049,LC1104NI0050,LC1104NI0051,LC1104NI0052,LC1104NI0053,LC1104NI0054
UKN01,224006,92136,131870,106551,46243,60308,117455,45893,71562,86151,19660,66491,42182,8897,33285,43969,10763,33206,36318,18578,17740,17905,9409,8496,18413,9169,9244,36209,19938,16271,17366,9920,7446,18843,10018,8825,26482,15776,10706,13092,8187,4905,13390,7589,5801,38846,18184,20662,16006,9830,6176,22840,8354,14486
UKN02,305528,176662,128866,145219,88335,56884,160309,88327,71982,91575,29244,62331,44769,12842,31927,46806,16402,30404,54877,38598,16279,26227,19004,7223,28650,19594,9056,56015,40646,15369,26978,20333,6645,29037,20313,8724,43494,32719,10775,21180,16779,4401,22314,15940,6374,59567,35455,24112,26065,19377,6688,33502,16078,17424
UKN03,342075,196867,145208,166518,98323,68195,175557,98544,77013,105999,33852,72147,52851,14784,38067,53148,19068,34080,62748,44642,18106,30668,21894,8774,32080,22748,9332,60848,44579,16269,30270,22490,7780,30578,22089,8489,49220,36781,12439,24352,18765,5587,24868,18016,6852,63260,37013,26247,28377,20390,7987,34883,16623,18260
UKN04,222904,113859,109045,108779,56877,51902,114125,56982,57143,72821,17265,55556,36199,7402,28797,36622,9863,26759,40997,26510,14487,19957,12903,7054,21040,13607,7433,39778,27018,12760,19764,13636,6128,20014,13382,6632,30823,21746,9077,15404,11147,4257,15419,10599,4820,38485,21320,17165,17455,11789,5666,21030,9531,11499
UKN05,314855,170723,144132,156333,85324,71009,158522,85399,73123,108048,30716,77332,54758,13251,41507,53290,17465,35825,58157,41347,16810,29217,20430,8787,28940,20917,8023,54463,39780,14683,27639,20162,7477,26824,19618,7206,42376,30963,11413,21254,15826,5428,21122,15137,5985,51811,27917,23894,23465,15655,7810,28346,12262,16084
95AA,40598,23715,16883,19691,11842,7849,20907,11873,9034,13173,4511,8662,6475,1993,4482,6698,2518,4180,7958,5638,2320,3858,2791,1067,4100,2847,1253,7213,5326,1887,3587,2698,889,3626,2628,998,5597,4233,1364,2772,2162,610,2825,2071,754,6657,4007,2650,2999,2198,801,3658,1809,1849
95BB,62222,37586,24636,30020,18785,11235,32202,18801,13401,17084,5383,11701,8469,2339,6130,8615,3044,5571,10950,8011,2939,5237,3872,1365,5713,4139,1574,11374,8547,2827,5538,4266,1272,5836,4281,1555,10073,7792,2281,4941,3949,992,5132,3843,1289,12741,7853,4888,5835,4359,1476,6906,3494,3412
95CC,45501,25358,20143,22525,12665,9860,22976,12693,10283,15092,4405,10687,7689,1907,5782,7403,2498,4905,8243,5941,2302,4109,2936,1173,4134,3005,1129,7910,5931,1979,3992,3003,989,3918,2928,990,6268,4652,1616,3087,2342,745,3181,2310,871,7988,4429,3559,3648,2477,1171,4340,1952,2388
95DD,50553,29163,21390,24686,14578,10108,25867,14585,11282,15072,4722,10350,7658,2055,5603,7414,2667,4747,9337,6583,2754,4588,3250,1338,4749,3333,1416,8529,6253,2276,4240,3132,1108,4289,3121,1168,7492,5655,1837,3720,2879,841,3772,2776,996,10123,5950,4173,4480,3262,1218,5643,2688,2955
95EE,24438,14169,10269,12066,7064,5002,12372,7105,5267,7807,2560,5247,3947,1099,2848,3860,1461,2399,4612,3443,1169,2279,1672,607,2333,1771,562,4358,3258,1100,2244,1665,579,2114,1593,521,3156,2304,852,1577,1185,392,1579,1119,460,4505,2604,1901,2019,1443,576,2486,1161,1325
95FF,37233,22071,15162,18378,11012,7366,18855,11059,7796,11716,3911,7805,5900,1672,4228,5816,2239,3577,7293,5481,1812,3631,2693,938,3662,2788,874,6841,5200,1641,3458,2664,794,3383,2536,847,4956,3770,1186,2490,1931,559,2466,1839,627,6427,3709,2718,2899,2052,847,3528,1657,1871
95GG,224006,92136,131870,106551,46243,60308,117455,45893,71562,86151,19660,66491,42182,8897,33285,43969,10763,33206,36318,18578,17740,17905,9409,8496,18413,9169,9244,36209,19938,16271,17366,9920,7446,18843,10018,8825,26482,15776,10706,13092,8187,4905,13390,7589,5801,38846,18184,20662,16006,9830,6176,22840,8354,14486
95HH,31084,17906,13178,14849,8967,5882,16235,8939,7296,9026,2681,6345,4401,1151,3250,4625,1530,3095,5620,3905,1715,2681,1904,777,2939,2001,938,5989,4436,1553,2937,2246,691,3052,2190,862,4472,3370,1102,2181,1715,466,2291,1655,636,5977,3514,2463,2649,1951,698,3328,1563,1765
95II,53662,31172,22490,25358,15624,9734,28304,15548,12756,15111,4835,10276,7365,2099,5266,7746,2736,5010,9727,6964,2763,4773,3493,1280,4954,3471,1483,10447,7595,2852,4970,3779,1191,5477,3816,1661,7043,5188,1855,3444,2696,748,3599,2492,1107,11334,6590,4744,4806,3557,1249,6528,3033,3495
95JJ,46325,25392,20933,22358,12689,9669,23967,12703,11264,13696,3576,10120,6775,1549,5226,6921,2027,4894,7884,5374,2510,3791,2568,1223,4093,2806,1287,8530,6013,2517,4197,3016,1181,4333,2997,1336,6784,4973,1811,3384,2533,851,3400,2440,960,9431,5456,3975,4211,3023,1188,5220,2433,2787
95KK,28427,15548,12879,14065,7766,6299,14362,7782,6580,10280,2966,7314,5199,1287,3912,5081,1679,3402,5194,3746,1448,2601,1861,740,2593,1885,708,4775,3597,1178,2419,1827,592,2356,1770,586,3626,2706,920,1782,1367,415,1844,1339,505,4552,2533,2019,2064,1424,640,2488,1109,1379
95LL,71997,40075,31922,35051,20015,15036,36946,20060,16886,24835,8668,16167,12373,3857,8516,12462,4811,7651,13363,9201,4162,6653,4596,2057,6710,4605,2105,12288,8667,3621,6125,4381,1744,6163,4286,1877,9322,6652,2670,4590,3440,1150,4732,3212,1520,12189,6887,5302,5310,3741,1569,6879,3146,3733
95MM,82296,37562,44734,39724,18781,20943,42572,18781,23791,28982,5693,23289,14239,2509,11730,14743,3184,11559,15217,8759,6458,7334,4264,3070,7883,4495,3388,14764,9214,5550,7109,4634,2475,7655,4580,3075,11012,7349,3663,5448,3796,1652,5564,3553,2011,12321,6547,5774,5594,3578,2016,6727,2969,3758
95NN,53737,29693,24044,26209,14828,11381,27528,14865,12663,16996,4621,12375,8473,2001,6472,8523,2620,5903,9425,6669,2756,4581,3219,1362,4844,3450,1394,9656,7051,2605,4798,3558,1240,4858,3493,1365,7808,5803,2005,3873,2965,908,3935,2838,1097,9852,5549,4303,4484,3085,1399,5368,2464,2904
95OO,44105,23710,20395,22056,11855,10201,22049,11855,10194,16000,4913,11087,8122,2146,5976,7878,2767,5111,8350,5739,2611,4266,2860,1406,4084,2879,1205,7357,5317,2040,3776,2710,1066,3581,2607,974,5533,4040,1493,2776,2049,727,2757,1991,766,6865,3701,3164,3116,2090,1026,3749,1611,2138
95PP,47951,26180,21771,23916,13077,10839,24035,13103,10932,14961,4299,10662,7717,1839,5878,7244,2460,4784,8565,5984,2581,4281,2909,1372,4284,3075,1209,8521,6162,2359,4323,3096,1227,4198,3066,1132,7190,5164,2026,3605,2622,983,3585,2542,1043,8714,4571,4143,3990,2611,1379,4724,1960,2764
95QQ,25735,14564,11171,12483,7263,5220,13252,7301,5951,7123,2036,5087,3503,867,2636,3620,1169,2451,4422,3059,1363,2120,1473,647,2302,1586,716,4947,3535,1412,2524,1791,733,2423,1744,679,3972,2876,1096,1966,1439,527,2006,1437,569,5271,3058,2213,2370,1693,677,2901,1365,1536
95RR,25607,14066,11541,12682,7033,5649,12925,7033,5892,8546,2302,6244,4295,978,3317,4251,1324,2927,5058,3527,1531,2489,1759,730,2569,1768,801,4395,3252,1143,2245,1642,603,2150,1610,540,3576,2685,891,1795,1361,434,1781,1324,457,4032,2300,1732,1858,1293,565,2174,1007,1167
95SS,91990,52216,39774,43997,26099,17898,47993,26117,21876,29964,9248,20716,14784,4133,10651,15180,5115,10065,16744,11757,4987,7885,5760,2125,8859,5997,2862,16726,12124,4602,8089,6096,1993,8637,6028,2609,12628,9480,3148,6179,4885,1294,6449,4595,1854,15928,9607,6321,7060,5225,1835,8868,4382,4486
95TT,34248,19079,15169,17089,9544,7545,17159,9535,7624,12144,3539,8605,6190,1529,4661,5954,2010,3944,6506,4875,1631,3307,2444,863,3199,2431,768,5762,4322,1440,2913,2184,729,2849,2138,711,4384,3328,1056,2224,1726,498,2160,1602,558,5452,3015,2437,2455,1661,794,2997,1354,1643
95UU,13465,7086,6379,6745,3544,3201,6720,3542,3178,3855,918,2937,1980,379,1601,1875,539,1336,2325,1555,770,1175,779,396,1150,776,374,2389,1611,778,1198,773,425,1191,838,353,2080,1466,614,1082,765,317,998,701,297,2816,1536,1280,1310,848,462,1506,688,818
95VV,75408,39684,35724,37199,19828,17371,38209,19856,18353,26391,7016,19375,13215,3021,10194,13176,3995,9181,14218,9906,4312,7094,4865,2229,7124,5041,2083,13092,9381,3711,6649,4802,1847,6443,4579,1864,9871,7133,2738,4946,3664,1282,4925,3469,1456,11836,6248,5588,5295,3476,1819,6541,2772,3769
95WW,65799,37719,28080,31221,18833,12388,34578,18886,15692,20328,6695,13633,9863,2958,6905,10465,3737,6728,12024,8278,3746,5743,4074,1669,6281,4204,2077,11696,8392,3304,5659,4219,1440,6037,4173,1864,9176,6968,2208,4448,3547,901,4728,3421,1307,12575,7386,5189,5508,4035,1473,7067,3351,3716
95XX,62993,37649,25344,29794,18812,10982,33199,18837,14362,17146,5785,11361,8356,2501,5855,8790,3284,5506,10762,7694,3068,5145,3773,1372,5617,3921,1696,11157,8099,3058,5323,3993,1330,5834,4106,1728,10175,7713,2462,4928,3936,992,5247,3777,1470,13753,8358,5395,6042,4609,1433,7711,3749,3962
95YY,39215,21164,18051,19483,10589,8894,19732,10575,9157,13180,3578,9602,6626,1522,5104,6554,2056,4498,7081,5156,1925,3559,2555,1004,3522,2601,921,7046,5070,1976,3567,2540,1027,3479,2530,949,5504,3940,1564,2834,2056,778,2670,1884,786,6404,3420,2984,2897,1916,981,3507,1504,2003
95ZZ,30773,15584,15189,15204,7766,7438,15569,7818,7751,9935,2216,7719,4963,888,4075,4972,1328,3644,5901,3852,2049,2889,1861,1028,3012,1991,1021,5342,3670,1672,2771,1906,865,2571,1764,807,4215,2969,1246,2118,1507,611,2097,1462,635,5380,2877,2503,2463,1604,859,2917,1273,1644
