GeographyCode,LC6502NI0001,LC6502NI0002,LC6502NI0003,LC6502NI0004,LC6502NI0005,LC6502NI0006,LC6502NI0007,LC6502NI0008,LC6502NI0009,LC6502NI0010,LC6502NI0011,LC6502NI0012,LC6502NI0013,LC6502NI0014,LC6502NI0015,LC6502NI0016,LC6502NI0017,LC6502NI0018,LC6502NI0019,LC6502NI0020,LC6502NI0021,LC6502NI0022,LC6502NI0023,LC6502NI0024,LC6502NI0025,LC6502NI0026,LC6502NI0027,LC6502NI0028,LC6502NI0029,LC6502NI0030,LC6502NI0031,LC6502NI0032,LC6502NI0033,LC6502NI0034,LC6502NI0035
WELB,212817,64609,26059,33323,26315,45914,16597,45909,2871,2701,4265,4401,29878,1793,45699,11082,6181,8559,7332,7755,4790,78472,33478,11556,10958,8409,5555,8516,42737,17178,5621,9541,6173,2726,1498
UKN01,208609,55631,24041,27888,29599,56983,14467,55030,2636,2776,4451,4965,38318,1884,35243,5894,4988,7178,5867,8428,2888,71978,31574,10837,9040,6810,5564,8153,46358,15527,5440,7219,11957,4673,1542
UKN02,283218,57220,36370,47116,38947,80823,22742,89464,4271,5535,9403,9258,57371,3626,65185,10487,9765,14340,11138,13017,6438,90068,31395,15642,13845,10469,7227,11490,38501,11067,5428,9528,8082,3208,1188
UKN03,317543,77597,40289,53660,41371,75307,29319,83195,4659,5381,9022,8904,51680,3549,75461,14899,10541,15972,12947,12415,8687,116179,43740,18372,17610,12605,8307,15545,42708,14299,5995,11056,6915,2905,1538
UKN04,209839,62577,25958,33152,27170,45201,15781,46170,2933,2779,4477,4629,29559,1793,44311,10122,6028,8639,7335,7472,4715,77013,33831,11562,10671,7927,5218,7804,42345,15691,5589,9365,7279,2952,1469
UKN05,294211,81134,34987,46733,36396,66101,28860,66110,3886,3564,6007,5921,44190,2542,68550,16748,9072,12696,10956,10849,8229,108671,41052,15965,15886,11850,7955,15963,50880,19448,6386,12144,7669,3107,2126
95AA,38597,8877,5029,6727,4917,9518,3529,10708,547,728,1195,1093,6681,464,8945,1754,1327,1985,1419,1507,953,13941,4894,2301,2259,1538,1009,1940,5003,1682,673,1288,867,321,172
95BB,57290,13063,7868,10006,7615,13417,5321,15659,926,1153,1889,1785,9165,741,15367,2821,2373,3320,2594,2440,1819,19551,7186,3392,2993,2104,1339,2537,6713,2130,950,1804,1132,473,224
95CC,42544,11301,5070,6946,5353,9830,4044,10271,664,582,1003,989,6634,399,10474,2518,1432,2009,1715,1650,1150,15063,5629,2227,2200,1653,1146,2208,6736,2490,829,1734,996,400,287
95DD,46337,12467,5425,7454,5810,10770,4411,11888,761,731,1218,1191,7438,549,10278,2330,1309,2144,1662,1691,1142,18348,7365,2634,2564,2022,1255,2508,5823,2011,751,1528,935,386,212
95EE,22558,6636,2861,3920,2859,4336,1946,4674,310,316,504,517,2828,199,5546,1297,725,1148,903,786,687,8839,3775,1325,1396,888,509,946,3499,1254,495,872,551,213,114
95FF,34555,8192,4455,5761,4585,8649,2913,9471,493,589,988,1059,6011,331,8790,1818,1156,1831,1520,1436,1029,11944,4457,1994,1859,1351,864,1419,4350,1424,716,1083,655,338,134
95GG,208609,55631,24041,27888,29599,56983,14467,55030,2636,2776,4451,4965,38318,1884,35243,5894,4988,7178,5867,8428,2888,71978,31574,10837,9040,6810,5564,8153,46358,15527,5440,7219,11957,4673,1542
95HH,28657,6189,3963,4939,4028,6996,2542,8108,472,605,935,933,4776,387,6439,1015,1017,1510,1091,1183,623,10270,3558,1764,1529,1253,758,1408,3840,1144,577,965,751,279,124
95II,48551,9270,5869,7646,6416,15582,3768,17005,743,902,1540,1573,11625,622,11000,1854,1636,2378,1802,2238,1092,14471,5099,2475,2128,1667,1208,1894,6075,1574,856,1600,1374,511,160
95JJ,43277,10784,5226,6922,6074,10949,3322,10972,645,610,1114,974,7224,405,9465,1986,1320,1900,1523,1790,946,14830,5890,2386,2190,1447,1235,1682,8010,2263,910,1718,2130,700,289
95KK,26645,8033,3317,4299,3334,5235,2427,5413,399,323,534,534,3441,182,6022,1621,814,1082,940,861,704,10443,4215,1551,1544,1079,651,1403,4767,1798,629,1139,781,282,138
95LL,67061,18237,8381,11121,8251,14772,6299,15857,965,991,1701,1716,9838,646,13643,2675,1840,2932,2414,2366,1416,27410,11081,4106,3978,2547,1867,3831,10151,3516,1444,2510,1574,701,406
95MM,78409,23395,9667,12155,10200,17687,5305,17701,1104,1023,1603,1778,11523,670,14192,2892,1934,2784,2443,2774,1365,28455,12620,4241,3766,3131,2045,2652,18061,6779,2469,4002,2848,1345,618
95NN,50138,11187,5934,8600,6912,13020,4485,13832,615,780,1416,1370,9115,536,12849,2482,1722,2558,2328,2101,1658,15666,5502,2406,2529,1928,1304,1997,7791,2588,1026,2097,1286,500,294
95OO,41315,11332,4705,6283,5010,9133,4852,9069,544,437,779,785,6158,366,8993,2264,1174,1688,1437,1400,1030,16146,5920,2189,2144,1678,1101,3114,7107,2604,905,1672,1110,474,342
95PP,44465,12475,5656,7209,5148,9938,4039,9612,595,586,896,834,6278,423,10824,2702,1478,1988,1623,1874,1159,16939,6277,2636,2675,1776,1399,2176,7090,2901,956,1650,915,387,281
95QQ,23565,5574,3197,3991,3281,5161,2361,5780,352,409,615,690,3432,282,5589,1019,814,1202,1010,874,670,9319,3255,1539,1428,1115,669,1313,2877,948,435,746,466,186,96
95RR,24610,7784,3059,3954,3197,4586,2030,4814,306,290,506,525,2975,212,5809,1340,818,1194,982,797,678,9153,4193,1309,1201,949,534,967,4834,1945,642,1053,741,280,173
95SS,86371,18831,11193,14456,11417,23677,6797,25989,1308,1614,2578,2640,16817,1032,19694,3451,2836,4208,3375,3788,2036,27917,9895,4892,4477,3127,2162,3364,12771,4177,1851,3193,2275,910,365
95TT,31959,8920,3771,5131,4113,7213,2811,7425,390,384,672,633,5103,243,7579,1880,991,1503,1232,1086,887,11726,4851,1760,1705,1199,688,1523,5229,1799,636,1251,1049,336,158
95UU,12375,3403,1596,2004,1459,2836,1077,2859,157,163,243,278,1912,106,3147,762,408,574,493,496,414,4320,1708,728,671,415,316,482,2049,776,297,516,273,112,75
95VV,70560,18693,8340,11057,9049,15856,7565,15688,839,827,1370,1439,10571,642,15936,3460,2055,2872,2716,2497,2336,25845,9417,3805,3749,3009,1972,3893,13091,4977,1653,3066,1885,816,694
95WW,61791,13516,8252,10262,8993,15662,5106,17563,941,1172,2033,1864,10805,748,13855,2272,2173,3152,2376,2582,1300,21238,7952,3726,3045,2383,1415,2717,9135,2351,1181,2032,2370,860,341
95XX,57848,9414,7093,9813,8093,18906,4529,20799,807,1242,2317,2248,13348,837,14197,1895,2103,3092,2494,3226,1387,16172,4891,2785,2666,2039,1684,2107,6680,1821,963,1738,1312,648,198
95YY,36723,10380,4128,5808,4389,8896,3122,8632,455,425,753,707,6005,287,8722,2303,1128,1554,1293,1481,963,12509,4743,1797,1869,1456,998,1646,6860,2879,778,1632,933,412,226
95ZZ,28610,10575,3549,4197,3381,4807,2101,5150,411,377,507,557,3097,201,6152,1845,823,1039,991,829,625,11416,5645,1573,1447,1097,579,1075,5892,2674,776,1204,736,302,200
