GeographyCode,QS409NI0001,QS409NI0002,QS409NI0003,QS409NI0004,QS409NI0005
95GG21S3,1898,864,890,113,31
95GG22S1,1687,843,745,79,20
95GG22S2,1894,918,915,59,2
95GG22S3,1709,713,887,95,14
95GG23S1,1418,878,494,42,4
95GG23S2,1496,845,630,7,14
95GG23S3,1585,909,640,36,0
95GG24S1,1286,798,465,19,4
95GG24S2,1540,803,627,73,37
95GG24S3,1538,826,659,45,8
95GG25S1,2112,918,1074,92,28
95GG25S2,1839,803,918,91,27
95GG25S3,1576,626,824,90,36
95GG26S1,1948,860,994,90,4
95GG26S2,1727,920,752,48,7
95GG27S1,1500,532,833,98,37
95GG27S2,1614,590,899,97,28
95GG27S3,1705,720,904,72,9
95GG27S4,1587,613,831,102,41
95GG28S1,2149,993,1095,51,10
95GG28S2,1717,884,790,39,4
95GG28S3,1769,803,882,75,9
95GG29S1,2257,931,1150,160,16
95GG29S2,2747,1432,1191,81,43
95GG30S1,1604,968,599,29,8
95GG30S2,1685,1028,622,28,7
95GG30S3,1538,806,705,23,4
95GG31S1,2227,910,1247,49,21
95GG31S2,2032,956,1026,50,0
95GG31S3,2260,901,1187,104,68
95GG32S1,3232,1281,1733,144,74
95GG32S2,1553,752,737,55,9
95GG32S3,1606,925,642,34,5
95GG33S1,1945,1273,632,31,9
95GG33S2,1595,1110,477,3,5
95GG33S3,1912,1282,579,29,22
95GG34S1,1441,719,670,42,10
95GG34S2,1590,782,804,4,0
95GG34S3,1835,1004,772,42,17
95GG35S1,1889,842,943,93,11
95GG35S2,1478,740,649,57,32
95GG35S3,1502,627,746,96,33
95GG36S1,1794,988,747,52,7
95GG36S2,1926,1079,822,25,0
95GG36S3,1899,1032,820,30,17
95GG37S1,1972,1212,731,25,4
95GG37S2,1786,1075,654,32,25
95GG37S3,2133,1256,843,29,5
95GG38S1,3044,1818,1162,46,18
95GG38S2,1752,1073,630,23,26
95GG38S3,1583,926,634,23,0
95GG39S1,2401,984,1176,179,62
95GG39S2,2709,1306,1178,159,66
95GG39S3,2062,1001,879,109,73
95GG40S1,1697,848,777,65,7
95GG40S2,2008,1036,859,76,37
95GG41S1,1891,1452,425,14,0
95GG41S2,1524,1060,447,9,8
95GG41S3,1857,1169,673,3,12
95GG42S1,1826,1238,562,11,15
95GG42S2,516,288,204,20,4
95GG42S3,2003,852,1097,25,29
95GG42S4,2247,1333,846,40,28
95GG43S1,1424,798,605,14,7
95GG43S2,1635,878,732,25,0
95GG43S3,1724,1014,634,62,14
95GG44S1,2864,1327,1351,138,48
95GG44S2,2727,1305,1151,241,30
95GG45S1,1646,1194,428,20,4
95GG45S2,1554,697,780,43,34
95GG45S3,1617,915,652,50,0
95GG46S1,1712,683,913,96,20
95GG46S2,1828,575,1070,132,51
95GG46S3,1664,591,900,135,38
95GG47S1,2270,1073,1015,84,98
95GG47S2,1696,820,794,74,8
95GG47S3,1798,978,704,97,19
95GG48S1,1612,541,899,152,20
95GG48S2,2321,676,1364,216,65
95GG48S3,1668,522,900,193,53
95GG49S1,1617,943,615,47,12
95GG49S2,2214,925,1122,117,50
95GG49S3,2139,758,1006,184,191
95GG49S4,2066,887,904,190,85
95GG50S1,1499,885,543,46,25
95GG50S2,2061,952,972,107,30
95GG50S3,1885,989,773,106,17
95GG51S1,1353,762,546,43,2
95GG51S2,1399,796,558,45,0
95GG51S3,1321,745,509,56,11
95HH01W1,1981,1247,717,17,0
95HH02S1,1358,824,511,14,9
95HH02S2,1604,939,648,10,7
95HH03W1,1663,1104,521,24,14
95HH04S1,1709,860,845,4,0
95HH04S2,1358,904,443,11,0
95HH05W1,2171,1003,1110,56,2
95HH06S1,2231,1377,837,17,0
95HH06S2,2557,1349,1166,35,7
95HH07W1,1493,907,562,24,0
95HH08W1,2553,1674,831,36,12
95HH09W1,2543,1626,849,60,8
95HH10W1,2488,1723,746,17,2
95HH11W1,1366,709,639,12,6
95HH12W1,1552,784,712,56,0
95HH13W1,1407,686,677,34,10
95HH14W1,1530,896,598,32,4
95HH15W1,2585,1510,1011,56,8
95HH16W1,2159,1481,656,20,2
95HH17W1,2477,1378,1050,44,5
95II01S1,1532,958,556,16,2
95II01S2,1534,992,534,6,2
95II02S1,1485,866,593,21,5
95II02S2,1700,986,666,36,12
95II02S3,1415,976,431,8,0
95II03S1,1739,883,814,31,11
95II03S2,1784,963,752,61,8
95II04S1,2293,1250,996,33,14
95II04S2,1952,869,999,74,10
95II05S1,1586,871,644,50,21
95II05S2,1826,920,840,47,19
95II06S1,1519,776,696,42,5
95II06S2,1879,976,856,22,25
95II07W1,2077,1072,887,99,19
95II08W1,2417,1220,1128,59,10
95II09S1,1934,1140,745,38,11
95II09S2,1413,670,708,29,6
95II10W1,2592,1326,1181,80,5
95II11W1,2555,1561,957,28,9
95II12W1,2481,1481,961,22,17
95II13W1,2701,1549,1036,101,15
95II14W1,2521,1565,944,12,0
95II15S1,1793,984,750,51,8
95II15S2,1564,1023,493,42,6
95II16W1,2126,1094,984,48,0
95II17W1,2493,1637,840,16,0
95II18W1,2226,1189,977,39,21
95II19S1,1826,1123,663,32,8
95II19S2,1939,1141,762,36,0
95II20W1,2743,1572,1086,74,11
95II21W1,2419,1127,1212,75,5
95II22W1,2248,1384,820,37,7
95II23W1,2190,1184,958,38,10
95JJ01W1,2495,1491,911,73,20
95JJ02W1,2367,1478,836,31,22
95JJ03S1,1406,608,721,69,8
95JJ03S2,1064,477,529,45,13
95JJ04S1,1546,868,653,25,0
95JJ04S2,1565,1008,541,16,0
95JJ05W1,1775,1055,627,55,38
95JJ06W1,2432,1099,1204,110,19
95JJ07W1,2596,1191,1314,67,24
95JJ08S1,1377,836,531,10,0
95JJ08S2,1720,1000,693,23,4
95JJ09W1,1986,1346,594,26,20
95JJ10W1,2795,1372,1314,71,38
95JJ11S1,1821,1086,671,49,15
95JJ11S2,1943,1197,718,12,16
95JJ12W1,2709,1383,1224,72,30
95JJ13S1,2144,1224,867,48,5
95JJ13S2,1751,1029,692,30,0
95JJ14W1,2325,1410,867,46,2
95JJ15W1,1762,1145,566,49,2
95JJ16W1,1755,1053,676,13,13
95JJ17W1,2443,1315,1011,97,20
95JJ18W1,1937,1227,636,74,0
95JJ19S1,1645,1000,623,18,4
95JJ19S2,1251,645,541,50,15
95JJ20S1,2173,1266,848,59,0
95JJ20S2,1919,1131,757,26,5
95JJ21W1,2292,1253,940,70,29
95JJ22W1,2767,1931,795,24,17
95KK01W1,2578,1064,1367,123,24
95KK02W1,2000,1033,893,55,19
95KK03W1,2344,899,1333,94,18
95KK04W1,2787,1158,1409,191,29
95KK05W1,2587,1068,1363,103,53
95KK06W1,1885,880,910,69,26
95KK07W1,2045,1043,939,58,5
95KK08W1,2612,1279,1226,64,43
95KK09W1,2154,1219,863,46,26
95KK10W1,2181,1030,1049,89,13
95KK11W1,2373,1280,1012,52,29
95KK12W1,2309,984,1214,92,19
95KK13W1,1769,1083,616,53,17
95KK14W1,2041,1015,934,69,23
95KK15W1,2918,1355,1459,79,25
95KK16W1,2128,1054,974,83,17
95LL01S1,2488,1182,1257,34,15
95LL01S2,2443,1122,1237,63,21
95LL02S1,1612,909,668,26,9
95LL02S2,1411,789,538,50,34
95LL03W1,2436,1257,1047,117,15
95LL04W1,2938,1300,1506,111,21
95LL05S1,2345,1499,817,29,0
95LL05S2,1736,920,728,59,29
95LL06S1,1654,910,697,38,9
95LL06S2,1674,1009,622,40,3
95LL07W1,2131,1064,960,63,44
95LL08S1,1649,621,882,100,46
95LL08S2,1651,695,833,94,29
95LL09S1,1448,664,689,70,25
95LL09S2,1565,803,685,54,23
95LL10S1,3074,1408,1577,69,20
95LL10S2,2401,1085,1205,91,20
95LL11S1,1538,901,596,36,5
95LL11S2,2428,1412,956,52,8
95LL12S1,2929,1161,1608,96,64
95LL12S2,1283,500,684,64,35
95LL13S1,1401,644,698,38,21
95LL13S2,1344,617,667,43,17
95LL14S1,1270,485,660,98,27
95LL14S2,1381,631,676,74,0
95LL15S1,1446,916,521,9,0
95LL15S2,1540,835,662,34,9
95LL16S1,2789,1745,994,44,6
95LL16S2,3256,1554,1582,115,5
95LL17W1,2529,1452,1037,17,23
