GeographyCode,QS113NI0001,QS113NI0002,QS113NI0003,QS113NI0004,QS113NI0005,QS113NI0006,QS113NI0007,QS113NI0008,QS113NI0009,QS113NI0010,QS113NI0011,QS113NI0012
95GG06S1,794,212,89,123,582,113,136,96,82,10,38,107
95GG06S2,833,303,117,186,530,63,141,92,85,14,39,96
95GG06S3,754,208,83,125,546,62,103,70,111,31,49,120
95GG07S1,796,286,85,201,510,88,91,70,85,15,46,115
95GG07S2,788,253,79,174,535,146,95,43,81,22,49,99
95GG07S3,685,203,53,150,482,73,87,48,84,12,66,112
95GG08S1,554,158,81,77,396,22,77,93,57,28,36,83
95GG08S2,810,319,101,218,491,97,120,58,93,4,27,92
95GG08S3,787,258,71,187,529,90,150,58,103,16,39,73
95GG09S1,844,225,111,114,619,20,133,146,130,35,48,107
95GG09S2,808,233,103,130,575,28,161,121,95,11,36,123
95GG09S3,952,344,107,237,608,94,175,75,123,14,33,94
95GG10S1,966,453,108,345,513,71,198,62,53,11,26,92
95GG10S2,1051,430,119,311,621,93,210,61,81,10,28,138
95GG11S1,987,462,138,324,525,97,185,60,67,18,31,67
95GG11S2,701,233,72,161,468,23,133,79,94,15,47,77
95GG11S3,998,467,105,362,531,73,215,65,72,9,23,74
95GG12S1,558,160,13,147,398,6,164,5,16,9,14,184
95GG12S2,727,232,39,193,495,12,123,17,18,5,17,303
95GG12S3,586,209,20,189,377,9,117,10,22,6,12,201
95GG12S4,719,308,17,291,411,6,160,1,14,3,15,212
95GG12S5,839,231,53,178,608,109,153,46,72,24,62,142
95GG13S1,664,317,118,199,347,59,75,45,63,8,23,74
95GG13S2,665,180,92,88,485,38,90,88,90,30,51,98
95GG13S3,787,322,129,193,465,53,114,96,61,17,29,95
95GG14S1,618,155,89,66,463,23,106,92,64,30,48,100
95GG14S2,582,137,55,82,445,16,71,93,54,27,62,122
95GG14S3,617,148,83,65,469,29,94,83,80,21,44,118
95GG15S1,736,194,113,81,542,5,125,136,117,35,32,92
95GG15S2,890,304,148,156,586,29,167,90,149,21,30,100
95GG15S3,918,391,194,197,527,33,139,126,81,23,44,81
95GG16S1,866,341,82,259,525,80,131,57,84,19,52,102
95GG16S2,777,267,95,172,510,58,114,54,69,29,53,133
95GG16S3,587,168,71,97,419,47,88,56,75,18,40,95
95GG17S1,770,198,59,139,572,151,90,53,84,26,57,111
95GG17S2,623,170,88,82,453,31,88,91,56,12,55,120
95GG17S3,744,268,108,160,476,101,93,63,90,19,32,78
95GG18S1,1073,361,145,216,712,175,142,71,100,21,82,121
95GG18S2,1070,385,76,309,685,142,169,71,90,10,62,141
95GG19S1,1061,525,272,253,536,116,118,122,49,9,28,94
95GG19S2,1178,479,152,327,699,184,143,83,99,24,63,103
95GG20S1,1393,616,172,444,777,133,269,88,99,13,36,139
95GG20S2,966,392,152,240,574,102,129,83,105,23,43,89
95GG21S1,639,235,92,143,404,68,67,60,41,16,45,107
95GG21S2,675,187,56,131,488,130,94,48,43,15,53,105
95GG21S3,948,432,120,312,516,88,157,49,74,11,34,103
95GG22S1,733,275,130,145,458,43,94,80,61,14,57,109
95GG22S2,814,317,179,138,497,43,75,98,65,18,63,135
95GG22S3,661,191,79,112,470,47,75,81,69,20,51,127
95GG23S1,566,115,55,60,451,20,109,112,71,21,30,88
95GG23S2,579,178,101,77,401,16,65,69,63,24,51,113
95GG23S3,676,197,87,110,479,17,118,119,66,23,32,104
95GG24S1,612,260,139,121,352,29,82,79,57,12,19,74
95GG24S2,712,259,88,171,453,53,114,99,56,14,37,80
95GG24S3,621,195,79,116,426,37,96,56,89,26,35,87
95GG25S1,868,280,141,139,588,79,103,102,79,23,54,148
95GG25S2,716,224,91,133,492,49,71,84,58,20,82,128
95GG25S3,610,164,58,106,446,65,87,66,68,11,62,87
95GG26S1,848,273,83,190,575,109,105,112,86,15,46,102
95GG26S2,806,290,128,162,516,93,98,122,59,12,37,95
95GG27S1,487,85,20,65,402,47,74,27,73,26,78,77
95GG27S2,607,169,39,130,438,61,79,45,78,21,73,81
95GG27S3,727,241,47,194,486,70,110,65,60,9,49,123
95GG27S4,646,191,66,125,455,79,103,69,47,15,54,88
95GG28S1,839,203,69,134,636,64,138,86,156,26,50,116
95GG28S2,712,195,105,90,517,49,118,94,90,21,40,105
95GG28S3,774,238,58,180,536,123,115,79,91,10,36,82
95GG29S1,1083,438,137,301,645,132,194,74,109,15,37,84
95GG29S2,1347,563,161,402,784,122,259,83,143,14,49,114
95GG30S1,763,291,126,165,472,46,130,107,76,20,24,69
95GG30S2,695,201,93,108,494,21,118,107,102,27,33,86
95GG30S3,625,140,75,65,485,27,106,123,73,13,43,100
95GG31S1,793,152,51,101,641,57,111,92,103,29,96,153
95GG31S2,800,196,93,103,604,67,106,125,78,18,67,143
95GG31S3,870,219,60,159,651,137,110,95,82,25,78,124
95GG32S1,1257,346,106,240,911,210,188,72,157,44,105,135
95GG32S2,698,262,110,152,436,61,89,76,72,16,28,94
95GG32S3,694,230,117,113,464,57,87,92,61,9,42,116
95GG33S1,737,167,72,95,570,7,140,124,60,51,49,139
95GG33S2,618,172,79,93,446,8,105,83,68,36,39,107
95GG33S3,840,302,108,194,538,22,176,77,91,28,38,106
95GG34S1,650,252,125,127,398,44,91,70,82,15,33,63
95GG34S2,553,90,41,49,463,15,66,93,68,16,57,148
95GG34S3,796,253,87,166,543,30,175,62,104,21,36,115
95GG35S1,867,331,113,218,536,104,110,94,56,11,49,112
95GG35S2,731,337,84,253,394,90,78,52,50,9,23,92
95GG35S3,646,229,50,179,417,116,81,44,57,10,36,73
95GG36S1,827,307,124,183,520,29,165,70,117,17,33,89
95GG36S2,836,267,139,128,569,20,149,99,138,13,45,105
95GG36S3,818,266,127,139,552,35,120,101,113,18,41,124
95GG37S1,779,192,46,146,587,16,174,79,117,31,38,132
95GG37S2,819,295,90,205,524,35,189,51,101,14,21,113
95GG37S3,1089,444,111,333,645,26,317,67,94,17,25,99
95GG38S1,1369,482,144,338,887,47,285,117,144,30,53,211
95GG38S2,853,366,122,244,487,39,169,67,76,18,24,94
95GG38S3,693,251,115,136,442,22,121,66,96,25,32,80
95GG39S1,1172,508,103,405,664,62,255,43,109,18,47,130
95GG39S2,1402,663,195,468,739,96,302,72,64,17,48,140
