GeographyCode,QS105NI0001,QS105NI0002,QS105NI0003
95NN16S1,1601,771,830
95NN16S2,1693,858,835
95NN17W1,2256,1059,1197
95NN18S1,1179,595,584
95NN18S2,1523,741,782
95NN19S1,1695,805,890
95NN19S2,1686,832,854
95NN20W1,3001,1554,1447
95NN21W1,2687,1247,1440
95NN22W1,2686,1348,1338
95NN23S1,1566,798,768
95NN23S2,1821,891,930
95OO01W1,2592,1339,1253
95OO02W1,2166,1109,1057
95OO03W1,2651,1329,1322
95OO04W1,2515,1260,1255
95OO05W1,2730,1359,1371
95OO06W1,2860,1473,1387
95OO07W1,2510,1269,1241
95OO08W1,2713,1377,1336
95OO09W1,2252,1111,1141
95OO10W1,3530,1729,1801
95OO11W1,2485,1232,1253
95OO12W1,2803,1374,1429
95OO13W1,2716,1349,1367
95OO14W1,2588,1288,1300
95OO15W1,2357,1183,1174
95OO16W1,2114,1064,1050
95OO17W1,2724,1387,1337
95OO18W1,2891,1463,1428
95OO19W1,3009,1492,1517
95OO20W1,2189,1056,1133
95OO21W1,2351,1149,1202
95OO22W1,3106,1577,1529
95PP01W1,2586,1321,1265
95PP02W1,2541,1313,1228
95PP03W1,2540,1275,1265
95PP04W1,3185,1616,1569
95PP05W1,2367,1223,1144
95PP06S1,1992,921,1071
95PP06S2,1884,903,981
95PP07W1,2812,1418,1394
95PP08W1,2678,1398,1280
95PP09W1,1707,808,899
95PP10W1,2387,1244,1143
95PP11W1,2627,1283,1344
95PP12W1,2630,1359,1271
95PP13W1,2588,1252,1336
95PP14S1,1555,781,774
95PP14S2,2097,1077,1020
95PP15W1,3190,1581,1609
95PP16W1,1908,948,960
95PP17W1,2580,1218,1362
95PP18W1,3131,1582,1549
95PP19W1,2502,1262,1240
95PP20W1,3117,1543,1574
95PP21W1,2167,1145,1022
95PP22W1,2444,1175,1269
95PP23W1,2590,1331,1259
95QQ01W1,1483,725,758
95QQ02W1,2582,1276,1306
95QQ03W1,1096,503,593
95QQ04W1,1635,789,846
95QQ05W1,2875,1370,1505
95QQ06W1,2041,1003,1038
95QQ07W1,1817,908,909
95QQ08W1,1455,692,763
95QQ09W1,1916,873,1043
95QQ10W1,1851,921,930
95QQ11W1,2027,1030,997
95QQ12W1,1811,883,928
95QQ13W1,2568,1244,1324
95QQ14S1,3660,1759,1901
95QQ14S2,1770,893,877
95QQ15W1,1593,791,802
95RR01S1,2491,1175,1316
95RR01S2,1876,960,916
95RR02W1,1753,877,876
95RR03W1,1422,704,718
95RR04W1,2022,1002,1020
95RR05S1,1275,625,650
95RR05S2,1212,576,636
95RR06W1,2206,1156,1050
95RR07W1,2449,1235,1214
95RR08W1,2106,1066,1040
95RR09S1,2146,1069,1077
95RR09S2,1525,758,767
95RR10W1,1338,637,701
95RR11W1,2407,1439,968
