GeographyCode,QS403NI0001,QS403NI0002,QS403NI0003,QS403NI0004,QS403NI0005,QS403NI0006,QS403NI0007,QS403NI0008,QS403NI0009,QS403NI0010,QS403NI0011,QS403NI0012,QS403NI0013,QS403NI0014
95GG14S1,1617,1496,557,939,0,21,18,3,75,67,0,8,0,25
95GG14S2,1597,1415,552,863,0,71,52,19,81,68,0,13,0,30
95GG14S3,1606,1467,554,896,17,32,29,3,102,98,0,2,2,5
95GG15S1,1805,1607,643,964,0,58,40,18,123,118,0,2,3,17
95GG15S2,2004,1668,596,1062,10,69,37,32,250,229,0,21,0,17
95GG15S3,1881,1272,510,747,15,371,356,15,199,182,0,16,1,39
95GG16S1,1960,1158,437,694,27,286,172,114,493,468,0,25,0,23
95GG16S2,1920,1319,459,851,9,288,58,230,287,262,0,25,0,26
95GG16S3,1486,1060,398,649,13,254,222,32,143,132,0,11,0,29
95GG17S1,2031,1110,344,751,15,592,213,379,286,248,8,22,8,43
95GG17S2,1595,1376,485,884,7,86,50,36,127,122,0,5,0,6
95GG17S3,1704,886,257,622,7,542,377,165,253,228,0,10,15,23
95GG18S1,2553,1122,364,747,11,959,539,420,413,385,0,16,12,59
95GG18S2,2422,931,326,593,12,894,586,308,534,496,0,38,0,63
95GG19S1,1961,604,245,359,0,1051,837,214,186,164,0,10,12,120
95GG19S2,2563,636,155,435,46,1562,698,864,269,236,2,8,23,96
95GG20S1,2698,635,231,397,7,1265,546,719,735,703,2,19,11,63
95GG20S2,2094,673,183,470,20,1037,957,80,312,297,3,6,6,72
95GG21S1,1482,471,162,304,5,877,837,40,94,86,0,0,8,40
95GG21S2,1699,534,114,416,4,1028,864,164,100,87,0,1,12,37
95GG21S3,1898,569,184,370,15,875,625,250,379,365,3,0,11,75
95GG22S1,1687,1264,463,798,3,169,98,71,220,187,3,20,10,34
95GG22S2,1894,1508,480,1009,19,215,66,149,146,132,0,14,0,25
95GG22S3,1709,1282,373,883,26,302,215,87,106,95,0,9,2,19
95GG23S1,1418,1292,563,724,5,19,15,4,104,89,0,10,5,3
95GG23S2,1496,1303,499,796,8,73,64,9,99,87,0,11,1,21
95GG23S3,1585,1323,610,698,15,56,28,28,194,181,0,8,5,12
95GG24S1,1286,1035,453,577,5,97,55,42,139,130,0,5,4,15
95GG24S2,1540,1133,548,580,5,64,44,20,329,309,0,11,9,14
95GG24S3,1538,1177,440,736,1,68,32,36,283,265,0,17,1,10
95GG25S1,2112,1458,540,907,11,411,316,95,209,190,4,15,0,34
95GG25S2,1839,1476,488,976,12,237,224,13,105,87,0,18,0,21
95GG25S3,1576,1068,237,810,21,404,355,49,74,66,0,8,0,30
95GG26S1,1948,953,379,555,19,693,661,32,255,245,2,0,8,47
95GG26S2,1727,1035,444,588,3,410,310,100,253,232,0,10,11,29
95GG27S1,1500,1241,189,1048,4,194,186,8,54,52,0,2,0,11
95GG27S2,1614,1048,186,851,11,448,378,70,103,97,0,6,0,15
95GG27S3,1705,1108,315,775,18,442,389,53,125,108,0,17,0,30
95GG27S4,1587,934,271,644,19,523,449,74,101,86,0,9,6,29
95GG28S1,2149,1775,487,1259,29,128,118,10,226,205,0,21,0,20
95GG28S2,1717,1217,494,706,17,334,293,41,143,123,0,12,8,23
95GG28S3,1769,684,268,406,10,917,894,23,131,122,0,9,0,37
95GG29S1,2257,486,131,337,18,1216,440,776,504,466,0,23,15,51
95GG29S2,2747,1179,360,797,22,524,150,374,996,949,0,23,24,48
95GG30S1,1604,1024,359,654,11,437,436,1,91,88,0,3,0,52
95GG30S2,1685,1423,539,884,0,48,8,40,186,177,0,8,1,28
95GG30S3,1538,1407,598,804,5,14,10,4,105,89,0,16,0,12
95GG31S1,2227,1971,596,1369,6,68,60,8,179,151,0,25,3,9
95GG31S2,2032,1471,596,855,20,387,337,50,134,126,0,7,1,40
95GG31S3,2260,1134,367,759,8,909,518,391,150,120,2,19,9,67
95GG32S1,3232,1706,439,1198,69,973,652,321,501,472,0,23,6,52
95GG32S2,1553,872,308,546,18,379,318,61,255,245,0,7,3,47
95GG32S3,1606,1206,471,735,0,197,131,66,181,156,0,14,11,22
95GG33S1,1945,1698,790,906,2,30,14,16,199,185,6,8,0,18
95GG33S2,1595,1309,578,730,1,51,14,37,218,206,2,10,0,17
95GG33S3,1912,1329,539,788,2,34,28,6,529,482,9,38,0,20
95GG34S1,1441,898,287,604,7,361,330,31,162,151,0,6,5,20
95GG34S2,1590,1490,572,916,2,12,8,4,79,74,0,5,0,9
95GG34S3,1835,1349,480,852,17,31,24,7,431,412,0,19,0,24
95GG35S1,1889,584,235,339,10,1114,732,382,142,128,0,5,9,49
95GG35S2,1478,498,174,315,9,837,792,45,87,81,0,6,0,56
