Geography,GeographyCode,AllHouseholds
Collin_D,N21000289,982
Collin_E,N21000290,902
Collin_F,N21000291,641
Collin_G,N21000292,999
Collin_H,N21000293,979
Collin_J,N21000294,812
Collin_K,N21000295,886
Collin_L,N21000296,696
Collin_N,N21000297,875
Collin_P,N21000298,999
Collin_Q,N21000299,858
Collin_R,N21000300,862
Black_Mountain_A,N21000301,1179
Black_Mountain_B,N21000302,899
Black_Mountain_C,N21000303,796
Black_Mountain_D,N21000304,928
Black_Mountain_E,N21000305,860
Black_Mountain_F,N21000306,976
Black_Mountain_G,N21000307,1117
Black_Mountain_H,N21000308,986
Black_Mountain_J,N21000309,1179
Black_Mountain_K,N21000310,725
Black_Mountain_L,N21000311,1026
Black_Mountain_N,N21000312,1034
Black_Mountain_P,N21000313,1077
Black_Mountain_Q,N21000314,742
Black_Mountain_R,N21000315,1099
Court_A,N21000316,658
Court_B,N21000317,852
Court_C,N21000318,687
Court_D,N21000319,802
Court_E,N21000320,926
Court_F,N21000321,616
Court_G,N21000322,608
Court_H,N21000323,871
Court_J,N21000324,986
Court_K,N21000325,839
Court_L,N21000326,621
Court_N,N21000327,731
Court_P,N21000328,664
Court_Q,N21000329,707
Court_R,N21000330,664
Court_S,N21000331,996
Court_T,N21000332,616
Court_U,N21000333,614
Court_W,N21000334,827
Court_X,N21000335,982
Benbradagh_A,N21000336,1256
Benbradagh_B,N21000337,704
Benbradagh_C,N21000338,574
Benbradagh_D,N21000339,1042
Benbradagh_E,N21000340,1136
Benbradagh_F,N21000341,1296
Benbradagh_G,N21000342,631
Limavady_A,N21000343,877
Limavady_B,N21000344,678
Limavady_C,N21000345,1034
Limavady_D,N21000346,1180
Limavady_E,N21000347,1284
Limavady_F,N21000348,780
Limavady_G,N21000349,749
Bann_A,N21000350,554
Bann_B,N21000351,1121
Bann_C,N21000352,943
Bann_D,N21000353,1302
Bann_E,N21000354,687
Bann_F,N21000355,532
Bann_G,N21000356,908
Bann_H,N21000357,693
Coleraine_A,N21000358,1214
Coleraine_B,N21000359,1061
Coleraine_C,N21000360,1081
Coleraine_D,N21000361,757
Coleraine_E,N21000362,829
Coleraine_F,N21000363,1018
Coleraine_G,N21000364,1103
Coleraine_H,N21000365,1199
Coleraine_J,N21000366,1173
Coleraine_K,N21000367,820
Causeway_A,N21000368,624
Causeway_B,N21000369,722
Causeway_C,N21000370,606
Causeway_D,N21000371,838
Causeway_E,N21000372,1301
Causeway_F,N21000373,923
Causeway_G,N21000374,1272
Causeway_H,N21000375,1303
Causeway_J,N21000376,819
Causeway_K,N21000377,1146
Causeway_L,N21000378,1159
The_Glens_A,N21000379,1219
The_Glens_B,N21000380,1257
The_Glens_C,N21000381,1081
The_Glens_D,N21000382,733
The_Glens_E,N21000383,755
The_Glens_F,N21000384,1066
The_Glens_G,N21000385,780
