Geography,GeographyCode,AllHouseholds
ARTIGARVAN,N11000616,329
BALLYMAGORRY,N11000617,278
CASTLEDERG,N11000619,1296
CLADY (DERRY CITY AND STRABANE LGD),N11000620,252
DONEMANA,N11000624,266
ERGANAGH,N11000627,195
GLEBE,N11000629,272
MAGHERAMASON,N11000633,246
NEWTOWNSTEWART,N11000634,627
SION MILLS,N11000636,889
STRABANE,N11000638,5557
ELSEWHERE IN NI,N11999999,161748
