Geography,GeographyCode,Total,NoCar,NoCar_pct
CUSHENDALL,N11000493,483,72,14.91
ANNALONG,N11000502,823,141,17.13
BALLYHOLLAND,N11000504,215,26,12.09
BALLYMARTIN,N11000506,219,28,12.79
BESSBROOK,N11000510,1146,283,24.69
CAMLOUGH,N11000511,401,71,17.71
CROSSMAGLEN,N11000513,694,163,23.49
FORKHILL,N11000519,215,30,13.95
HILLTOWN,N11000524,657,68,10.35
KILKEEL,N11000527,2691,574,21.33
MAYOBRIDGE,N11000533,401,24,5.99
MEIGH,N11000534,372,47,12.63
MULLAGHBANE,N11000535,248,41,16.53
NEWRY,N11000537,11239,2595,23.09
NEWTOWNCLOGHOGE,N11000538,209,25,11.96
NEWTOWNHAMILTON,N11000539,346,81,23.41
ROSTREVOR,N11000540,1043,167,16.01
WARRENPOINT / BURREN,N11000544,3565,557,15.62
BALLYCLARE,N11000546,4614,740,16.04
BALLYNURE,N11000550,425,22,5.18
BALLYROBERT,N11000551,326,12,3.68
COGRY / KILBRIDE,N11000553,527,31,5.88
DOAGH,N11000555,634,81,12.78
METROPOLITAN NEWTOWNABBEY,N11000559,28611,5514,19.27
BANGOR,N11000564,28067,4565,16.26
CRAWFORDSBURN,N11000566,206,5,2.43
GROOMSPORT,N11000568,619,81,13.09
HELEN'S BAY,N11000569,616,19,3.08
HOLYWOOD,N11000570,4660,838,17.98
SEAHILL,N11000573,444,24,5.41
BERAGH,N11000576,300,54,18.00
CARRICKMORE,N11000577,231,26,11.26
DROMORE (FERMANAGH AND OMAGH LGD),N11000581,487,109,22.38
DRUMQUIN,N11000584,241,60,24.90
FINTONA,N11000589,579,190,32.82
LOUGHMACRORY,N11000599,195,15,7.69
OMAGH TOWN,N11000603,8754,1883,21.51
ARTIGARVAN,N11000616,329,38,11.55
BALLYMAGORRY,N11000617,279,44,15.77
CASTLEDERG,N11000619,1294,292,22.57
CLADY (DERRY CITY AND STRABANE LGD),N11000620,252,52,20.63
DONEMANA,N11000624,264,62,23.48
ERGANAGH,N11000627,196,21,10.71
GLEBE,N11000629,272,58,21.32
MAGHERAMASON,N11000633,246,31,12.60
NEWTOWNSTEWART,N11000634,626,198,31.63
SION MILLS,N11000636,889,231,25.98
STRABANE,N11000638,5556,1494,26.89
ELSEWHERE IN NI,N11999999,161748,9777,6.04
