Geography,GeographyCode,Total,PrivateRented,PrivateRented_pct
METROPOLITAN CASTLEREAGH,N11000162,25209,2618,10.39
MONEYREAGH,N11000163,624,36,5.77
ARTICLAVE,N11000165,382,55,14.40
CASTLEROCK,N11000170,553,100,18.08
CASTLEROE,N11000171,283,49,17.31
COLERAINE,N11000173,10588,2069,19.54
GARVAGH,N11000176,532,102,19.17
KILREA,N11000179,691,178,25.76
MACOSQUIN,N11000180,251,27,10.76
PORTBALLINTRAE,N11000182,277,18,6.50
PORTRUSH,N11000183,2861,623,21.78
PORTSTEWART,N11000184,3498,974,27.84
ARDBOE,N11000186,244,50,20.49
BALLYRONAN,N11000190,225,67,29.78
COAGH,N11000192,288,64,22.22
COOKSTOWN,N11000193,5005,1395,27.87
MONEYMORE,N11000203,834,229,27.46
MOORTOWN,N11000204,192,34,17.71
POMEROY,N11000206,322,117,36.34
STEWARTSTOWN,N11000208,283,94,33.22
AGHAGALLON,N11000212,420,59,14.05
BLEARY,N11000216,438,50,11.42
CRAIGAVON URBAN AREA including AGHACOMMON,N11000218,29156,7151,24.53
DERRYMACASH,N11000220,228,12,5.26
DOLLINGSTOWN,N11000223,877,101,11.52
DONAGHCLONEY,N11000224,774,111,14.34
DRUMNACANVY,N11000225,436,44,10.09
MAGHERALIN,N11000228,820,102,12.44
SCOTCH STREET,N11000232,234,92,39.32
THE BIRCHES,N11000234,204,57,27.94
WARINGSTOWN,N11000235,1527,248,16.24
CLAUDY,N11000240,540,111,20.56
CULMORE,N11000242,1231,124,10.07
DERRY CITY,N11000243,35715,6723,18.82
EGLINTON,N11000244,1359,213,15.67
LETTERSHENDONEY,N11000248,218,31,14.22
NEWBUILDINGS,N11000250,1115,175,15.70
STRATHFOYLE,N11000254,1002,220,21.96
ANNSBOROUGH,N11000258,306,66,21.57
ARDGLASS,N11000259,706,165,23.37
BALLYNAHINCH,N11000263,2637,480,18.20
CASTLEWELLAN,N11000268,1104,256,23.19
CROSSGAR,N11000273,826,169,20.46
DARRAGH CROSS,N11000274,199,19,9.55
DOWNPATRICK,N11000276,4597,998,21.71
DRUMANESS,N11000278,534,125,23.41
DUNDRUM,N11000280,694,171,24.64
KILLOUGH,N11000283,387,114,29.46
KILLYLEAGH,N11000284,1249,284,22.74
NEWCASTLE,N11000288,3548,708,19.95
SAINTFIELD,N11000290,1514,224,14.80
STRANGFORD,N11000294,260,44,16.92
THE SPA,N11000295,206,10,4.85
ANNAGHMORE (MID ULSTER LGD),N11000297,329,100,30.40
AUGHNACLOY,N11000299,454,118,25.99
BALLYGAWLEY,N11000300,398,98,24.62
CALEDON,N11000304,225,61,27.11
CASTLECAULFIELD,N11000308,381,66,17.32
CLOGHER,N11000309,283,82,28.98
COALISLAND,N11000311,2446,564,23.06
DONAGHMORE,N11000314,466,100,21.46
DUNGANNON,N11000315,5982,1697,28.37
EGLISH (MID ULSTER LGD),N11000318,162,37,22.84
FIVEMILETOWN,N11000319,620,169,27.26
KILLYMAN,N11000323,385,54,14.03
MOY,N11000324,769,255,33.16
NEWMILLS,N11000325,310,57,18.39
THE BUSH,N11000327,213,73,34.27
BALLINAMALLARD,N11000331,588,95,16.16
BELLANALECK,N11000334,238,42,17.65
BELLEEK (FERMANAGH AND OMAGH LGD),N11000335,459,107,23.31
DERRYGONNELLY,N11000342,249,45,18.07
DERRYLIN,N11000343,268,68,25.37
EDERNEY,N11000345,261,49,18.77
ENNISKILLEN,N11000346,6216,1504,24.20
IRVINESTOWN,N11000349,1049,240,22.88
KESH,N11000350,480,101,21.04
LISBELLAW,N11000356,471,96,20.38
LISNASKEA,N11000358,1272,312,24.53
MAGUIRESBRIDGE,N11000360,428,100,23.36
NEWTOWNBUTLER,N11000363,426,125,29.34
BALLYCARRY,N11000371,613,102,16.64
BALLYGALLEY,N11000372,329,27,8.21
BALLYSTRUDDER,N11000373,411,58,14.11
CARNLOUGH,N11000378,604,127,21.03
GLENARM,N11000385,240,56,23.33
GLYNN,N11000387,273,30,10.99
LARNE,N11000389,8646,1847,21.36
BALLYKELLY,N11000398,806,148,18.36
DUNGIVEN,N11000403,1295,344,26.56
FEENY,N11000404,276,56,20.29
GREYSTEEL,N11000408,559,96,17.17
LIMAVADY,N11000410,5113,1104,21.59
AGHALEE,N11000412,343,57,16.62
ANNAHILT,N11000413,423,24,5.67
DROMARA,N11000421,443,111,25.06
DRUMBEG,N11000422,324,21,6.48
GLENAVY,N11000430,812,104,12.81
HILLSBOROUGH AND CULCAVY,N11000434,1894,232,12.25
LISBURN CITY,N11000438,21322,2738,12.84
LOWER BALLINDERRY,N11000440,342,45,13.16
MAGHABERRY,N11000445,1071,64,5.98
METROPOLITAN LISBURN,N11000447,12777,1297,10.15
MILLTOWN,N11000448,644,62,9.63
MOIRA,N11000449,2077,330,15.89
RAVERNET,N11000452,229,18,7.86
STONEYFORD,N11000454,242,22,9.09
BELLAGHY,N11000461,464,129,27.80
CASTLEDAWSON,N11000462,905,234,25.86
CLADY (MID ULSTER LGD),N11000463,202,35,17.33
DRAPERSTOWN,N11000468,720,150,20.83
GULLADUFF,N11000472,225,40,17.78
MAGHERA (MID ULSTER LGD),N11000477,1668,388,23.26
MAGHERAFELT,N11000478,3810,1009,26.48
TOBERMORE,N11000484,310,52,16.77
BALLYCASTLE,N11000488,2406,502,20.86
BUSHMILLS,N11000490,599,111,18.53
CUSHENDALL,N11000493,485,88,18.14
ANNALONG,N11000502,824,175,21.24
BALLYHOLLAND,N11000504,215,50,23.26
BALLYMARTIN,N11000506,220,51,23.18
BESSBROOK,N11000510,1144,244,21.33
CAMLOUGH,N11000511,399,114,28.57
CROSSMAGLEN,N11000513,695,149,21.44
FORKHILL,N11000519,216,47,21.76
HILLTOWN,N11000524,658,160,24.32
KILKEEL,N11000527,2687,758,28.21
MAYOBRIDGE,N11000533,400,79,19.75
MEIGH,N11000534,371,73,19.68
MULLAGHBANE,N11000535,246,60,24.39
NEWRY,N11000537,11240,2569,22.86
NEWTOWNCLOGHOGE,N11000538,209,45,21.53
NEWTOWNHAMILTON,N11000539,346,106,30.64
ROSTREVOR,N11000540,1043,226,21.67
WARRENPOINT / BURREN,N11000544,3564,743,20.85
BALLYCLARE,N11000546,4614,724,15.69
BALLYNURE,N11000550,426,53,12.44
BALLYROBERT,N11000551,329,18,5.47
COGRY / KILBRIDE,N11000553,528,49,9.28
DOAGH,N11000555,633,96,15.17
METROPOLITAN NEWTOWNABBEY,N11000559,28609,3574,12.49
BANGOR,N11000564,28068,4140,14.75
CRAWFORDSBURN,N11000566,205,7,3.41
GROOMSPORT,N11000568,620,80,12.90
HELEN'S BAY,N11000569,616,48,7.79
HOLYWOOD,N11000570,4660,669,14.36
SEAHILL,N11000573,442,37,8.37
BERAGH,N11000576,299,110,36.79
CARRICKMORE,N11000577,230,45,19.57
DROMORE (FERMANAGH AND OMAGH LGD),N11000581,487,117,24.02
DRUMQUIN,N11000584,241,64,26.56
FINTONA,N11000589,580,163,28.10
LOUGHMACRORY,N11000599,194,67,34.54
OMAGH TOWN,N11000603,8754,2415,27.59
ARTIGARVAN,N11000616,329,60,18.24
BALLYMAGORRY,N11000617,278,60,21.58
CASTLEDERG,N11000619,1295,339,26.18
CLADY (DERRY CITY AND STRABANE LGD),N11000620,253,77,30.43
DONEMANA,N11000624,265,54,20.38
ERGANAGH,N11000627,193,62,32.12
GLEBE,N11000629,269,46,17.10
MAGHERAMASON,N11000633,247,50,20.24
NEWTOWNSTEWART,N11000634,627,120,19.14
SION MILLS,N11000636,889,196,22.05
STRABANE,N11000638,5557,1199,21.58
ELSEWHERE IN NI,N11999999,161748,16791,10.38
