Geography,GeographyCode,Total,Catholic,Catholic_pct
Castlecoole,N08000608,3200,1569,49.03
Coolnagard,N08000609,3409,2607,76.47
Dergmoney,N08000610,2587,1380,53.34
Derrygonnelly,N08000611,2898,1641,56.63
Derrylin,N08000612,2794,2192,78.45
Donagh,N08000613,2527,1926,76.22
Dromore (Fermanagh and Omagh LGD),N08000614,2784,2138,76.80
Drumnakilly,N08000615,3184,2560,80.40
Drumquin,N08000616,2910,2029,69.73
Ederney and Kesh,N08000617,2774,990,35.69
Erne,N08000618,3053,2040,66.82
Fairy Water,N08000619,2826,1286,45.51
Fintona,N08000620,2553,1635,64.04
Florence Court and Kinawley,N08000621,2884,1878,65.12
Gortin,N08000622,3304,1900,57.51
Gortrush,N08000623,3217,2525,78.49
Irvinestown,N08000624,3387,2145,63.33
Killyclogher,N08000625,3051,2343,76.79
Lisbellaw,N08000626,3057,856,28.00
Lisnarrick,N08000627,3356,1455,43.36
Lisnaskea,N08000628,2645,1934,73.12
Maguiresbridge,N08000629,3299,1365,41.38
Newtownbutler,N08000630,2567,1914,74.56
Newtownsaville,N08000631,2974,1856,62.41
Owenkillew,N08000632,2697,2327,86.28
Portora,N08000633,3186,1694,53.17
Rosslea,N08000634,2331,1817,77.95
Rossorry,N08000635,2545,1366,53.67
Sixmilecross,N08000636,2828,2169,76.70
Strule,N08000637,2971,2155,72.53
Tempo,N08000638,2877,1400,48.66
Termon,N08000639,2699,2474,91.66
Trillick,N08000640,2552,1734,67.95
Ballinderry,N08000701,3922,853,21.75
Ballyhanwood,N08000702,3030,182,6.01
Ballymacash,N08000703,3137,517,16.48
Ballymacbrennan,N08000704,3081,337,10.94
Ballymacoss,N08000705,5975,974,16.30
Beechill,N08000706,3383,1426,42.15
Blaris,N08000707,3412,628,18.41
Cairnshill,N08000708,3513,1666,47.42
Carrowreagh,N08000709,6123,423,6.91
Carryduff East,N08000710,3822,1512,39.56
Carryduff West,N08000711,3354,1682,50.15
Derryaghy,N08000712,4625,2027,43.83
Dromara,N08000713,3460,429,12.40
Drumbo,N08000714,3039,633,20.83
Dundonald,N08000715,3105,299,9.63
Enler,N08000716,3204,106,3.31
Galwally,N08000717,3040,1324,43.55
Glenavy,N08000718,4079,2916,71.49
Graham's Bridge,N08000719,3312,195,5.89
Harmony Hill,N08000720,3024,832,27.51
Hilden,N08000721,3903,738,18.91
Hillhall,N08000722,4064,501,12.33
Hillsborough,N08000723,3314,343,10.35
Knockbracken,N08000724,3534,1818,51.44
Knockmore,N08000725,4655,1103,23.69
Lagan,N08000726,3476,564,16.23
Lagan Valley,N08000727,3397,637,18.75
Lambeg,N08000728,3817,322,8.44
Lisnagarvey,N08000729,2937,676,23.02
Maghaberry,N08000730,4784,547,11.43
Magheralave,N08000731,4255,1767,41.53
Maze,N08000732,3231,362,11.20
Moira,N08000733,3747,690,18.41
Moneyreagh,N08000734,3125,216,6.91
Newtownbreda,N08000735,2842,1070,37.65
Old Warren,N08000736,4121,1133,27.49
Ravernet,N08000737,3096,257,8.30
Stonyford,N08000738,3149,1114,35.38
Wallace Park,N08000739,3865,734,18.99
White Mountain,N08000740,6141,2158,35.14
Academy,N08000801,2567,342,13.32
Ahoghill,N08000802,3606,186,5.16
Ardeevin,N08000803,3712,533,14.36
Ballee and Harryville,N08000804,3588,250,6.97
Ballycarry and Glynn,N08000805,3748,148,3.95
Ballykeel,N08000806,3028,172,5.68
Boneybefore,N08000807,2866,157,5.48
Braidwater,N08000808,3214,1909,59.40
Broughshane,N08000809,3726,186,4.99
Burleigh Hill,N08000810,2595,179,6.90
Cairncastle,N08000811,3237,842,26.01
Carnlough and Glenarm,N08000812,3134,1970,62.86
Castle (Mid and East Antrim LGD),N08000813,3912,409,10.46
Castle Demesne,N08000814,4446,805,18.11
Craigyhill,N08000815,3919,757,19.32
Cullybackey,N08000816,2868,81,2.82
Curran and Inver,N08000817,3384,702,20.74
Fair Green,N08000818,4261,2133,50.06
Galgorm,N08000819,3254,242,7.44
Gardenmore,N08000820,3292,824,25.03
Glenravel,N08000821,3595,2147,59.72
Glenwhirry,N08000822,3157,303,9.60
Gortalee,N08000823,3695,348,9.42
Grange,N08000824,3720,1500,40.32
Greenisland,N08000825,3447,351,10.18
Islandmagee,N08000826,3048,161,5.28
Kells,N08000827,3454,153,4.43
Kilroot,N08000828,4256,259,6.09
Kilwaughter,N08000829,4793,649,13.54
Kirkinriola,N08000830,3227,537,16.64
Love Lane,N08000831,3033,234,7.72
Maine,N08000832,3044,403,13.24
Park (Mid and East Antrim LGD),N08000833,2921,823,28.18
Portglenone,N08000834,3351,1282,38.26
Slemish,N08000835,3209,459,14.30
Sunnylands,N08000836,4097,177,4.32
The Maidens,N08000837,3437,764,22.23
Victoria (Mid and East Antrim LGD),N08000838,4393,242,5.51
Whitehead South,N08000839,3343,408,12.20
Woodburn,N08000840,3427,165,4.81
Ardboe,N08000901,3817,3472,90.96
Augher and Clogher,N08000902,3463,2115,61.07
Aughnacloy,N08000903,3696,1563,42.29
Ballygawley,N08000904,3940,2905,73.73
Ballymaguigan,N08000905,4146,2745,66.21
Ballysaggart,N08000906,5064,3769,74.43
Bellaghy,N08000907,3879,3179,81.95
Caledon,N08000908,3963,2085,52.61
Castlecaulfield,N08000909,3758,2323,61.81
Castledawson,N08000910,3792,1886,49.74
Coagh,N08000911,3371,1931,57.28
Coalisland North,N08000912,3674,2501,68.07
Coalisland South,N08000913,4842,4100,84.68
Cookstown East,N08000914,3790,1659,43.77
Cookstown South,N08000915,3523,2539,72.07
Cookstown West,N08000916,3688,1702,46.15
Coolshinny,N08000917,4049,1980,48.90
Donaghmore,N08000918,3839,2698,70.28
Draperstown,N08000919,3266,2964,90.75
Fivemiletown,N08000920,3174,985,31.03
Glebe (Mid Ulster LGD),N08000921,3848,2305,59.90
Killyman,N08000922,3619,1447,39.98
Killymeal,N08000923,5002,2801,56.00
Lissan,N08000924,3594,1516,42.18
Loughry,N08000925,2953,1048,35.49
Lower Glenshane,N08000926,3154,2852,90.42
Maghera,N08000927,3469,2440,70.34
Moy,N08000928,3950,2541,64.33
Moygashel,N08000929,3606,1306,36.22
Mullaghmore,N08000930,4411,3501,79.37
Oaklands,N08000931,3413,2079,60.91
Pomeroy,N08000932,3879,3107,80.10
Stewartstown (Mid Ulster LGD),N08000933,3110,1268,40.77
Swatragh,N08000934,3457,2980,86.20
Tamlaght O'Crilly,N08000935,3647,1884,51.66
The Loup,N08000936,4259,2572,60.39
Tobermore,N08000937,3458,1354,39.16
Town Parks East,N08000938,3557,1853,52.09
Valley (Mid Ulster LGD),N08000939,3443,2254,65.47
Washing Bay,N08000940,3737,3490,93.39
"Abbey (Newry, Mourne and Down LGD)",N08001001,4083,3425,83.88
Annalong,N08001002,4348,1902,43.74
Ballybot,N08001003,5351,4447,83.11
Ballydugan,N08001004,3771,2649,70.25
Ballynahinch,N08001005,4680,1623,34.68
Ballyward,N08001006,4499,2311,51.37
Bessbrook,N08001007,5535,4381,79.15
Binnian,N08001008,4303,1171,27.21
Burren,N08001009,4320,3708,85.83
Camlough,N08001010,4146,3733,90.04
Castlewellan,N08001011,4477,3761,84.01
"Cathedral (Newry, Mourne and Down LGD)",N08001012,4217,3431,81.36
Crossgar and Killyleagh,N08001013,4405,1858,42.18
Crossmaglen,N08001014,3976,3625,91.17
Damolly,N08001015,4392,3297,75.07
Derryboy,N08001016,4045,1337,33.05
Derryleckagh,N08001017,4906,4297,87.59
Donard,N08001018,3757,2172,57.81
Drumalane,N08001019,5018,4277,85.23
Drumaness,N08001020,4142,2462,59.44
Dundrum,N08001021,4501,2340,51.99
Fathom,N08001022,4444,3984,89.65
Forkhill,N08001023,4174,3765,90.20
Hilltown,N08001024,5134,3867,75.32
Kilkeel,N08001025,3931,1507,38.34
Kilmore,N08001026,3974,831,20.91
Knocknashinna,N08001027,4682,3839,81.99
Lecale,N08001028,4386,3429,78.18
Lisnacree,N08001029,4731,3052,64.51
Mayobridge,N08001030,5316,3958,74.45
Mullaghbane,N08001031,4441,4012,90.34
Murlough,N08001032,4836,3186,65.88
Newtownhamilton,N08001033,4417,3011,68.17
Quoile,N08001034,4173,2705,64.82
Rostrevor,N08001035,4344,3589,82.62
Saintfield,N08001036,4118,991,24.07
St. Patrick's,N08001037,4664,3720,79.76
Strangford,N08001038,4461,3314,74.29
Tollymore,N08001039,4302,3354,77.96
Warrenpoint,N08001040,4614,3511,76.09
Whitecross,N08001041,4065,2319,57.05
Ballycrochan,N08001101,3118,216,6.93
Ballygowan,N08001102,4368,386,8.84
Ballygrainey,N08001103,6301,446,7.08
Ballyholme,N08001104,3890,341,8.77
Ballymagee,N08001105,4120,371,9.00
Ballywalter,N08001106,4647,205,4.41
Bloomfield (Ards and North Down LGD),N08001107,4187,290,6.93
Broadway,N08001108,3421,322,9.41
Bryansburn,N08001109,3759,829,22.05
Carrowdore,N08001110,4260,134,3.15
Castle (Ards and North Down LGD),N08001111,4029,332,8.24
Clandeboye,N08001112,4189,355,8.47
Comber North,N08001113,3791,152,4.01
Comber South,N08001114,3785,220,5.81
Comber West,N08001115,3805,183,4.81
Conway Square,N08001116,4317,459,10.63
Cronstown,N08001117,4481,240,5.36
Cultra,N08001118,4008,701,17.49
Donaghadee,N08001119,3972,193,4.86
Glen,N08001120,4523,334,7.38
Gregstown,N08001121,3184,240,7.54
Groomsport,N08001122,3630,237,6.53
Harbour,N08001123,4752,678,14.27
Helen's Bay,N08001124,3901,408,10.46
Holywood,N08001125,4064,921,22.66
Kilcooley,N08001126,4425,314,7.10
Killinchy,N08001127,3736,195,5.22
Kircubbin,N08001128,4396,1987,45.20
Loughries,N08001129,4170,173,4.15
Loughview,N08001130,4662,968,20.76
Movilla,N08001131,4246,235,5.53
Portaferry,N08001132,3544,2634,74.32
Portavogie,N08001133,3866,272,7.04
Rathgael,N08001134,3684,430,11.67
Rathmore,N08001135,3699,411,11.11
Scrabo,N08001136,4257,268,6.30
Silverbirch,N08001137,3729,294,7.88
Silverstream,N08001138,3960,588,14.85
Warren,N08001139,4309,212,4.92
West Winds,N08001140,4467,250,5.60
