Geography,GeographyCode,Total,OwnerOccupied,OwnerOccupied_pct
METROPOLITAN NEWTOWNABBEY,N11000559,28609,19818,69.27
BANGOR,N11000564,28068,19861,70.76
CRAWFORDSBURN,N11000566,205,194,94.63
GROOMSPORT,N11000568,620,453,73.06
HELEN'S BAY,N11000569,616,556,90.26
HOLYWOOD,N11000570,4660,3209,68.86
SEAHILL,N11000573,442,392,88.69
BERAGH,N11000576,299,148,49.50
CARRICKMORE,N11000577,230,154,66.96
DROMORE (FERMANAGH AND OMAGH LGD),N11000581,487,248,50.92
DRUMQUIN,N11000584,241,110,45.64
FINTONA,N11000589,580,242,41.72
LOUGHMACRORY,N11000599,194,114,58.76
OMAGH TOWN,N11000603,8754,4719,53.91
ARTIGARVAN,N11000616,329,230,69.91
BALLYMAGORRY,N11000617,278,181,65.11
CASTLEDERG,N11000619,1295,677,52.28
CLADY (DERRY CITY AND STRABANE LGD),N11000620,253,146,57.71
DONEMANA,N11000624,265,117,44.15
ERGANAGH,N11000627,193,107,55.44
GLEBE,N11000629,269,142,52.79
MAGHERAMASON,N11000633,247,154,62.35
NEWTOWNSTEWART,N11000634,627,277,44.18
SION MILLS,N11000636,889,472,53.09
STRABANE,N11000638,5557,3014,54.24
ELSEWHERE IN NI,N11999999,161748,135022,83.48
