Geography,GeographyCode,Total,NoQuals,NoQuals_pct
STEWARTSTOWN,N11000208,527,224,42.50
AGHAGALLON,N11000212,895,194,21.68
BLEARY,N11000216,871,182,20.90
CRAIGAVON URBAN AREA including AGHACOMMON,N11000218,56129,16535,29.46
DERRYMACASH,N11000220,551,122,22.14
DOLLINGSTOWN,N11000223,1791,345,19.26
DONAGHCLONEY,N11000224,1491,244,16.36
DRUMNACANVY,N11000225,897,113,12.60
MAGHERALIN,N11000228,1543,275,17.82
SCOTCH STREET,N11000232,476,166,34.87
THE BIRCHES,N11000234,371,78,21.02
WARINGSTOWN,N11000235,2994,455,15.20
CLAUDY,N11000240,1070,271,25.33
CULMORE,N11000242,2855,385,13.49
DERRY CITY,N11000243,67273,18661,27.74
EGLINTON,N11000244,2776,505,18.19
LETTERSHENDONEY,N11000248,448,161,35.94
NEWBUILDINGS,N11000250,2191,559,25.51
STRATHFOYLE,N11000254,1918,517,26.96
ANNSBOROUGH,N11000258,602,159,26.41
ARDGLASS,N11000259,1352,393,29.07
BALLYNAHINCH,N11000263,4948,1179,23.83
CASTLEWELLAN,N11000268,2147,522,24.31
CROSSGAR,N11000273,1579,311,19.70
DARRAGH CROSS,N11000274,381,49,12.86
DOWNPATRICK,N11000276,9005,2192,24.34
DRUMANESS,N11000278,1007,269,26.71
DUNDRUM,N11000280,1219,236,19.36
KILLOUGH,N11000283,717,181,25.24
KILLYLEAGH,N11000284,2257,540,23.93
NEWCASTLE,N11000288,6702,1450,21.64
SAINTFIELD,N11000290,2909,422,14.51
STRANGFORD,N11000294,460,81,17.61
THE SPA,N11000295,472,97,20.55
ANNAGHMORE (MID ULSTER LGD),N11000297,747,174,23.29
AUGHNACLOY,N11000299,896,297,33.15
BALLYGAWLEY,N11000300,751,187,24.90
CALEDON,N11000304,391,101,25.83
CASTLECAULFIELD,N11000308,735,155,21.09
CLOGHER,N11000309,552,181,32.79
COALISLAND,N11000311,4839,1461,30.19
DONAGHMORE,N11000314,919,231,25.14
DUNGANNON,N11000315,12626,4788,37.92
EGLISH (MID ULSTER LGD),N11000318,374,79,21.12
FIVEMILETOWN,N11000319,1084,371,34.23
KILLYMAN,N11000323,744,132,17.74
MOY,N11000324,1491,371,24.88
NEWMILLS,N11000325,597,128,21.44
THE BUSH,N11000327,437,119,27.23
BALLINAMALLARD,N11000331,1130,234,20.71
BELLANALECK,N11000334,468,55,11.75
BELLEEK (FERMANAGH AND OMAGH LGD),N11000335,795,228,28.68
DERRYGONNELLY,N11000342,482,150,31.12
DERRYLIN,N11000343,500,123,24.60
EDERNEY,N11000345,463,137,29.59
ENNISKILLEN,N11000346,11427,3022,26.45
IRVINESTOWN,N11000349,1817,541,29.77
KESH,N11000350,882,277,31.41
LISBELLAW,N11000356,886,214,24.15
LISNASKEA,N11000358,2341,748,31.95
MAGUIRESBRIDGE,N11000360,800,182,22.75
NEWTOWNBUTLER,N11000363,746,252,33.78
BALLYCARRY,N11000371,1158,198,17.10
BALLYGALLEY,N11000372,642,73,11.37
BALLYSTRUDDER,N11000373,805,134,16.65
CARNLOUGH,N11000378,1182,344,29.10
GLENARM,N11000385,415,120,28.92
GLYNN,N11000387,497,129,25.96
LARNE,N11000389,15503,3979,25.67
BALLYKELLY,N11000398,1601,464,28.98
DUNGIVEN,N11000403,2521,684,27.13
FEENY,N11000404,556,177,31.83
GREYSTEEL,N11000408,1106,335,30.29
LIMAVADY,N11000410,9470,2837,29.96
AGHALEE,N11000412,752,145,19.28
ANNAHILT,N11000413,868,110,12.67
DROMARA,N11000421,810,171,21.11
DRUMBEG,N11000422,660,60,9.09
GLENAVY,N11000430,1690,185,10.95
HILLSBOROUGH AND CULCAVY,N11000434,3437,475,13.82
LISBURN CITY,N11000438,40639,8461,20.82
LOWER BALLINDERRY,N11000440,670,83,12.39
MAGHABERRY,N11000445,2232,291,13.04
METROPOLITAN LISBURN,N11000447,24705,6146,24.88
MILLTOWN,N11000448,1248,273,21.88
MOIRA,N11000449,3996,587,14.69
RAVERNET,N11000452,448,79,17.63
STONEYFORD,N11000454,475,58,12.21
BELLAGHY,N11000461,944,248,26.27
CASTLEDAWSON,N11000462,1757,490,27.89
CLADY (MID ULSTER LGD),N11000463,401,146,36.41
DRAPERSTOWN,N11000468,1422,376,26.44
GULLADUFF,N11000472,492,96,19.51
MAGHERA (MID ULSTER LGD),N11000477,3279,937,28.58
MAGHERAFELT,N11000478,7627,2014,26.41
TOBERMORE,N11000484,585,183,31.28
BALLYCASTLE,N11000488,4495,1043,23.20
BUSHMILLS,N11000490,1011,409,40.45
CUSHENDALL,N11000493,1006,203,20.18
ANNALONG,N11000502,1601,389,24.30
BALLYHOLLAND,N11000504,482,109,22.61
BALLYMARTIN,N11000506,426,98,23.00
BESSBROOK,N11000510,2230,759,34.04
CAMLOUGH,N11000511,784,218,27.81
CROSSMAGLEN,N11000513,1261,438,34.73
FORKHILL,N11000519,412,116,28.16
HILLTOWN,N11000524,1312,296,22.56
KILKEEL,N11000527,5128,1575,30.71
MAYOBRIDGE,N11000533,824,202,24.51
MEIGH,N11000534,697,167,23.96
MULLAGHBANE,N11000535,467,117,25.05
NEWRY,N11000537,22449,6059,26.99
NEWTOWNCLOGHOGE,N11000538,382,105,27.49
NEWTOWNHAMILTON,N11000539,638,254,39.81
ROSTREVOR,N11000540,2050,450,21.95
WARRENPOINT / BURREN,N11000544,7286,1487,20.41
BALLYCLARE,N11000546,8646,1944,22.48
BALLYNURE,N11000550,824,113,13.71
BALLYROBERT,N11000551,669,83,12.41
COGRY / KILBRIDE,N11000553,1058,164,15.50
DOAGH,N11000555,1150,244,21.22
METROPOLITAN NEWTOWNABBEY,N11000559,54139,11720,21.65
BANGOR,N11000564,52563,9020,17.16
CRAWFORDSBURN,N11000566,413,33,7.99
GROOMSPORT,N11000568,1086,218,20.07
HELEN'S BAY,N11000569,1264,95,7.52
HOLYWOOD,N11000570,8806,1397,15.86
SEAHILL,N11000573,895,86,9.61
BERAGH,N11000576,537,153,28.49
CARRICKMORE,N11000577,495,114,23.03
DROMORE (FERMANAGH AND OMAGH LGD),N11000581,861,264,30.66
DRUMQUIN,N11000584,407,158,38.82
FINTONA,N11000589,972,369,37.96
LOUGHMACRORY,N11000599,383,81,21.15
OMAGH TOWN,N11000603,16456,4467,27.15
ARTIGARVAN,N11000616,614,186,30.29
BALLYMAGORRY,N11000617,543,183,33.70
CASTLEDERG,N11000619,2379,899,37.79
CLADY (DERRY CITY AND STRABANE LGD),N11000620,467,157,33.62
DONEMANA,N11000624,486,216,44.44
ERGANAGH,N11000627,368,103,27.99
GLEBE,N11000629,564,221,39.18
MAGHERAMASON,N11000633,427,119,27.87
NEWTOWNSTEWART,N11000634,1123,447,39.80
SION MILLS,N11000636,1582,551,34.83
STRABANE,N11000638,10680,3484,32.62
ELSEWHERE IN NI,N11999999,362816,80955,22.31
