Geography,GeographyCode,Total,LimitingCondition,LimitingCondition_pct
DERRY CITY,N11000243,85280,24342,28.54
EGLINTON,N11000244,3571,731,20.47
LETTERSHENDONEY,N11000248,571,169,29.60
NEWBUILDINGS,N11000250,2839,677,23.85
STRATHFOYLE,N11000254,2607,587,22.52
ANNSBOROUGH,N11000258,795,169,21.26
ARDGLASS,N11000259,1760,558,31.70
BALLYNAHINCH,N11000263,6163,1667,27.05
CASTLEWELLAN,N11000268,2834,674,23.78
CROSSGAR,N11000273,2015,455,22.58
DARRAGH CROSS,N11000274,532,79,14.85
DOWNPATRICK,N11000276,11545,3127,27.09
DRUMANESS,N11000278,1335,330,24.72
DUNDRUM,N11000280,1539,400,25.99
KILLOUGH,N11000283,961,267,27.78
KILLYLEAGH,N11000284,2786,731,26.24
NEWCASTLE,N11000288,8298,2341,28.21
SAINTFIELD,N11000290,3585,762,21.26
STRANGFORD,N11000294,561,143,25.49
THE SPA,N11000295,590,130,22.03
ANNAGHMORE (MID ULSTER LGD),N11000297,1051,231,21.98
AUGHNACLOY,N11000299,1154,280,24.26
BALLYGAWLEY,N11000300,976,199,20.39
CALEDON,N11000304,521,119,22.84
CASTLECAULFIELD,N11000308,1001,174,17.38
CLOGHER,N11000309,676,194,28.70
COALISLAND,N11000311,6351,1669,26.28
DONAGHMORE,N11000314,1181,247,20.91
DUNGANNON,N11000315,16283,3164,19.43
EGLISH (MID ULSTER LGD),N11000318,515,65,12.62
FIVEMILETOWN,N11000319,1342,319,23.77
KILLYMAN,N11000323,1059,147,13.88
MOY,N11000324,1944,335,17.23
NEWMILLS,N11000325,801,161,20.10
THE BUSH,N11000327,603,85,14.10
BALLINAMALLARD,N11000331,1365,355,26.01
BELLANALECK,N11000334,718,104,14.48
BELLEEK (FERMANAGH AND OMAGH LGD),N11000335,968,289,29.86
DERRYGONNELLY,N11000342,583,171,29.33
DERRYLIN,N11000343,653,126,19.30
EDERNEY,N11000345,556,181,32.55
ENNISKILLEN,N11000346,14086,3719,26.40
IRVINESTOWN,N11000349,2319,668,28.81
KESH,N11000350,1098,308,28.05
LISBELLAW,N11000356,1092,275,25.18
LISNASKEA,N11000358,3019,836,27.69
MAGUIRESBRIDGE,N11000360,1033,250,24.20
NEWTOWNBUTLER,N11000363,975,283,29.03
BALLYCARRY,N11000371,1484,362,24.39
BALLYGALLEY,N11000372,746,159,21.31
BALLYSTRUDDER,N11000373,993,206,20.75
CARNLOUGH,N11000378,1457,428,29.38
GLENARM,N11000385,507,132,26.04
GLYNN,N11000387,583,176,30.19
LARNE,N11000389,18853,5352,28.39
BALLYKELLY,N11000398,2029,515,25.38
DUNGIVEN,N11000403,3346,831,24.84
FEENY,N11000404,780,150,19.23
GREYSTEEL,N11000408,1418,382,26.94
LIMAVADY,N11000410,11729,3580,30.52
AGHALEE,N11000412,925,244,26.38
ANNAHILT,N11000413,1033,225,21.78
DROMARA,N11000421,1122,236,21.03
DRUMBEG,N11000422,777,138,17.76
GLENAVY,N11000430,2398,417,17.39
HILLSBOROUGH AND CULCAVY,N11000434,4170,858,20.58
LISBURN CITY,N11000438,51447,12013,23.35
LOWER BALLINDERRY,N11000440,930,130,13.98
MAGHABERRY,N11000445,2966,431,14.53
METROPOLITAN LISBURN,N11000447,32643,9070,27.79
MILLTOWN,N11000448,1633,366,22.41
MOIRA,N11000449,4891,915,18.71
RAVERNET,N11000452,563,116,20.60
STONEYFORD,N11000454,658,116,17.63
BELLAGHY,N11000461,1259,266,21.13
CASTLEDAWSON,N11000462,2348,609,25.94
CLADY (MID ULSTER LGD),N11000463,519,119,22.93
DRAPERSTOWN,N11000468,1853,452,24.39
GULLADUFF,N11000472,676,118,17.46
MAGHERA (MID ULSTER LGD),N11000477,4234,1041,24.59
MAGHERAFELT,N11000478,9648,2247,23.29
TOBERMORE,N11000484,717,180,25.10
BALLYCASTLE,N11000488,5628,1623,28.84
BUSHMILLS,N11000490,1235,361,29.23
CUSHENDALL,N11000493,1186,305,25.72
ANNALONG,N11000502,2039,517,25.36
BALLYHOLLAND,N11000504,645,117,18.14
BALLYMARTIN,N11000506,577,133,23.05
BESSBROOK,N11000510,2892,826,28.56
CAMLOUGH,N11000511,1045,263,25.17
CROSSMAGLEN,N11000513,1687,493,29.22
FORKHILL,N11000519,550,143,26.00
HILLTOWN,N11000524,1760,326,18.52
KILKEEL,N11000527,6633,1701,25.64
MAYOBRIDGE,N11000533,1139,207,18.17
MEIGH,N11000534,951,203,21.35
MULLAGHBANE,N11000535,642,130,20.25
NEWRY,N11000537,28532,7089,24.85
NEWTOWNCLOGHOGE,N11000538,510,128,25.10
NEWTOWNHAMILTON,N11000539,845,214,25.33
ROSTREVOR,N11000540,2503,598,23.89
WARRENPOINT / BURREN,N11000544,9087,2059,22.66
BALLYCLARE,N11000546,10850,2604,24.00
BALLYNURE,N11000550,1042,199,19.10
BALLYROBERT,N11000551,874,128,14.65
COGRY / KILBRIDE,N11000553,1340,248,18.51
DOAGH,N11000555,1404,326,23.22
METROPOLITAN NEWTOWNABBEY,N11000559,67599,17045,25.21
BANGOR,N11000564,64596,15702,24.31
CRAWFORDSBURN,N11000566,491,95,19.35
GROOMSPORT,N11000568,1224,373,30.47
HELEN'S BAY,N11000569,1546,271,17.53
HOLYWOOD,N11000570,10756,2388,22.20
SEAHILL,N11000573,1055,193,18.29
BERAGH,N11000576,698,173,24.79
CARRICKMORE,N11000577,623,155,24.88
DROMORE (FERMANAGH AND OMAGH LGD),N11000581,1099,322,29.30
DRUMQUIN,N11000584,531,157,29.57
FINTONA,N11000589,1212,425,35.07
LOUGHMACRORY,N11000599,575,109,18.96
OMAGH TOWN,N11000603,20457,5696,27.84
ARTIGARVAN,N11000616,802,186,23.19
BALLYMAGORRY,N11000617,647,183,28.28
CASTLEDERG,N11000619,2979,1027,34.47
CLADY (DERRY CITY AND STRABANE LGD),N11000620,622,144,23.15
DONEMANA,N11000624,642,187,29.13
ERGANAGH,N11000627,512,130,25.39
GLEBE,N11000629,761,185,24.31
MAGHERAMASON,N11000633,549,130,23.68
NEWTOWNSTEWART,N11000634,1413,489,34.61
SION MILLS,N11000636,1974,629,31.86
STRABANE,N11000638,13507,3840,28.43
ELSEWHERE IN NI,N11999999,460592,95304,20.69
