Geography,GeographyCode,Total,SomeIrish,SomeIrish_pct
"Dromore (Armagh City, Banbridge and Craigavon LGD)",N08000216,4669,190,4.07
Gilford,N08000217,4830,560,11.59
Gransha,N08000218,4972,237,4.77
Hamiltonsbawn,N08000219,4783,192,4.01
Keady,N08000220,5006,1200,23.97
Kernan,N08000221,5629,199,3.54
Killycomain,N08000222,5100,266,5.22
Knocknashane,N08000223,4394,111,2.53
Lough Road,N08000224,5350,1467,27.42
Loughbrickland,N08000225,5502,647,11.76
Loughgall,N08000226,5279,758,14.36
Magheralin,N08000227,5105,224,4.39
Mahon,N08000228,4994,199,3.98
Markethill,N08000229,5403,342,6.33
Mourneview,N08000230,5298,388,7.32
Navan,N08000231,5076,1154,22.73
Parklake,N08000232,5443,1204,22.12
Quilly,N08000233,4373,184,4.21
Rathfriland,N08000234,4819,409,8.49
Richhill,N08000235,4706,147,3.12
Seagahan,N08000236,5325,1275,23.94
"Shankill (Armagh City, Banbridge and Craigavon LGD)",N08000237,6178,1294,20.95
Tandragee,N08000238,4976,145,2.91
The Birches,N08000239,5848,752,12.86
The Mall,N08000240,5323,790,14.84
Waringstown,N08000241,5179,132,2.55
Andersonstown,N08000301,4497,1539,34.22
Ardoyne,N08000302,5212,1288,24.71
Ballygomartin,N08000303,5764,199,3.45
Ballymacarrett,N08000304,5651,791,14.00
Ballymurphy,N08000305,4941,1239,25.08
Ballysillan,N08000306,5083,137,2.70
Beechmount,N08000307,5168,1349,26.10
Beersbridge,N08000308,6371,309,4.85
Bellevue,N08000309,5219,913,17.49
Belmont,N08000310,4563,159,3.48
Belvoir,N08000311,5177,395,7.63
Blackstaff,N08000312,7287,411,5.64
Bloomfield (Belfast LGD),N08000313,5697,348,6.11
Cavehill,N08000314,4278,822,19.21
Central,N08000315,15185,2947,19.41
Chichester Park,N08000316,5217,1143,21.91
Cliftonville,N08000317,5464,1222,22.36
Clonard,N08000318,5765,1511,26.21
Collin Glen,N08000319,5427,1709,31.49
Connswater,N08000320,5704,254,4.45
Cregagh,N08000321,4417,412,9.33
Duncairn,N08000322,8068,963,11.94
Dunmurry,N08000323,5039,1164,23.10
Falls,N08000324,4936,1004,20.34
Falls Park,N08000325,4578,1590,34.73
Finaghy,N08000326,4405,662,15.03
Forth River,N08000327,4764,303,6.36
Fortwilliam,N08000328,4567,690,15.11
Garnerville,N08000329,4642,134,2.89
Gilnahirk,N08000330,4970,130,2.62
Hillfoot,N08000331,4437,302,6.81
Innisfayle,N08000332,5176,738,14.26
Knock,N08000333,4881,296,6.06
Ladybrook,N08000334,4657,1284,27.57
Lagmore,N08000335,7948,2235,28.12
Legoniel,N08000336,5867,763,13.00
Malone,N08000337,4683,960,20.50
Merok,N08000338,4291,137,3.19
Musgrave,N08000339,4687,968,20.65
New Lodge,N08000340,4694,978,20.84
Orangefield,N08000341,4580,238,5.20
Ormeau,N08000342,6327,1250,19.76
Poleglass,N08000343,5804,1370,23.60
Ravenhill,N08000344,4699,705,15.00
Rosetta,N08000345,5602,1086,19.39
Sandown,N08000346,4307,162,3.76
Shandon,N08000347,5204,199,3.82
Shankill (Belfast LGD),N08000348,6202,154,2.48
Shaw's Road,N08000349,5285,1700,32.17
Stewartstown (Belfast LGD),N08000350,4454,1407,31.59
Stormont,N08000351,4910,183,3.73
Stranmillis,N08000352,8775,1583,18.04
Sydenham,N08000353,5415,233,4.30
Turf Lodge,N08000354,4386,1280,29.18
Twinbrook,N08000355,4721,1206,25.55
Upper Malone,N08000356,4806,485,10.09
Water Works,N08000357,6594,1324,20.08
Windsor,N08000358,11125,1866,16.77
Woodstock,N08000359,6226,581,9.33
Woodvale,N08000360,4972,173,3.48
Aghadowey,N08000401,3340,292,8.74
Altahullion,N08000402,3088,296,9.59
Atlantic,N08000403,4403,442,10.04
Ballycastle,N08000404,3296,768,23.30
Ballykelly,N08000405,3003,256,8.52
Ballymoney East,N08000406,3008,93,3.09
Ballymoney North,N08000407,3314,115,3.47
Ballymoney South,N08000408,3270,85,2.60
Castlerock,N08000409,3300,120,3.64
Churchland,N08000410,3566,159,4.46
Clogh Mills,N08000411,3512,343,9.77
Coolessan,N08000412,2829,244,8.62
Dervock,N08000413,3325,71,2.14
Drumsurn,N08000414,3516,385,10.95
Dundooan,N08000415,3802,220,5.79
Dungiven,N08000416,3178,861,27.09
Dunloy,N08000417,3503,687,19.61
Feeny,N08000418,3447,765,22.19
Garvagh,N08000419,3376,820,24.29
Giant's Causeway,N08000420,3297,74,2.24
Greysteel,N08000421,4424,578,13.07
Greystone (Causeway Coast and Glens LGD),N08000422,3361,289,8.60
Hopefield,N08000423,3475,203,5.84
Kilrea,N08000424,3609,522,14.46
Kinbane,N08000425,3885,582,14.98
Loughguile and Stranocum,N08000426,3545,519,14.64
Lurigethan,N08000427,2679,717,26.76
Macosquin,N08000428,3344,104,3.11
Magilligan,N08000429,3425,318,9.28
Mountsandel,N08000430,3699,213,5.76
Portrush and Dunluce,N08000431,2713,132,4.87
Portstewart,N08000432,2856,313,10.96
Quarry,N08000433,4269,149,3.49
Rasharkin,N08000434,3755,411,10.95
Roeside,N08000435,2594,226,8.71
Route,N08000436,3321,101,3.04
Torr Head and Rathlin,N08000437,3483,704,20.21
University,N08000438,3540,177,5.00
Waterside,N08000439,4165,238,5.71
Windy Hall,N08000440,3648,109,2.99
Artigarvan,N08000501,3519,467,13.27
Ballycolman,N08000502,3404,662,19.45
Ballymagroarty,N08000503,3819,656,17.18
Brandywell,N08000504,3081,625,20.29
Carn Hill,N08000505,2754,486,17.65
Castlederg,N08000506,3318,470,14.17
Caw,N08000507,4199,369,8.79
City Walls,N08000508,3146,592,18.82
Claudy,N08000509,3414,479,14.03
Clondermot,N08000510,3698,604,16.33
Creggan,N08000511,3366,638,18.95
Creggan South,N08000512,3700,709,19.16
Culmore,N08000513,4183,1079,25.79
Drumahoe,N08000514,4317,228,5.28
Dunnamanagh,N08000515,3378,298,8.82
Ebrington,N08000516,3880,473,12.19
Eglinton,N08000517,3783,351,9.28
Enagh,N08000518,4225,443,10.49
Finn,N08000519,4144,810,19.55
Foyle Springs,N08000520,2963,626,21.13
Galliagh,N08000521,3612,541,14.98
Glenderg,N08000522,3076,415,13.49
Glenelly Valley,N08000523,3259,648,19.88
Kilfennan,N08000524,4524,589,13.02
Lisnagelvin,N08000525,3092,133,4.30
Madam's Bank,N08000526,2781,686,24.67
New Buildings,N08000527,3685,339,9.20
Newtownstewart,N08000528,3001,265,8.83
Northland,N08000529,4723,1093,23.14
Park (Derry City and Strabane LGD),N08000530,3390,508,14.99
Shantallow,N08000531,3527,684,19.39
Shantallow East,N08000532,4120,924,22.43
Sheriff's Mountain,N08000533,3232,621,19.21
Sion Mills,N08000534,3609,427,11.83
Skeoge,N08000535,5980,1182,19.77
Slievekirk,N08000536,3452,330,9.56
Springtown,N08000537,2802,588,20.99
Strabane North,N08000538,3837,791,20.62
Strabane West,N08000539,3022,559,18.50
Victoria (Derry City and Strabane LGD),N08000540,4259,782,18.36
Ballinamallard,N08000601,2861,205,7.17
Belcoo and Garrison,N08000602,2558,605,23.65
Belleek and Boa,N08000603,3037,545,17.95
Beragh,N08000604,2795,436,15.60
"Boho, Cleenish and Letterbreen",N08000605,3333,524,15.72
Brookeborough,N08000606,2479,297,11.98
Camowen,N08000607,3095,342,11.05
Castlecoole,N08000608,3092,426,13.78
Coolnagard,N08000609,3299,594,18.01
Dergmoney,N08000610,2512,419,16.68
Derrygonnelly,N08000611,2784,401,14.40
Derrylin,N08000612,2679,602,22.47
Donagh,N08000613,2439,586,24.03
Dromore (Fermanagh and Omagh LGD),N08000614,2680,595,22.20
Drumnakilly,N08000615,3055,817,26.74
Drumquin,N08000616,2815,498,17.69
Ederney and Kesh,N08000617,2658,229,8.62
Erne,N08000618,2973,416,13.99
Fairy Water,N08000619,2717,384,14.13
Fintona,N08000620,2449,369,15.07
Florence Court and Kinawley,N08000621,2772,632,22.80
Gortin,N08000622,3189,565,17.72
Gortrush,N08000623,3113,566,18.18
Irvinestown,N08000624,3253,422,12.97
Killyclogher,N08000625,2948,597,20.25
Lisbellaw,N08000626,2962,224,7.56
Lisnarrick,N08000627,3256,347,10.66
Lisnaskea,N08000628,2506,457,18.24
Maguiresbridge,N08000629,3167,385,12.16
Newtownbutler,N08000630,2448,611,24.96
Newtownsaville,N08000631,2833,477,16.84
Owenkillew,N08000632,2587,776,30.00
Portora,N08000633,3078,414,13.45
Rosslea,N08000634,2266,606,26.74
Rossorry,N08000635,2470,381,15.43
Sixmilecross,N08000636,2722,832,30.57
Strule,N08000637,2862,448,15.65
Tempo,N08000638,2775,350,12.61
Termon,N08000639,2586,1112,43.00
Trillick,N08000640,2462,588,23.88
Ballinderry,N08000701,3802,214,5.63
Ballyhanwood,N08000702,2935,65,2.21
Ballymacash,N08000703,3047,124,4.07
Ballymacbrennan,N08000704,2994,118,3.94
Ballymacoss,N08000705,5698,207,3.63
Beechill,N08000706,3298,525,15.92
Blaris,N08000707,3282,153,4.66
Cairnshill,N08000708,3354,469,13.98
Carrowreagh,N08000709,5808,110,1.89
Carryduff East,N08000710,3694,423,11.45
Carryduff West,N08000711,3235,452,13.97
Derryaghy,N08000712,4445,615,13.84
Dromara,N08000713,3358,144,4.29
Drumbo,N08000714,2953,202,6.84
Dundonald,N08000715,3017,89,2.95
Enler,N08000716,3092,55,1.78
Galwally,N08000717,2915,425,14.58
Glenavy,N08000718,3947,877,22.22
Graham's Bridge,N08000719,3183,113,3.55
Harmony Hill,N08000720,2937,196,6.67
Hilden,N08000721,3733,150,4.02
Hillhall,N08000722,3899,148,3.80
Hillsborough,N08000723,3245,148,4.56
Knockbracken,N08000724,3429,584,17.03
Knockmore,N08000725,4488,169,3.77
Lagan,N08000726,3363,134,3.98
Lagan Valley,N08000727,3296,139,4.22
Lambeg,N08000728,3693,140,3.79
Lisnagarvey,N08000729,2867,107,3.73
Maghaberry,N08000730,4611,236,5.12
Magheralave,N08000731,4029,417,10.35
Maze,N08000732,3110,103,3.31
Moira,N08000733,3622,179,4.94
Moneyreagh,N08000734,3010,101,3.36
Newtownbreda,N08000735,2738,380,13.88
Old Warren,N08000736,3991,137,3.43
Ravernet,N08000737,3008,68,2.26
Stonyford,N08000738,3053,359,11.76
Wallace Park,N08000739,3765,149,3.96
White Mountain,N08000740,5819,533,9.16
Academy,N08000801,2520,74,2.94
Ahoghill,N08000802,3479,68,1.95
Ardeevin,N08000803,3594,166,4.62
Ballee and Harryville,N08000804,3441,125,3.63
Ballycarry and Glynn,N08000805,3623,57,1.57
Ballykeel,N08000806,2915,61,2.09
Boneybefore,N08000807,2801,49,1.75
Braidwater,N08000808,3120,392,12.56
Broughshane,N08000809,3623,56,1.55
Burleigh Hill,N08000810,2545,44,1.73
Cairncastle,N08000811,3159,160,5.06
Carnlough and Glenarm,N08000812,3051,443,14.52
Castle (Mid and East Antrim LGD),N08000813,3810,94,2.47
Castle Demesne,N08000814,4258,370,8.69
Craigyhill,N08000815,3781,116,3.07
Cullybackey,N08000816,2783,64,2.30
Curran and Inver,N08000817,3305,141,4.27
Fair Green,N08000818,4087,422,10.33
Galgorm,N08000819,3161,60,1.90
Gardenmore,N08000820,3201,157,4.90
Glenravel,N08000821,3442,571,16.59
Glenwhirry,N08000822,3082,72,2.34
Gortalee,N08000823,3558,106,2.98
Grange,N08000824,3580,457,12.77
Greenisland,N08000825,3336,105,3.15
Islandmagee,N08000826,2975,62,2.08
Kells,N08000827,3315,78,2.35
Kilroot,N08000828,4136,62,1.50
Kilwaughter,N08000829,4595,120,2.61
Kirkinriola,N08000830,3133,104,3.32
Love Lane,N08000831,2962,44,1.49
Maine,N08000832,2952,166,5.62
Park (Mid and East Antrim LGD),N08000833,2856,218,7.63
Portglenone,N08000834,3230,396,12.26
Slemish,N08000835,3112,134,4.31
Sunnylands,N08000836,3948,66,1.67
The Maidens,N08000837,3339,158,4.73
Victoria (Mid and East Antrim LGD),N08000838,4225,59,1.40
Whitehead South,N08000839,3277,120,3.66
Woodburn,N08000840,3352,54,1.61
Ardboe,N08000901,3675,951,25.88
Augher and Clogher,N08000902,3322,787,23.69
Aughnacloy,N08000903,3530,553,15.67
Ballygawley,N08000904,3768,1038,27.55
Ballymaguigan,N08000905,3959,856,21.62
Ballysaggart,N08000906,4830,817,16.92
Bellaghy,N08000907,3704,980,26.46
Caledon,N08000908,3742,787,21.03
Castlecaulfield,N08000909,3581,860,24.02
Castledawson,N08000910,3656,529,14.47
Coagh,N08000911,3237,511,15.79
Coalisland North,N08000912,3530,903,25.58
Coalisland South,N08000913,4608,1381,29.97
Cookstown East,N08000914,3645,433,11.88
Cookstown South,N08000915,3395,730,21.50
Cookstown West,N08000916,3544,469,13.23
Coolshinny,N08000917,3882,664,17.10
Donaghmore,N08000918,3676,964,26.22
Draperstown,N08000919,3133,901,28.76
Fivemiletown,N08000920,3053,288,9.43
Glebe (Mid Ulster LGD),N08000921,3723,614,16.49
Killyman,N08000922,3481,547,15.71
Killymeal,N08000923,4796,633,13.20
Lissan,N08000924,3454,376,10.89
Loughry,N08000925,2832,282,9.96
Lower Glenshane,N08000926,3041,1007,33.11
Maghera,N08000927,3296,754,22.88
Moy,N08000928,3761,791,21.03
Moygashel,N08000929,3486,235,6.74
Mullaghmore,N08000930,4222,1007,23.85
Oaklands,N08000931,3261,705,21.62
Pomeroy,N08000932,3723,952,25.57
Stewartstown (Mid Ulster LGD),N08000933,2984,446,14.95
Swatragh,N08000934,3318,1212,36.53
Tamlaght O'Crilly,N08000935,3502,631,18.02
The Loup,N08000936,4033,864,21.42
Tobermore,N08000937,3342,406,12.15
Town Parks East,N08000938,3440,485,14.10
Valley (Mid Ulster LGD),N08000939,3318,656,19.77
Washing Bay,N08000940,3558,1400,39.35
"Abbey (Newry, Mourne and Down LGD)",N08001001,3924,740,18.86
Annalong,N08001002,4170,652,15.64
Ballybot,N08001003,5166,909,17.60
Ballydugan,N08001004,3645,492,13.50
Ballynahinch,N08001005,4487,276,6.15
Ballyward,N08001006,4373,643,14.70
Bessbrook,N08001007,5246,1067,20.34
Binnian,N08001008,4116,395,9.60
Burren,N08001009,4149,1013,24.42
Camlough,N08001010,3972,1145,28.83
Castlewellan,N08001011,4301,996,23.16
"Cathedral (Newry, Mourne and Down LGD)",N08001012,4058,504,12.42
Crossgar and Killyleagh,N08001013,4248,343,8.07
Crossmaglen,N08001014,3801,1205,31.70
Damolly,N08001015,4206,752,17.88
Derryboy,N08001016,3914,271,6.92
Derryleckagh,N08001017,4712,1251,26.55
Donard,N08001018,3663,638,17.42
Drumalane,N08001019,4805,1158,24.10
Drumaness,N08001020,3983,440,11.05
Dundrum,N08001021,4358,621,14.25
Fathom,N08001022,4252,1192,28.03
Forkhill,N08001023,4030,1269,31.49
Hilltown,N08001024,4926,1108,22.49
Kilkeel,N08001025,3750,418,11.15
Kilmore,N08001026,3876,192,4.95
Knocknashinna,N08001027,4503,718,15.94
Lecale,N08001028,4238,628,14.82
Lisnacree,N08001029,4552,988,21.70
Mayobridge,N08001030,5106,1051,20.58
Mullaghbane,N08001031,4239,1376,32.46
Murlough,N08001032,4627,642,13.88
Newtownhamilton,N08001033,4211,1067,25.34
Quoile,N08001034,4030,561,13.92
Rostrevor,N08001035,4232,1116,26.37
Saintfield,N08001036,4002,270,6.75
St. Patrick's,N08001037,4526,1098,24.26
Strangford,N08001038,4306,677,15.72
Tollymore,N08001039,4142,1159,27.98
Warrenpoint,N08001040,4465,904,20.25
Whitecross,N08001041,3929,703,17.89
Ballycrochan,N08001101,3057,80,2.62
Ballygowan,N08001102,4217,90,2.13
Ballygrainey,N08001103,5991,119,1.99
Ballyholme,N08001104,3788,98,2.59
Ballymagee,N08001105,4016,74,1.84
Ballywalter,N08001106,4529,94,2.08
Bloomfield (Ards and North Down LGD),N08001107,4067,77,1.89
Broadway,N08001108,3338,83,2.49
Bryansburn,N08001109,3667,229,6.24
Carrowdore,N08001110,4151,68,1.64
Castle (Ards and North Down LGD),N08001111,3923,107,2.73
Clandeboye,N08001112,4075,71,1.74
Comber North,N08001113,3665,48,1.31
Comber South,N08001114,3675,70,1.90
Comber West,N08001115,3709,80,2.16
Conway Square,N08001116,4172,136,3.26
Cronstown,N08001117,4345,65,1.50
Cultra,N08001118,3919,236,6.02
Donaghadee,N08001119,3898,86,2.21
Glen,N08001120,4379,121,2.76
Gregstown,N08001121,3121,67,2.15
Groomsport,N08001122,3559,80,2.25
Harbour,N08001123,4661,254,5.45
Helen's Bay,N08001124,3818,187,4.90
Holywood,N08001125,3982,275,6.91
Kilcooley,N08001126,4272,118,2.76
Killinchy,N08001127,3615,92,2.54
Kircubbin,N08001128,4271,335,7.84
Loughries,N08001129,4023,64,1.59
Loughview,N08001130,4504,281,6.24
Movilla,N08001131,4082,85,2.08
Portaferry,N08001132,3464,480,13.86
Portavogie,N08001133,3765,84,2.23
Rathgael,N08001134,3584,110,3.07
Rathmore,N08001135,3603,116,3.22
Scrabo,N08001136,4141,77,1.86
Silverbirch,N08001137,3635,58,1.60
Silverstream,N08001138,3823,136,3.56
Warren,N08001139,4165,89,2.14
West Winds,N08001140,4340,102,2.35
