Geography,GeographyCode,Total,ProvidesUnpaidCare,ProvidesUnpaidCare_pct
Artigarvan,N08000501,3425,438,12.79
Ballycolman,N08000502,3330,419,12.58
Ballymagroarty,N08000503,3698,460,12.44
Brandywell,N08000504,2992,410,13.70
Carn Hill,N08000505,2702,368,13.62
Castlederg,N08000506,3229,352,10.90
Caw,N08000507,4084,505,12.37
City Walls,N08000508,3088,321,10.40
Claudy,N08000509,3337,427,12.80
Clondermot,N08000510,3616,473,13.08
Creggan,N08000511,3302,463,14.02
Creggan South,N08000512,3596,485,13.49
Culmore,N08000513,4091,533,13.03
Drumahoe,N08000514,4185,530,12.66
Dunnamanagh,N08000515,3280,415,12.65
Ebrington,N08000516,3781,423,11.19
Eglinton,N08000517,3710,476,12.83
Enagh,N08000518,4094,475,11.60
Finn,N08000519,4019,493,12.27
Foyle Springs,N08000520,2911,444,15.25
Galliagh,N08000521,3508,446,12.71
Glenderg,N08000522,2992,373,12.47
Glenelly Valley,N08000523,3161,433,13.70
Kilfennan,N08000524,4412,528,11.97
Lisnagelvin,N08000525,3026,420,13.88
Madam's Bank,N08000526,2731,329,12.05
New Buildings,N08000527,3586,443,12.35
Newtownstewart,N08000528,2936,392,13.35
Northland,N08000529,4641,503,10.84
Park (Derry City and Strabane LGD),N08000530,3296,358,10.86
Shantallow,N08000531,3431,498,14.51
Shantallow East,N08000532,4028,625,15.52
Sheriff's Mountain,N08000533,3144,445,14.15
Sion Mills,N08000534,3513,467,13.29
Skeoge,N08000535,5659,684,12.09
Slievekirk,N08000536,3368,431,12.80
Springtown,N08000537,2745,400,14.57
Strabane North,N08000538,3729,431,11.56
Strabane West,N08000539,2969,432,14.55
Victoria (Derry City and Strabane LGD),N08000540,4122,437,10.60
Ballinamallard,N08000601,2791,334,11.97
Belcoo and Garrison,N08000602,2491,274,11.00
Belleek and Boa,N08000603,2961,380,12.83
Beragh,N08000604,2734,321,11.74
"Boho, Cleenish and Letterbreen",N08000605,3253,395,12.14
Brookeborough,N08000606,2405,273,11.35
Camowen,N08000607,3013,360,11.95
Castlecoole,N08000608,3016,359,11.90
Coolnagard,N08000609,3218,360,11.19
Dergmoney,N08000610,2465,277,11.24
Derrygonnelly,N08000611,2718,262,9.64
Derrylin,N08000612,2597,264,10.17
Donagh,N08000613,2367,279,11.79
Dromore (Fermanagh and Omagh LGD),N08000614,2594,294,11.33
Drumnakilly,N08000615,2954,340,11.51
Drumquin,N08000616,2739,336,12.27
Ederney and Kesh,N08000617,2605,323,12.40
Erne,N08000618,2919,325,11.13
Fairy Water,N08000619,2668,376,14.09
Fintona,N08000620,2369,231,9.75
Florence Court and Kinawley,N08000621,2683,322,12.00
Gortin,N08000622,3091,356,11.52
Gortrush,N08000623,3033,342,11.28
Irvinestown,N08000624,3158,353,11.18
Killyclogher,N08000625,2884,340,11.79
Lisbellaw,N08000626,2878,359,12.47
Lisnarrick,N08000627,3184,390,12.25
Lisnaskea,N08000628,2442,230,9.42
Maguiresbridge,N08000629,3080,383,12.44
Newtownbutler,N08000630,2376,264,11.11
Newtownsaville,N08000631,2723,297,10.91
Owenkillew,N08000632,2500,264,10.56
Portora,N08000633,2991,319,10.67
Rosslea,N08000634,2193,243,11.08
Rossorry,N08000635,2422,272,11.23
Sixmilecross,N08000636,2652,328,12.37
Strule,N08000637,2771,292,10.54
Tempo,N08000638,2683,344,12.82
Termon,N08000639,2492,305,12.24
Trillick,N08000640,2386,284,11.90
Ballinderry,N08000701,3709,500,13.48
Ballyhanwood,N08000702,2887,420,14.55
Ballymacash,N08000703,2975,385,12.94
Ballymacbrennan,N08000704,2933,414,14.12
Ballymacoss,N08000705,5517,637,11.55
Beechill,N08000706,3246,400,12.32
Blaris,N08000707,3190,407,12.76
Cairnshill,N08000708,3248,370,11.39
Carrowreagh,N08000709,5611,688,12.26
Carryduff East,N08000710,3588,493,13.74
Carryduff West,N08000711,3139,401,12.77
Derryaghy,N08000712,4337,505,11.64
Dromara,N08000713,3264,447,13.69
Drumbo,N08000714,2878,382,13.27
Dundonald,N08000715,2961,405,13.68
Enler,N08000716,3015,439,14.56
Galwally,N08000717,2833,396,13.98
Glenavy,N08000718,3843,499,12.98
Graham's Bridge,N08000719,3093,413,13.35
Harmony Hill,N08000720,2872,368,12.81
Hilden,N08000721,3652,409,11.20
Hillhall,N08000722,3762,475,12.63
Hillsborough,N08000723,3189,430,13.48
Knockbracken,N08000724,3346,431,12.88
Knockmore,N08000725,4356,501,11.50
Lagan,N08000726,3268,426,13.04
Lagan Valley,N08000727,3227,353,10.94
Lambeg,N08000728,3608,473,13.11
Lisnagarvey,N08000729,2824,374,13.24
Maghaberry,N08000730,4486,493,10.99
Magheralave,N08000731,3911,555,14.19
Maze,N08000732,3039,400,13.16
Moira,N08000733,3544,469,13.23
Moneyreagh,N08000734,2946,419,14.22
Newtownbreda,N08000735,2660,340,12.78
Old Warren,N08000736,3888,449,11.55
Ravernet,N08000737,2939,385,13.10
Stonyford,N08000738,2979,451,15.14
Wallace Park,N08000739,3682,404,10.97
White Mountain,N08000740,5603,660,11.78
Academy,N08000801,2478,327,13.20
Ahoghill,N08000802,3399,397,11.68
Ardeevin,N08000803,3494,409,11.71
Ballee and Harryville,N08000804,3347,408,12.19
Ballycarry and Glynn,N08000805,3535,503,14.23
Ballykeel,N08000806,2840,342,12.04
Boneybefore,N08000807,2755,410,14.88
Braidwater,N08000808,3047,319,10.47
Broughshane,N08000809,3536,494,13.97
Burleigh Hill,N08000810,2521,417,16.54
Cairncastle,N08000811,3107,439,14.13
Carnlough and Glenarm,N08000812,2977,411,13.81
Castle (Mid and East Antrim LGD),N08000813,3741,473,12.64
Castle Demesne,N08000814,4147,362,8.73
Craigyhill,N08000815,3691,490,13.28
Cullybackey,N08000816,2711,316,11.66
Curran and Inver,N08000817,3261,391,11.99
Fair Green,N08000818,3957,379,9.58
Galgorm,N08000819,3100,381,12.29
Gardenmore,N08000820,3133,413,13.18
Glenravel,N08000821,3324,389,11.70
Glenwhirry,N08000822,3018,381,12.62
Gortalee,N08000823,3470,463,13.34
Grange,N08000824,3467,433,12.49
Greenisland,N08000825,3270,489,14.95
Islandmagee,N08000826,2925,414,14.15
Kells,N08000827,3212,454,14.13
Kilroot,N08000828,4025,555,13.79
Kilwaughter,N08000829,4463,561,12.57
Kirkinriola,N08000830,3064,365,11.91
Love Lane,N08000831,2920,398,13.63
Maine,N08000832,2875,375,13.04
Park (Mid and East Antrim LGD),N08000833,2790,303,10.86
Portglenone,N08000834,3141,358,11.40
Slemish,N08000835,3026,363,12.00
Sunnylands,N08000836,3825,476,12.44
The Maidens,N08000837,3270,385,11.77
Victoria (Mid and East Antrim LGD),N08000838,4113,507,12.33
Whitehead South,N08000839,3210,406,12.65
Woodburn,N08000840,3290,506,15.38
Ardboe,N08000901,3564,462,12.96
Augher and Clogher,N08000902,3202,368,11.49
Aughnacloy,N08000903,3424,362,10.57
Ballygawley,N08000904,3616,400,11.06
Ballymaguigan,N08000905,3854,486,12.61
Ballysaggart,N08000906,4672,376,8.05
Bellaghy,N08000907,3575,380,10.63
Caledon,N08000908,3619,430,11.88
Castlecaulfield,N08000909,3463,394,11.38
Castledawson,N08000910,3548,388,10.94
Coagh,N08000911,3143,407,12.95
Coalisland North,N08000912,3425,420,12.26
Coalisland South,N08000913,4450,472,10.61
Cookstown East,N08000914,3548,364,10.26
Cookstown South,N08000915,3297,362,10.98
Cookstown West,N08000916,3445,428,12.42
Coolshinny,N08000917,3774,412,10.92
Donaghmore,N08000918,3566,400,11.22
Draperstown,N08000919,3055,337,11.03
Fivemiletown,N08000920,2978,298,10.01
Glebe (Mid Ulster LGD),N08000921,3625,379,10.46
Killyman,N08000922,3382,407,12.03
Killymeal,N08000923,4623,423,9.15
Lissan,N08000924,3353,448,13.36
Loughry,N08000925,2754,346,12.56
Lower Glenshane,N08000926,2937,359,12.22
Maghera,N08000927,3183,343,10.78
Moy,N08000928,3627,329,9.07
Moygashel,N08000929,3408,327,9.60
Mullaghmore,N08000930,4116,461,11.20
Oaklands,N08000931,3162,358,11.32
Pomeroy,N08000932,3590,413,11.50
Stewartstown (Mid Ulster LGD),N08000933,2911,367,12.61
Swatragh,N08000934,3205,331,10.33
Tamlaght O'Crilly,N08000935,3403,430,12.64
The Loup,N08000936,3901,442,11.33
Tobermore,N08000937,3265,408,12.50
Town Parks East,N08000938,3350,406,12.12
Valley (Mid Ulster LGD),N08000939,3230,340,10.53
Washing Bay,N08000940,3438,455,13.23
"Abbey (Newry, Mourne and Down LGD)",N08001001,3837,490,12.77
Annalong,N08001002,4043,561,13.88
Ballybot,N08001003,5027,608,12.09
Ballydugan,N08001004,3537,455,12.86
Ballynahinch,N08001005,4351,535,12.30
Ballyward,N08001006,4250,527,12.40
Bessbrook,N08001007,5078,625,12.31
Binnian,N08001008,3978,494,12.42
Burren,N08001009,4026,465,11.55
Camlough,N08001010,3837,470,12.25
Castlewellan,N08001011,4168,463,11.11
"Cathedral (Newry, Mourne and Down LGD)",N08001012,3944,486,12.32
Crossgar and Killyleagh,N08001013,4138,590,14.26
Crossmaglen,N08001014,3659,374,10.22
Damolly,N08001015,4097,541,13.20
Derryboy,N08001016,3821,535,14.00
Derryleckagh,N08001017,4551,572,12.57
Donard,N08001018,3569,478,13.39
Drumalane,N08001019,4664,561,12.03
Drumaness,N08001020,3872,522,13.48
Dundrum,N08001021,4243,532,12.54
Fathom,N08001022,4117,500,12.14
Forkhill,N08001023,3924,450,11.47
Hilltown,N08001024,4785,583,12.18
Kilkeel,N08001025,3640,415,11.40
Kilmore,N08001026,3792,540,14.24
Knocknashinna,N08001027,4387,576,13.13
Lecale,N08001028,4124,515,12.49
Lisnacree,N08001029,4426,581,13.13
Mayobridge,N08001030,4940,622,12.59
Mullaghbane,N08001031,4107,426,10.37
Murlough,N08001032,4508,645,14.31
Newtownhamilton,N08001033,4079,485,11.89
Quoile,N08001034,3923,540,13.76
Rostrevor,N08001035,4142,503,12.14
Saintfield,N08001036,3896,539,13.83
St. Patrick's,N08001037,4418,542,12.27
Strangford,N08001038,4215,529,12.55
Tollymore,N08001039,4033,494,12.25
Warrenpoint,N08001040,4360,522,11.97
Whitecross,N08001041,3830,482,12.58
Ballycrochan,N08001101,2998,457,15.24
Ballygowan,N08001102,4120,579,14.05
Ballygrainey,N08001103,5777,722,12.50
Ballyholme,N08001104,3711,535,14.42
Ballymagee,N08001105,3911,572,14.63
Ballywalter,N08001106,4446,647,14.55
Bloomfield (Ards and North Down LGD),N08001107,3966,553,13.94
Broadway,N08001108,3261,408,12.51
Bryansburn,N08001109,3609,448,12.41
Carrowdore,N08001110,4056,633,15.61
Castle (Ards and North Down LGD),N08001111,3855,515,13.36
Clandeboye,N08001112,3974,555,13.97
Comber North,N08001113,3583,542,15.13
Comber South,N08001114,3604,499,13.85
Comber West,N08001115,3643,482,13.23
Conway Square,N08001116,4087,502,12.28
Cronstown,N08001117,4260,613,14.39
Cultra,N08001118,3850,511,13.27
Donaghadee,N08001119,3830,546,14.26
Glen,N08001120,4275,582,13.61
Gregstown,N08001121,3072,493,16.05
Groomsport,N08001122,3497,451,12.90
Harbour,N08001123,4591,558,12.15
Helen's Bay,N08001124,3747,492,13.13
Holywood,N08001125,3887,474,12.19
Kilcooley,N08001126,4162,547,13.14
Killinchy,N08001127,3550,505,14.23
Kircubbin,N08001128,4178,541,12.95
Loughries,N08001129,3938,589,14.96
Loughview,N08001130,4391,536,12.21
Movilla,N08001131,3987,553,13.87
Portaferry,N08001132,3406,498,14.62
Portavogie,N08001133,3678,564,15.33
Rathgael,N08001134,3505,489,13.95
Rathmore,N08001135,3536,492,13.91
Scrabo,N08001136,4061,596,14.68
Silverbirch,N08001137,3551,497,14.00
Silverstream,N08001138,3728,408,10.94
Warren,N08001139,4087,532,13.02
West Winds,N08001140,4240,570,13.44
