Geography,GeographyCode,Total,Catholic,Catholic_pct
THE BIRCHES,N11000234,545,26,4.77
WARINGSTOWN,N11000235,3864,255,6.60
CLAUDY,N11000240,1324,1009,76.21
CULMORE,N11000242,3651,3169,86.80
DERRY CITY,N11000243,85277,62161,72.89
EGLINTON,N11000244,3571,1962,54.94
LETTERSHENDONEY,N11000248,568,505,88.91
NEWBUILDINGS,N11000250,2837,357,12.58
STRATHFOYLE,N11000254,2608,2062,79.06
ANNSBOROUGH,N11000258,793,708,89.28
ARDGLASS,N11000259,1761,1470,83.48
BALLYNAHINCH,N11000263,6165,1926,31.24
CASTLEWELLAN,N11000268,2834,2426,85.60
CROSSGAR,N11000273,2017,1278,63.36
DARRAGH CROSS,N11000274,530,376,70.94
DOWNPATRICK,N11000276,11545,9166,79.39
DRUMANESS,N11000278,1336,1093,81.81
DUNDRUM,N11000280,1538,813,52.86
KILLOUGH,N11000283,961,781,81.27
KILLYLEAGH,N11000284,2788,911,32.68
NEWCASTLE,N11000288,8298,5267,63.47
SAINTFIELD,N11000290,3588,915,25.50
STRANGFORD,N11000294,561,394,70.23
THE SPA,N11000295,589,45,7.64
ANNAGHMORE (MID ULSTER LGD),N11000297,1050,930,88.57
AUGHNACLOY,N11000299,1154,627,54.33
BALLYGAWLEY,N11000300,977,779,79.73
CALEDON,N11000304,522,218,41.76
CASTLECAULFIELD,N11000308,1001,431,43.06
CLOGHER,N11000309,677,335,49.48
COALISLAND,N11000311,6351,5372,84.59
DONAGHMORE,N11000314,1184,1011,85.39
DUNGANNON,N11000315,16281,10391,63.82
EGLISH (MID ULSTER LGD),N11000318,515,473,91.84
FIVEMILETOWN,N11000319,1341,309,23.04
KILLYMAN,N11000323,1057,189,17.88
MOY,N11000324,1944,1394,71.71
NEWMILLS,N11000325,803,165,20.55
THE BUSH,N11000327,606,188,31.02
BALLINAMALLARD,N11000331,1363,113,8.29
BELLANALECK,N11000334,715,378,52.87
BELLEEK (FERMANAGH AND OMAGH LGD),N11000335,968,775,80.06
DERRYGONNELLY,N11000342,580,450,77.59
DERRYLIN,N11000343,655,547,83.51
EDERNEY,N11000345,554,449,81.05
ENNISKILLEN,N11000346,14086,8024,56.96
IRVINESTOWN,N11000349,2320,1610,69.40
KESH,N11000350,1098,228,20.77
LISBELLAW,N11000356,1089,94,8.63
LISNASKEA,N11000358,3018,2215,73.39
MAGUIRESBRIDGE,N11000360,1033,457,44.24
NEWTOWNBUTLER,N11000363,973,832,85.51
BALLYCARRY,N11000371,1484,57,3.84
BALLYGALLEY,N11000372,745,189,25.37
BALLYSTRUDDER,N11000373,992,49,4.94
CARNLOUGH,N11000378,1455,1184,81.37
GLENARM,N11000385,508,158,31.10
GLYNN,N11000387,583,16,2.74
LARNE,N11000389,18853,4043,21.44
BALLYKELLY,N11000398,2030,1179,58.08
DUNGIVEN,N11000403,3343,3073,91.92
FEENY,N11000404,780,680,87.18
GREYSTEEL,N11000408,1418,1272,89.70
LIMAVADY,N11000410,11728,5048,43.04
AGHALEE,N11000412,926,134,14.47
ANNAHILT,N11000413,1032,79,7.66
DROMARA,N11000421,1118,204,18.25
DRUMBEG,N11000422,776,205,26.42
GLENAVY,N11000430,2400,2026,84.42
HILLSBOROUGH AND CULCAVY,N11000434,4171,457,10.96
LISBURN CITY,N11000438,51446,12182,23.68
LOWER BALLINDERRY,N11000440,936,229,24.47
MAGHABERRY,N11000445,2966,215,7.25
METROPOLITAN LISBURN,N11000447,32643,23665,72.50
MILLTOWN,N11000448,1633,663,40.60
MOIRA,N11000449,4891,881,18.01
RAVERNET,N11000452,563,60,10.66
STONEYFORD,N11000454,658,227,34.50
BELLAGHY,N11000461,1257,1085,86.32
CASTLEDAWSON,N11000462,2348,1090,46.42
CLADY (MID ULSTER LGD),N11000463,520,495,95.19
DRAPERSTOWN,N11000468,1853,1701,91.80
GULLADUFF,N11000472,677,627,92.61
MAGHERA (MID ULSTER LGD),N11000477,4235,3163,74.69
MAGHERAFELT,N11000478,9648,5524,57.26
TOBERMORE,N11000484,719,16,2.23
BALLYCASTLE,N11000488,5627,3985,70.82
BUSHMILLS,N11000490,1234,26,2.11
CUSHENDALL,N11000493,1184,1075,90.79
ANNALONG,N11000502,2038,580,28.46
BALLYHOLLAND,N11000504,645,609,94.42
BALLYMARTIN,N11000506,579,334,57.69
BESSBROOK,N11000510,2892,2217,76.66
CAMLOUGH,N11000511,1044,979,93.77
CROSSMAGLEN,N11000513,1687,1508,89.39
FORKHILL,N11000519,549,498,90.71
HILLTOWN,N11000524,1760,1577,89.60
KILKEEL,N11000527,6633,2514,37.90
MAYOBRIDGE,N11000533,1140,1003,87.98
MEIGH,N11000534,952,878,92.23
MULLAGHBANE,N11000535,642,564,87.85
NEWRY,N11000537,28530,23252,81.50
NEWTOWNCLOGHOGE,N11000538,510,460,90.20
NEWTOWNHAMILTON,N11000539,845,471,55.74
ROSTREVOR,N11000540,2502,2037,81.41
WARRENPOINT / BURREN,N11000544,9091,7310,80.41
BALLYCLARE,N11000546,10849,477,4.40
BALLYNURE,N11000550,1044,18,1.72
BALLYROBERT,N11000551,874,40,4.58
COGRY / KILBRIDE,N11000553,1339,37,2.76
DOAGH,N11000555,1403,46,3.28
METROPOLITAN NEWTOWNABBEY,N11000559,67599,18583,27.49
BANGOR,N11000564,64596,6457,10.00
CRAWFORDSBURN,N11000566,498,62,12.45
GROOMSPORT,N11000568,1224,76,6.21
HELEN'S BAY,N11000569,1547,181,11.70
HOLYWOOD,N11000570,10758,2289,21.28
SEAHILL,N11000573,1057,184,17.41
BERAGH,N11000576,702,418,59.54
CARRICKMORE,N11000577,626,579,92.49
DROMORE (FERMANAGH AND OMAGH LGD),N11000581,1105,908,82.17
DRUMQUIN,N11000584,533,365,68.48
FINTONA,N11000589,1212,864,71.29
LOUGHMACRORY,N11000599,578,533,92.21
OMAGH TOWN,N11000603,20457,13634,66.65
ARTIGARVAN,N11000616,802,108,13.47
BALLYMAGORRY,N11000617,649,338,52.08
CASTLEDERG,N11000619,2977,1648,55.36
CLADY (DERRY CITY AND STRABANE LGD),N11000620,623,595,95.51
DONEMANA,N11000624,641,89,13.88
ERGANAGH,N11000627,512,235,45.90
GLEBE,N11000629,761,692,90.93
MAGHERAMASON,N11000633,545,35,6.42
NEWTOWNSTEWART,N11000634,1414,732,51.77
SION MILLS,N11000636,1974,1292,65.45
STRABANE,N11000638,13507,11902,88.12
ELSEWHERE IN NI,N11999999,460594,218066,47.34
