Geography,GeographyCode,Total,SocialRented,SocialRented_pct
Cultra,N08001118,1546,17,1.10
Donaghadee,N08001119,1794,185,10.31
Glen,N08001120,1894,339,17.90
Gregstown,N08001121,1408,256,18.18
Groomsport,N08001122,1686,83,4.92
Harbour,N08001123,2266,137,6.05
Helen's Bay,N08001124,1667,150,9.00
Holywood,N08001125,1805,233,12.91
Kilcooley,N08001126,1950,657,33.69
Killinchy,N08001127,1502,47,3.13
Kircubbin,N08001128,1792,147,8.20
Loughries,N08001129,1677,40,2.39
Loughview,N08001130,2045,459,22.44
Movilla,N08001131,1746,367,21.02
Portaferry,N08001132,1462,226,15.46
Portavogie,N08001133,1537,91,5.92
Rathgael,N08001134,1676,74,4.42
Rathmore,N08001135,1683,12,0.71
Scrabo,N08001136,1864,133,7.14
Silverbirch,N08001137,1525,8,0.52
Silverstream,N08001138,1838,166,9.03
Warren,N08001139,1930,291,15.08
West Winds,N08001140,1973,822,41.66
