Geography,GeographyCode,Total,NoCar,NoCar_pct
Coolnagard,N08000609,1298,216,16.64
Dergmoney,N08000610,1247,334,26.78
Derrygonnelly,N08000611,1074,83,7.73
Derrylin,N08000612,1043,79,7.57
Donagh,N08000613,919,70,7.62
Dromore (Fermanagh and Omagh LGD),N08000614,1034,141,13.64
Drumnakilly,N08000615,1101,85,7.72
Drumquin,N08000616,1058,114,10.78
Ederney and Kesh,N08000617,1148,163,14.20
Erne,N08000618,1352,426,31.51
Fairy Water,N08000619,1007,54,5.36
Fintona,N08000620,1050,210,20.00
Florence Court and Kinawley,N08000621,1028,79,7.68
Gortin,N08000622,1176,108,9.18
Gortrush,N08000623,1377,282,20.48
Irvinestown,N08000624,1420,278,19.58
Killyclogher,N08000625,1268,201,15.85
Lisbellaw,N08000626,1176,95,8.08
Lisnarrick,N08000627,1322,177,13.39
Lisnaskea,N08000628,1135,299,26.34
Maguiresbridge,N08000629,1232,110,8.93
Newtownbutler,N08000630,1003,147,14.66
Newtownsaville,N08000631,1044,54,5.17
Owenkillew,N08000632,935,72,7.70
Portora,N08000633,1541,395,25.63
Rosslea,N08000634,833,64,7.68
Rossorry,N08000635,1149,188,16.36
Sixmilecross,N08000636,967,72,7.45
Strule,N08000637,1474,506,34.33
Tempo,N08000638,1055,89,8.44
Termon,N08000639,881,66,7.49
Trillick,N08000640,889,61,6.86
Ballinderry,N08000701,1436,66,4.60
Ballyhanwood,N08000702,1320,114,8.64
Ballymacash,N08000703,1207,129,10.69
Ballymacbrennan,N08000704,1164,46,3.95
Ballymacoss,N08000705,2343,352,15.02
Beechill,N08000706,1245,88,7.07
Blaris,N08000707,1580,256,16.20
Cairnshill,N08000708,1364,71,5.21
Carrowreagh,N08000709,2405,203,8.44
Carryduff East,N08000710,1448,156,10.77
Carryduff West,N08000711,1339,73,5.45
Derryaghy,N08000712,1994,365,18.30
Dromara,N08000713,1294,64,4.95
Drumbo,N08000714,1187,55,4.63
Dundonald,N08000715,1375,228,16.58
Enler,N08000716,1462,417,28.52
Galwally,N08000717,1316,151,11.47
Glenavy,N08000718,1388,64,4.61
Graham's Bridge,N08000719,1492,422,28.28
Harmony Hill,N08000720,1287,183,14.22
Hilden,N08000721,1960,703,35.87
Hillhall,N08000722,1676,330,19.69
Hillsborough,N08000723,1468,147,10.01
Knockbracken,N08000724,1337,74,5.53
Knockmore,N08000725,1827,269,14.72
Lagan,N08000726,1359,104,7.65
Lagan Valley,N08000727,1497,484,32.33
Lambeg,N08000728,1800,452,25.11
Lisnagarvey,N08000729,1320,230,17.42
Maghaberry,N08000730,1550,44,2.84
Magheralave,N08000731,1680,131,7.80
Maze,N08000732,1278,72,5.63
Moira,N08000733,1539,99,6.43
Moneyreagh,N08000734,1222,78,6.38
Newtownbreda,N08000735,1240,158,12.74
Old Warren,N08000736,1752,584,33.33
Ravernet,N08000737,1161,44,3.79
Stonyford,N08000738,1109,46,4.15
Wallace Park,N08000739,1377,140,10.17
White Mountain,N08000740,2347,127,5.41
Academy,N08000801,1081,71,6.57
Ahoghill,N08000802,1479,170,11.49
Ardeevin,N08000803,1496,98,6.55
Ballee and Harryville,N08000804,1657,563,33.98
Ballycarry and Glynn,N08000805,1522,128,8.41
Ballykeel,N08000806,1373,479,34.89
Boneybefore,N08000807,1239,129,10.41
Braidwater,N08000808,1320,250,18.94
Broughshane,N08000809,1606,182,11.33
Burleigh Hill,N08000810,1117,102,9.13
Cairncastle,N08000811,1372,102,7.43
Carnlough and Glenarm,N08000812,1276,205,16.07
Castle (Mid and East Antrim LGD),N08000813,2115,771,36.45
Castle Demesne,N08000814,1930,898,46.53
Craigyhill,N08000815,1819,446,24.52
Cullybackey,N08000816,1294,245,18.93
Curran and Inver,N08000817,1652,497,30.08
Fair Green,N08000818,1770,565,31.92
Galgorm,N08000819,1328,94,7.08
Gardenmore,N08000820,1594,462,28.98
Glenravel,N08000821,1277,93,7.28
Glenwhirry,N08000822,1117,35,3.13
Gortalee,N08000823,1666,361,21.67
Grange,N08000824,1249,68,5.44
Greenisland,N08000825,1430,119,8.32
Islandmagee,N08000826,1314,90,6.85
Kells,N08000827,1373,130,9.47
Kilroot,N08000828,1585,124,7.82
Kilwaughter,N08000829,1840,84,4.57
Kirkinriola,N08000830,1230,98,7.97
Love Lane,N08000831,1418,373,26.30
Maine,N08000832,1115,48,4.30
Park (Mid and East Antrim LGD),N08000833,1184,142,11.99
Portglenone,N08000834,1279,153,11.96
Slemish,N08000835,1150,48,4.17
Sunnylands,N08000836,1788,594,33.22
The Maidens,N08000837,1616,487,30.14
Victoria (Mid and East Antrim LGD),N08000838,1706,265,15.53
Whitehead South,N08000839,1552,299,19.27
Woodburn,N08000840,1361,95,6.98
Ardboe,N08000901,1269,91,7.17
Augher and Clogher,N08000902,1232,101,8.20
Aughnacloy,N08000903,1290,96,7.44
Ballygawley,N08000904,1371,143,10.43
Ballymaguigan,N08000905,1381,66,4.78
Ballysaggart,N08000906,1814,755,41.62
Bellaghy,N08000907,1284,111,8.64
Caledon,N08000908,1386,110,7.94
Castlecaulfield,N08000909,1319,96,7.28
Castledawson,N08000910,1401,183,13.06
Coagh,N08000911,1178,83,7.05
Coalisland North,N08000912,1392,164,11.78
Coalisland South,N08000913,1831,338,18.46
Cookstown East,N08000914,1549,380,24.53
Cookstown South,N08000915,1341,252,18.79
Cookstown West,N08000916,1506,323,21.45
Coolshinny,N08000917,1366,52,3.81
Donaghmore,N08000918,1303,109,8.37
Draperstown,N08000919,1175,136,11.57
Fivemiletown,N08000920,1257,164,13.05
Glebe (Mid Ulster LGD),N08000921,1573,345,21.93
Killyman,N08000922,1311,60,4.58
Killymeal,N08000923,1772,338,19.07
Lissan,N08000924,1271,115,9.05
Loughry,N08000925,1154,155,13.43
Lower Glenshane,N08000926,1013,49,4.84
Maghera,N08000927,1406,287,20.41
Moy,N08000928,1451,126,8.68
Moygashel,N08000929,1449,270,18.63
Mullaghmore,N08000930,1569,347,22.12
Oaklands,N08000931,1101,64,5.81
Pomeroy,N08000932,1285,117,9.11
Stewartstown (Mid Ulster LGD),N08000933,1106,118,10.67
Swatragh,N08000934,1091,83,7.61
Tamlaght O'Crilly,N08000935,1218,128,10.51
The Loup,N08000936,1473,101,6.86
Tobermore,N08000937,1249,107,8.57
Town Parks East,N08000938,1443,307,21.28
Valley (Mid Ulster LGD),N08000939,1216,94,7.73
Washing Bay,N08000940,1210,72,5.95
"Abbey (Newry, Mourne and Down LGD)",N08001001,1677,489,29.16
Annalong,N08001002,1621,199,12.28
Ballybot,N08001003,2306,890,38.59
Ballydugan,N08001004,1307,87,6.66
Ballynahinch,N08001005,2097,442,21.08
Ballyward,N08001006,1560,80,5.13
Bessbrook,N08001007,2160,424,19.63
Binnian,N08001008,1582,165,10.43
Burren,N08001009,1468,83,5.65
Camlough,N08001010,1413,164,11.61
Castlewellan,N08001011,1608,257,15.98
"Cathedral (Newry, Mourne and Down LGD)",N08001012,1740,495,28.45
Crossgar and Killyleagh,N08001013,1878,299,15.92
Crossmaglen,N08001014,1411,224,15.88
Damolly,N08001015,1691,371,21.94
Derryboy,N08001016,1561,153,9.80
Derryleckagh,N08001017,1579,92,5.83
Donard,N08001018,1662,318,19.13
Drumalane,N08001019,1913,330,17.25
Drumaness,N08001020,1520,116,7.63
Dundrum,N08001021,1786,231,12.93
Fathom,N08001022,1519,131,8.62
Forkhill,N08001023,1451,151,10.41
Hilltown,N08001024,1716,119,6.93
Kilkeel,N08001025,1610,386,23.98
Kilmore,N08001026,1425,67,4.70
Knocknashinna,N08001027,1831,325,17.75
Lecale,N08001028,1725,258,14.96
Lisnacree,N08001029,1630,162,9.94
Mayobridge,N08001030,1723,92,5.34
Mullaghbane,N08001031,1508,128,8.49
Murlough,N08001032,1987,419,21.09
Newtownhamilton,N08001033,1448,149,10.29
Quoile,N08001034,1557,177,11.37
Rostrevor,N08001035,1738,232,13.35
Saintfield,N08001036,1712,150,8.76
St. Patrick's,N08001037,1798,308,17.13
Strangford,N08001038,1681,131,7.79
Tollymore,N08001039,1459,82,5.62
Warrenpoint,N08001040,1956,436,22.29
Whitecross,N08001041,1390,97,6.98
Ballycrochan,N08001101,1288,99,7.69
Ballygowan,N08001102,1703,104,6.11
Ballygrainey,N08001103,2681,440,16.41
Ballyholme,N08001104,1735,200,11.53
Ballymagee,N08001105,1484,75,5.05
Ballywalter,N08001106,2039,254,12.46
Bloomfield (Ards and North Down LGD),N08001107,1769,328,18.54
Broadway,N08001108,1541,221,14.34
Bryansburn,N08001109,1633,219,13.41
Carrowdore,N08001110,1765,210,11.90
Castle (Ards and North Down LGD),N08001111,1937,560,28.91
Clandeboye,N08001112,1575,105,6.67
Comber North,N08001113,1624,221,13.61
Comber South,N08001114,1656,223,13.47
Comber West,N08001115,1742,206,11.83
Conway Square,N08001116,2331,883,37.88
Cronstown,N08001117,1675,71,4.24
Cultra,N08001118,1546,72,4.66
Donaghadee,N08001119,1793,320,17.85
Glen,N08001120,1893,272,14.37
Gregstown,N08001121,1408,304,21.59
Groomsport,N08001122,1684,155,9.20
Harbour,N08001123,2267,618,27.26
Helen's Bay,N08001124,1667,119,7.14
Holywood,N08001125,1806,289,16.00
Kilcooley,N08001126,1949,562,28.84
Killinchy,N08001127,1505,91,6.05
Kircubbin,N08001128,1794,188,10.48
Loughries,N08001129,1678,100,5.96
Loughview,N08001130,2047,511,24.96
Movilla,N08001131,1747,268,15.34
Portaferry,N08001132,1461,268,18.34
Portavogie,N08001133,1538,164,10.66
Rathgael,N08001134,1674,305,18.22
Rathmore,N08001135,1683,188,11.17
Scrabo,N08001136,1865,229,12.28
Silverbirch,N08001137,1525,117,7.67
Silverstream,N08001138,1838,395,21.49
Warren,N08001139,1927,287,14.89
West Winds,N08001140,1974,647,32.78
