Geography,GeographyCode,Total,LimitingCondition,LimitingCondition_pct
Bloomfield (Ards and North Down LGD),N08001107,4184,1113,26.60
Broadway,N08001108,3421,914,26.72
Bryansburn,N08001109,3760,877,23.32
Carrowdore,N08001110,4260,1215,28.52
Castle (Ards and North Down LGD),N08001111,4032,1213,30.08
Clandeboye,N08001112,4189,713,17.02
Comber North,N08001113,3789,1045,27.58
Comber South,N08001114,3786,892,23.56
Comber West,N08001115,3806,905,23.78
Conway Square,N08001116,4316,1439,33.34
Cronstown,N08001117,4483,925,20.63
Cultra,N08001118,4007,724,18.07
Donaghadee,N08001119,3970,1154,29.07
Glen,N08001120,4522,1131,25.01
Gregstown,N08001121,3184,984,30.90
Groomsport,N08001122,3630,1022,28.15
Harbour,N08001123,4750,1112,23.41
Helen's Bay,N08001124,3902,891,22.83
Holywood,N08001125,4066,908,22.33
Kilcooley,N08001126,4426,1352,30.55
Killinchy,N08001127,3737,763,20.42
Kircubbin,N08001128,4396,1182,26.89
Loughries,N08001129,4170,1081,25.92
Loughview,N08001130,4663,1162,24.92
Movilla,N08001131,4240,1024,24.15
Portaferry,N08001132,3547,1078,30.39
Portavogie,N08001133,3865,1072,27.74
Rathgael,N08001134,3684,922,25.03
Rathmore,N08001135,3702,901,24.34
Scrabo,N08001136,4256,1101,25.87
Silverbirch,N08001137,3729,829,22.23
Silverstream,N08001138,3959,1008,25.46
Warren,N08001139,4307,1030,23.91
West Winds,N08001140,4468,1479,33.10
