Geography,GeographyCode,Total,BornInNI,BornInNI_pct
TOBERMORE,N11000484,718,674,93.87
BALLYCASTLE,N11000488,5629,4890,86.87
BUSHMILLS,N11000490,1235,1126,91.17
CUSHENDALL,N11000493,1184,1041,87.92
ANNALONG,N11000502,2034,1829,89.92
BALLYHOLLAND,N11000504,642,586,91.28
BALLYMARTIN,N11000506,576,535,92.88
BESSBROOK,N11000510,2893,2497,86.31
CAMLOUGH,N11000511,1044,927,88.79
CROSSMAGLEN,N11000513,1687,1311,77.71
FORKHILL,N11000519,549,427,77.78
HILLTOWN,N11000524,1759,1564,88.91
KILKEEL,N11000527,6634,5599,84.40
MAYOBRIDGE,N11000533,1137,990,87.07
MEIGH,N11000534,954,781,81.87
MULLAGHBANE,N11000535,642,502,78.19
NEWRY,N11000537,28531,22541,79.01
NEWTOWNCLOGHOGE,N11000538,510,415,81.37
NEWTOWNHAMILTON,N11000539,845,553,65.44
ROSTREVOR,N11000540,2502,2035,81.33
WARRENPOINT / BURREN,N11000544,9091,7345,80.79
BALLYCLARE,N11000546,10850,9972,91.91
BALLYNURE,N11000550,1043,967,92.71
BALLYROBERT,N11000551,874,817,93.48
COGRY / KILBRIDE,N11000553,1340,1259,93.96
DOAGH,N11000555,1402,1281,91.37
METROPOLITAN NEWTOWNABBEY,N11000559,67599,60406,89.36
BANGOR,N11000564,64596,55193,85.44
CRAWFORDSBURN,N11000566,494,381,77.13
GROOMSPORT,N11000568,1223,1005,82.17
HELEN'S BAY,N11000569,1546,1223,79.11
HOLYWOOD,N11000570,10755,8507,79.10
SEAHILL,N11000573,1057,865,81.84
BERAGH,N11000576,698,624,89.40
CARRICKMORE,N11000577,625,563,90.08
DROMORE (FERMANAGH AND OMAGH LGD),N11000581,1102,926,84.03
DRUMQUIN,N11000584,534,476,89.14
FINTONA,N11000589,1211,1061,87.61
LOUGHMACRORY,N11000599,575,521,90.61
OMAGH TOWN,N11000603,20458,16980,83.00
ARTIGARVAN,N11000616,798,700,87.72
BALLYMAGORRY,N11000617,648,581,89.66
CASTLEDERG,N11000619,2980,2532,84.97
CLADY (DERRY CITY AND STRABANE LGD),N11000620,624,528,84.62
DONEMANA,N11000624,641,600,93.60
ERGANAGH,N11000627,514,457,88.91
GLEBE,N11000629,762,679,89.11
MAGHERAMASON,N11000633,548,493,89.96
NEWTOWNSTEWART,N11000634,1414,1286,90.95
SION MILLS,N11000636,1975,1745,88.35
STRABANE,N11000638,13507,11533,85.39
ELSEWHERE IN NI,N11999999,460593,419359,91.05
