Geography,GeographyCode,AllUsualResidents
Lurgan_F,N21000112,2815
Lurgan_G,N21000113,1585
Lurgan_H,N21000114,2041
Lurgan_J,N21000115,2250
Lurgan_K,N21000116,1694
Lurgan_L,N21000117,1404
Lurgan_N,N21000118,2146
Lurgan_P,N21000119,2139
Lurgan_Q,N21000120,1801
Lurgan_R,N21000121,2524
Lurgan_S,N21000122,2627
Lurgan_T,N21000123,1823
Lagan_River_A,N21000124,1935
Lagan_River_B,N21000125,1931
Lagan_River_C,N21000126,1521
Lagan_River_D,N21000127,1726
Lagan_River_E,N21000128,1977
Lagan_River_F,N21000129,2980
Lagan_River_G,N21000130,2611
Lagan_River_H,N21000131,1689
Lagan_River_J,N21000132,1955
Lagan_River_K,N21000133,2424
Lagan_River_L,N21000134,1430
Lagan_River_N,N21000135,2625
Banbridge_A,N21000136,2305
Banbridge_B,N21000137,1957
Banbridge_C,N21000138,1926
Banbridge_D,N21000139,2926
Banbridge_E,N21000140,2524
Banbridge_F,N21000141,2074
Banbridge_G,N21000142,1525
Banbridge_H,N21000143,2959
Banbridge_J,N21000144,2511
Banbridge_K,N21000145,3032
Banbridge_L,N21000146,3400
Banbridge_N,N21000147,2918
Banbridge_P,N21000148,2396
Banbridge_Q,N21000149,2490
Cusher_A,N21000150,1410
Cusher_B,N21000151,2738
Cusher_C,N21000152,1832
Cusher_D,N21000153,1778
Cusher_E,N21000154,2975
Cusher_F,N21000155,1713
Cusher_G,N21000156,2345
Cusher_H,N21000157,2524
Cusher_J,N21000158,1906
Cusher_K,N21000159,3592
Cusher_L,N21000160,3382
Oldpark_A,N21000161,2707
Oldpark_B,N21000162,1676
Oldpark_C,N21000163,1998
Oldpark_D,N21000164,2127
Oldpark_E,N21000165,2310
Oldpark_F,N21000166,1555
Oldpark_G,N21000167,2192
Oldpark_H,N21000168,1551
Oldpark_J,N21000169,1337
Oldpark_K,N21000170,1830
Oldpark_L,N21000171,2262
Oldpark_N,N21000172,2386
Oldpark_P,N21000173,1275
Oldpark_Q,N21000174,2046
Oldpark_R,N21000175,2293
Oldpark_S,N21000176,1459
Oldpark_T,N21000177,1572
Oldpark_U,N21000178,1775
Castle_A,N21000179,1702
Castle_B,N21000180,1939
Castle_C,N21000181,1751
Castle_D,N21000182,1797
Castle_E,N21000183,1595
Castle_F,N21000184,1388
Castle_G,N21000185,2406
Castle_H,N21000186,2411
Castle_J,N21000187,2442
Castle_K,N21000188,1486
Castle_L,N21000189,2040
Castle_N,N21000190,1140
Castle_P,N21000191,1296
Castle_Q,N21000192,2146
Castle_R,N21000193,2219
Castle_S,N21000194,1580
Castle_T,N21000195,1967
Castle_U,N21000196,2371
Titanic_A,N21000197,1248
Titanic_B,N21000198,1760
Titanic_C,N21000199,1885
Titanic_D,N21000200,2020
Titanic_E,N21000201,1518
Titanic_F,N21000202,1993
Titanic_G,N21000203,1096
Titanic_H,N21000204,2370
Titanic_J,N21000205,1905
Titanic_K,N21000206,1405
Titanic_L,N21000207,1669
Titanic_N,N21000208,1586
Titanic_P,N21000209,1684
Titanic_Q,N21000210,1836
Titanic_R,N21000211,1991
Titanic_S,N21000212,1472
Titanic_T,N21000213,1860
Titanic_U,N21000214,1179
Titanic_W,N21000215,1457
Titanic_X,N21000216,1240
Titanic_Y,N21000217,1629
Titanic_Z,N21000218,1320
Ormiston_A,N21000219,1898
Ormiston_B,N21000220,2079
Ormiston_C,N21000221,2472
Ormiston_D,N21000222,2219
Ormiston_E,N21000223,1938
Ormiston_F,N21000224,2482
Ormiston_G,N21000225,2151
Ormiston_H,N21000226,1872
Ormiston_J,N21000227,1960
Ormiston_K,N21000228,1989
Ormiston_L,N21000229,2126
Ormiston_N,N21000230,2362
Ormiston_P,N21000231,2241
Ormiston_Q,N21000232,1126
Ormiston_R,N21000233,1758
Ormiston_S,N21000234,1884
Ormiston_T,N21000235,2059
Lisnasharragh_A,N21000236,1744
Lisnasharragh_B,N21000237,2562
Lisnasharragh_C,N21000238,1291
Lisnasharragh_D,N21000239,1522
Lisnasharragh_E,N21000240,1871
Lisnasharragh_F,N21000241,1914
Lisnasharragh_G,N21000242,1501
Lisnasharragh_H,N21000243,1278
Lisnasharragh_J,N21000244,1929
Lisnasharragh_K,N21000245,1978
Lisnasharragh_L,N21000246,1849
Lisnasharragh_N,N21000247,2797
Lisnasharragh_P,N21000248,2641
Lisnasharragh_Q,N21000249,1820
Lisnasharragh_R,N21000250,2472
Botanic_A,N21000251,3374
Botanic_B,N21000252,1626
Botanic_C,N21000253,2313
Botanic_D,N21000254,1815
Botanic_E,N21000255,1807
Botanic_F,N21000256,1858
Botanic_G,N21000257,1522
Botanic_H,N21000258,2833
Botanic_J,N21000259,1909
Botanic_K,N21000260,2030
Botanic_L,N21000261,2156
Botanic_N,N21000262,2732
Botanic_P,N21000263,2315
Botanic_Q,N21000264,2694
Botanic_R,N21000265,2710
Botanic_S,N21000266,2101
Botanic_T,N21000267,1797
Botanic_U,N21000268,1307
Botanic_W,N21000269,2416
Botanic_X,N21000270,3639
Botanic_Y,N21000271,2967
Botanic_Z,N21000272,1806
Balmoral_A,N21000273,2265
Balmoral_B,N21000274,1278
Balmoral_C,N21000275,1569
Balmoral_D,N21000276,2134
Balmoral_E,N21000277,2229
Balmoral_F,N21000278,2014
Balmoral_G,N21000279,1824
Balmoral_H,N21000280,1548
Balmoral_J,N21000281,2168
Balmoral_K,N21000282,1514
Balmoral_L,N21000283,1971
Balmoral_N,N21000284,2125
Balmoral_P,N21000285,1855
Collin_A,N21000286,1732
Collin_B,N21000287,2902
Collin_C,N21000288,1909
Collin_D,N21000289,2401
Collin_E,N21000290,2344
Collin_F,N21000291,1787
Collin_G,N21000292,2729
Collin_H,N21000293,2765
Collin_J,N21000294,1947
Collin_K,N21000295,2077
Collin_L,N21000296,2125
Collin_N,N21000297,2607
Collin_P,N21000298,2278
Collin_Q,N21000299,2394
Collin_R,N21000300,1912
Black_Mountain_A,N21000301,3149
Black_Mountain_B,N21000302,2205
Black_Mountain_C,N21000303,1863
Black_Mountain_D,N21000304,2696
Black_Mountain_E,N21000305,2328
Black_Mountain_F,N21000306,2411
Black_Mountain_G,N21000307,2800
Black_Mountain_H,N21000308,2128
Black_Mountain_J,N21000309,2626
Black_Mountain_K,N21000310,1857
Black_Mountain_L,N21000311,2438
Black_Mountain_N,N21000312,2389
Black_Mountain_P,N21000313,2561
Black_Mountain_Q,N21000314,1788
Black_Mountain_R,N21000315,2637
Court_A,N21000316,1574
Court_B,N21000317,1870
Court_C,N21000318,1577
Court_D,N21000319,1695
Court_E,N21000320,2396
Court_F,N21000321,1196
Court_G,N21000322,1275
Court_H,N21000323,1831
Court_J,N21000324,1937
Court_K,N21000325,1621
Court_L,N21000326,1368
Court_N,N21000327,1678
Court_P,N21000328,1503
Court_Q,N21000329,1288
Court_R,N21000330,1521
Court_S,N21000331,2189
Court_T,N21000332,1435
Court_U,N21000333,1267
Court_W,N21000334,2045
Court_X,N21000335,2210
Benbradagh_A,N21000336,3005
Benbradagh_B,N21000337,1852
Benbradagh_C,N21000338,1465
Benbradagh_D,N21000339,2975
Benbradagh_E,N21000340,3308
Benbradagh_F,N21000341,3346
Benbradagh_G,N21000342,1868
Limavady_A,N21000343,2860
Limavady_B,N21000344,1228
Limavady_C,N21000345,2268
Limavady_D,N21000346,3232
Limavady_E,N21000347,2739
Limavady_F,N21000348,2095
Limavady_G,N21000349,1808
Bann_A,N21000350,1155
Bann_B,N21000351,2783
Bann_C,N21000352,2402
Bann_D,N21000353,3529
Bann_E,N21000354,1863
Bann_F,N21000355,1252
Bann_G,N21000356,2857
Bann_H,N21000357,1694
Coleraine_A,N21000358,2830
Coleraine_B,N21000359,2729
Coleraine_C,N21000360,2624
Coleraine_D,N21000361,1288
Coleraine_E,N21000362,1877
Coleraine_F,N21000363,2351
Coleraine_G,N21000364,2188
Coleraine_H,N21000365,2775
Coleraine_J,N21000366,2793
Coleraine_K,N21000367,2171
Causeway_A,N21000368,1427
Causeway_B,N21000369,1286
Causeway_C,N21000370,1247
Causeway_D,N21000371,1783
Causeway_E,N21000372,3081
Causeway_F,N21000373,2068
Causeway_G,N21000374,2653
Causeway_H,N21000375,3132
Causeway_J,N21000376,1999
Causeway_K,N21000377,2985
Causeway_L,N21000378,2882
The_Glens_A,N21000379,3155
The_Glens_B,N21000380,2614
The_Glens_C,N21000381,2789
The_Glens_D,N21000382,1882
The_Glens_E,N21000383,1922
The_Glens_F,N21000384,3088
The_Glens_G,N21000385,2027
Ballymoney_A,N21000386,2591
Ballymoney_B,N21000387,2375
Ballymoney_C,N21000388,2209
Ballymoney_D,N21000389,1928
Ballymoney_E,N21000390,2188
Ballymoney_F,N21000391,2347
Ballymoney_G,N21000392,1725
Ballymoney_H,N21000393,3237
Ballymoney_J,N21000394,1236
Ballymoney_K,N21000395,3312
Ballymoney_L,N21000396,1370
The_Moor_A,N21000397,2560
The_Moor_B,N21000398,2920
The_Moor_C,N21000399,1150
The_Moor_D,N21000400,2922
The_Moor_E,N21000401,1565
The_Moor_F,N21000402,2228
The_Moor_G,N21000403,1735
The_Moor_H,N21000404,2047
Foyleside_A,N21000405,2956
Foyleside_B,N21000406,2117
Foyleside_C,N21000407,2420
Foyleside_D,N21000408,3103
Foyleside_E,N21000409,3366
Foyleside_F,N21000410,1544
Foyleside_G,N21000411,2063
Ballyarnett_A,N21000412,2472
Ballyarnett_B,N21000413,2284
Ballyarnett_C,N21000414,1470
Ballyarnett_D,N21000415,3044
Ballyarnett_E,N21000416,2031
Ballyarnett_F,N21000417,2102
Ballyarnett_G,N21000418,2863
Ballyarnett_H,N21000419,1962
Ballyarnett_J,N21000420,2100
Ballyarnett_K,N21000421,2446
Ballyarnett_L,N21000422,2476
Waterside_A,N21000423,2429
Waterside_B,N21000424,1994
Waterside_C,N21000425,2533
Waterside_D,N21000426,1995
Waterside_E,N21000427,2066
Waterside_F,N21000428,2209
Waterside_G,N21000429,2208
Waterside_H,N21000430,2190
Waterside_J,N21000431,2542
Waterside_K,N21000432,2202
Waterside_L,N21000433,2265
Waterside_N,N21000434,2110
Waterside_P,N21000435,2303
Faughan_A,N21000436,2608
Faughan_B,N21000437,1145
Faughan_C,N21000438,2426
Faughan_D,N21000439,2475
Faughan_E,N21000440,3420
Faughan_F,N21000441,2837
Faughan_G,N21000442,2990
Faughan_H,N21000443,1335
Sperrin_A,N21000444,2122
Sperrin_B,N21000445,2978
Sperrin_C,N21000446,2509
Sperrin_D,N21000447,2887
Sperrin_E,N21000448,1393
Sperrin_F,N21000449,3048
Sperrin_G,N21000450,2720
Sperrin_H,N21000451,2932
Sperrin_J,N21000452,1439
Sperrin_K,N21000453,2691
Derg_A,N21000454,2135
Derg_B,N21000455,1978
Derg_C,N21000456,2442
Derg_D,N21000457,1908
Derg_E,N21000458,1425
Derg_F,N21000459,2980
Derg_G,N21000460,1933
Derg_H,N21000461,3008
Erne_East_A,N21000462,2860
Erne_East_B,N21000463,2828
Erne_East_C,N21000464,1898
Erne_East_D,N21000465,3020
Erne_East_E,N21000466,2777
Erne_East_F,N21000467,2564
Erne_West_A,N21000468,2272
Erne_West_B,N21000469,1575
Erne_West_C,N21000470,2914
Erne_West_D,N21000471,2683
Erne_West_E,N21000472,2499
Erne_West_F,N21000473,2717
Enniskillen_A,N21000474,1917
Enniskillen_B,N21000475,2666
Enniskillen_C,N21000476,2226
Enniskillen_D,N21000477,2478
Enniskillen_E,N21000478,1607
Enniskillen_F,N21000479,2340
Enniskillen_G,N21000480,2900
Enniskillen_H,N21000481,2317
Erne_North_A,N21000482,2283
Erne_North_B,N21000483,2534
Erne_North_C,N21000484,1799
Erne_North_D,N21000485,2325
Erne_North_E,N21000486,1364
Erne_North_F,N21000487,2645
Erne_North_G,N21000488,2134
West_Tyrone_A,N21000489,2498
West_Tyrone_B,N21000490,1686
West_Tyrone_C,N21000491,2954
West_Tyrone_D,N21000492,1217
West_Tyrone_E,N21000493,2772
West_Tyrone_F,N21000494,2866
West_Tyrone_G,N21000495,2610
Omagh_A,N21000496,3211
Omagh_B,N21000497,1231
Omagh_C,N21000498,2749
Omagh_D,N21000499,1670
Omagh_E,N21000500,2335
Omagh_F,N21000501,1767
Omagh_G,N21000502,2468
Omagh_H,N21000503,3048
Mid_Tyrone_A,N21000504,2963
Mid_Tyrone_B,N21000505,2878
Mid_Tyrone_C,N21000506,1978
Mid_Tyrone_D,N21000507,2761
Mid_Tyrone_E,N21000508,3076
Mid_Tyrone_F,N21000509,1814
Mid_Tyrone_G,N21000510,2120
Downshire_West_A,N21000511,2657
Downshire_West_B,N21000512,2800
Downshire_West_C,N21000513,2659
Downshire_West_D,N21000514,2232
Downshire_West_E,N21000515,1793
Downshire_West_F,N21000516,1716
Downshire_West_G,N21000517,3336
Killultagh_A,N21000518,2441
Killultagh_B,N21000519,2727
Killultagh_C,N21000520,3213
Killultagh_D,N21000521,2271
Killultagh_E,N21000522,3244
Killultagh_F,N21000523,2251
Killultagh_G,N21000524,2735
Killultagh_H,N21000525,3135
Lisburn_South_A,N21000526,1423
Lisburn_South_B,N21000527,2459
Lisburn_South_C,N21000528,2835
Lisburn_South_D,N21000529,2081
Lisburn_South_E,N21000530,3610
Lisburn_South_F,N21000531,1382
Lisburn_South_G,N21000532,2910
Lisburn_South_H,N21000533,2627
Lisburn_South_J,N21000534,2355
Lisburn_South_K,N21000535,2636
Lisburn_North_A,N21000536,1389
Lisburn_North_B,N21000537,1633
Lisburn_North_C,N21000538,2910
Lisburn_North_D,N21000539,2122
Lisburn_North_E,N21000540,2012
Lisburn_North_F,N21000541,3036
Lisburn_North_G,N21000542,3716
Lisburn_North_H,N21000543,2180
Lisburn_North_J,N21000544,2226
Lisburn_North_K,N21000545,2224
Downshire_East_A,N21000546,3264
Downshire_East_B,N21000547,1729
Downshire_East_C,N21000548,1830
Downshire_East_D,N21000549,2371
Downshire_East_E,N21000550,3338
Downshire_East_F,N21000551,2168
Downshire_East_G,N21000552,2047
Castlereagh_South_A,N21000553,2660
Castlereagh_South_B,N21000554,3114
Castlereagh_South_C,N21000555,2121
Castlereagh_South_D,N21000556,2828
Castlereagh_South_E,N21000557,3619
Castlereagh_South_F,N21000558,1572
Castlereagh_South_G,N21000559,2188
Castlereagh_South_H,N21000560,2330
Castlereagh_South_J,N21000561,3057
Castlereagh_East_A,N21000562,2519
Castlereagh_East_B,N21000563,2478
Castlereagh_East_C,N21000564,2375
Castlereagh_East_D,N21000565,1929
Castlereagh_East_E,N21000566,1954
Castlereagh_East_F,N21000567,2204
Castlereagh_East_G,N21000568,2223
Castlereagh_East_H,N21000569,2462
Castlereagh_East_J,N21000570,2161
Castlereagh_East_K,N21000571,1594
Bannside_A,N21000572,2293
Bannside_B,N21000573,2659
Bannside_C,N21000574,2223
Bannside_D,N21000575,1370
Bannside_E,N21000576,2853
Bannside_F,N21000577,1879
Bannside_G,N21000578,1658
Bannside_H,N21000579,2352
Bannside_J,N21000580,2555
Ballymena_A,N21000581,1923
Ballymena_B,N21000582,2918
Ballymena_C,N21000583,2486
Ballymena_D,N21000584,2711
Ballymena_E,N21000585,2607
Ballymena_F,N21000586,2707
Ballymena_G,N21000587,2621
Ballymena_H,N21000588,2229
Ballymena_J,N21000589,1171
Ballymena_K,N21000590,2918
Braid_A,N21000591,2910
Braid_B,N21000592,2126
Braid_C,N21000593,3466
Braid_D,N21000594,1372
Braid_E,N21000595,1725
Braid_F,N21000596,3179
Braid_G,N21000597,2381
Braid_H,N21000598,3426
Braid_J,N21000599,1119
Braid_K,N21000600,2120
Coast_Road_A,N21000601,1475
Coast_Road_B,N21000602,1245
Coast_Road_C,N21000603,1890
Coast_Road_D,N21000604,2146
Coast_Road_E,N21000605,2010
Coast_Road_F,N21000606,2404
Coast_Road_G,N21000607,1971
Coast_Road_H,N21000608,2074
Coast_Road_J,N21000609,1790
Larne_Lough_A,N21000610,1227
Larne_Lough_B,N21000611,2183
Larne_Lough_C,N21000612,3048
Larne_Lough_D,N21000613,2300
Larne_Lough_E,N21000614,2065
Larne_Lough_F,N21000615,2477
Larne_Lough_G,N21000616,1488
Larne_Lough_H,N21000617,1365
Larne_Lough_J,N21000618,2172
Carrick_Castle_A,N21000619,2439
Carrick_Castle_B,N21000620,1902
Carrick_Castle_C,N21000621,2692
Carrick_Castle_D,N21000622,2196
Carrick_Castle_E,N21000623,2383
Carrick_Castle_F,N21000624,2067
Carrick_Castle_G,N21000625,1793
Carrick_Castle_H,N21000626,1337
Carrick_Castle_J,N21000627,1621
Knockagh_A,N21000628,1556
Knockagh_B,N21000629,1717
Knockagh_C,N21000630,2294
Knockagh_D,N21000631,1450
Knockagh_E,N21000632,1547
Knockagh_F,N21000633,2704
Knockagh_G,N21000634,2317
Knockagh_H,N21000635,2000
Knockagh_J,N21000636,1688
Carntogher_A,N21000637,3022
Carntogher_B,N21000638,2808
Carntogher_C,N21000639,3382
Carntogher_D,N21000640,3721
Carntogher_E,N21000641,2339
Carntogher_F,N21000642,1896
Moyola_A,N21000643,1934
Moyola_B,N21000644,1602
Moyola_C,N21000645,3018
Moyola_D,N21000646,1872
Moyola_E,N21000647,2921
Moyola_F,N21000648,2345
Moyola_G,N21000649,2497
Moyola_H,N21000650,2398
Magherafelt_A,N21000651,2896
Magherafelt_B,N21000652,2859
Magherafelt_C,N21000653,3316
Magherafelt_D,N21000654,3331
Magherafelt_E,N21000655,2409
Magherafelt_F,N21000656,2141
Magherafelt_G,N21000657,2314
Cookstown_A,N21000658,3163
Cookstown_B,N21000659,2914
Cookstown_C,N21000660,2536
Cookstown_D,N21000661,2736
Cookstown_E,N21000662,2359
Cookstown_F,N21000663,2260
Cookstown_G,N21000664,1988
Cookstown_H,N21000665,2100
Cookstown_J,N21000666,2863
Cookstown_K,N21000667,1698
Torrent_A,N21000668,2873
Torrent_B,N21000669,2949
Torrent_C,N21000670,2335
Torrent_D,N21000671,3812
Torrent_E,N21000672,2322
Torrent_F,N21000673,3692
Torrent_G,N21000674,2229
Torrent_H,N21000675,2809
Dungannon_A,N21000676,3376
Dungannon_B,N21000677,2409
Dungannon_C,N21000678,1245
Dungannon_D,N21000679,2896
Dungannon_E,N21000680,2677
Dungannon_F,N21000681,3748
Dungannon_G,N21000682,2772
Dungannon_H,N21000683,2828
Dungannon_J,N21000684,1941
Dungannon_K,N21000685,1749
Clogher_Valley_A,N21000686,2927
Clogher_Valley_B,N21000687,3633
Clogher_Valley_C,N21000688,1708
Clogher_Valley_D,N21000689,3083
Clogher_Valley_E,N21000690,4077
Clogher_Valley_F,N21000691,3077
Clogher_Valley_G,N21000692,2139
Clogher_Valley_H,N21000693,1353
Slieve_Gullion_A,N21000694,2645
Slieve_Gullion_B,N21000695,2084
Slieve_Gullion_C,N21000696,2873
Slieve_Gullion_D,N21000697,2396
Slieve_Gullion_E,N21000698,2772
Slieve_Gullion_F,N21000699,3550
Slieve_Gullion_G,N21000700,2761
Slieve_Gullion_H,N21000701,3059
Slieve_Gullion_J,N21000702,1944
Slieve_Gullion_K,N21000703,2723
Slieve_Gullion_L,N21000704,2365
Slieve_Gullion_N,N21000705,1573
Newry_A,N21000706,2784
Newry_B,N21000707,2193
Newry_C,N21000708,1585
Newry_D,N21000709,2223
Newry_E,N21000710,2164
Newry_F,N21000711,2218
Newry_G,N21000712,2005
Newry_H,N21000713,1600
Newry_J,N21000714,1840
Newry_K,N21000715,2250
Newry_L,N21000716,2674
Newry_N,N21000717,2403
Newry_P,N21000718,1977
Crotlieve_A,N21000719,2944
Crotlieve_B,N21000720,2785
Crotlieve_C,N21000721,3032
Crotlieve_D,N21000722,1719
Crotlieve_E,N21000723,2263
Crotlieve_F,N21000724,2490
Crotlieve_G,N21000725,3220
Crotlieve_H,N21000726,3118
Crotlieve_J,N21000727,1788
Crotlieve_K,N21000728,2805
Crotlieve_L,N21000729,2502
The_Mournes_A,N21000730,2243
The_Mournes_B,N21000731,1885
The_Mournes_C,N21000732,1598
The_Mournes_D,N21000733,2474
The_Mournes_E,N21000734,2341
The_Mournes_F,N21000735,2339
The_Mournes_G,N21000736,3592
The_Mournes_H,N21000737,2012
The_Mournes_J,N21000738,2098
The_Mournes_K,N21000739,2989
The_Mournes_L,N21000740,1826
The_Mournes_N,N21000741,2153
The_Mournes_P,N21000742,2654
Slieve_Croob_A,N21000743,2646
Slieve_Croob_B,N21000744,1344
Slieve_Croob_C,N21000745,2808
Slieve_Croob_D,N21000746,3085
Slieve_Croob_E,N21000747,2609
Slieve_Croob_F,N21000748,1969
Slieve_Croob_G,N21000749,2788
Slieve_Croob_H,N21000750,1539
Slieve_Croob_J,N21000751,2599
Rowallane_A,N21000752,1673
Rowallane_B,N21000753,1915
Rowallane_C,N21000754,2286
Rowallane_D,N21000755,2279
Rowallane_E,N21000756,2766
Rowallane_F,N21000757,2597
Rowallane_G,N21000758,2940
Rowallane_H,N21000759,2787
Rowallane_J,N21000760,1997
Downpatrick_A,N21000761,2681
Downpatrick_B,N21000762,1964
Downpatrick_C,N21000763,2751
Downpatrick_D,N21000764,2247
Downpatrick_E,N21000765,2251
Downpatrick_F,N21000766,1976
Downpatrick_G,N21000767,2320
Downpatrick_H,N21000768,2365
Downpatrick_J,N21000769,1720
Downpatrick_K,N21000770,1641
Comber_A,N21000771,2037
Comber_B,N21000772,2289
Comber_C,N21000773,2803
Comber_D,N21000774,2400
Comber_E,N21000775,1341
Comber_F,N21000776,3233
Comber_G,N21000777,3138
Comber_H,N21000778,2246
Newtownards_A,N21000779,2318
Newtownards_B,N21000780,1768
Newtownards_C,N21000781,1992
Newtownards_D,N21000782,1961
Newtownards_E,N21000783,1402
Newtownards_F,N21000784,1797
Newtownards_G,N21000785,1992
Newtownards_H,N21000786,2443
Newtownards_J,N21000787,1638
Newtownards_K,N21000788,1349
Newtownards_L,N21000789,1401
Newtownards_N,N21000790,2310
Newtownards_P,N21000791,1612
Newtownards_Q,N21000792,1764
Newtownards_R,N21000793,1327
Newtownards_S,N21000794,2321
Holywood_and_Clandeboye_A,N21000795,1547
Holywood_and_Clandeboye_B,N21000796,1104
Holywood_and_Clandeboye_C,N21000797,1316
Holywood_and_Clandeboye_D,N21000798,1730
Holywood_and_Clandeboye_E,N21000799,1895
Holywood_and_Clandeboye_F,N21000800,2201
Holywood_and_Clandeboye_G,N21000801,1972
Holywood_and_Clandeboye_H,N21000802,2253
Holywood_and_Clandeboye_J,N21000803,1912
Holywood_and_Clandeboye_K,N21000804,2199
Holywood_and_Clandeboye_L,N21000805,2680
Bangor_West_A,N21000806,3110
Bangor_West_B,N21000807,1235
Bangor_West_C,N21000808,1822
Bangor_West_D,N21000809,2011
Bangor_West_E,N21000810,2123
Bangor_West_F,N21000811,2118
Bangor_West_G,N21000812,2166
Bangor_West_H,N21000813,2632
Bangor_West_J,N21000814,2300
Bangor_Central_A,N21000815,1580
Bangor_Central_B,N21000816,2266
Bangor_Central_C,N21000817,1754
Bangor_Central_D,N21000818,1476
Bangor_Central_E,N21000819,2126
Bangor_Central_F,N21000820,1333
Bangor_Central_G,N21000821,1647
Bangor_Central_H,N21000822,1396
Bangor_Central_J,N21000823,2275
Bangor_Central_K,N21000824,2062
Bangor_Central_L,N21000825,2125
Bangor_Central_N,N21000826,1645
Bangor_Central_P,N21000827,2359
Bangor_Central_Q,N21000828,2591
Bangor_East_and_Donaghadee_A,N21000829,1220
Bangor_East_and_Donaghadee_B,N21000830,2707
Bangor_East_and_Donaghadee_C,N21000831,1962
Bangor_East_and_Donaghadee_D,N21000832,1178
Bangor_East_and_Donaghadee_E,N21000833,1490
Bangor_East_and_Donaghadee_F,N21000834,2409
Bangor_East_and_Donaghadee_G,N21000835,3202
Bangor_East_and_Donaghadee_H,N21000836,3319
Bangor_East_and_Donaghadee_J,N21000837,2401
Bangor_East_and_Donaghadee_K,N21000838,2962
Ards_Peninsula_A,N21000839,2549
Ards_Peninsula_B,N21000840,1407
Ards_Peninsula_C,N21000841,2398
Ards_Peninsula_D,N21000842,2982
Ards_Peninsula_E,N21000843,2008
Ards_Peninsula_F,N21000844,1922
Ards_Peninsula_G,N21000845,1411
