Geography,GeographyCode,AllHouseholds
Braidwater,N08000808,1320
Broughshane,N08000809,1606
Burleigh Hill,N08000810,1117
Cairncastle,N08000811,1372
Carnlough and Glenarm,N08000812,1276
Castle (Mid and East Antrim LGD),N08000813,2115
Castle Demesne,N08000814,1929
Craigyhill,N08000815,1821
Cullybackey,N08000816,1294
Curran and Inver,N08000817,1653
Fair Green,N08000818,1769
Galgorm,N08000819,1330
Gardenmore,N08000820,1595
Glenravel,N08000821,1278
Glenwhirry,N08000822,1115
Gortalee,N08000823,1665
Grange,N08000824,1249
Greenisland,N08000825,1430
Islandmagee,N08000826,1314
Kells,N08000827,1372
Kilroot,N08000828,1588
Kilwaughter,N08000829,1840
Kirkinriola,N08000830,1230
Love Lane,N08000831,1417
Maine,N08000832,1110
Park (Mid and East Antrim LGD),N08000833,1183
Portglenone,N08000834,1278
Slemish,N08000835,1150
Sunnylands,N08000836,1789
The Maidens,N08000837,1616
Victoria (Mid and East Antrim LGD),N08000838,1706
Whitehead South,N08000839,1552
Woodburn,N08000840,1358
Ardboe,N08000901,1270
Augher and Clogher,N08000902,1232
Aughnacloy,N08000903,1292
Ballygawley,N08000904,1371
Ballymaguigan,N08000905,1381
Ballysaggart,N08000906,1814
Bellaghy,N08000907,1284
Caledon,N08000908,1386
Castlecaulfield,N08000909,1319
Castledawson,N08000910,1401
Coagh,N08000911,1178
Coalisland North,N08000912,1391
Coalisland South,N08000913,1830
Cookstown East,N08000914,1550
Cookstown South,N08000915,1338
Cookstown West,N08000916,1508
Coolshinny,N08000917,1364
Donaghmore,N08000918,1303
Draperstown,N08000919,1175
Fivemiletown,N08000920,1258
Glebe (Mid Ulster LGD),N08000921,1575
Killyman,N08000922,1311
Killymeal,N08000923,1772
Lissan,N08000924,1269
Loughry,N08000925,1154
Lower Glenshane,N08000926,1014
Maghera,N08000927,1406
Moy,N08000928,1451
Moygashel,N08000929,1449
Mullaghmore,N08000930,1569
Oaklands,N08000931,1100
Pomeroy,N08000932,1284
Stewartstown (Mid Ulster LGD),N08000933,1105
Swatragh,N08000934,1091
Tamlaght O'Crilly,N08000935,1218
The Loup,N08000936,1474
Tobermore,N08000937,1249
Town Parks East,N08000938,1441
Valley (Mid Ulster LGD),N08000939,1216
Washing Bay,N08000940,1210
"Abbey (Newry, Mourne and Down LGD)",N08001001,1677
Annalong,N08001002,1621
Ballybot,N08001003,2306
Ballydugan,N08001004,1308
Ballynahinch,N08001005,2097
Ballyward,N08001006,1560
Bessbrook,N08001007,2157
Binnian,N08001008,1580
Burren,N08001009,1468
Camlough,N08001010,1412
Castlewellan,N08001011,1605
"Cathedral (Newry, Mourne and Down LGD)",N08001012,1737
Crossgar and Killyleagh,N08001013,1879
Crossmaglen,N08001014,1413
Damolly,N08001015,1691
Derryboy,N08001016,1563
Derryleckagh,N08001017,1580
Donard,N08001018,1662
Drumalane,N08001019,1914
Drumaness,N08001020,1521
Dundrum,N08001021,1785
Fathom,N08001022,1519
Forkhill,N08001023,1451
Hilltown,N08001024,1716
Kilkeel,N08001025,1609
Kilmore,N08001026,1424
Knocknashinna,N08001027,1830
Lecale,N08001028,1725
Lisnacree,N08001029,1629
Mayobridge,N08001030,1723
Mullaghbane,N08001031,1505
Murlough,N08001032,1987
Newtownhamilton,N08001033,1448
Quoile,N08001034,1557
Rostrevor,N08001035,1740
Saintfield,N08001036,1710
St. Patrick's,N08001037,1798
Strangford,N08001038,1680
Tollymore,N08001039,1459
Warrenpoint,N08001040,1956
Whitecross,N08001041,1390
Ballycrochan,N08001101,1288
Ballygowan,N08001102,1702
Ballygrainey,N08001103,2681
Ballyholme,N08001104,1734
Ballymagee,N08001105,1484
Ballywalter,N08001106,2039
Bloomfield (Ards and North Down LGD),N08001107,1771
Broadway,N08001108,1541
Bryansburn,N08001109,1633
Carrowdore,N08001110,1765
Castle (Ards and North Down LGD),N08001111,1937
Clandeboye,N08001112,1577
Comber North,N08001113,1624
Comber South,N08001114,1656
Comber West,N08001115,1743
Conway Square,N08001116,2331
Cronstown,N08001117,1675
Cultra,N08001118,1546
Donaghadee,N08001119,1793
Glen,N08001120,1893
Gregstown,N08001121,1408
Groomsport,N08001122,1686
Harbour,N08001123,2266
Helen's Bay,N08001124,1667
Holywood,N08001125,1805
Kilcooley,N08001126,1950
Killinchy,N08001127,1503
Kircubbin,N08001128,1793
Loughries,N08001129,1677
Loughview,N08001130,2048
Movilla,N08001131,1746
Portaferry,N08001132,1462
Portavogie,N08001133,1538
Rathgael,N08001134,1673
Rathmore,N08001135,1684
Scrabo,N08001136,1864
Silverbirch,N08001137,1525
Silverstream,N08001138,1838
Warren,N08001139,1927
West Winds,N08001140,1972
