Geography,GeographyCode,Total,Female,Female_pct
Springtown,N08000537,2883,1534,53.21
Strabane North,N08000538,4006,2013,50.25
Strabane West,N08000539,3108,1606,51.67
Victoria (Derry City and Strabane LGD),N08000540,4468,2274,50.90
Ballinamallard,N08000601,2947,1476,50.08
Belcoo and Garrison,N08000602,2644,1306,49.39
Belleek and Boa,N08000603,3123,1535,49.15
Beragh,N08000604,2912,1447,49.69
"Boho, Cleenish and Letterbreen",N08000605,3466,1722,49.68
Brookeborough,N08000606,2579,1249,48.43
Camowen,N08000607,3213,1685,52.44
Castlecoole,N08000608,3203,1692,52.83
Coolnagard,N08000609,3410,1723,50.53
Dergmoney,N08000610,2587,1283,49.59
Derrygonnelly,N08000611,2898,1417,48.90
Derrylin,N08000612,2794,1336,47.82
Donagh,N08000613,2527,1244,49.23
Dromore (Fermanagh and Omagh LGD),N08000614,2784,1380,49.57
Drumnakilly,N08000615,3184,1603,50.35
Drumquin,N08000616,2911,1443,49.57
Ederney and Kesh,N08000617,2774,1393,50.22
Erne,N08000618,3054,1580,51.74
Fairy Water,N08000619,2826,1394,49.33
Fintona,N08000620,2553,1254,49.12
Florence Court and Kinawley,N08000621,2883,1410,48.91
Gortin,N08000622,3304,1684,50.97
Gortrush,N08000623,3217,1686,52.41
Irvinestown,N08000624,3387,1751,51.70
Killyclogher,N08000625,3051,1605,52.61
Lisbellaw,N08000626,3057,1515,49.56
Lisnarrick,N08000627,3356,1709,50.92
Lisnaskea,N08000628,2645,1375,51.98
Maguiresbridge,N08000629,3299,1674,50.74
Newtownbutler,N08000630,2567,1233,48.03
Newtownsaville,N08000631,2977,1454,48.84
Owenkillew,N08000632,2698,1347,49.93
Portora,N08000633,3186,1621,50.88
Rosslea,N08000634,2331,1157,49.64
Rossorry,N08000635,2543,1311,51.55
Sixmilecross,N08000636,2828,1354,47.88
Strule,N08000637,2971,1494,50.29
Tempo,N08000638,2877,1398,48.59
Termon,N08000639,2699,1308,48.46
Trillick,N08000640,2552,1237,48.47
Ballinderry,N08000701,3921,1917,48.89
Ballyhanwood,N08000702,3028,1545,51.02
Ballymacash,N08000703,3137,1660,52.92
Ballymacbrennan,N08000704,3081,1549,50.28
Ballymacoss,N08000705,5975,3119,52.20
Beechill,N08000706,3383,1687,49.87
Blaris,N08000707,3415,1753,51.33
Cairnshill,N08000708,3514,1781,50.68
Carrowreagh,N08000709,6124,3122,50.98
Carryduff East,N08000710,3824,1973,51.60
Carryduff West,N08000711,3351,1719,51.30
Derryaghy,N08000712,4627,2362,51.05
Dromara,N08000713,3460,1732,50.06
Drumbo,N08000714,3039,1546,50.87
Dundonald,N08000715,3105,1614,51.98
Enler,N08000716,3205,1658,51.73
Galwally,N08000717,3040,1615,53.12
Glenavy,N08000718,4078,2066,50.66
Graham's Bridge,N08000719,3312,1755,52.99
Harmony Hill,N08000720,3022,1515,50.13
Hilden,N08000721,3903,2022,51.81
Hillhall,N08000722,4067,2088,51.34
Hillsborough,N08000723,3314,1674,50.51
Knockbracken,N08000724,3534,1814,51.33
Knockmore,N08000725,4658,2375,50.99
Lagan,N08000726,3477,1720,49.47
Lagan Valley,N08000727,3397,1787,52.61
Lambeg,N08000728,3817,1963,51.43
Lisnagarvey,N08000729,2936,1508,51.36
Maghaberry,N08000730,4782,2143,44.81
Magheralave,N08000731,4255,2206,51.84
Maze,N08000732,3231,1631,50.48
Moira,N08000733,3747,1925,51.37
Moneyreagh,N08000734,3125,1582,50.62
Newtownbreda,N08000735,2842,1481,52.11
Old Warren,N08000736,4121,2138,51.88
Ravernet,N08000737,3097,1545,49.89
Stonyford,N08000738,3149,1531,48.62
Wallace Park,N08000739,3863,1835,47.50
White Mountain,N08000740,6138,3109,50.65
Academy,N08000801,2567,1350,52.59
Ahoghill,N08000802,3607,1870,51.84
Ardeevin,N08000803,3715,1969,53.00
Ballee and Harryville,N08000804,3588,1890,52.68
Ballycarry and Glynn,N08000805,3747,1908,50.92
Ballykeel,N08000806,3026,1585,52.38
Boneybefore,N08000807,2864,1476,51.54
Braidwater,N08000808,3214,1634,50.84
Broughshane,N08000809,3726,1926,51.69
Burleigh Hill,N08000810,2594,1335,51.46
Cairncastle,N08000811,3234,1649,50.99
Carnlough and Glenarm,N08000812,3137,1573,50.14
Castle (Mid and East Antrim LGD),N08000813,3912,2028,51.84
Castle Demesne,N08000814,4446,2149,48.34
Craigyhill,N08000815,3921,2071,52.82
Cullybackey,N08000816,2868,1475,51.43
Curran and Inver,N08000817,3384,1662,49.11
Fair Green,N08000818,4262,2170,50.92
Galgorm,N08000819,3255,1701,52.26
Gardenmore,N08000820,3290,1686,51.25
Glenravel,N08000821,3595,1781,49.54
Glenwhirry,N08000822,3158,1541,48.80
Gortalee,N08000823,3693,1892,51.23
Grange,N08000824,3720,1860,50.00
Greenisland,N08000825,3446,1753,50.87
Islandmagee,N08000826,3048,1534,50.33
Kells,N08000827,3453,1723,49.90
Kilroot,N08000828,4254,2147,50.47
Kilwaughter,N08000829,4792,2411,50.31
Kirkinriola,N08000830,3228,1575,48.79
Love Lane,N08000831,3033,1588,52.36
Maine,N08000832,3044,1526,50.13
Park (Mid and East Antrim LGD),N08000833,2921,1561,53.44
Portglenone,N08000834,3352,1686,50.30
Slemish,N08000835,3208,1596,49.75
Sunnylands,N08000836,4097,2151,52.50
The Maidens,N08000837,3438,1776,51.66
Victoria (Mid and East Antrim LGD),N08000838,4396,2293,52.16
Whitehead South,N08000839,3345,1736,51.90
Woodburn,N08000840,3428,1710,49.88
Ardboe,N08000901,3818,1845,48.32
Augher and Clogher,N08000902,3460,1726,49.88
Aughnacloy,N08000903,3696,1848,50.00
Ballygawley,N08000904,3940,1901,48.25
Ballymaguigan,N08000905,4145,2074,50.04
Ballysaggart,N08000906,5062,2418,47.77
Bellaghy,N08000907,3879,1954,50.37
Caledon,N08000908,3963,1966,49.61
Castlecaulfield,N08000909,3759,1828,48.63
Castledawson,N08000910,3792,1888,49.79
Coagh,N08000911,3371,1694,50.25
Coalisland North,N08000912,3672,1862,50.71
Coalisland South,N08000913,4842,2497,51.57
Cookstown East,N08000914,3790,1894,49.97
Cookstown South,N08000915,3524,1820,51.65
Cookstown West,N08000916,3685,1902,51.61
Coolshinny,N08000917,4048,1997,49.33
Donaghmore,N08000918,3839,1884,49.08
Draperstown,N08000919,3266,1585,48.53
Fivemiletown,N08000920,3174,1555,48.99
Glebe (Mid Ulster LGD),N08000921,3845,1991,51.78
Killyman,N08000922,3619,1745,48.22
Killymeal,N08000923,5002,2502,50.02
Lissan,N08000924,3594,1804,50.19
Loughry,N08000925,2955,1489,50.39
Lower Glenshane,N08000926,3153,1567,49.70
Maghera,N08000927,3469,1775,51.17
Moy,N08000928,3950,1972,49.92
Moygashel,N08000929,3606,1826,50.64
Mullaghmore,N08000930,4408,2190,49.68
Oaklands,N08000931,3413,1699,49.78
Pomeroy,N08000932,3879,1928,49.70
Stewartstown (Mid Ulster LGD),N08000933,3110,1572,50.55
Swatragh,N08000934,3458,1717,49.65
Tamlaght O'Crilly,N08000935,3647,1806,49.52
The Loup,N08000936,4260,2123,49.84
Tobermore,N08000937,3458,1749,50.58
Town Parks East,N08000938,3557,1845,51.87
Valley (Mid Ulster LGD),N08000939,3443,1719,49.93
Washing Bay,N08000940,3738,1842,49.28
"Abbey (Newry, Mourne and Down LGD)",N08001001,4082,2064,50.56
Annalong,N08001002,4347,2130,49.00
Ballybot,N08001003,5351,2726,50.94
Ballydugan,N08001004,3771,1861,49.35
Ballynahinch,N08001005,4681,2405,51.38
Ballyward,N08001006,4498,2190,48.69
Bessbrook,N08001007,5535,2792,50.44
Binnian,N08001008,4306,2104,48.86
Burren,N08001009,4317,2170,50.27
Camlough,N08001010,4147,2115,51.00
Castlewellan,N08001011,4476,2274,50.80
"Cathedral (Newry, Mourne and Down LGD)",N08001012,4217,2141,50.77
Crossgar and Killyleagh,N08001013,4404,2270,51.54
Crossmaglen,N08001014,3973,2008,50.54
Damolly,N08001015,4389,2253,51.33
Derryboy,N08001016,4045,2050,50.68
Derryleckagh,N08001017,4906,2473,50.41
Donard,N08001018,3757,1976,52.60
Drumalane,N08001019,5018,2519,50.20
Drumaness,N08001020,4142,2107,50.87
Dundrum,N08001021,4500,2277,50.60
Fathom,N08001022,4444,2202,49.55
Forkhill,N08001023,4174,2086,49.98
Hilltown,N08001024,5134,2555,49.77
Kilkeel,N08001025,3932,2058,52.34
Kilmore,N08001026,3975,2028,51.02
Knocknashinna,N08001027,4680,2464,52.65
Lecale,N08001028,4387,2281,51.99
Lisnacree,N08001029,4731,2331,49.27
Mayobridge,N08001030,5314,2614,49.19
Mullaghbane,N08001031,4439,2238,50.42
Murlough,N08001032,4838,2540,52.50
Newtownhamilton,N08001033,4417,2212,50.08
Quoile,N08001034,4172,2128,51.01
Rostrevor,N08001035,4343,2223,51.19
Saintfield,N08001036,4118,2128,51.68
St. Patrick's,N08001037,4664,2371,50.84
Strangford,N08001038,4460,2148,48.16
Tollymore,N08001039,4303,2135,49.62
Warrenpoint,N08001040,4614,2351,50.95
Whitecross,N08001041,4065,2012,49.50
Ballycrochan,N08001101,3118,1613,51.73
Ballygowan,N08001102,4368,2201,50.39
Ballygrainey,N08001103,6301,3301,52.39
Ballyholme,N08001104,3891,2010,51.66
Ballymagee,N08001105,4119,2079,50.47
Ballywalter,N08001106,4647,2369,50.98
Bloomfield (Ards and North Down LGD),N08001107,4188,2157,51.50
Broadway,N08001108,3421,1752,51.21
Bryansburn,N08001109,3759,1912,50.86
Carrowdore,N08001110,4260,2160,50.70
Castle (Ards and North Down LGD),N08001111,4029,2103,52.20
Clandeboye,N08001112,4189,2123,50.68
Comber North,N08001113,3790,1963,51.79
Comber South,N08001114,3786,1939,51.22
Comber West,N08001115,3807,1952,51.27
Conway Square,N08001116,4317,2230,51.66
Cronstown,N08001117,4481,2280,50.88
Cultra,N08001118,4008,2033,50.72
Donaghadee,N08001119,3972,2088,52.57
Glen,N08001120,4521,2348,51.94
Gregstown,N08001121,3183,1655,51.99
Groomsport,N08001122,3630,1933,53.25
Harbour,N08001123,4752,2269,47.75
Helen's Bay,N08001124,3898,2053,52.67
Holywood,N08001125,4065,2116,52.05
Kilcooley,N08001126,4425,2349,53.08
Killinchy,N08001127,3737,1876,50.20
Kircubbin,N08001128,4396,2202,50.09
Loughries,N08001129,4170,2123,50.91
Loughview,N08001130,4663,2421,51.92
Movilla,N08001131,4244,2167,51.06
Portaferry,N08001132,3544,1751,49.41
Portavogie,N08001133,3865,1954,50.56
Rathgael,N08001134,3684,1878,50.98
Rathmore,N08001135,3699,1941,52.47
Scrabo,N08001136,4257,2158,50.69
Silverbirch,N08001137,3729,1913,51.30
Silverstream,N08001138,3959,2009,50.75
Warren,N08001139,4309,2206,51.20
West Winds,N08001140,4467,2360,52.83
