Geography,GeographyCode,Total,WorkFromHome,WorkFromHome_pct
Derrytrasna,N08000214,2400,394,16.42
Donaghcloney,N08000215,2418,456,18.86
"Dromore (Armagh City, Banbridge and Craigavon LGD)",N08000216,2476,496,20.03
Gilford,N08000217,2180,371,17.02
Gransha,N08000218,2453,539,21.97
Hamiltonsbawn,N08000219,2418,423,17.49
Keady,N08000220,2252,398,17.67
Kernan,N08000221,2770,395,14.26
Killycomain,N08000222,2327,301,12.94
Knocknashane,N08000223,2071,300,14.49
Lough Road,N08000224,2651,458,17.28
Loughbrickland,N08000225,2689,533,19.82
Loughgall,N08000226,2635,499,18.94
Magheralin,N08000227,2608,514,19.71
Mahon,N08000228,2406,347,14.42
Markethill,N08000229,2571,508,19.76
Mourneview,N08000230,2335,236,10.11
Navan,N08000231,2416,498,20.61
Parklake,N08000232,2252,303,13.45
Quilly,N08000233,2028,422,20.81
Rathfriland,N08000234,2162,386,17.85
Richhill,N08000235,2175,345,15.86
Seagahan,N08000236,2409,428,17.77
"Shankill (Armagh City, Banbridge and Craigavon LGD)",N08000237,2437,273,11.20
Tandragee,N08000238,2335,279,11.95
The Birches,N08000239,2868,512,17.85
The Mall,N08000240,2243,302,13.46
Waringstown,N08000241,2617,483,18.46
Andersonstown,N08000301,1920,323,16.82
Ardoyne,N08000302,1575,197,12.51
Ballygomartin,N08000303,2575,351,13.63
Ballymacarrett,N08000304,2144,382,17.82
Ballymurphy,N08000305,1360,130,9.56
Ballysillan,N08000306,2272,318,14.00
Beechmount,N08000307,1937,253,13.06
Beersbridge,N08000308,2807,604,21.52
Bellevue,N08000309,2221,441,19.86
Belmont,N08000310,2164,614,28.37
Belvoir,N08000311,2351,521,22.16
Blackstaff,N08000312,3060,592,19.35
Bloomfield (Belfast LGD),N08000313,2958,732,24.75
Cavehill,N08000314,2053,501,24.40
Central,N08000315,4048,1243,30.71
Chichester Park,N08000316,2175,509,23.40
Cliftonville,N08000317,2105,381,18.10
Clonard,N08000318,2134,294,13.78
Collin Glen,N08000319,2187,356,16.28
Connswater,N08000320,2844,680,23.91
Cregagh,N08000321,1977,454,22.96
Duncairn,N08000322,2878,578,20.08
Dunmurry,N08000323,2472,580,23.46
Falls,N08000324,1473,178,12.08
Falls Park,N08000325,1880,340,18.09
Finaghy,N08000326,2008,487,24.25
Forth River,N08000327,1850,234,12.65
Fortwilliam,N08000328,1990,378,18.99
Garnerville,N08000329,2078,493,23.72
Gilnahirk,N08000330,2237,501,22.40
Hillfoot,N08000331,2191,652,29.76
Innisfayle,N08000332,2357,546,23.17
Knock,N08000333,2464,753,30.56
Ladybrook,N08000334,2134,412,19.31
Lagmore,N08000335,3439,555,16.14
Legoniel,N08000336,2400,382,15.92
Malone,N08000337,2318,729,31.45
Merok,N08000338,2039,436,21.38
Musgrave,N08000339,2284,562,24.61
New Lodge,N08000340,1379,164,11.89
Orangefield,N08000341,2457,675,27.47
Ormeau,N08000342,3499,1066,30.47
Poleglass,N08000343,1820,246,13.52
Ravenhill,N08000344,2514,824,32.78
Rosetta,N08000345,2889,959,33.19
Sandown,N08000346,2116,543,25.66
Shandon,N08000347,2412,612,25.37
Shankill (Belfast LGD),N08000348,1886,236,12.51
Shaw's Road,N08000349,1984,308,15.52
Stewartstown (Belfast LGD),N08000350,1799,310,17.23
Stormont,N08000351,2286,644,28.17
Stranmillis,N08000352,2931,1058,36.10
Sydenham,N08000353,2739,623,22.75
Turf Lodge,N08000354,1422,148,10.41
Twinbrook,N08000355,1622,241,14.86
Upper Malone,N08000356,2013,488,24.24
Water Works,N08000357,2020,340,16.83
Windsor,N08000358,4725,1543,32.66
Woodstock,N08000359,2925,706,24.14
Woodvale,N08000360,1685,184,10.92
Aghadowey,N08000401,1544,372,24.09
Altahullion,N08000402,1387,229,16.51
Atlantic,N08000403,1492,307,20.58
Ballycastle,N08000404,1298,215,16.56
Ballykelly,N08000405,1317,226,17.16
Ballymoney East,N08000406,1225,117,9.55
Ballymoney North,N08000407,1328,213,16.04
Ballymoney South,N08000408,1353,132,9.76
Castlerock,N08000409,1380,209,15.14
Churchland,N08000410,1649,234,14.19
Clogh Mills,N08000411,1714,286,16.69
Coolessan,N08000412,815,77,9.45
Dervock,N08000413,1504,238,15.82
Drumsurn,N08000414,1676,291,17.36
Dundooan,N08000415,1641,440,26.81
Dungiven,N08000416,1378,233,16.91
Dunloy,N08000417,1722,327,18.99
Feeny,N08000418,1536,249,16.21
Garvagh,N08000419,1439,243,16.89
Giant's Causeway,N08000420,1379,280,20.30
