Geography,GeographyCode,AverageHouseholdSize
Ormiston_G,N21000225,2.13682092555332
Ormiston_H,N21000226,2.14187643020595
Ormiston_J,N21000227,2.100966702470462
Ormiston_K,N21000228,2.299421965317919
Ormiston_L,N21000229,2.121756487025948
Ormiston_N,N21000230,2.176762661370407
Ormiston_P,N21000231,2.3602550478214663
Ormiston_Q,N21000232,2
Ormiston_R,N21000233,2.5458515283842793
Ormiston_S,N21000234,2.349127182044888
Ormiston_T,N21000235,2.142559833506764
Lisnasharragh_A,N21000236,2.132029339853301
Lisnasharragh_B,N21000237,2.354779411764706
Lisnasharragh_C,N21000238,2.08562197092084
Lisnasharragh_D,N21000239,1.8403869407496978
Lisnasharragh_E,N21000240,2.0963718820861676
Lisnasharragh_F,N21000241,2.6350364963503647
Lisnasharragh_G,N21000242,2.0674931129476586
Lisnasharragh_H,N21000243,1.8739002932551319
Lisnasharragh_J,N21000244,2.505194805194805
Lisnasharragh_K,N21000245,1.9451476793248945
Lisnasharragh_L,N21000246,2.223700120918984
Lisnasharragh_N,N21000247,2.4781834372217277
Lisnasharragh_P,N21000248,2.434101382488479
Lisnasharragh_Q,N21000249,2.410326086956522
Lisnasharragh_R,N21000250,2.2753222836095763
Botanic_A,N21000251,1.9875424688561723
Botanic_B,N21000252,2.063451776649746
Botanic_C,N21000253,1.8491686460807601
Botanic_D,N21000254,2.2945638432364097
Botanic_E,N21000255,2.074626865671642
Botanic_F,N21000256,1.8746081504702194
Botanic_G,N21000257,1.9241466498103665
Botanic_H,N21000258,2.043579766536965
Botanic_J,N21000259,2.3994878361075545
Botanic_K,N21000260,2.286036036036036
Botanic_L,N21000261,2.304442036836403
Botanic_N,N21000262,2.5414725069897486
Botanic_P,N21000263,2.0588235294117645
Botanic_Q,N21000264,2.735503560528993
Botanic_R,N21000265,2.2176121930567314
Botanic_S,N21000266,2.1513859275053306
Botanic_T,N21000267,1.9944506104328523
Botanic_U,N21000268,1.9923780487804879
Botanic_W,N21000269,2.0642123287671232
Botanic_X,N21000270,2.3423423423423424
Botanic_Y,N21000271,2.4
Botanic_Z,N21000272,2.5625
Balmoral_A,N21000273,2.3433609958506225
Balmoral_B,N21000274,2.03739837398374
Balmoral_C,N21000275,2.373676248108926
Balmoral_D,N21000276,2.5101070154577885
Balmoral_E,N21000277,2.4877232142857144
Balmoral_F,N21000278,2.0559071729957807
Balmoral_G,N21000279,2.2602230483271377
Balmoral_H,N21000280,2.4080645161290324
Balmoral_J,N21000281,2.203252032520325
Balmoral_K,N21000282,1.9586028460543337
Balmoral_L,N21000283,2.476433121019108
Balmoral_N,N21000284,2.358490566037736
Balmoral_P,N21000285,2.132183908045977
Collin_A,N21000286,2.371232876712329
Collin_B,N21000287,2.9283551967709385
Collin_C,N21000288,2.2699167657550534
Collin_D,N21000289,2.4475025484199797
Collin_E,N21000290,2.598669623059867
Collin_F,N21000291,2.6333853354134167
Collin_G,N21000292,2.730730730730731
Collin_H,N21000293,2.7887179487179488
Collin_J,N21000294,2.400739827373613
Collin_K,N21000295,2.285231116121759
Collin_L,N21000296,3.05316091954023
Collin_N,N21000297,2.986254295532646
Collin_P,N21000298,2.284854563691073
Collin_Q,N21000299,2.7837209302325583
Collin_R,N21000300,2.1927990708478515
Black_Mountain_A,N21000301,2.6157760814249365
Black_Mountain_B,N21000302,2.45
Black_Mountain_C,N21000303,2.327889447236181
Black_Mountain_D,N21000304,2.8591397849462368
Black_Mountain_E,N21000305,2.5988372093023258
Black_Mountain_F,N21000306,2.465235173824131
Black_Mountain_G,N21000307,2.477170993733214
Black_Mountain_H,N21000308,2.117766497461929
Black_Mountain_J,N21000309,2.1925360474978794
Black_Mountain_K,N21000310,2.533793103448276
Black_Mountain_L,N21000311,2.334307992202729
Black_Mountain_N,N21000312,2.2707930367504834
Black_Mountain_P,N21000313,2.3779015784586814
Black_Mountain_Q,N21000314,2.4
Black_Mountain_R,N21000315,2.396724294813467
Court_A,N21000316,2.344984802431611
Court_B,N21000317,2.0950704225352115
Court_C,N21000318,2.2314410480349345
Court_D,N21000319,2.1134663341645887
Court_E,N21000320,2.587473002159827
Court_F,N21000321,1.9415584415584415
Court_G,N21000322,2.0935960591133007
Court_H,N21000323,2.0436781609195402
Court_J,N21000324,1.9401622718052738
Court_K,N21000325,1.8796185935637664
Court_L,N21000326,2.2028985507246377
Court_N,N21000327,2.295485636114911
Court_P,N21000328,2.2533733133433285
Court_Q,N21000329,1.8076379066478077
Court_R,N21000330,2.2150375939849622
Court_S,N21000331,2.1285140562248994
Court_T,N21000332,2.297560975609756
Court_U,N21000333,2.0309951060358893
Court_W,N21000334,2.417675544794189
Court_X,N21000335,2.246435845213849
Benbradagh_A,N21000336,2.393141945773525
Benbradagh_B,N21000337,2.6381766381766383
